name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995
TotalAssets,"14,411,183,000","14,501,508,000","14,389,235,000","14,298,056,000","14,270,356,000","13,806,268,000","13,788,805,000","13,845,084,000","10,681,196,000","10,493,908,000","10,580,474,000","10,505,483,000","10,297,088,000","9,607,773,000","9,575,331,000","9,562,309,000","9,520,979,000","9,363,934,000","9,459,814,000","9,499,010,000","9,731,523,000","9,623,640,000","9,714,607,000","8,963,975,000","8,916,288,000","8,951,899,000","8,934,908,000","7,864,510,000","7,890,359,000","7,775,033,000","7,826,926,000","7,902,316,000","7,974,960,000","7,881,476,000","7,908,379,000","7,963,814,000","7,994,490,000","7,942,600,000","8,047,671,000","8,037,996,000","8,069,008,000","7,957,705,000","7,989,343,000","8,087,345,000","8,122,204,000","8,148,155,000","8,142,785,000","8,136,133,000","8,084,630,000","8,025,298,000","7,132,041,000","7,092,291,000","7,041,851,000","6,930,241,000","6,894,609,000","6,916,333,000","6,852,531,000","6,663,516,000","6,802,493,000","6,898,161,000","6,732,139,000","6,527,815,000","6,543,248,000","6,584,367,000","6,528,376,000","6,332,737,000","6,330,482,000","6,340,950,000","6,333,172,000","6,225,552,000","5,778,623,000","5,801,532,000","5,776,727,000","6,037,574,000","5,222,367,000","5,131,303,000","4,950,682,000","4,809,933,000","4,301,246,000","4,197,257,000","4,121,293,000","3,972,425,000","3,852,831,000","3,746,627,000","3,671,827,000","3,476,052,000","3,407,292,000","3,367,613,000","3,350,600,000","3,333,200,000","3,079,900,000","2,930,700,000","2,889,400,000","2,667,300,000","2,562,600,000","2,409,600,000","2,248,800,000","2,100,700,000","2,091,400,000","1,997,600,000","1,912,000,000","1,901,500,000","1,877,900,000","1,767,500,000","1,630,900,000","1,585,600,000","1,591,900,000"
TotalLiabilitiesNetMinorityInterest,"12,887,671,000","12,917,937,000","12,827,467,000","12,722,695,000","12,729,362,000","12,267,565,000","12,241,574,000","12,314,235,000","9,339,404,000","9,140,623,000","9,228,704,000","9,171,895,000","8,980,812,000","8,350,135,000","8,334,655,000","8,333,429,000","8,305,725,000","8,156,210,000","8,253,967,000","8,302,080,000","8,553,960,000","8,452,977,000","8,551,804,000","7,808,520,000","7,745,700,000","7,788,736,000","7,773,571,000","6,796,160,000","6,822,843,000","6,712,386,000","6,750,205,000","6,829,844,000","6,817,404,000","6,724,674,000","6,769,845,000","6,835,581,000","6,846,910,000","6,814,131,000","6,873,045,000","6,868,854,000","6,906,533,000","6,802,801,000","6,822,566,000","6,860,204,000","6,835,088,000","6,840,705,000","6,827,563,000","6,825,410,000","6,782,550,000","6,708,783,000","6,479,121,000","6,459,756,000","6,417,446,000","6,316,457,000","6,271,823,000","6,293,582,000","6,231,706,000","6,050,638,000","6,209,524,000","6,304,829,000","6,123,660,000","5,923,254,000","5,930,889,000","5,989,637,000","5,939,147,000","5,741,674,000","5,748,292,000","5,773,059,000","5,769,059,000","5,679,398,000","5,278,644,000","5,297,588,000","5,286,662,000","5,560,684,000","4,865,435,000","4,784,618,000","4,613,534,000","4,485,997,000","3,988,895,000","3,897,144,000","3,828,772,000","3,684,756,000","3,577,118,000","3,475,882,000","3,408,885,000","3,221,754,000","3,159,404,000","3,125,623,000","3,113,100,000","3,098,300,000","2,846,200,000","2,699,300,000","2,662,600,000","2,445,400,000","2,342,800,000","2,194,200,000","2,041,100,000","1,898,300,000","1,892,900,000","1,803,500,000","1,720,900,000","1,714,300,000","1,687,200,000","1,578,900,000","1,445,700,000","1,404,000,000","1,413,200,000"
TotalEquityGrossMinorityInterest,"1,523,512,000","1,583,571,000","1,561,768,000","1,575,361,000","1,540,994,000","1,538,703,000","1,547,231,000","1,530,849,000","1,341,792,000","1,353,285,000","1,351,770,000","1,333,588,000","1,316,276,000","1,257,638,000","1,240,676,000","1,228,880,000","1,215,254,000","1,207,724,000","1,205,847,000","1,196,930,000","1,177,563,000","1,170,663,000","1,162,803,000","1,155,455,000","1,170,588,000","1,163,163,000","1,161,337,000","1,068,350,000","1,067,516,000","1,062,647,000","1,076,721,000","1,072,472,000","1,157,556,000","1,156,802,000","1,138,534,000","1,128,233,000","1,147,580,000","1,128,469,000","1,174,626,000","1,169,142,000","1,162,475,000","1,154,904,000","1,166,777,000","1,227,141,000","1,287,116,000","1,307,450,000","1,315,222,000","1,310,723,000","1,302,080,000","1,316,515,000","652,920,000","632,535,000","624,405,000","613,784,000","622,786,000","622,751,000","620,825,000","612,878,000","592,969,000","593,332,000","608,479,000","604,561,000","612,359,000","594,730,000","589,229,000","591,063,000","582,190,000","567,891,000","564,113,000","546,154,000","499,979,000","503,944,000","490,065,000","476,890,000","356,932,000","346,685,000","337,148,000","323,936,000","312,351,000","300,113,000","292,521,000","287,669,000","275,713,000","270,745,000","262,942,000","254,298,000","247,888,000","241,990,000","237,500,000","234,900,000","233,700,000","231,400,000","226,800,000","221,900,000","219,800,000","215,400,000","207,700,000","202,400,000","198,500,000","194,100,000","191,100,000","187,200,000","190,700,000","188,600,000","185,200,000","181,600,000","178,700,000"
	StockholdersEquity,"1,523,512,000","1,583,571,000","1,561,768,000","1,575,361,000","1,540,994,000","1,538,703,000","1,547,231,000","1,530,849,000","1,341,792,000","1,353,285,000","1,351,770,000","1,333,588,000","1,316,276,000","1,257,638,000","1,240,676,000","1,228,880,000","1,215,254,000","1,207,724,000","1,205,847,000","1,196,930,000","1,177,563,000","1,170,663,000","1,162,803,000","1,155,455,000","1,170,588,000","1,163,163,000","1,161,337,000","1,068,350,000","1,067,516,000","1,062,647,000","1,076,721,000","1,072,472,000","1,157,556,000","1,156,802,000","1,138,534,000","1,128,233,000","1,147,580,000","1,128,469,000","1,174,626,000","1,169,142,000","1,162,475,000","1,154,904,000","1,166,777,000","1,227,141,000","1,287,116,000","1,307,450,000","1,315,222,000","1,310,723,000","1,302,080,000","1,316,515,000","652,920,000","632,535,000","624,405,000","613,784,000","622,786,000","622,751,000","620,825,000","612,878,000","592,969,000","593,332,000","608,479,000","604,561,000","612,359,000","594,730,000","589,229,000","591,063,000","582,190,000","567,891,000","564,113,000","546,154,000","499,979,000","503,944,000","490,065,000","476,890,000","356,932,000","346,685,000","337,148,000","323,936,000","312,351,000","300,113,000","292,521,000","287,669,000","275,713,000","270,745,000","262,942,000","254,298,000","247,888,000","241,990,000","237,500,000","234,900,000","233,700,000","231,400,000","226,800,000","221,900,000","217,900,000","213,300,000","207,700,000","202,400,000","198,500,000","194,100,000","191,100,000","187,200,000","190,700,000","188,600,000","185,200,000","181,600,000","178,700,000"
		CapitalStock,"1,267,000","1,266,000","1,265,000","1,279,000","1,272,000","1,270,000","1,278,000","1,278,000","1,069,000","1,069,000","1,067,000","1,066,000","1,062,000","1,034,000","1,033,000","1,031,000","1,026,000","1,027,000","1,026,000","1,025,000","1,020,000","1,017,000","1,013,000","1,025,000","1,018,000","1,019,000","1,017,000","947,000","946,000","947,000","950,000","949,000","945,000","943,000","942,000","939,000","938,000","937,000","978,000","979,000","976,000","975,000","976,000","1,033,000","1,078,000","1,103,000","1,108,000","1,108,000","1,107,000","1,106,000","5,127,000","5,126,000","5,125,000","5,124,000","5,123,000","5,121,000","5,120,000","5,119,000","5,119,000","5,116,000","5,115,000","5,114,000","5,113,000","5,111,000","5,110,000","5,094,000","5,084,000","5,082,000","5,049,000","4,933,000","4,796,000","4,793,000","4,779,000","4,772,000","4,769,000","4,766,000","4,764,000","4,757,000","4,755,000","4,751,000","4,749,000","4,743,000","4,743,000","4,741,000","4,739,000","4,737,000","4,736,000","4,736,000","4,700,000","4,700,000",,,,,,,,,,,,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,267,000","1,266,000","1,265,000","1,279,000","1,272,000","1,270,000","1,278,000","1,278,000","1,069,000","1,069,000","1,067,000","1,066,000","1,062,000","1,034,000","1,033,000","1,031,000","1,026,000","1,027,000","1,026,000","1,025,000","1,020,000","1,017,000","1,013,000","1,025,000","1,018,000","1,019,000","1,017,000","947,000","946,000","947,000","950,000","949,000","945,000","943,000","942,000","939,000","938,000","937,000","978,000","979,000","976,000","975,000","976,000","1,033,000","1,078,000","1,103,000","1,108,000","1,108,000","1,107,000","1,106,000","5,127,000","5,126,000","5,125,000","5,124,000","5,123,000","5,121,000","5,120,000","5,119,000","5,119,000","5,116,000","5,115,000","5,114,000","5,113,000","5,111,000","5,110,000","5,094,000","5,084,000","5,082,000","5,049,000","4,933,000","4,796,000","4,793,000","4,779,000","4,772,000","4,769,000","4,766,000","4,764,000","4,757,000","4,755,000","4,751,000","4,749,000","4,743,000","4,743,000","4,741,000","4,739,000","4,737,000","4,736,000","4,736,000","4,700,000","4,700,000",,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"1,012,308,000","1,010,405,000","1,008,099,000","1,025,174,000","1,018,822,000","1,015,502,000","1,023,827,000","1,023,083,000","808,250,000","805,750,000","801,382,000","798,942,000","795,044,000","745,926,000","742,863,000","739,673,000","734,065,000","730,719,000","728,163,000","726,036,000","723,055,000","718,834,000","711,974,000","722,980,000","718,027,000","717,603,000","714,730,000","624,321,000","624,584,000","626,134,000","627,748,000","626,213,000","622,758,000","619,678,000","617,180,000","613,520,000","615,160,000","613,249,000","661,589,000","662,183,000","660,933,000","659,523,000","659,432,000","726,207,000","793,951,000","824,164,000","829,929,000","829,686,000","828,623,000","828,195,000","219,831,000","219,335,000","218,830,000","218,332,000","216,867,000","216,142,000","215,532,000","214,606,000","213,738,000","213,025,000","212,376,000","211,295,000","210,404,000","209,696,000","209,030,000","211,395,000","206,492,000","206,131,000","199,924,000","190,451,000","187,427,000","187,120,000","185,975,000","185,757,000","72,787,000","72,423,000","72,321,000","71,967,000","71,838,000","71,546,000","71,460,000","71,321,000","71,283,000","71,168,000","71,098,000","71,020,000","70,949,000","70,787,000","70,400,000","70,400,000",,,,,,,,,,,,,,,,,
		RetainedEarnings,"612,481,000","609,529,000","604,787,000","595,100,000","571,612,000","555,480,000","544,695,000","530,928,000","561,380,000","583,407,000","577,018,000","562,799,000","555,205,000","550,374,000","541,469,000","531,269,000","522,384,000","508,058,000","502,265,000","495,017,000","480,309,000","478,803,000","469,459,000","470,337,000","492,316,000","489,292,000","487,048,000","487,150,000","484,774,000","481,577,000","476,484,000","472,726,000","564,580,000","571,164,000","562,758,000","557,104,000","565,594,000","550,296,000","556,502,000","552,278,000","547,352,000","543,598,000","538,882,000","533,229,000","529,630,000","523,089,000","520,419,000","516,005,000","510,932,000","508,842,000","511,792,000","503,692,000","498,677,000","490,326,000","482,990,000","477,110,000","466,609,000","458,425,000","446,504,000","440,952,000","432,428,000","425,024,000","421,870,000","412,534,000","402,633,000","378,427,000","371,567,000","359,895,000","351,691,000","344,154,000","312,164,000","304,384,000","292,878,000","282,822,000","271,599,000","262,819,000","253,606,000","238,900,000","229,542,000","220,535,000","212,292,000","206,280,000","196,566,000","191,554,000","186,814,000","182,266,000","177,371,000","171,389,000","166,100,000","161,800,000","157,700,000","153,800,000","150,800,000","148,400,000","145,300,000","141,300,000","137,500,000","134,400,000","131,400,000","128,300,000","125,500,000","122,500,000","125,200,000","122,500,000","119,700,000","117,500,000","114,700,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","69,423,000","69,423,000","69,423,000","69,423,000","69,423,000","69,423,000","69,423,000","66,088,000","62,996,000","50,356,000","31,364,000","25,263,000","22,811,000","22,811,000","22,811,000","560,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
