name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014,12/31/2013
TotalAssets,"4,758,497,000","4,863,854,000","4,682,517,000","3,553,946,000","3,592,047,000","3,387,977,000","3,375,330,000","3,287,494,000","3,176,588,000","3,236,922,000","3,135,013,000","3,088,509,000","2,947,700,000","2,638,778,000","2,473,161,000","2,211,272,000","2,047,826,000","1,955,806,000","1,909,921,000","1,743,707,000","1,759,098,000","1,547,312,000","1,554,583,000","1,574,552,000","1,606,448,000","1,649,641,000","1,682,136,000","2,010,542,000","1,438,619,000","1,404,201,000","457,112,000","278,647,000"
	CurrentAssets,"698,680,000","852,369,000","873,425,000","490,996,000","478,240,000","389,636,000","316,949,000","221,971,000","244,928,000","366,102,000","354,574,000","380,346,000","389,017,000","273,049,000","252,452,000","132,020,000","152,701,000","186,645,000","250,111,000","120,215,000","309,477,000","243,312,000","293,387,000","374,577,000","440,123,000","500,300,000","561,718,000","997,009,000","461,718,000","453,610,000","173,007,000","125,958,000"
		CashCashEquivalentsAndShortTermInvestments,"145,266,000","188,078,000","176,052,000","105,244,000","160,252,000","121,703,000","119,799,000","50,870,000","45,120,000","226,512,000","99,343,000","115,559,000","120,515,000","99,601,000","163,145,000","40,319,000","80,916,000","59,400,000","176,357,000","32,575,000","221,222,000","85,685,000","197,874,000","276,208,000","347,912,000","381,703,000","448,299,000","571,314,000","37,292,000","22,125,000","58,211,000","7,236,000"
			CashAndCashEquivalents,"145,266,000","188,078,000","176,052,000","105,244,000","160,252,000","121,703,000","119,799,000","50,870,000","45,120,000","226,512,000","99,343,000","115,559,000","120,515,000","99,601,000","163,145,000","40,319,000","80,916,000","59,400,000","176,357,000","32,575,000","221,222,000","68,055,000","197,874,000","276,208,000","347,912,000","381,703,000","448,299,000","571,314,000","37,292,000","22,125,000","58,211,000","7,236,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0",,,,"17,630,000",,,,,,,,,,
		Receivables,"201,913,000","270,108,000","295,775,000","241,651,000","184,864,000","153,718,000","147,543,000","117,623,000","117,940,000","103,085,000","141,790,000","151,570,000","129,444,000","123,412,000","66,952,000","58,175,000","45,962,000","68,514,000","37,296,000","36,187,000","32,223,000","75,045,000","31,622,000","28,755,000","26,226,000","96,987,000","97,250,000","407,945,000","407,995,000","410,401,000","113,676,000","117,402,000"
			AccountsReceivable,"105,113,000","175,225,000","205,680,000","175,827,000","111,898,000","91,691,000","78,054,000","62,966,000","57,945,000","49,470,000","61,970,000","61,878,000","50,586,000","53,789,000","50,002,000","41,882,000","36,847,000","31,076,000","27,926,000","26,695,000","22,616,000","21,358,000","21,798,000","18,827,000","16,200,000","14,466,000","11,849,000","13,274,000","10,123,000","9,588,000","4,571,000","2,632,000"
				GrossAccountsReceivable,"161,513,000","192,125,000","210,580,000","179,627,000","115,898,000","96,291,000","80,854,000","65,766,000","59,645,000","50,770,000","63,170,000","62,978,000","51,786,000","54,889,000",,,,"32,059,000",,,,"21,776,000",,,,"14,858,000",,,,"11,188,000","4,571,000","4,232,000"
				AllowanceForDoubtfulAccountsReceivable,"-56,400,000","-16,900,000","-4,900,000","-3,800,000","-4,000,000","-4,600,000","-2,800,000","-2,800,000","-1,700,000","-1,300,000","-1,200,000","-1,100,000","-1,200,000","-1,100,000",,,,"-983,000",,,,"-418,000",,,,"-392,000",,,,"-1,600,000",,"-1,600,000"
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","298,000,000","298,000,000","298,000,000",,
