name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalRevenue,"227,449,000","24,474,000","13,994,000","182,413,000","6,568,000","4,110,000","4,853,000","5,904,000","3,170,000","7,171,000","6,001,000","2,696,000","6,917,000","5,605,000","9,145,000","6,503,000","7,109,000","4,920,000","3,059,000"
	OperatingRevenue,"227,449,000","24,474,000","13,994,000","182,413,000","6,568,000","4,110,000","4,853,000","5,904,000","3,170,000","7,171,000","6,001,000","2,696,000","6,917,000","5,605,000","9,145,000","6,503,000","7,109,000","4,751,000","2,872,000"
OperatingExpense,"256,297,000","68,597,000","69,723,000","56,084,000","61,893,000","56,745,000","57,611,000","59,653,000","49,759,000","49,249,000","38,343,000","36,845,000","34,069,000","26,366,000","28,162,000","23,318,000","19,340,000","14,145,000","12,866,000"
	SellingGeneralAndAdministration,"59,580,000","15,554,000","16,933,000","13,018,000","14,075,000","11,012,000","13,228,000","15,834,000","15,697,000","14,644,000","12,581,000","8,326,000","8,429,000","5,759,000","4,065,000","2,926,000","2,522,000","2,421,000","2,028,000"
		GeneralAndAdministrativeExpense,"59,580,000","15,554,000","16,933,000","13,018,000","14,075,000","11,012,000","13,228,000","15,834,000","15,697,000","14,644,000","12,581,000","8,326,000","8,429,000","5,759,000","4,065,000","2,926,000","2,522,000","2,421,000","2,028,000"
			OtherGandA,"59,580,000","15,554,000","16,933,000","13,018,000","14,075,000","11,012,000","13,228,000","15,834,000","15,697,000","14,644,000","12,581,000","8,326,000","8,429,000","5,759,000","4,065,000","2,926,000","2,522,000","2,421,000","2,028,000"
	ResearchAndDevelopment,"196,717,000","53,043,000","52,790,000","43,066,000","47,818,000","45,733,000","44,383,000","43,819,000","34,062,000","34,605,000","25,762,000","28,519,000","25,640,000","20,607,000","24,097,000","20,392,000","16,818,000","11,724,000","10,838,000"
OperatingIncome,"-28,848,000","-44,123,000","-55,729,000","126,329,000","-55,325,000","-52,635,000","-52,758,000","-53,749,000","-46,589,000","-42,078,000","-32,342,000","-34,149,000","-27,152,000","-20,761,000","-19,017,000","-16,815,000","-12,231,000","-9,225,000","-9,807,000"
OtherIncomeExpense,"831,000","264,000","121,000","268,000","178,000","464,000","579,000","1,045,000","1,263,000","2,059,000","1,815,000","2,411,000","2,592,000","2,201,000","1,644,000","1,498,000","1,110,000","788,000","29,000"
	OtherNonOperatingIncomeExpenses,"831,000","264,000","121,000","268,000","178,000","464,000","579,000","1,045,000","1,263,000","2,059,000","1,815,000","2,411,000","2,592,000","2,201,000","1,644,000","1,498,000","1,110,000","788,000","29,000"
