name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
OperatingCashFlow,"208,403,000","47,117,000","25,131,000","43,999,000","92,156,000","97,652,000","31,265,000","132,296,000","-14,640,000","86,060,000","-5,857,000","51,659,000","36,265,000","83,014,000","-9,324,000","35,817,000","2,348,000","77,787,000","-5,999,000","28,318,000","21,428,000","46,505,000","6,512,000","26,904,000"
	CashFlowFromContinuingOperatingActivities,"208,403,000","47,117,000","25,131,000","43,999,000","92,156,000","97,652,000","31,265,000","132,296,000","-14,640,000","86,060,000","-5,857,000","51,659,000","36,265,000","83,014,000","-9,324,000","35,817,000","2,348,000","77,787,000","-5,999,000","28,318,000","21,428,000","46,505,000","6,512,000","26,904,000"
		NetIncomeFromContinuingOperations,"114,959,000","30,147,000","6,219,000","40,992,000","37,601,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,193,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-9,709,000","3,026,000"
		OperatingGainsLosses,"-10,761,000","-9,727,000","-2,865,000","-546,000","2,377,000","-2,252,000","-582,000","-275,000",,,"0",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-10,761,000","-9,727,000","-2,865,000","-546,000","2,377,000","-2,252,000","-582,000","-275,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"98,685,000","25,151,000","24,450,000","25,059,000","24,025,000","23,555,000","22,615,000","22,236,000","21,924,000","24,810,000","23,674,000","22,336,000","20,819,000","20,415,000","20,259,000","19,080,000","17,346,000","17,654,000","16,711,000","15,352,000","14,629,000","14,423,000","13,756,000","13,217,000"
			DepreciationAndAmortization,"98,685,000","25,151,000","24,450,000","25,059,000","24,025,000","23,555,000","22,615,000","22,236,000","21,924,000","24,810,000","23,674,000","22,336,000","20,819,000","20,415,000","20,259,000","19,080,000","17,346,000","17,654,000","16,711,000","15,352,000","14,629,000","14,423,000","13,756,000","13,217,000"
				Depreciation,,,,,,,,,,,,,,,,,"15,254,000","15,560,000","14,603,000","13,242,000","12,521,000","12,314,000","11,459,000","10,919,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,"2,092,000","2,094,000","2,108,000","2,110,000","2,108,000","2,109,000","2,297,000","2,298,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,"2,092,000","2,094,000","2,108,000","2,110,000","2,108,000","2,109,000","2,297,000","2,298,000"
		DeferredTax,"13,425,000","8,410,000","-6,884,000","9,003,000","2,896,000","11,686,000","6,502,000","6,951,000","-13,404,000","-282,000","-3,029,000","-7,588,000","2,329,000","5,910,000","-11,280,000","-16,437,000","3,094,000","5,283,000","-48,656,000","157,000","647,000","8,118,000","-4,720,000","1,567,000"
			DeferredIncomeTax,"13,425,000","8,410,000","-6,884,000","9,003,000","2,896,000","11,686,000","6,502,000","6,951,000","-13,404,000","-282,000","-3,029,000","-7,588,000","2,329,000","5,910,000","-11,280,000","-16,437,000","3,094,000","5,283,000","-48,656,000","157,000","647,000","8,118,000","-4,720,000","1,567,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,"430,000","4,003,000","1,033,000",,,"259,000","962,000"
		AssetImpairmentCharge,"3,874,000","406,000","2,949,000","0","519,000","959,000","1,088,000","7,150,000","2,411,000","11,355,000","3,452,000","5,915,000","3,634,000","4,103,000","17,619,000","3,769,000","1,729,000","1,620,000","11,152,000","0","-149,000","1,149,000","7,080,000","0"
		StockBasedCompensation,"15,632,000","3,734,000","1,020,000","3,665,000","7,213,000","2,988,000","2,405,000","2,890,000","3,352,000","2,093,000","1,830,000","6,123,000","1,741,000","2,976,000","7,190,000","10,629,000","1,524,000","1,596,000","2,012,000","1,151,000","885,000","1,104,000","985,000","854,000"
		OtherNonCashItems,"8,198,000","2,835,000","2,452,000","304,000","2,607,000","1,533,000","6,334,000","5,492,000","4,031,000","3,374,000","4,851,000","1,572,000","1,761,000","2,766,000","2,996,000","2,416,000","1,901,000","1,016,000","7,429,000","2,168,000","2,197,000","6,495,000","263,000","1,727,000"
		ChangeInWorkingCapital,"-35,609,000","-13,839,000","-2,210,000","-34,478,000","14,918,000","15,751,000","-42,176,000","52,563,000","6,008,000","34,968,000","-40,554,000","12,322,000","-4,276,000","29,415,000","-25,821,000","10,544,000","-36,323,000","25,571,000","-23,347,000","7,944,000","4,715,000","-1,854,000","-1,111,000","6,513,000"
			ChangeInReceivables,"-2,740,000","-6,620,000","-1,564,000","353,000","5,091,000","-2,698,000","-8,012,000","8,723,000","-30,839,000","16,431,000","-902,000","4,544,000","-1,260,000","-9,307,000","-13,986,000","4,568,000","-5,065,000","-166,000","-12,117,000","-955,000","3,859,000","-7,645,000","-5,592,000","-1,743,000"
				ChangesInAccountReceivables,"-2,740,000","-6,620,000","-1,564,000","353,000","5,091,000","-2,698,000","-8,012,000","8,723,000","-30,839,000","16,431,000","-902,000","4,544,000","-1,260,000","-9,307,000","-13,986,000","4,568,000","-5,065,000","-166,000","-12,117,000","-955,000","3,859,000","-7,645,000","-5,592,000","-1,743,000"
			ChangeInInventory,"-11,018,000","-4,570,000","33,000","-4,701,000","-1,780,000","-8,428,000","-924,000","5,540,000","11,325,000","-4,511,000","-16,949,000","-7,256,000","5,552,000","2,767,000","-18,119,000","-5,540,000","-2,031,000","-3,049,000","-2,582,000","-809,000","-4,463,000","-1,729,000","-4,092,000","-4,522,000"
			ChangeInPayablesAndAccruedExpense,"-10,393,000","5,083,000","-11,793,000","-1,553,000","-2,130,000","14,946,000","-3,768,000","16,217,000","-7,541,000","19,171,000","-4,554,000","-1,764,000","2,013,000","1,445,000","12,757,000","-1,899,000","-13,342,000","10,418,000","2,146,000","-871,000","4,459,000","-9,426,000","14,354,000","809,000"
				ChangeInPayable,"-10,393,000","5,083,000","-11,793,000","-1,553,000","-2,130,000","14,946,000","-3,768,000","16,217,000","-7,541,000","19,171,000","-4,554,000","-1,764,000","2,013,000","1,445,000","12,757,000","-1,899,000","-13,342,000","10,418,000","2,146,000","-871,000","4,459,000","-9,426,000","14,354,000","809,000"
					ChangeInAccountPayable,"-10,393,000","5,083,000","-11,793,000","-1,553,000","-2,130,000","14,946,000","-3,768,000","16,217,000","-7,541,000","19,171,000","-4,554,000","-1,764,000","2,013,000","1,445,000","12,757,000","-1,899,000","-13,342,000","10,418,000","2,146,000","-871,000","4,459,000","-9,426,000","14,354,000","809,000"
			ChangeInOtherCurrentAssets,"-4,346,000","1,875,000","357,000","-5,665,000","-913,000","-235,000","-6,960,000","-906,000","-928,000","4,372,000","-1,270,000","-18,000","5,600,000","5,791,000","-7,392,000","980,000","-45,000","-554,000","-4,562,000","695,000","2,566,000","-774,000","-2,930,000","-1,475,000"
