name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014,12/31/2013
			LongTermEquityInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,800,000"
				InvestmentsinAssociatesatCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,800,000"
			InvestmentinFinancialAssets,,,,,,"1,700,000",,,,"1,600,000",,,,"1,700,000",,,,"5,200,000",,,,"4,400,000",,,,"4,200,000",,,,"4,500,000",,"4,900,000"
				AvailableForSaleSecurities,,,,,,"1,700,000",,,,"1,600,000",,,,"1,700,000",,,,"5,200,000",,,,"4,400,000",,,,"4,200,000",,,,"4,500,000",,"4,900,000"
		NonCurrentDeferredAssets,,"181,500,000",,,,"223,600,000",,,,"162,300,000",,,,"184,800,000",,,,"198,400,000",,,,"314,100,000",,,,"227,200,000",,,"86,800,000","341,000,000","390,400,000","382,500,000"
			NonCurrentDeferredTaxesAssets,,"181,500,000",,,,"223,600,000",,,,"162,300,000",,,,"184,800,000",,,,"198,400,000",,,,"314,100,000",,,,"227,200,000",,,,"250,000,000","288,400,000","271,900,000"
		OtherNonCurrentAssets,"568,900,000","298,800,000","582,900,000","587,000,000","610,800,000","266,500,000","626,600,000","662,800,000","661,900,000","329,300,000","620,500,000","613,900,000","610,500,000","302,600,000","503,500,000","447,500,000","448,100,000","225,000,000","548,200,000","535,600,000","523,000,000","209,300,000","441,800,000","431,600,000","458,300,000","202,800,000","450,200,000","464,700,000","485,500,000","219,200,000","227,500,000","202,500,000"
TotalLiabilitiesNetMinorityInterest,"5,660,300,000","5,678,500,000","5,745,900,000","5,674,100,000","5,615,000,000","5,677,400,000","5,651,800,000","5,410,000,000","5,049,900,000","5,408,400,000","5,350,300,000","5,385,800,000","5,393,800,000","5,365,200,000","5,414,700,000","5,290,300,000","5,423,000,000","5,424,400,000","5,378,300,000","5,265,600,000","4,576,600,000","4,597,200,000","4,811,700,000","4,581,000,000","4,632,100,000","4,713,000,000","4,794,600,000","4,818,600,000","4,850,200,000","5,140,800,000","5,447,900,000","5,525,300,000"
	CurrentLiabilities,"1,345,000,000","1,334,900,000","1,276,600,000","1,216,200,000","1,190,100,000","1,180,900,000","1,065,200,000","860,900,000","1,007,200,000","1,072,900,000","1,034,900,000","996,800,000","1,021,500,000","1,040,600,000","1,031,300,000","993,900,000","1,019,500,000","1,082,200,000","1,030,400,000","981,600,000","851,500,000","919,700,000","916,100,000","850,100,000","781,200,000","881,600,000","829,900,000","837,100,000","798,000,000","946,700,000","992,400,000","1,003,400,000"
		PayablesAndAccruedExpenses,"1,268,900,000","1,048,400,000","1,233,300,000","1,175,700,000","1,140,200,000","893,700,000","1,016,500,000","819,600,000","967,000,000","811,500,000","992,500,000","953,100,000","978,000,000","835,200,000","988,800,000","954,000,000","977,700,000","875,900,000","992,600,000","946,100,000","822,500,000","734,600,000","855,400,000","788,200,000","720,400,000","671,900,000","774,400,000","780,100,000","750,000,000","732,400,000","802,500,000","768,700,000"
			Payables,"748,000,000","688,200,000","622,500,000","597,500,000","565,000,000","594,700,000","482,900,000","331,900,000","489,800,000","500,100,000","495,300,000","508,400,000","530,900,000","538,000,000","533,500,000","537,700,000","570,000,000","577,100,000","545,100,000","489,900,000","456,700,000","497,500,000","469,200,000","438,200,000","419,800,000","473,500,000","443,900,000","445,500,000","458,300,000","515,300,000","527,100,000","503,600,000"
				AccountsPayable,"748,000,000","610,900,000","622,500,000","597,500,000","565,000,000","513,400,000","482,900,000","331,900,000","489,800,000","442,000,000","495,300,000","508,400,000","530,900,000","477,800,000","533,500,000","537,700,000","570,000,000","510,700,000","545,100,000","489,900,000","456,700,000","429,500,000","469,200,000","438,200,000","419,800,000","418,600,000","443,900,000","445,500,000","458,300,000","463,600,000","527,100,000","428,800,000"
				TotalTaxPayable,,"53,400,000",,,,"56,400,000",,,,"36,900,000",,,,"36,600,000",,,,"49,200,000",,,,"50,500,000",,,,"41,200,000",,,,"42,200,000",,"65,600,000"
					IncomeTaxPayable,,"30,800,000",,,,"30,300,000",,,,"16,400,000",,,,"15,200,000",,,,"22,200,000",,,,"23,300,000",,,,"18,800,000",,,,"20,800,000",,"25,100,000"
