name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021
MarketCap,"359,990,972","601,479,449","622,981,462","722,047,892","726,738,547"
EnterpriseValue,"91,896,972","320,226,449","319,507,462","389,309,892","726,738,547"
PsRatio,"4.218","7.077","12.25",,
PbRatio,"1.279","2.064","2.143",,
EnterprisesValueRevenueRatio,"1.368","12.025","12.979","19.163","56.114"
EnterprisesValueEBITDARatio,"-2.956","-25.526","-32.54","-40.817","-93.519"
