name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"19,399,791,000","18,138,551,000","16,268,336,000","15,199,158,000","14,909,155,000","14,882,185,000","15,225,841,000","14,969,348,000","15,956,721,000","18,304,456,000","19,489,136,000","16,496,226,000","15,154,558,000","13,142,467,000","11,907,673,000","10,177,613,000","9,159,419,000","8,603,663,000","6,868,458,000","4,519,812,000","2,147,291,000"
	CurrentAssets,"17,503,295,000","16,400,800,000","14,669,445,000","13,713,091,000","13,443,255,000","13,477,710,000","13,510,750,000","13,258,157,000","14,224,895,000","16,877,082,000","18,741,891,000","15,746,894,000",,"12,532,623,000",,,,"8,244,026,000","6,489,240,000","4,133,495,000","1,908,225,000"
		CashCashEquivalentsAndShortTermInvestments,"6,310,566,000","5,623,028,000","5,088,334,000","4,857,873,000","5,098,416,000","4,603,132,000","3,385,587,000","3,382,388,000","2,416,618,000","2,439,102,000","2,182,014,000","2,418,092,000","3,351,385,000","3,310,824,000","3,489,151,000","3,925,594,000","3,738,145,000","3,853,418,000","2,216,991,000","1,484,350,000","664,678,000"
			CashAndCashEquivalents,"3,621,008,000","4,418,127,000","3,349,759,000","2,801,844,000","2,559,750,000","2,632,174,000","1,107,192,000","1,756,946,000","2,182,928,000","2,324,542,000","1,762,727,000","1,428,753,000","1,907,265,000","1,616,164,000","1,654,559,000","2,485,054,000","1,476,238,000","1,891,131,000","715,000,000","1,172,318,000","404,678,000"
			OtherShortTermInvestments,"2,689,558,000","1,204,901,000","1,738,575,000","2,056,029,000","2,538,666,000","1,970,958,000","2,278,395,000","1,625,442,000","233,690,000","114,560,000","419,287,000","989,339,000","1,444,120,000","1,694,660,000","1,834,592,000","1,440,540,000","2,261,907,000","1,962,287,000","1,501,991,000","312,032,000","260,000,000"
		Receivables,"5,399,279,000","4,909,922,000","4,106,808,000","3,599,971,000","3,663,058,000","4,340,342,000","5,076,104,000","5,496,193,000","7,959,610,000","9,380,754,000","8,590,292,000","7,837,896,000","3,548,218,000","5,324,396,000","2,736,641,000","2,517,054,000","1,665,618,000","1,854,381,000","1,287,832,000","695,110,000","346,242,000"
			AccountsReceivable,"1,982,394,000","1,890,846,000","1,589,293,000","1,460,083,000","1,214,704,000","863,906,000","685,903,000","665,331,000","766,373,000","882,305,000","1,101,462,000","1,195,930,000","964,055,000","812,042,000","621,800,000","473,660,000","340,306,000","17,773,000","33,983,000","34,328,000","14,195,000"
				GrossAccountsReceivable,"2,285,379,000","2,141,542,000","1,844,647,000","1,705,222,000","1,423,355,000","1,052,631,000","941,100,000","991,306,000","1,077,261,000","1,028,004,000",,,,"935,195,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-302,985,000","-250,696,000","-255,354,000","-245,139,000","-208,651,000","-188,725,000","-255,197,000","-325,975,000","-310,888,000","-145,699,000",,,,"-123,153,000",,,,,,,
			LoansReceivable,"2,415,650,000","1,982,276,000","1,539,951,000","1,087,851,000","1,343,356,000","2,354,882,000","3,232,716,000","3,567,038,000","4,562,162,000","4,828,252,000","4,548,985,000","4,033,994,000",,"2,331,108,000",,,,"681,794,000","278,468,000","29,048,000","39,235,000"
			AccruedInterestReceivable,,,,,,,,,,,,,,"1,947,000",,,,"2,045,000",,,
			TaxesReceivable,,"105,002,000",,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,"2,830,000",,,,,,"8,120,000",
			OtherReceivables,"1,001,235,000","931,798,000","977,564,000","1,052,037,000","1,104,998,000","1,121,554,000","1,157,485,000","1,263,824,000","2,631,075,000","3,670,197,000","2,939,845,000","2,607,972,000","2,584,163,000","2,176,469,000","2,108,070,000","2,043,394,000","1,325,312,000","1,152,769,000","975,381,000","623,614,000","292,812,000"
		PrepaidAssets,"2,302,112,000","1,794,436,000","1,558,433,000","1,323,931,000","1,135,214,000","1,050,009,000","1,133,766,000","1,098,386,000","1,292,451,000","1,371,023,000","1,969,262,000","1,002,807,000","319,524,000","219,846,000","321,149,000","146,128,000",,"143,654,000","198,057,000","139,537,000","94,418,000"
		RestrictedCash,"3,491,338,000","4,073,414,000","3,915,870,000","3,931,316,000","3,546,567,000","3,484,227,000","3,915,293,000","3,281,190,000","2,556,216,000","3,686,203,000","6,000,323,000","4,488,099,000",,"3,677,557,000",,,,"2,392,573,000","2,786,360,000","1,814,498,000","802,887,000"
	TotalNonCurrentAssets,"1,896,496,000","1,737,751,000","1,598,891,000","1,486,067,000","1,465,900,000","1,404,475,000","1,715,091,000","1,711,191,000","1,731,826,000","1,427,374,000","747,245,000","749,332,000",,"609,844,000",,,,"359,637,000","379,218,000","386,317,000","239,066,000"
		NetPPE,"152,843,000","161,535,000","148,109,000","127,776,000","144,453,000","148,844,000","171,394,000","189,786,000","212,319,000","230,110,000","241,669,000","244,513,000","138,203,000","144,002,000","135,935,000","131,322,000","113,683,000","108,248,000","78,135,000","71,879,000","37,629,000"
			GrossPPE,"152,843,000","388,631,000","148,109,000","127,776,000","144,453,000","338,663,000","171,394,000","189,786,000","212,319,000","368,149,000","241,669,000","244,513,000",,"224,329,000",,,,"146,413,000",,"96,666,000","53,239,000"
				Properties,,"0",,"84,608,000","91,819,000","0","108,049,000","117,178,000","127,161,000","0","141,306,000","142,474,000",,"0",,,,"0",,"0","0"
