name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,993,000","-12,772,000","14,614,000","8,522,000","-9,347,000","11,841,000","-3,443,000",,"-564,000","-5,177,000","-1,246,000","2,871,000","-3,837,000","-2,466,000","-4,495,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,"-7,768,000","-9,366,000","-4,629,000","4,663,000","2,999,000","-7,580,000","2,793,000","56,000","2,065,000","-3,463,000","1,597,000","705,000","-2,640,000","-2,359,000","-1,093,000","2,636,000","3,121,000","-5,539,000","-3,448,000","-2,522,000","1,192,000","-5,025,000","-808,000",,,,,,,,,,,,"-3,110,000","1,045,000","739,000","-418,000","-2,145,000",,,,,,,,,,,,"7,019,000","4,118,000","1,513,000","-1,235,000","-1,457,000","90,000","-27,000","-1,745,000","1,344,000","-2,365,000","1,375,000","-449,000","-97,000","1,056,000","-2,844,000","-910,000","410,000","-3,976,000","1,038,000","651,000","-1,121,000","-2,740,000","-326,000","-556,000","-1,087,000","1,000,000","-1,400,000","100,000","-300,000","800,000","300,000","-1,100,000","-100,000",,"100,000","-400,000","-500,000","-500,000","-200,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,602,000","5,246,000","22,247,000","-1,739,000","-1,840,000","6,490,000",,,,,,,,"1,700,000",,,,,"-1,051,000","-3,017,000","1,840,000","-1,156,000","32,589,000","-54,188,000","44,860,000","-20,676,000","-19,945,000","-9,716,000",,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","700,000","2,400,000","4,500,000","800,000"
			ChangeInOtherWorkingCapital,"-26,043,000","-12,868,000","3,325,000","5,263,000","-21,178,000","-107,000","-615,000","1,866,000","3,576,000","-4,392,000","813,000","2,535,000","-19,002,000","8,435,000","-20,179,000","9,920,000","4,923,000","-2,296,000","-15,684,000","1,769,000","10,917,000","-31,000","-15,476,000","2,217,000","-4,728,000","4,777,000","2,901,000","622,000","-1,724,000","10,962,000","-7,527,000","182,000","-4,101,000","2,380,000","-158,000","1,144,000","2,213,000","1,253,000","-12,675,000","-2,660,000","3,739,000","5,478,000","466,000","-1,533,000","-6,341,000","-17,917,000","-5,095,000","60,000",,,,,,,"5,525,000","-2,943,000","-3,543,000","1,685,000","-2,201,000","1,139,000","-902,000","4,942,000","77,000","-682,000","8,159,000","3,423,000",,"6,291,000","-5,206,000","4,808,000",,,,"35,192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-43,343,000","11,512,000","-15,422,000","-27,253,000","-12,180,000","-11,851,000","-19,209,000","-21,797,000","-13,072,000","-12,180,000","-24,319,000","-16,670,000","-8,812,000","-6,835,000","-107,831,000","44,522,000","-6,397,000","-16,433,000","-31,017,000","-3,083,000","-1,683,000","5,879,000","-28,492,000","21,101,000","-62,786,000","18,035,000","-12,914,000","-8,734,000","-26,541,000","31,467,000","-18,340,000","-15,338,000","5,316,000","4,946,000","-40,311,000","-16,685,000","-73,878,000","1,423,000","-21,441,000","-31,696,000","-22,424,000","-2,053,000","-2,647,000","-5,223,000","-13,495,000","-4,313,000","-142,889,000","-107,465,000","-6,804,000","-18,124,000","-13,533,000","-13,757,000","-17,174,000","3,654,000","-28,718,000","-36,215,000","-59,011,000","-2,927,000","40,349,000","33,232,000","-7,233,000","9,583,000","-53,578,000","-73,597,000","-42,522,000","-1,837,000","222,311,000","-11,756,000","-3,646,000","-17,070,000","-14,363,000","-9,251,000","-3,665,000","-3,360,000","6,083,000","-12,156,000","-2,903,000","-3,393,000","-3,982,000","-16,378,000","4,090,000","-217,983,000","-17,559,000","-45,867,000","-6,112,000","-17,728,000","17,521,000","-40,824,000","-5,071,000","-6,442,000","-7,000,000","-17,100,000","-5,700,000","-6,900,000","-5,900,000","-13,100,000","-4,000,000","-4,100,000","-2,100,000","-102,500,000","-7,100,000","-5,700,000","-8,500,000","-2,000,000"
	CashFlowFromContinuingInvestingActivities,"-43,343,000","11,512,000","-15,422,000","-27,253,000","-12,180,000","-11,851,000","-19,209,000","-21,797,000","-13,072,000","-12,180,000","-24,319,000","-16,670,000","-8,812,000","-6,835,000","-107,831,000","44,522,000","-6,397,000","-16,433,000","-31,017,000","-3,083,000","-1,683,000","5,879,000","-28,492,000","21,101,000","-62,786,000","18,035,000","-12,914,000","-8,734,000","-26,541,000","31,467,000","-18,340,000","-15,338,000","5,316,000","4,946,000","-40,311,000","-16,685,000","-73,878,000","1,423,000","-21,441,000","-31,696,000","-22,424,000","-2,053,000","-2,647,000","-5,223,000","-13,495,000","-4,313,000","-142,889,000","-107,465,000","-6,804,000","-18,124,000","-13,533,000","-13,757,000","-17,174,000","3,654,000","-28,718,000","-36,215,000","-59,011,000","-2,927,000","40,349,000","33,232,000","-7,233,000","9,583,000","-53,578,000","-67,597,000","-42,295,000","-1,628,000","222,311,000","-11,756,000","-3,646,000","-17,070,000","-14,363,000","-9,251,000","-3,665,000","-3,360,000","6,083,000","-12,156,000","-2,903,000","-3,393,000","-3,982,000","-16,378,000","4,090,000","-217,983,000","-17,559,000","-45,867,000","-6,112,000","-17,728,000","17,521,000","-40,824,000","-5,071,000","-6,442,000","-7,000,000","-17,100,000","-5,700,000","-6,900,000","-5,900,000","-13,100,000","-4,000,000","-4,100,000","-2,100,000","-102,500,000","-7,100,000","-5,700,000","-8,500,000","-2,000,000"
		CapitalExpenditureReported,,,,,,"-8,239,000","-5,196,000","-9,867,000","-9,512,000","-4,822,000","-9,613,000","-9,848,000","-9,572,000","-8,286,000","-13,057,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,"-17,332,000","-14,480,000","-12,235,000","-5,572,000","-4,632,000","-9,181,000","-9,557,000","-2,721,000","-2,679,000","-3,601,000","-5,262,000","-2,069,000","-5,351,000","-4,730,000","-6,695,000","-4,579,000","-10,210,000","-6,697,000","-4,499,000","-11,090,000","-7,861,000","-6,633,000","-4,492,000","-12,733,000","-6,938,000","-11,232,000","-2,318,000","-2,582,000","-8,554,000","-6,811,000","-4,250,000","-4,419,000","-2,339,000","-3,471,000","-4,048,000","-5,837,000","-10,092,000","-14,360,000","-10,024,000","1,239,000","-12,963,000","-5,902,000","-3,951,000","-8,407,000","-10,876,000","-4,134,000","-4,290,000","-904,000","-5,220,000","-11,929,000","5,402,000","227,606,000","-2,898,000","-2,584,000","-3,874,000","-4,201,000","-2,669,000","-1,379,000","-1,406,000","-2,315,000","-3,786,000","-658,000","-2,262,000","-2,523,000","-3,952,000","-3,120,000","-3,071,000","-7,170,000","-3,877,000","-2,783,000","-6,587,000","-3,957,000","-6,703,000","-5,071,000","-6,442,000","-5,700,000","-2,000,000","-2,000,000","-2,300,000","-5,300,000","-11,200,000","-3,100,000","-3,500,000","7,200,000","-1,900,000","-3,500,000","-2,500,000","-4,500,000","-1,000,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,"-17,332,000","-14,480,000","-12,235,000","-5,572,000","-4,632,000","-9,181,000","-9,557,000","-2,721,000","-2,679,000","-3,601,000","-5,262,000","-2,069,000","-5,351,000","-4,730,000","-6,695,000","-4,579,000","-10,210,000","-6,697,000","-4,499,000","-11,090,000","-7,861,000","-6,633,000","-4,492,000","-12,733,000","-6,938,000","-11,232,000","-2,318,000","-2,582,000","-8,554,000","-6,811,000","-4,250,000","-4,419,000","-2,339,000","-3,471,000","-4,048,000","-5,837,000","-10,092,000","-14,360,000","-10,024,000","1,239,000","-12,963,000","-5,902,000","-3,951,000","-8,407,000","-10,876,000","-4,134,000","-4,290,000","-904,000","-5,220,000","-4,553,000","-1,974,000","-12,154,000","-2,898,000","-2,584,000","-3,874,000","-4,201,000","-2,669,000","-1,379,000","-1,406,000","-2,315,000","-3,786,000","-658,000","-2,262,000","-2,523,000","-3,952,000","-3,120,000","-3,071,000","-7,170,000","-3,877,000","-2,783,000","-6,587,000","-3,957,000","-6,703,000","-5,071,000","-6,442,000","-5,700,000","-2,000,000","-2,000,000","-2,300,000","-5,300,000","-11,200,000","-3,100,000","-3,500,000","-1,500,000","-1,900,000","-3,500,000","-2,500,000","-4,500,000","-1,000,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
