name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
OperatingCashFlow,"584,778,000","125,668,000","154,319,000","122,047,000","182,744,000","124,447,000","89,018,000","174,288,000","149,962,000","99,034,000","89,800,000","97,695,000","102,041,000","107,402,000","97,212,000","58,830,000","73,141,000","68,842,000","43,719,000","66,495,000","80,568,000","44,210,000","49,495,000","46,304,000","52,984,000","44,309,000","39,679,000","37,434,000","57,248,000","39,338,000","41,304,000","52,047,000","33,632,000","21,802,000","32,898,000","13,482,000","17,381,000","30,650,000","23,669,000","22,350,000","21,609,000","43,005,000","29,230,000","28,335,000","32,625,000","45,916,000","30,599,000","22,184,000","6,036,000","53,444,000","53,457,000","5,836,000","17,908,000","25,783,000","47,348,000","41,295,000","11,210,000","61,798,000","43,135,000","3,900,000","70,298,000","-21,827,000","27,694,000","-9,280,000","28,929,000","7,075,000","42,432,000","12,639,000","32,716,000","31,324,000","-6,025,000","27,332,000","3,061,000","32,806,000","12,980,000","7,139,000","36,097,000","45,217,000","26,041,000","50,659,000"
	CashFlowFromContinuingOperatingActivities,"584,778,000","125,668,000","154,319,000","122,047,000","182,744,000","124,447,000","89,018,000","174,288,000","149,962,000","99,034,000","89,800,000","97,695,000","102,041,000","107,402,000","97,212,000","58,830,000","73,141,000","68,842,000","43,719,000","66,495,000","80,568,000","44,210,000","49,495,000","46,304,000","52,984,000","44,309,000","39,679,000","37,434,000","57,248,000","39,338,000","41,304,000","52,047,000","33,632,000","21,802,000","32,898,000","13,482,000","17,381,000","30,650,000","23,669,000","22,350,000","21,609,000","43,005,000","29,230,000","28,335,000","32,625,000","45,916,000","30,599,000","22,184,000","6,036,000","53,444,000","53,457,000","5,836,000","17,908,000","25,783,000","47,348,000","41,295,000","11,210,000","61,798,000","43,135,000","3,900,000","70,298,000","-21,827,000","27,694,000","-9,280,000","28,929,000","7,075,000","42,432,000","12,639,000","32,716,000","31,324,000","-6,025,000","27,332,000","3,061,000","32,806,000","12,980,000","7,139,000","36,097,000","45,217,000","26,041,000","50,659,000"
		NetIncomeFromContinuingOperations,"238,926,000","49,796,000","44,524,000","64,672,000","79,934,000","42,290,000","5,127,000","-5,591,000","-104,926,000","137,505,000","-40,190,000","105,328,000","-26,601,000","22,665,000","-4,330,000","33,103,000","24,634,000","15,878,000","95,117,000","-32,884,000","-53,726,000","9,988,000","1,532,000","2,163,000","11,575,000","8,218,000","14,768,000","6,561,000","10,784,000","9,109,000","3,711,000","9,907,000","9,509,000","6,733,000","-42,841,000","7,799,000","6,914,000","8,500,000","12,013,000","10,980,000","11,219,000","6,662,000","13,530,000","-4,826,000","12,280,000","2,881,000","11,851,000","11,388,000","9,915,000","6,750,000","10,312,000","-1,314,000","8,107,000","11,097,000","-64,216,000","4,965,000","-526,000","3,787,000","8,371,000","2,404,000","4,545,000","4,267,000","68,928,000","6,574,000","6,459,000","8,093,000","9,083,000","7,391,000","6,755,000","7,083,000","18,068,000","7,099,000","5,826,000","5,980,000","7,613,000","-461,749,000","3,560,000","3,675,000","3,529,000","3,374,000"
		OperatingGainsLosses,"-14,649,000","-969,000","10,842,000","10,335,000","-34,857,000","-6,478,000","47,496,000","56,850,000","117,208,000","-103,308,000","81,780,000","-85,383,000","49,625,000","-575,000","22,351,000","-16,953,000","-10,755,000","1,827,000","-18,407,000","49,359,000","69,644,000","126,000","16,050,000","11,855,000","-2,176,000","3,910,000","14,884,000","-6,145,000","-1,342,000","-1,397,000","10,741,000","-1,430,000","-823,000","-1,092,000","1,560,000","2,082,000","1,313,000","1,475,000","467,000","1,097,000","1,188,000","931,000","-509,000","346,000","2,984,000","-581,000","-860,000","909,000","-2,196,000","135,000","799,000","7,637,000","7,121,000","7,815,000","380,000","1,746,000","3,579,000","-88,000","-1,653,000","-125,000",,,"-1,937,000","-15,188,000","7,422,000","8,212,000","4,981,000","-9,627,000","4,395,000","5,545,000","-1,265,000","-914,000","3,971,000","3,515,000","5,055,000","577,846,000",,,,
			GainLossOnInvestmentSecurities,"-23,203,000","-2,696,000","7,818,000","7,378,000","-35,703,000","-9,472,000","44,699,000","53,393,000","109,723,000","-107,044,000","72,868,000","-91,952,000","35,886,000","-4,500,000","21,411,000","-17,895,000","-11,697,000","885,000","-20,424,000","34,433,000","67,649,000","-1,869,000","14,664,000","8,473,000","-5,558,000","528,000","-573,000","-96,000","-264,000","13,000","-127,000","-639,000","-31,000","-299,000","-206,000","317,000","-452,000","-290,000","-923,000","-294,000","-202,000","-460,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"2,797,000","1,403,000","1,213,000","1,146,000","-965,000","1,183,000","1,825,000","2,485,000","6,513,000","2,764,000","4,987,000","2,644,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"5,757,000","324,000","1,811,000","1,811,000","1,811,000","1,811,000","972,000","972,000","972,000","972,000","3,925,000","3,925,000","3,925,000","3,925,000","940,000","942,000","942,000","942,000","2,017,000","14,926,000","1,995,000","1,995,000","1,386,000","3,382,000","3,382,000","3,382,000","15,457,000","-6,049,000","-1,078,000","-1,410,000","10,868,000","-791,000","-792,000","-793,000","1,766,000","1,765,000","1,765,000","1,765,000","1,390,000","1,391,000","1,390,000","1,391,000","47,000","-1,527,000","-580,000","-581,000","-846,000","-641,000","-640,000","137,000","618,000","7,615,000","8,518,000","8,517,000","5,959,000","1,746,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"350,375,000","88,245,000","92,275,000","85,984,000","83,871,000","79,719,000","81,037,000","76,192,000","76,087,000","77,001,000","74,712,000","71,125,000","69,937,000","69,579,000","61,088,000","49,201,000","47,950,000","46,320,000","49,162,000","41,492,000","41,064,000","39,033,000","38,031,000","35,371,000","34,066,000","32,534,000","34,296,000","30,754,000","31,400,000","28,993,000","29,826,000","26,307,000","27,142,000","24,979,000","25,672,000","23,392,000","21,765,000","20,920,000","21,606,000","21,057,000","21,514,000","20,300,000","22,198,000","22,616,000","23,878,000","22,371,000","22,284,000","22,758,000","21,752,000","20,800,000","21,609,000","20,102,000","21,153,000","21,723,000","25,786,000","24,495,000","22,928,000","21,242,000","13,465,000","13,502,000","12,837,000","11,943,000","11,658,000","11,649,000","11,350,000","11,003,000","10,816,000","10,467,000","10,252,000","9,632,000","9,505,000","8,954,000","9,262,000","9,096,000","9,180,000","20,856,000","34,085,000","34,382,000","34,532,000","39,376,000"
			DepreciationAndAmortization,"350,375,000","88,245,000","92,275,000","85,984,000","83,871,000","79,719,000","81,037,000","76,192,000","76,087,000","77,001,000","74,712,000","71,125,000","69,937,000","69,579,000","61,088,000","49,201,000","47,950,000","46,320,000","49,162,000","41,492,000","41,064,000","39,033,000","38,031,000","35,371,000","34,066,000","32,534,000","34,296,000","30,754,000","31,400,000","28,993,000","29,826,000","26,307,000","27,142,000","24,979,000","25,672,000","23,392,000","21,765,000","20,920,000","21,606,000","21,057,000","21,514,000","20,300,000","22,198,000","22,616,000","23,878,000","22,371,000","22,284,000","22,758,000","21,752,000","20,800,000","21,609,000","20,102,000","21,153,000","21,723,000","25,786,000","24,495,000","22,928,000","21,242,000","13,465,000","13,502,000","12,837,000","11,943,000","11,658,000","11,649,000","11,350,000","11,003,000","10,816,000","10,467,000","10,252,000","9,632,000","9,505,000","8,954,000","9,262,000","9,096,000","9,180,000","20,856,000","34,085,000","34,382,000","34,532,000","39,376,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,242,000","13,465,000","13,502,000","12,837,000","11,943,000","11,658,000","11,649,000","11,350,000","11,003,000","10,816,000","10,467,000","10,252,000","9,632,000","9,505,000","8,954,000","9,262,000","9,096,000","9,180,000",,,,,
