name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
OperatingCashFlow,"667,000,000","163,000,000","168,000,000","196,000,000","143,000,000","128,000,000","163,000,000","158,000,000","92,000,000","148,000,000","202,000,000","212,000,000","239,000,000","194,000,000","232,000,000","239,000,000","213,000,000","153,000,000","166,000,000","215,000,000","166,000,000","111,000,000","175,200,000","127,700,000","170,000,000","117,900,000","189,900,000","156,300,000","153,600,000","80,100,000","140,900,000","174,000,000","143,400,000","98,600,000","138,100,000","131,000,000","129,700,000","54,700,000","112,100,000","138,900,000","106,900,000","139,600,000","71,900,000","203,600,000","83,800,000","109,900,000","39,800,000","177,100,000"
	CashFlowFromContinuingOperatingActivities,"667,000,000","163,000,000","168,000,000","196,000,000","143,000,000","128,000,000","163,000,000","158,000,000","92,000,000","148,000,000","202,000,000","212,000,000","239,000,000","194,000,000","232,000,000","239,000,000","213,000,000","153,000,000","166,000,000","215,000,000","166,000,000","111,000,000","175,200,000","127,700,000","170,000,000","117,900,000","189,900,000","156,300,000","153,600,000","80,100,000","140,900,000","174,000,000","143,400,000","98,600,000","138,100,000","131,000,000","129,700,000","54,700,000","112,100,000","138,900,000","106,900,000","139,600,000","71,900,000","203,600,000","83,800,000","109,900,000","39,800,000","177,100,000"
		NetIncomeFromContinuingOperations,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000",,,,,,,,,,
		OperatingGainsLosses,,"-6,000,000","0",,,,,,,,,,,,,,,,"-19,000,000","-4,000,000","-1,000,000","-5,000,000","-11,300,000","-3,400,000","3,200,000","10,100,000","-2,500,000","10,700,000","-1,200,000","8,000,000","8,600,000","-4,800,000","-3,800,000","-4,200,000","-10,300,000","-3,700,000","-8,400,000","-7,300,000","-25,700,000","500,000","9,900,000","13,500,000","4,700,000","3,000,000",,,"28,800,000","300,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-6,000,000","0",,,,,,,,,,,,,,,,"-19,000,000","-4,000,000","-1,000,000","-5,000,000","-11,300,000","-3,400,000","3,200,000","10,100,000","-2,800,000","10,700,000","-1,200,000","8,000,000","8,100,000","-4,800,000","-3,800,000","-4,200,000","-10,600,000","-6,500,000","-8,400,000","-7,300,000",,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,
		DepreciationAmortizationDepletion,"151,000,000","38,000,000","38,000,000","38,000,000","37,000,000","37,000,000","37,000,000","36,000,000","37,000,000","38,000,000","45,000,000","42,000,000","40,000,000","40,000,000","40,000,000","41,000,000","41,000,000","42,000,000","43,000,000","43,000,000","43,000,000","41,000,000","43,700,000","44,100,000","44,000,000","44,100,000","46,700,000","46,700,000","46,300,000","45,700,000","47,500,000","48,300,000","48,800,000","48,000,000","49,800,000","49,500,000","50,100,000","54,600,000","64,000,000","63,600,000","62,800,000","62,100,000","64,700,000","63,500,000","63,800,000","63,700,000","65,400,000","63,700,000"
			DepreciationAndAmortization,"151,000,000","38,000,000","38,000,000","38,000,000","37,000,000","37,000,000","37,000,000","36,000,000","37,000,000","38,000,000","45,000,000","42,000,000","40,000,000","40,000,000","40,000,000","41,000,000","41,000,000","42,000,000","43,000,000","43,000,000","43,000,000","41,000,000","43,700,000","44,100,000","44,000,000","44,100,000","46,700,000","46,700,000","46,300,000","45,700,000","47,500,000","48,300,000","48,800,000","48,000,000","49,800,000","49,500,000","50,100,000","54,600,000","64,000,000","63,600,000","62,800,000","62,100,000","64,700,000","63,500,000","63,800,000","63,700,000","65,400,000","63,700,000"
				Depreciation,"106,000,000","27,000,000","27,000,000","26,000,000","26,000,000","25,000,000","25,000,000","25,000,000","24,000,000","22,000,000","24,000,000","20,000,000","19,000,000","18,000,000","19,000,000","19,000,000","19,000,000","20,000,000","20,000,000","21,000,000","20,000,000","19,000,000","20,700,000","21,100,000","21,000,000","20,700,000","22,500,000","22,400,000","22,000,000","21,400,000","22,800,000","23,600,000","24,100,000","23,300,000","24,600,000","24,400,000","25,000,000","24,700,000","26,500,000","26,100,000","25,300,000","24,600,000","26,800,000","25,500,000","25,800,000","25,700,000","26,800,000","25,200,000"
				AmortizationCashFlow,"45,000,000","11,000,000","11,000,000","12,000,000","11,000,000","12,000,000","12,000,000","11,000,000","13,000,000","16,000,000","21,000,000","22,000,000","21,000,000","22,000,000","21,000,000","22,000,000","22,000,000","22,000,000","23,000,000","22,000,000","23,000,000","22,000,000","23,000,000","23,000,000","23,000,000","23,400,000","24,200,000","24,300,000","24,300,000","24,300,000","24,700,000","24,700,000","24,700,000","24,700,000","25,200,000","25,100,000","25,100,000","29,900,000","37,500,000","37,500,000","37,500,000","37,500,000","37,900,000","38,000,000","38,000,000","38,000,000","38,600,000","38,500,000"
					AmortizationOfIntangibles,"45,000,000","11,000,000","11,000,000","12,000,000","11,000,000","12,000,000","12,000,000","11,000,000","13,000,000","16,000,000","21,000,000","22,000,000","21,000,000","22,000,000","21,000,000","22,000,000","22,000,000","22,000,000","23,000,000","22,000,000","23,000,000","22,000,000","23,000,000","23,000,000","23,000,000","23,400,000","24,200,000","24,300,000","24,300,000","24,300,000","24,700,000","24,700,000","24,700,000","24,700,000","25,200,000","25,100,000","25,100,000","29,900,000","37,500,000","37,500,000","37,500,000","37,500,000","37,900,000","38,000,000","38,000,000","38,000,000","38,600,000","38,500,000"
		DeferredTax,"55,000,000","5,000,000","3,000,000","32,000,000","15,000,000","14,000,000","23,000,000","3,000,000","8,000,000","35,000,000","4,000,000","28,000,000","20,000,000","13,000,000","6,000,000","21,000,000","13,000,000","12,000,000","-122,000,000","28,000,000","19,000,000","25,000,000","33,900,000","26,300,000","31,200,000","22,800,000","4,500,000","24,200,000","32,900,000","34,400,000","26,600,000","43,500,000","34,200,000","27,500,000","20,200,000","28,800,000","32,900,000","16,100,000","8,000,000","19,000,000","-351,800,000","21,000,000","5,900,000","13,800,000","4,900,000","15,200,000","13,600,000","12,600,000"
