name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
MarketCap,"1,114,058,820","1,161,666,246","1,237,248,230","1,311,650,506","1,667,284,751","1,895,984,640","765,487,500","571,601,250","574,395,000","569,366,250","558,750,000","555,397,500"
EnterpriseValue,"2,010,223,820","2,005,548,246","2,050,319,230","2,117,665,506","2,422,767,751","2,661,204,640","765,601,997","571,715,747","574,509,497","569,480,747","558,864,497","555,511,997"
PeRatio,"41.818","59.12",,,,"190.692","80.588","51.15",,,,
ForwardPeRatio,"28.249","28.249","27.778","27.548","31.447","36.232",,,,,,
PsRatio,"0.901","1.015",,,,,,,"0.744","0.737","0.724","0.719"
PbRatio,"1.652","1.709","1.676","1.893","2.456","3.148","1.756","1.312","1.323","1.317","1.299","1.299"
EnterprisesValueRevenueRatio,"1.605","5.885","6.813","6.773","8.132","9.886",,,,,,
EnterprisesValueEBITDARatio,"16.163","1,141.462","132.612","34.918","55.517","335.883","-1,376.15","-463.967","-2,141.343","-1,281.339","-4,442.837","-3,478.341"
