name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"1,119,232,000","330,344,000","285,608,000","272,006,000","231,274,000","195,984,000","171,491,000","200,787,000","114,952,000"
	OperatingRevenue,"1,119,232,000","330,344,000","285,608,000","272,006,000","231,274,000","195,984,000","171,491,000","200,787,000","114,952,000"
PretaxIncome,"-414,317,000","-109,605,000","-109,454,000","-29,866,000","-165,392,000","-176,465,000","-87,565,000","-42,686,000","-91,960,000"
TaxProvision,"2,413,000","752,000","1,558,000","181,000","-78,000","1,099,000","-4,949,000","192,000","-99,768,000"
NetIncomeCommonStockholders,"-457,156,000","-120,325,000","-121,202,000","-40,236,000","-175,393,000","-187,532,000","-145,464,000","-53,067,000","-2,243,000"
	NetIncome,"-416,730,000","-110,357,000","-111,012,000","-30,047,000","-165,314,000","-177,564,000","-82,616,000","-42,878,000","7,808,000"
		NetIncomeIncludingNoncontrollingInterests,"-416,730,000","-110,357,000","-111,012,000","-30,047,000","-165,314,000","-177,564,000","-82,616,000","-42,878,000","7,808,000"
			NetIncomeContinuousOperations,"-416,730,000","-110,357,000","-111,012,000","-30,047,000","-165,314,000","-177,564,000","-82,616,000","-42,878,000","7,808,000"
	PreferredStockDividends,"40,426,000","9,968,000","10,190,000","10,189,000","10,079,000","9,968,000","10,190,000","10,189,000","10,051,000"
DilutedNIAvailtoComStockholders,"-457,156,000","-120,325,000","-121,202,000","-40,236,000","-175,393,000","-187,532,000","-145,464,000","-53,067,000","-2,243,000"
BasicEPS,,"-0.14","-0.15","-0.05","-0.48","-1.61",,"-0.457","-0.019"
DilutedEPS,,"-0.14","-0.15","-0.05","-0.48","-1.61",,"-0.457","-0.019"
BasicAverageShares,,"852,853,596","814,507,200","800,565,830","365,036,365","116,152,593",,"116,152,593","116,152,593"
DilutedAverageShares,,"852,853,596","814,507,200","800,565,830","365,036,365","116,152,593",,"116,152,593","116,152,593"
NetIncomeFromContinuingAndDiscontinuedOperation,"-416,730,000","-110,357,000","-111,012,000","-30,047,000","-165,314,000","-177,564,000","-82,616,000","-42,878,000","7,808,000"
NormalizedIncome,"-391,714,200","-100,434,200","-109,002,310","-29,155,670","-144,142,989.105","-175,974,060","-82,616,000","-42,661,190","11,421,500"
InterestIncome,"390,904,000","118,412,000","94,783,000","93,601,000","84,108,000","82,528,000","92,073,000","88,117,000","86,065,000"
InterestExpense,"91,007,000","23,479,000","18,206,000","21,226,000","28,096,000","35,248,000","53,250,000","38,905,000","43,318,000"
NetInterestIncome,"299,897,000","94,933,000","76,577,000","72,375,000","56,012,000","47,280,000","38,823,000","49,212,000","42,747,000"
ReconciledDepreciation,"106,289,000","30,698,000","26,527,000","24,075,000","24,989,000","25,977,000","25,486,000","24,676,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-416,730,000","-110,357,000","-111,012,000","-30,047,000","-165,314,000","-177,564,000","-82,616,000","-42,878,000","7,808,000"
TotalUnusualItemsExcludingGoodwill,"-41,693,000","-16,538,000","-2,753,000","-1,221,000","-21,181,000","-2,178,000","0","-297,000","-4,950,000"
TotalUnusualItems,"-41,693,000","-16,538,000","-2,753,000","-1,221,000","-21,181,000","-2,178,000","0","-297,000","-4,950,000"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0","0.27","0.057","0.27","0.27"
TaxEffectOfUnusualItems,"-16,677,200","-6,615,200","-743,310","-329,670","-9,989.105","-588,060","0","-80,190","-1,336,500"
