name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,12/31/2015
TotalAssets,"18,544,222,000","18,537,846,000","18,250,566,000","17,484,611,000","17,490,419,000","17,506,222,000","17,750,787,000","17,746,316,000","17,593,345,000","17,392,910,000","17,660,018,000","17,714,153,000","17,853,619,000","18,063,428,000","18,476,648,000","18,665,362,000","18,696,445,000","18,683,638,000","9,524,524,000","9,519,326,000","9,588,161,000","9,732,351,000","9,910,433,000","9,796,978,000"
	CurrentAssets,"861,695,000","980,084,000","959,364,000","484,163,000","525,456,000","535,386,000","929,392,000","938,775,000","689,997,000","461,472,000","741,198,000","544,002,000","578,389,000","579,165,000","766,441,000","548,275,000","564,904,000","538,368,000","335,790,000","343,654,000","419,353,000","500,020,000","551,249,000","531,054,000"
		CashCashEquivalentsAndShortTermInvestments,"467,457,000","610,166,000","569,663,000","126,168,000","187,310,000","213,422,000","559,567,000","571,719,000","297,060,000","92,258,000","81,531,000","77,046,000","130,896,000","144,940,000","130,037,000","166,874,000","134,893,000","179,878,000","134,441,000","158,934,000","192,450,000","198,119,000","274,140,000","274,818,000"
			CashAndCashEquivalents,"467,457,000","610,166,000","569,663,000","126,168,000","187,310,000","213,422,000","559,567,000","571,719,000","297,060,000","92,258,000","81,531,000","77,046,000","130,896,000","144,940,000","130,037,000","166,874,000","134,893,000","179,878,000","134,441,000","158,934,000","192,450,000","198,119,000","274,140,000","274,818,000"
		Receivables,"37,397,000","37,473,000","37,118,000","37,966,000","36,455,000","35,256,000","36,540,000","31,644,000","25,048,000","25,244,000","28,752,000","29,457,000","33,534,000","33,117,000","36,114,000","26,388,000","28,686,000","24,525,000","11,986,000","9,847,000","11,781,000","11,604,000",,"8,846,000"
			AccountsReceivable,"37,397,000","37,473,000","37,118,000","37,966,000","36,455,000","35,256,000","36,540,000","31,644,000","25,048,000","25,244,000","28,752,000","29,457,000","33,534,000","33,117,000","36,114,000","26,388,000","28,686,000","24,525,000","11,986,000","9,847,000","11,781,000","11,604,000",,"8,846,000"
		PrepaidAssets,"119,220,000","103,731,000","73,798,000","53,076,000","46,283,000","44,199,000","33,259,000","34,132,000","42,826,000","33,454,000","35,577,000","44,078,000","33,226,000","31,980,000","36,979,000","42,727,000","68,519,000","50,467,000","23,412,000","25,418,000","33,811,000","23,143,000","4,419,000","28,216,000"
		RestrictedCash,"215,692,000","208,692,000","251,487,000","241,976,000","223,511,000","198,346,000","249,341,000","223,894,000","218,735,000","193,987,000","244,882,000","242,409,000","220,522,000","215,051,000","253,603,000","243,048,000","255,855,000","236,684,000","153,781,000","138,264,000","144,169,000","222,092,000","272,690,000","219,174,000"
		AssetsHeldForSaleCurrent,"21,929,000","20,022,000","27,298,000","24,977,000","31,897,000","44,163,000","50,685,000","77,386,000","106,328,000","116,529,000","350,456,000","151,012,000","160,211,000","154,077,000","309,708,000","69,238,000","76,951,000","46,814,000","12,170,000","11,191,000","37,142,000","45,062,000",,
	TotalNonCurrentAssets,"17,682,527,000","17,557,762,000","17,291,202,000","17,000,448,000","16,964,963,000","16,970,836,000","16,821,395,000","16,807,541,000","16,903,348,000","16,931,438,000","16,918,820,000","17,170,151,000","17,275,230,000","17,484,263,000","17,710,207,000","18,117,087,000","18,131,541,000","18,145,270,000","9,188,734,000","9,175,672,000","9,168,808,000","9,232,331,000","9,359,184,000","9,265,924,000"
		NetPPE,"32,777,000","33,570,000","31,449,000","29,232,000","29,757,000","31,700,000","30,319,000","32,201,000","29,976,000","23,593,000","25,364,000","26,861,000","26,632,000","11,792,000","12,254,000","17,980,000","15,415,000","16,595,000","6,522,000","6,001,000","5,612,000","6,247,000",,"6,980,000"
			GrossPPE,"32,777,000","33,570,000","31,449,000","29,232,000","29,757,000","31,700,000","30,319,000","32,201,000","29,976,000","23,593,000","25,364,000","26,861,000","26,632,000","11,792,000","12,254,000","17,980,000","15,415,000","16,595,000","6,522,000","6,001,000","5,612,000","6,247,000",,"6,980,000"
				OtherProperties,"32,777,000","33,570,000","31,449,000","29,232,000","29,757,000","31,700,000","30,319,000","32,201,000","29,976,000","23,593,000","25,364,000","26,861,000","26,632,000","11,792,000","12,254,000","17,980,000","15,415,000","16,595,000","6,522,000","6,001,000","5,612,000","6,247,000",,"6,980,000"
		GoodwillAndOtherIntangibleAssets,"258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","262,831,000","279,277,000","295,724,000",,,,,,
			Goodwill,"258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000","258,207,000",,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,"4,624,000","21,070,000","37,517,000",,,,,,
		InvestmentProperties,"17,025,640,000","16,935,322,000","16,653,447,000","16,333,324,000","16,285,049,000","16,288,693,000","16,132,101,000","16,117,737,000","16,216,490,000","16,243,192,000","16,218,701,000","16,463,527,000","16,509,876,000","16,686,060,000","16,802,352,000","17,122,086,000","17,199,979,000","17,312,264,000","8,921,243,000","8,915,560,000","8,926,716,000","9,002,515,000","9,067,075,000","9,052,701,000"
		InvestmentsAndAdvances,"337,921,000","303,905,000","318,423,000","343,678,000","363,206,000","361,693,000","379,612,000","381,266,000","382,903,000","371,769,000","382,490,000","387,114,000","414,684,000","423,221,000","449,527,000","540,204,000","481,291,000","435,623,000","230,619,000","230,498,000","209,386,000","209,337,000",,"193,045,000"
			LongTermEquityInvestment,"162,433,000","130,395,000","93,096,000","77,523,000","73,849,000","69,267,000","53,756,000","54,152,000","54,629,000","54,778,000","55,661,000","56,026,000","56,438,000","56,622,000","56,667,000","56,823,000","56,940,000","57,078,000",,,,,,
				InvestmentsinAssociatesatCost,,,,,,"69,267,000",,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"162,433,000","130,395,000","93,096,000","77,523,000","73,849,000","69,267,000","53,756,000","54,152,000","54,629,000","54,778,000","55,661,000","56,026,000","56,438,000","56,622,000","56,667,000","56,823,000","56,940,000","57,078,000",,,,,,
