name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
OperatingCashFlow,"382,283,000","147,388,000","115,793,000","67,379,000","51,723,000","51,650,000","23,828,000","36,270,000","24,738,000","24,255,000","17,430,000","3,824,000","-438,000","3,418,000","-4,555,000","4,749,000"
	CashFlowFromContinuingOperatingActivities,"382,283,000","147,388,000","115,793,000","67,379,000","51,723,000","51,650,000","23,828,000","36,270,000","24,738,000","24,255,000","17,430,000","3,824,000","-438,000","3,418,000","-4,555,000","4,749,000"
		NetIncomeFromContinuingOperations,"2,061,000","9,738,000","7,169,000","-5,484,000","-9,362,000","-13,068,000","-16,160,000","-15,150,000","284,000","6,479,000","891,000","-4,161,000","-3,949,000","-9,491,000","-6,587,000","-4,673,000"
		OperatingGainsLosses,"1,094,000","823,000","16,000","102,000","153,000","3,000","6,000","-4,000","6,000","2,000","266,000","438,000","0","4,000","10,000","-4,000"
			GainLossOnSaleOfPPE,"1,094,000","823,000","16,000","102,000","153,000","3,000","6,000","-4,000","6,000","2,000","266,000","438,000","0","4,000","10,000","-4,000"
		DepreciationAmortizationDepletion,"25,930,000","7,394,000","6,876,000","6,197,000","5,463,000","4,402,000","4,083,000","3,972,000","3,707,000","3,688,000","3,594,000","4,007,000","2,658,000","2,111,000","1,787,000","1,743,000"
			DepreciationAndAmortization,"25,930,000","7,394,000","6,876,000","6,197,000","5,463,000","4,402,000","4,083,000","3,972,000","3,707,000","3,688,000","3,594,000","4,007,000","2,658,000","2,111,000","1,787,000","1,743,000"
		AmortizationOfSecurities,"15,936,000","3,959,000","4,407,000","3,716,000","3,854,000","4,259,000","4,409,000","3,884,000","1,216,000","244,000","12,000",,,"0",,
		ProvisionandWriteOffofAssets,"3,084,000","798,000","1,085,000","699,000","502,000","25,000","627,000","655,000","928,000","1,073,000","360,000","282,000","479,000","74,000","192,000","160,000"
		StockBasedCompensation,"201,760,000","66,884,000","56,366,000","43,995,000","34,515,000","28,861,000","24,764,000","20,716,000","16,834,000","12,060,000","9,018,000","4,677,000","2,894,000","2,445,000","2,193,000","1,308,000"
		OtherNonCashItems,"41,063,000","11,273,000","10,744,000","10,086,000","8,960,000","8,626,000","15,336,000","14,236,000","8,251,000","5,411,000","5,072,000","5,224,000","5,722,000","1,145,000","865,000","725,000"
		ChangeInWorkingCapital,"91,355,000","46,519,000","29,130,000","8,068,000","7,638,000","18,542,000","-9,237,000","7,961,000","-6,488,000","-4,702,000","-1,783,000","-6,643,000","-8,242,000","7,130,000","-3,015,000","5,490,000"
			ChangeInReceivables,"-123,654,000","-7,319,000","-45,232,000","-36,972,000","-34,131,000","9,223,000","-42,995,000","2,431,000","-16,568,000","-7,116,000","-15,286,000","-20,045,000","-4,594,000","-7,585,000","-16,745,000","5,685,000"
				ChangesInAccountReceivables,"-123,654,000","-7,319,000","-45,232,000","-36,972,000","-34,131,000","9,223,000","-42,995,000","2,431,000","-16,568,000","-7,116,000","-15,286,000","-20,045,000","-4,594,000","-7,585,000","-16,745,000","5,685,000"
			ChangeInPrepaidAssets,"-3,130,000","-8,391,000","204,000","1,596,000","3,461,000","-5,998,000","2,418,000","-340,000","-5,077,000","-1,404,000","-570,000","2,730,000","-3,714,000","-8,492,000","-585,000","823,000"
			ChangeInPayablesAndAccruedExpense,"29,357,000","-10,535,000","8,690,000","16,978,000","14,224,000","456,000","-2,781,000","8,950,000","3,706,000","634,000","6,637,000","3,351,000","-17,060,000","15,932,000","6,964,000","5,063,000"
				ChangeInPayable,"4,680,000","-7,624,000","-9,354,000","5,060,000","16,598,000","-9,226,000","133,000","3,714,000","4,083,000","-1,391,000","-1,729,000","-3,260,000","-7,051,000","14,524,000","2,427,000","1,250,000"
					ChangeInAccountPayable,"4,680,000","-7,624,000","-9,354,000","5,060,000","16,598,000","-9,226,000","133,000","3,714,000","4,083,000","-1,391,000","-1,729,000","-3,260,000","-7,051,000","14,524,000","2,427,000","1,250,000"
				ChangeInAccruedExpense,"24,677,000","-2,911,000","18,044,000","11,918,000","-2,374,000","9,682,000","-2,914,000","5,236,000","-377,000","2,025,000","8,366,000","6,611,000","-10,009,000","1,408,000","4,537,000","3,813,000"
			ChangeInOtherCurrentAssets,"-4,004,000","-805,000","-783,000","-912,000","-1,504,000","572,000","1,573,000","310,000","-1,834,000","919,000","-6,000","-4,451,000","4,190,000","-8,219,000","-2,016,000","-984,000"
			ChangeInOtherWorkingCapital,"192,786,000","73,569,000","66,251,000","27,378,000","25,588,000","14,289,000","32,548,000","-3,390,000","13,285,000","2,265,000","7,442,000","11,772,000","12,936,000","15,494,000","9,367,000","-5,097,000"
InvestingCashFlow,"-514,804,000","-150,354,000","-146,035,000","-31,676,000","-186,739,000","90,710,000","-8,691,000","-48,833,000","-665,295,000","-429,805,000","-185,349,000","-7,484,000","-5,094,000","-4,293,000","-3,093,000","-5,228,000"
	CashFlowFromContinuingInvestingActivities,"-514,804,000","-150,354,000","-146,035,000","-31,676,000","-186,739,000","90,710,000","-8,691,000","-48,833,000","-665,295,000","-429,805,000","-185,349,000","-7,484,000","-5,094,000","-4,293,000","-3,093,000","-5,228,000"
		CapitalExpenditureReported,"-27,859,000","-7,973,000","-6,705,000","-6,972,000","-6,209,000","-6,183,000","-6,097,000","-6,217,000","-4,737,000","-3,417,000","-3,070,000","-2,650,000","-2,312,000","-2,096,000","-1,636,000","-1,953,000"
		NetPPEPurchaseAndSale,"-18,472,000","-9,514,000","-2,405,000","-3,324,000","-3,229,000","-998,000","-1,079,000","-1,412,000","-1,398,000","-1,526,000","-3,502,000","-4,834,000","-2,782,000","-2,197,000","-1,457,000","-1,657,000"
			PurchaseOfPPE,"-18,472,000","-9,514,000","-2,405,000","-3,324,000","-3,229,000","-998,000","-1,079,000","-1,412,000","-1,398,000","-1,526,000","-3,502,000","-4,834,000","-2,782,000","-2,197,000","-1,457,000","-1,657,000"
		NetIntangiblesPurchaseAndSale,,,,,,,"-6,097,000","-6,217,000","-4,737,000","-3,417,000","-3,070,000","-2,650,000","-2,312,000","-2,096,000","-1,636,000","-1,953,000"
			PurchaseOfIntangibles,,,,,,,"-6,097,000","-6,217,000","-4,737,000","-3,417,000","-3,070,000","-2,650,000","-2,312,000","-2,096,000","-1,636,000","-1,953,000"
		NetBusinessPurchaseAndSale,"-219,867,000","-4,871,000","-26,303,000","146,000","-188,839,000","-11,509,000","0","0","-2,363,000",,"-2,138,000","0",,,"0","-1,618,000"
			PurchaseOfBusiness,"-219,867,000","-4,871,000","-26,303,000","146,000","-188,839,000","-11,509,000","0","0","-2,363,000",,"-2,138,000","0",,,"0","-1,618,000"
			SaleOfBusiness,,,,"146,000",,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-248,606,000","-127,996,000","-110,622,000","-21,526,000","11,538,000","109,400,000","-1,515,000","-41,204,000","-656,797,000","-424,862,000","-176,639,000",,,"0",,
			PurchaseOfInvestment,"-1,304,894,000","-329,706,000","-228,107,000","-406,429,000","-340,652,000","-150,331,000","-317,499,000","-273,550,000","-776,031,000","-427,482,000","-176,639,000",,,"0",,
			SaleOfInvestment,"1,056,288,000","201,710,000","117,485,000","384,903,000","352,190,000","259,731,000","315,984,000","232,346,000","119,234,000","2,620,000",,,,"0",,
FinancingCashFlow,"36,152,000","4,242,000","14,740,000","4,489,000","12,681,000","3,030,000","11,058,000","4,527,000","652,031,000","2,660,000","-1,749,000","710,924,000","3,265,000","1,776,000","949,000","2,757,000"
	CashFlowFromContinuingFinancingActivities,"36,152,000","4,242,000","14,740,000","4,489,000","12,681,000","3,030,000","11,058,000","4,527,000","652,031,000","2,660,000","-1,749,000","710,924,000","3,265,000","1,776,000","949,000","2,757,000"
		NetIssuancePaymentsOfDebt,"-3,000","-3,000","0","0","0",,"0","-474,000","730,681,000",,,,,,,
			NetLongTermDebtIssuance,"-3,000","-3,000","0","0","0",,"0","-474,000","730,681,000",,,,,,,
				LongTermDebtIssuance,,,"0","0","0",,"0","-474,000","730,681,000",,,,,,,
				LongTermDebtPayments,,"-3,000",,,,,,"-474,000",,,,,,,,
		NetCommonStockIssuance,,,,"0","0","0","0","0","-268,000",,"-2,342,000",,,,,
			CommonStockIssuance,,,,"0",,,"0","0",,,"-2,342,000",,,,,
			CommonStockPayments,,,,,"0","0","0","0","-268,000",,,,,,,
		ProceedsFromStockOptionExercised,"36,155,000","4,245,000","14,740,000","4,489,000","12,681,000","3,275,000","11,121,000","5,119,000","12,102,000","2,813,000","593,000","2,109,000","3,421,000","1,776,000","949,000","2,757,000"
		NetOtherFinancingCharges,,,"0","0","0","-245,000","-63,000","-118,000","-90,331,000","-153,000",,,,,,
EndCashPosition,"276,950,000","275,110,000","274,463,000","290,538,000","251,104,000","373,319,000","228,711,000","202,130,000","209,660,000","198,158,000","601,189,000","770,927,000","63,591,000","65,794,000","64,980,000","71,645,000"
