name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011
OperatingCashFlow,"791,800,000","24,800,000","449,000,000","285,700,000","32,300,000","-186,300,000","430,100,000","42,600,000","-255,400,000","-257,500,000","422,100,000","39,900,000","188,200,000","213,700,000","319,600,000","-81,900,000","224,800,000","-118,900,000","316,700,000","-8,900,000","50,800,000","43,300,000","678,400,000","-15,000,000","56,100,000","-71,800,000","400,400,000","116,700,000","138,100,000","33,200,000","328,800,000","26,200,000","93,400,000","-4,200,000","346,100,000","101,200,000","101,400,000","67,300,000","319,900,000","-24,700,000","182,600,000","62,500,000","306,400,000","37,800,000","44,000,000"
	CashFlowFromContinuingOperatingActivities,"791,800,000","24,800,000","449,000,000","285,700,000","32,300,000","-186,300,000","430,100,000","42,600,000","-255,400,000","-257,500,000","422,100,000","39,900,000","188,200,000","213,700,000","319,600,000","-81,900,000","224,800,000","-118,900,000","316,700,000","-8,900,000","50,800,000","43,300,000","678,400,000","-15,000,000","56,100,000","-71,800,000","400,400,000","116,700,000","138,100,000","33,200,000","328,800,000","26,200,000","93,400,000","-4,200,000","346,100,000","101,200,000","101,400,000","67,300,000","319,900,000","-24,700,000","182,600,000","62,500,000","306,400,000","37,800,000","44,000,000"
		NetIncomeFromContinuingOperations,"357,100,000","55,000,000","263,700,000","228,900,000","-190,500,000","12,700,000","-254,600,000","227,300,000","-778,200,000","-264,400,000","-16,400,000","56,300,000","-2,799,500,000","-4,000,000","-956,000,000","-10,100,000","-170,200,000","-60,100,000","118,600,000","-16,100,000","-301,000,000","-159,400,000","52,100,000","9,800,000","-31,200,000","-20,300,000","97,600,000","133,100,000","25,600,000","82,200,000","134,900,000","16,700,000","-12,800,000","-246,700,000","93,100,000","102,200,000","-56,200,000","29,900,000","133,400,000","94,800,000","-351,300,000","-158,200,000","101,500,000","114,700,000","3,700,000"
		OperatingGainsLosses,"-927,600,000","-71,600,000","-220,200,000","-389,200,000","-246,600,000","-37,700,000","239,500,000","19,000,000","-40,800,000","41,900,000","9,300,000","-75,500,000","2,200,000","9,100,000","9,100,000","9,100,000","38,400,000","11,100,000","11,100,000","11,100,000","5,800,000","16,200,000","22,000,000","6,500,000","-20,000,000","-1,700,000","6,100,000","3,100,000","-27,800,000","26,600,000","4,600,000","94,400,000","4,000,000","4,600,000","4,800,000","4,500,000","2,900,000","4,600,000","-14,900,000","4,200,000",,,"3,700,000","3,400,000",
			GainLossOnSaleOfBusiness,"-252,700,000",,,,"-246,600,000","27,500,000","219,100,000","0","-27,000,000","0","0","-84,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"900,000","10,900,000","-6,000,000","-3,900,000","-100,000","-4,900,000","14,800,000","16,900,000","-3,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-59,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,"-389,400,000","-9,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"21,400,000","3,400,000","4,400,000","4,100,000","9,500,000","600,000","5,600,000","2,100,000","-10,500,000","8,100,000","9,300,000","9,000,000","2,200,000","9,100,000","9,100,000","9,100,000","-900,000","11,100,000","11,100,000","11,100,000","8,900,000","16,200,000","22,000,000","6,500,000","-100,000","3,200,000","3,000,000","3,100,000","500,000","5,500,000","4,600,000","5,600,000","4,000,000","4,600,000","4,800,000","4,500,000","2,900,000","4,600,000","4,400,000","4,200,000",,,"3,700,000","3,400,000",
		DepreciationAmortizationDepletion,"538,700,000","121,900,000","129,800,000","137,800,000","149,200,000","146,400,000","143,500,000","146,200,000","168,800,000","190,400,000","152,000,000","205,300,000","185,700,000","182,600,000","182,100,000","185,600,000","193,500,000","193,000,000","181,800,000","168,700,000","140,200,000","184,600,000","170,400,000","59,900,000","61,000,000","58,100,000","55,400,000","57,500,000","58,300,000","55,900,000","57,900,000","58,800,000","62,500,000","61,600,000","61,800,000","64,800,000","68,700,000","65,900,000","63,600,000","61,400,000","67,300,000","58,600,000","60,100,000","60,000,000","59,600,000"
