name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
OperatingCashFlow,"-79,540,000","-24,712,000","-14,856,000","-23,466,000","-16,506,000","-18,604,000","-6,728,000","-9,539,000","-13,097,000","-17,048,000","-9,067,000","-9,412,000","-6,698,000","-7,944,000","-9,088,000","-7,809,000","-3,411,000","-5,300,000","-615,000","-1,639,000","-424,000","-6,051,000","-9,833,000","-10,198,000","9,862,000","210,000","4,558,000","2,168,000","5,621,000","-2,223,000","13,000","4,766,000","-8,669,000","-16,381,000","1,138,000","4,187,000","2,818,000","-336,000","-298,000","8,317,000","5,005,000","-1,431,000","2,299,000","6,553,000","2,944,000","1,612,000","-1,680,000","-1,905,000","-8,747,000","-2,501,000","-2,511,000","897,000","2,425,000","-6,359,000","-1,304,000","-4,100,000","-9,751,000","-4,324,000","-6,383,000","-2,173,000","250,000","-4,931,000","-2,240,000","-1,689,000","-2,790,564","-1,873,436"
	CashFlowFromContinuingOperatingActivities,"-79,540,000","-24,712,000","-14,856,000","-23,466,000","-16,506,000","-18,604,000","-6,728,000","-9,539,000","-13,097,000","-17,048,000","-9,067,000","-9,412,000","-6,698,000","-7,944,000","-9,088,000","-7,809,000","-3,411,000","-5,300,000","-615,000","-1,639,000","-424,000","-6,051,000","-9,833,000","-10,198,000","9,862,000","210,000","4,558,000","2,168,000","5,621,000","-2,223,000","13,000","4,766,000","-8,669,000","-16,381,000","1,138,000","4,187,000","2,818,000","-336,000","-298,000","8,317,000","5,005,000","-1,431,000","2,299,000","6,553,000","2,944,000","1,612,000","-1,680,000","-1,905,000","-8,747,000","-2,501,000","-2,511,000","897,000","2,425,000","-6,359,000","-1,304,000","-4,100,000","-9,751,000","-4,324,000","-6,383,000","-2,173,000","250,000","-4,931,000","-2,240,000","-1,689,000","-2,790,564","-1,873,436"
		NetIncomeFromContinuingOperations,"-164,267,000","-42,844,000","-40,187,000","-43,031,000","-38,205,000","-22,903,000","-26,798,000","-15,669,000","-15,805,000","-20,722,000","-17,031,000","-14,567,000","-12,436,000","-12,968,000","-10,628,000","-9,355,000","-7,076,000","-1,916,000","9,055,000","-3,137,000","-2,697,000","-5,515,000","-4,354,000","-13,721,000","-5,233,000","-6,617,000","-9,903,000","-160,265,000","-3,947,000","-4,561,000","-273,000","-3,041,000","-2,895,000","-6,673,000","-60,407,000","-14,510,000","-4,661,000","-2,649,000",,,,,,,,"-1,867,000","-2,876,000","-3,790,000","-2,979,000","-4,710,000","-1,320,000","-1,283,000","-6,303,000","-4,383,000","-5,058,000","-4,860,000","-3,591,000","-15,779,000","-11,247,000","-5,578,000","-703,000","-2,674,000","-11,324,000","-5,438,000","-3,177,548","-5,876,452"
		OperatingGainsLosses,"9,515,000","474,000","1,007,000","7,714,000","320,000","369,000","6,274,000","137,000","1,667,000","32,000","-351,000","412,000","341,000","-275,000","995,000","10,000","-154,000","-131,000","-12,806,000","1,043,000",,,"-2,574,000",,,,,,,,,,,,,,,,,,,,,"0",,,"0","-188,000",,,"132,000","-59,000",,,,,,,,"0",,,,"-89,000","-683,456","2,608,456"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"-856,000",,,,"-2,574,000",,,,,,,,,,,,,,,,,,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"217,000","137,000","112,000","32,000","-351,000","412,000","341,000","-275,000","405,000","10,000","-154,000","-131,000","-762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"132,000","-59,000",,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,"-131,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"35,180,000","9,878,000","9,458,000","8,372,000","7,472,000","4,872,000","2,957,000","3,092,000","2,870,000","2,713,000","2,476,000","2,161,000","1,869,000","2,002,000","1,723,000","1,591,000","1,589,000","1,886,000","1,945,000","1,798,000","1,870,000","1,868,000","1,961,000","3,022,000","3,497,000","3,884,000","4,932,000","4,512,000","5,425,000","4,162,000","4,379,000","4,451,000","4,704,000","4,851,000","6,313,000","7,375,000","6,330,000","6,259,000","6,369,000","5,800,000","5,820,000","5,803,000","4,937,000","4,957,000","4,979,000","5,003,000","4,795,000","4,614,000","4,275,000","3,562,000","3,312,000","3,146,000","2,897,000","2,601,000","2,816,000","2,242,000","1,638,000","2,035,000","2,942,000","2,742,000","2,527,000","2,410,000","3,881,000","1,979,000","1,692,071","1,462,929"
			DepreciationAndAmortization,"35,180,000","9,878,000","9,458,000","8,372,000","7,472,000","4,872,000","2,957,000","3,092,000","2,870,000","2,713,000","2,476,000","2,161,000","1,869,000","2,002,000","1,723,000","1,591,000","1,589,000","1,886,000","1,945,000","1,798,000","1,870,000","1,868,000","1,961,000","3,022,000","3,497,000","3,884,000","4,932,000","4,512,000","5,425,000","4,162,000","4,379,000","4,451,000","4,704,000","4,851,000","6,313,000","7,375,000","6,330,000","6,259,000","6,369,000","5,800,000","5,820,000","5,803,000","4,937,000","4,957,000","4,979,000","5,003,000","4,795,000","4,614,000","4,275,000","3,562,000","3,312,000","3,146,000","2,897,000","2,601,000","2,816,000","2,242,000","1,638,000","2,035,000","2,942,000","2,742,000","2,527,000","2,410,000","3,881,000","1,979,000","1,692,071","1,462,929"
				Depreciation,"35,180,000","9,878,000","9,458,000","8,372,000","7,472,000","4,872,000","2,957,000","3,092,000","2,870,000","2,713,000","2,476,000","2,161,000","1,869,000","2,002,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
