name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
MarketCap,"345,788,059","404,448,534","397,587,659","387,639,392","392,098,960","331,292,545","287,864,873","233,910,358","228,018,191","175,302,631","308,335,973","295,872,749","275,312,970","256,827,752","208,084,638","264,108,540","242,079,849","229,036,765","245,282,396","248,096,965","254,404,980","242,164,548","239,612,761","189,790,150","169,013,615","174,224,478","171,285,156","171,800,086","166,939,813","185,603,009","173,671,323","184,171,403","211,261,609","211,681,612","200,971,531","183,331,396","171,571,307","193,201,472","171,361,305","183,751,400","165,691,262","170,311,297","160,529,416","144,329,200","194,402,596","237,953,827","242,372,067","237,112,257","227,434,206","248,263,055","162,163,444","188,312,035","158,789,432","132,008,213","170,598,473","321,374,627","321,374,627","394,548,509","300,015,133","288,165,444","312,562,957","290,072,493","292,277,436","270,833,226","243,511,524","243,698,390","241,775,943","254,894,150","264,502,134","239,754,382","267,300,687","256,134,962","203,785,896","226,457,038","225,329,213","196,091,865","206,271,365","162,962,435","165,883,270","170,012,726","181,796,784","179,071,168","186,113,293"
PeRatio,"4.8","4.697","4.563","5.979","6.212","33.067",,,,"6.771","14.603","81.25","34.741","31.069","10.58","7.422","8.411","9.556","13.746","7.037","7.281","10.429","19.163",,,,"18.275","4.727","13.167","176.2","15.604","10.963","6.06","6.184","6.255","20.302","272.333","115","102",,,,,,,,"19.862","14.449","14.224","14.568","8.451","49.611",,,,,,,"18.9","12.675","13.624","13.688","11.362","11.707","11.378","12.385","16.075","16.955","19.5","15.157","17.955","22.265","16.653","24.9","22.806","17.844","18.45","14.844","18.931","22.507",,,
ForwardPeRatio,"11.862","12.407","14.493","14.493","14.663","10.02","11.074","9.259","9.141","8.643","11.82","11.468","10.905",,,,,,,,"11.696","11.299",,,,"8.865","8.703","9.681",,,,,"4.697","4.706","4.815","14.663","17.606","19.084","17.094","12.24","16","9.32","8.292","7.536","10.122","12.5","12.987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,"2.898","4.829","4.885",,,,,,,,,,,,,,,,"3.901","3.766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"4.151","4.182","4.066","5.083","5.274","15.579","32.752","52.064",,"4.505","8.691","15.75","12.657","12.456","6.315","5.376","5.762","6.33","7.762","5.206","5.309","6.527","8.815","5.691","4.873","13.147","7.33","3.536","6.319","12.709","7.133","6.218","4.595","4.73","4.706","3.834","4.345","4.646","4.121","5.75","5.226","5.575","5.282","4.749","6.104","7.866","7.82","7.62","7.198","7.459","4.569","5.432","4.375","3.552","4.161","8.019","8.533","10.014","11.512","7.978","8.761","9.761","9.001","9.516","9.248","12.199","12.179","12.845","13.167","11.569","13.207","13.874","11.203","14.296","14.611","13.271","13.998","11.973","14.003","16.414","147.174","145.136","150.843"
PbRatio,"1.062","1.249","1.249","1.326","1.447","1.341","1.232","1.031","1.046","0.699","1.237","1.202","1.194","1.148","0.878","1.105","1.074","1.025","1.117","1.156","1.196","1.135","1.191","1.023","0.913","0.887","0.895","0.856","0.83","0.949","0.87","1.018","1.028","0.998","0.976","1.015","0.917","1.004","0.89","0.983","0.82","0.819","0.75","0.675","0.894","1.012","0.981","0.951","0.915","0.975","0.645","0.756","0.635","0.517","0.672","1.183","1.091","1.311","1.128","1.339","1.846","1.705","1.694","1.706","1.534","1.558","1.595","1.681","1.72","1.555","1.745","1.683","1.56","1.763","1.747","1.499","1.57","1.235","1.269","1.301","1.4","1.371","1.425"
