name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"133,144,000","32,782,000","33,038,000","33,677,000","33,647,000","30,896,000","26,332,000","24,194,000","21,173,000","20,200,000","18,963,000","17,674,000","15,891,000","14,951,000","16,634,000","15,982,000","15,276,000","14,991,000","10,995,000","9,499,000","7,930,000","7,653,000","7,478,000","7,058,000","6,791,000","7,040,000","6,842,000","6,428,000","5,907,000","4,688,000"
	SellingGeneralAndAdministration,"47,834,000","11,869,000","12,082,000","11,310,000","12,573,000","10,572,000","8,808,000","7,593,000","7,476,000","7,625,000","5,499,000","5,134,000","4,451,000","4,569,000","4,550,000","4,321,000","3,800,000","3,425,000","2,876,000","2,357,000","2,278,000","2,140,000","1,975,000","1,742,000","1,855,000","2,391,000","1,729,000","1,793,000","1,506,000","1,060,000"
		GeneralAndAdministrativeExpense,"47,834,000","11,869,000","12,082,000","11,310,000","12,573,000","10,572,000","8,808,000","7,593,000","7,476,000","7,625,000","5,499,000","5,134,000","4,451,000","4,569,000","4,550,000","4,321,000","3,800,000","3,425,000","2,876,000","2,357,000","2,278,000","2,140,000","1,975,000","1,742,000","1,855,000","2,391,000","1,729,000","1,793,000","1,506,000","1,060,000"
			OtherGandA,"47,834,000","11,869,000","12,082,000","11,310,000","12,573,000","10,572,000","8,808,000","7,593,000","7,476,000","7,625,000","5,499,000","5,134,000","4,451,000","4,569,000","4,550,000","4,321,000","3,800,000","3,425,000","2,876,000","2,357,000","2,278,000","2,140,000","1,975,000","1,742,000","1,855,000","2,391,000","1,729,000","1,793,000","1,506,000","1,060,000"
	ResearchAndDevelopment,"85,310,000","20,913,000","20,956,000","22,367,000","21,074,000","20,324,000","17,524,000","16,601,000","13,697,000","12,575,000","13,464,000","12,540,000","11,440,000","10,382,000","12,084,000","11,661,000","11,476,000","11,566,000","8,119,000","7,142,000","5,652,000","5,513,000","5,503,000","5,316,000","4,936,000","4,649,000","5,113,000","4,635,000","4,401,000","3,628,000"
OperatingIncome,"-133,144,000","-32,782,000","-33,038,000","-33,677,000","-33,647,000","-30,896,000","-26,332,000","-24,194,000","-21,173,000","-20,200,000","-18,963,000","-17,674,000","-15,891,000","-14,951,000","-16,634,000","-15,982,000","-15,276,000","-14,991,000","-10,995,000","-9,499,000","-7,930,000","-7,653,000","-7,478,000","-7,058,000","-6,791,000","-7,040,000","-6,842,000","-6,428,000","-5,907,000","-4,688,000"
NetNonOperatingInterestIncomeExpense,"919,000","329,000","295,000","311,000","-16,000","194,000","161,000","413,000","674,000","975,000","1,084,000","1,251,000","874,000","885,000","855,000","795,000","357,000","192,000","52,000","-29,000","-85,000","-75,000","-64,000","-63,000","-65,000","114,000","68,000","38,000","22,000","-88,000"
	InterestIncomeNonOperating,"1,225,000","329,000","295,000","311,000","290,000","302,000","305,000","559,000","818,000","1,119,000","1,226,000","1,396,000","1,022,000","1,030,000","1,048,000","1,047,000","624,000","450,000","302,000","197,000","124,000","128,000","130,000","131,000","124,000","114,000","68,000","38,000","22,000","0"
	InterestExpenseNonOperating,"306,000","0","0","0","306,000","108,000","144,000","146,000","144,000","144,000","142,000","145,000","148,000","145,000","193,000","252,000","267,000","258,000","250,000","226,000","209,000","203,000","194,000","194,000","189,000","0","0","0","0","88,000"
