name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"15,086,000,000","3,052,000,000","4,620,000,000","3,724,000,000","3,690,000,000","3,100,000,000","3,770,000,000","2,976,000,000","2,420,000,000","1,612,000,000","2,362,000,000","2,241,000,000","2,144,000,000","1,722,000,000","1,693,000,000","2,085,000,000","2,123,000,000","1,693,000,000","762,000,000","2,265,000,000","2,887,000,000","2,217,000,000","2,507,000,000","2,517,000,000","2,482,000,000","2,048,000,000","2,284,000,000","2,392,000,000","2,395,000,000","2,061,000,000","1,193,000,000","2,383,000,000","2,359,000,000","2,089,000,000","2,071,000,000","2,174,000,000","2,279,000,000","2,050,000,000","2,235,000,000","2,039,900,000","1,736,900,000","1,189,900,000","1,149,000,000","1,240,000,000","1,324,500,000","1,208,200,000","1,606,900,000","1,424,500,000","1,495,500,000","1,213,400,000","1,455,311,000","1,467,093,000","1,569,712,000","1,357,483,000","1,022,454,000","989,683,000","1,179,798,000","1,137,975,000","1,296,102,000","1,364,169,000","1,494,677,000","1,369,062,000","4,980,516,000","1,507,032,000","1,556,561,000","1,393,264,000","1,586,543,000","1,776,885,000","1,684,838,000","1,265,220,000","1,410,535,000","1,562,630,000"
	OperatingRevenue,"15,086,000,000","3,052,000,000","4,620,000,000","3,724,000,000","3,690,000,000","3,100,000,000","3,770,000,000","2,976,000,000","2,420,000,000","1,612,000,000","2,362,000,000","2,241,000,000","2,144,000,000","1,722,000,000","1,693,000,000","2,085,000,000","2,123,000,000","1,693,000,000","762,000,000","2,265,000,000","2,887,000,000","2,217,000,000","2,507,000,000","2,517,000,000","2,482,000,000","2,048,000,000","2,284,000,000","2,392,000,000","2,395,000,000","2,061,000,000","1,193,000,000","2,383,000,000","2,359,000,000","2,089,000,000","2,071,000,000","2,174,000,000","2,279,000,000","2,050,000,000","2,235,000,000","2,039,900,000","1,736,900,000","1,189,900,000","1,149,000,000","1,240,000,000","1,324,500,000","1,208,200,000","1,606,900,000","1,424,500,000","1,495,500,000","1,213,400,000","1,455,311,000","1,467,093,000","1,569,712,000","1,357,483,000","1,022,454,000","989,683,000","1,179,798,000","1,137,975,000","1,296,102,000","1,364,169,000","1,494,677,000","1,369,062,000","4,980,516,000","1,507,032,000","1,556,561,000","1,393,264,000","1,586,543,000","1,776,885,000","1,684,838,000","1,265,220,000","1,410,535,000","1,562,630,000"
NetNonOperatingInterestIncomeExpense,"-116,000,000","-30,000,000","-31,000,000","-27,000,000","-28,000,000","-28,000,000","-28,000,000","-29,000,000","-21,000,000","-12,000,000","-11,000,000","-12,000,000","-12,000,000","-12,000,000","-12,000,000","-9,000,000","-11,000,000","-11,000,000","-1,000,000","-12,000,000","-29,000,000","-35,000,000","-34,000,000","-35,000,000","-33,000,000","-34,000,000","-34,000,000","-34,000,000","-32,000,000","-31,000,000","-16,000,000","-37,000,000","-38,000,000","-36,000,000","-22,000,000","-27,000,000","-21,000,000","-23,000,000","-24,200,000","-19,700,000","-15,400,000","-15,100,000","-15,100,000","-14,000,000","-13,800,000","-14,300,000","-13,700,000","-12,900,000","-12,500,000","-7,100,000","-8,345,000","-7,938,000","-11,630,000","-14,766,000","-17,854,000","-16,081,000","-16,218,000","-18,636,000","-17,747,000","-12,782,000","-12,435,000","-11,977,000","-173,510,000","-12,762,000","-12,374,000","-11,326,000","-11,270,000","-4,669,000","-421,000","-303,000","-799,000","-830,000"
	InterestExpenseNonOperating,"116,000,000","30,000,000","31,000,000","27,000,000","28,000,000","28,000,000","28,000,000","29,000,000","21,000,000","12,000,000","11,000,000","12,000,000","12,000,000","12,000,000","12,000,000","9,000,000","11,000,000","11,000,000","1,000,000","12,000,000","29,000,000","35,000,000","34,000,000","35,000,000","33,000,000","34,000,000","34,000,000","34,000,000","32,000,000","31,000,000","16,000,000","37,000,000","38,000,000","36,000,000","22,000,000","27,000,000","21,000,000","23,000,000","24,200,000","19,700,000","15,400,000","15,100,000","15,100,000","14,000,000","13,800,000","14,300,000","13,700,000","12,900,000","12,500,000","7,100,000","8,345,000","7,938,000","11,630,000","14,766,000","17,854,000","16,081,000","16,218,000","18,636,000","17,747,000","12,782,000","12,435,000","11,977,000","173,510,000","12,762,000","12,374,000","11,326,000","11,270,000","4,669,000","421,000","303,000","799,000","830,000"
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,"269,000,000","288,000,000","273,000,000","300,000,000","273,000,000","292,000,000","293,000,000","328,000,000","349,000,000","371,000,000","364,000,000","-511,000,000","633,000,000","658,000,000","656,000,000","664,000,000","602,000,000","631,000,000","640,000,000","633,000,000","440,900,000","252,900,000","381,600,000",,"36,700,000","106,800,000","92,800,000","-873,800,000","447,100,000","437,500,000","380,800,000","412,922,000","436,881,000","473,143,000","416,739,000","385,969,000","390,515,000","386,999,000","315,613,000","641,744,000","229,554,000","399,207,000","351,978,000","3,642,112,000","322,413,000","299,529,000","264,557,000","3,109,262,000","368,007,000","333,474,000","273,066,000","3,003,252,000","296,011,000"
PretaxIncome,"2,878,000,000","552,000,000","687,000,000","926,000,000","713,000,000","757,000,000","930,000,000","539,000,000","401,000,000","-86,000,000","439,000,000","313,000,000","353,000,000","264,000,000","61,000,000","287,000,000","275,000,000","127,000,000","3,000,000","221,000,000","530,000,000","161,000,000","362,000,000","271,000,000","308,000,000","131,000,000","224,000,000","238,000,000","254,000,000","151,000,000","153,000,000","154,000,000","168,000,000","-79,000,000","123,000,000","168,000,000","223,000,000","138,000,000","214,100,000","300,700,000","223,000,000","105,600,000","139,500,000","97,000,000","110,000,000","82,300,000","178,900,000","127,500,000","213,100,000","42,900,000","105,945,000","108,299,000","131,191,000","141,000","-22,413,000","-322,874,000","13,527,000","38,048,000","-79,187,000","2,695,000","126,118,000","126,887,000","476,689,000","161,250,000","181,979,000","123,284,000","204,907,000","272,571,000","259,297,000","131,529,000","229,967,000","214,948,000"
TaxProvision,"702,000,000","155,000,000","158,000,000","213,000,000","176,000,000","166,000,000","128,000,000","133,000,000","89,000,000","-28,000,000","98,000,000","59,000,000","86,000,000","65,000,000","16,000,000","51,000,000","22,000,000","31,000,000","-120,000,000","74,000,000","226,000,000","78,000,000","127,000,000","95,000,000","101,000,000","49,000,000","71,000,000","81,000,000","88,000,000","50,000,000","233,000,000","59,000,000","57,000,000","-37,000,000","33,000,000","54,000,000","72,000,000","46,000,000","57,900,000","70,600,000","81,300,000","36,900,000","39,000,000","31,600,000","39,600,000","29,600,000","51,400,000","44,600,000","76,300,000","13,300,000","38,720,000","34,307,000","34,053,000","-11,000","-13,396,000","-125,488,000","1,167,000","12,175,000","-34,665,000","-4,075,000","40,471,000","45,045,000","185,261,000","57,241,000","64,603,000","43,766,000","78,577,000","102,137,000","97,774,000","48,863,000","84,615,000","78,671,000"
EarningsFromEquityInterestNetOfTax,"53,000,000","2,000,000","10,000,000","27,000,000","14,000,000","13,000,000","6,000,000","7,000,000","1,000,000","1,000,000","3,000,000","2,000,000","3,000,000","7,000,000","1,000,000","1,000,000","1,000,000","2,000,000","17,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000","-7,000,000","-1,000,000","2,000,000","0","-19,000,000","4,000,000","-1,000,000","475,000,000","-7,000,000","-5,000,000","-31,000,000","-6,000,000","-14,000,000","-3,000,000","-3,000,000","-2,900,000","5,000,000","2,000,000","5,800,000","2,000,000","3,700,000","12,600,000","-8,600,000","5,000,000","900,000","3,600,000","-10,700,000","2,295,000","2,737,000","-4,602,000","-12,130,000",,,,"1,372,000","-415,000","-298,000","-812,000","1,557,000","-152,681,000","-610,000","-863,000","-416,000","20,000","-700,000",,,,
NetIncomeCommonStockholders,"2,214,000,000","397,000,000","533,000,000","732,000,000","552,000,000","605,000,000","801,000,000","378,000,000","309,000,000","-61,000,000","340,000,000","250,000,000","266,000,000","206,000,000","44,000,000","236,000,000","251,000,000","97,000,000","238,000,000","165,000,000","296,000,000","72,000,000","223,000,000","156,000,000","197,000,000","74,000,000","139,000,000","132,000,000","170,000,000","86,000,000","392,000,000","102,000,000","115,000,000","-22,000,000","76,000,000","98,000,000","139,000,000","90,000,000","151,800,000","233,300,000","147,000,000","74,400,000","172,700,000","74,300,000","80,000,000","42,500,000","130,800,000","83,200,000","139,600,000","16,500,000","69,311,000","73,444,000","91,943,000","-12,398,000","-14,884,000","-198,302,000","6,925,000","27,245,000","-44,937,000","6,472,000","84,835,000","83,399,000","138,747,000","103,399,000","116,513,000","79,102,000","126,350,000","169,734,000","160,578,000","82,319,000","144,996,000","135,923,000"
	NetIncome,"2,214,000,000","397,000,000","533,000,000","732,000,000","552,000,000","605,000,000","801,000,000","378,000,000","309,000,000","-61,000,000","340,000,000","250,000,000","266,000,000","206,000,000","44,000,000","236,000,000","251,000,000","97,000,000","238,000,000","165,000,000","296,000,000","72,000,000","223,000,000","156,000,000","197,000,000","74,000,000","139,000,000","132,000,000","170,000,000","86,000,000","392,000,000","102,000,000","115,000,000","-22,000,000","76,000,000","98,000,000","139,000,000","90,000,000","151,800,000","233,300,000","147,000,000","74,400,000","172,700,000","74,300,000","80,000,000","42,500,000","130,800,000","83,200,000","139,600,000","16,500,000","69,311,000","73,444,000","91,943,000","-12,398,000","-14,884,000","-198,302,000","6,925,000","27,245,000","-44,937,000","6,472,000","84,835,000","83,399,000","138,747,000","103,399,000","116,513,000","79,102,000","126,350,000","169,734,000","160,578,000","82,319,000","144,996,000","135,923,000"
