name,ttm,03/31/2022,01/31/2022,09/30/2021,06/30/2021,03/31/2021,01/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,03/31/2018,01/31/2018,12/31/2017,09/30/2017,06/30/2017,04/30/2017,03/31/2017,01/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,01/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990
TotalRevenue,"1,214,917,000","322,294,000","344,711,000","278,454,000","269,458,000","257,217,000","338,541,000","338,541,000","255,401,000","242,275,000","216,157,000","307,673,000","221,235,000","222,359,000","215,727,000","290,786,000","177,472,000","187,983,000",,"209,772,000",,"294,463,000","338,746,000","357,846,000",,"369,389,000",,"487,933,000","398,419,000","368,938,000","361,151,000",,"470,823,000","354,068,000","359,506,000","358,122,000","468,621,000","344,687,000","348,492,000","340,870,000","450,081,000","337,981,000","350,329,000","355,623,000","465,523,000","-116,139,000","501,820,000","506,630,000","652,715,000","504,169,000","519,279,000","505,135,000","664,718,000","563,213,000","523,294,000","529,706,000","681,318,000","540,290,000","575,722,000","578,411,000","776,673,000","231,602,000","709,503,000","693,514,000","904,942,000","678,416,000","680,203,000","660,667,000","856,692,000","670,708,000","648,988,000","626,236,000","819,717,000","601,419,000","590,178,000","577,045,000","738,596,000","593,966,000","541,212,000","517,266,000","669,920,000","493,034,000","488,574,000","463,348,000","613,334,000","463,331,000","461,219,000","443,315,000","594,180,000","441,189,000","436,073,000","414,098,000","539,191,000","395,700,000","390,311,000","370,495,000","476,800,000","385,300,000","342,400,000","322,000,000","407,100,000","289,900,000","280,600,000","309,900,000","343,800,000","249,500,000","251,700,000","247,000,000","323,500,000","239,000,000","243,100,000","250,000,000","330,600,000","251,300,000","244,100,000","229,700,000","293,700,000","222,400,000","225,800,000","218,700,000","381,600,000","303,500,000","280,200,000","244,900,000","403,300,000","301,600,000","280,900,000","274,300,000","366,900,000","289,300,000","289,300,000","263,500,000","343,800,000"
	OperatingRevenue,"1,214,917,000","322,294,000","344,711,000","278,454,000","269,458,000","257,217,000","338,541,000","338,541,000","255,401,000","242,275,000","216,157,000","307,673,000","221,235,000","222,359,000","215,727,000","290,786,000","177,472,000","187,983,000",,"209,772,000",,"294,463,000","338,746,000","357,846,000",,"369,389,000",,"487,933,000","398,419,000","368,938,000","361,151,000",,"470,823,000","354,068,000","359,506,000","358,122,000","468,621,000","344,687,000","348,492,000","340,870,000","450,081,000","337,981,000","350,329,000","355,623,000","465,523,000","-116,139,000","501,820,000","506,630,000","652,715,000","504,169,000","519,279,000","505,135,000","664,718,000","563,213,000","523,294,000","529,706,000","681,318,000","540,290,000","575,722,000","578,411,000","776,673,000","231,602,000","709,503,000","693,514,000","904,942,000","678,416,000","680,203,000","660,667,000","856,692,000","645,901,000","641,389,000","617,184,000","819,717,000","601,419,000","590,178,000","577,045,000","738,596,000","593,966,000","541,212,000","517,266,000","669,920,000","493,034,000","488,574,000","463,348,000","613,334,000","463,331,000","461,219,000","443,315,000","590,339,000","441,189,000","436,073,000","414,098,000","539,191,000","395,700,000","390,311,000","370,495,000","476,800,000","385,300,000","342,400,000","322,000,000","407,100,000","289,900,000","280,600,000","309,900,000","343,800,000","249,500,000","251,700,000","247,000,000","323,500,000","239,000,000","243,100,000","250,000,000","330,600,000","251,300,000","244,100,000","229,700,000","293,700,000","222,400,000","225,800,000","218,700,000","381,600,000","303,500,000","280,200,000","244,900,000","403,300,000","301,600,000","280,900,000","274,300,000","366,900,000","289,300,000","289,300,000","263,500,000","343,800,000"
CostOfRevenue,"812,529,000","230,469,000","229,341,000","183,485,000","169,234,000","163,076,000","216,280,000","216,280,000","162,334,000","154,976,000","146,114,000","203,613,000","144,143,000","140,179,000","137,204,000","183,731,000","98,903,000","103,766,000",,"122,525,000",,"174,557,000","249,789,000","259,538,000",,"271,399,000",,"354,188,000","286,775,000","260,355,000","259,045,000",,"341,598,000","255,327,000","254,184,000","256,632,000","340,960,000","255,847,000","256,426,000","252,032,000","332,273,000","255,320,000","262,430,000","273,121,000","356,007,000","-197,289,000","415,720,000","423,802,000","559,514,000","429,297,000","443,071,000","434,831,000","567,473,000","480,410,000","440,999,000","443,349,000","573,611,000","445,494,000","464,796,000","475,625,000","649,879,000","143,051,000","604,477,000","591,313,000","763,626,000","569,557,000","570,900,000","550,237,000","710,979,000","542,018,000","535,894,000","519,105,000","686,118,000","497,421,000","488,871,000","477,218,000","614,611,000","494,465,000","441,886,000","423,983,000","553,436,000","408,212,000","402,120,000","379,342,000","500,230,000","372,538,000","368,857,000","363,996,000","478,993,000","358,115,000","349,883,000","320,958,000","414,127,000","302,476,000","294,444,000","282,842,000","365,300,000","290,600,000","259,500,000","230,500,000","314,500,000","235,900,000","225,600,000","214,300,000","277,100,000","201,300,000","200,700,000","200,800,000","263,200,000","229,300,000","186,700,000","200,500,000","263,600,000","202,600,000","187,100,000","187,400,000","244,400,000","190,100,000","189,600,000","181,100,000","320,000,000","265,200,000","271,800,000","216,100,000","315,100,000","230,900,000","217,400,000","216,300,000",,,,,
GrossProfit,"402,388,000","91,825,000","115,370,000","94,969,000","100,224,000","94,141,000","122,261,000","122,261,000","93,067,000","87,299,000","70,043,000","104,060,000","77,092,000","82,180,000","78,523,000","107,055,000","78,569,000","84,217,000",,"87,247,000",,"119,906,000","88,957,000","98,308,000",,"97,990,000",,"133,745,000","111,644,000","108,583,000","102,106,000",,"129,225,000","98,741,000","105,322,000","101,490,000","127,661,000","88,840,000","92,066,000","88,838,000","117,808,000","82,661,000","87,899,000","82,502,000","109,516,000","81,150,000","86,100,000","82,828,000","93,201,000","74,872,000","76,208,000","70,304,000","97,245,000","82,803,000","82,295,000","86,357,000","107,707,000","94,796,000","110,926,000","102,786,000","126,794,000","88,551,000","105,026,000","102,201,000","141,316,000","108,859,000","109,303,000","110,430,000","145,713,000","128,690,000","113,094,000","107,131,000","133,599,000","103,998,000","101,307,000","99,827,000","123,985,000","99,501,000","99,326,000","93,283,000","116,484,000","84,822,000","86,454,000","84,006,000","113,104,000","90,793,000","92,362,000","79,319,000","115,187,000","83,074,000","86,190,000","93,140,000","125,064,000","93,224,000","95,867,000","87,653,000","111,500,000","94,700,000","82,900,000","91,500,000","92,600,000","54,000,000","55,000,000","95,600,000","66,700,000","48,200,000","51,000,000","46,200,000","60,300,000","9,700,000","56,400,000","49,500,000","67,000,000","48,700,000","57,000,000","42,300,000","49,300,000","32,300,000","36,200,000","37,600,000","61,600,000","38,300,000","8,400,000","28,800,000","88,200,000","70,700,000","63,500,000","58,000,000",,,,,
OperatingExpense,"143,429,000","41,032,000","38,210,000","32,652,000","32,308,000","30,117,000","35,749,000","35,749,000","26,530,000","25,883,000","36,485,000","44,976,000","23,110,000","37,591,000","30,785,000","41,668,000","38,247,000","33,826,000",,"41,296,000",,"53,832,000","36,833,000","39,039,000",,"36,195,000",,"56,021,000","48,964,000","43,441,000","47,307,000",,"66,318,000","56,103,000","53,596,000","53,859,000","63,095,000","51,550,000","47,422,000","48,660,000","59,156,000","49,395,000","52,078,000","52,972,000","67,336,000","54,223,000","52,566,000","54,497,000","65,717,000","53,601,000","51,344,000","52,619,000","66,885,000","28,735,000","40,447,000","55,207,000","63,976,000","28,133,000","53,807,000","49,676,000","72,418,000","42,721,000","50,104,000","53,818,000","73,794,000","60,585,000","49,532,000","62,308,000","82,195,000","73,945,000","68,193,000","69,131,000","89,550,000","67,950,000","62,273,000","64,040,000","79,558,000","68,625,000","61,245,000","58,490,000","75,412,000","53,932,000","51,629,000","51,884,000","70,717,000","66,406,000","51,341,000","49,804,000","65,876,000","47,328,000","48,081,000","60,400,000","79,868,000","56,039,000","56,726,000","55,962,000","70,800,000","59,100,000","49,000,000","45,300,000","58,600,000","29,600,000","28,600,000","37,000,000","38,500,000","27,200,000","28,900,000","28,100,000","36,100,000","-7,100,000","38,400,000","35,200,000","44,600,000","33,800,000","43,300,000","34,400,000","48,500,000","31,900,000","29,400,000","36,000,000","51,000,000","38,800,000","40,800,000","48,500,000","52,900,000","33,800,000","37,700,000","37,300,000",,,,,
	SellingGeneralAndAdministration,"96,881,000","28,549,000","25,339,000","21,578,000","21,796,000","18,861,000","20,499,000","20,499,000","14,710,000","13,680,000","24,203,000","28,248,000","10,300,000","24,389,000","17,585,000","24,083,000","24,913,000","20,094,000",,"27,017,000",,"34,625,000","35,891,000","38,365,000",,"35,788,000",,"55,708,000","48,281,000","42,768,000","46,895,000",,"65,872,000","54,592,000","50,986,000","52,472,000","63,095,000","51,550,000","47,422,000","48,660,000","59,156,000","49,395,000","52,078,000","52,972,000","67,336,000","54,223,000","52,566,000","54,497,000","65,717,000","53,601,000","51,344,000","52,619,000","66,885,000","47,669,000","64,134,000","58,194,000","73,356,000","62,455,000","62,532,000","66,910,000","90,779,000","65,845,000","65,351,000","65,760,000","90,599,000","72,807,000","62,170,000","69,552,000","89,352,000","73,945,000","68,193,000","69,131,000","89,550,000","67,950,000","62,273,000","64,040,000","79,558,000","68,625,000","61,245,000","58,490,000","75,412,000","53,932,000","51,629,000","51,884,000","70,717,000","66,406,000","51,341,000","49,804,000","65,876,000","47,328,000","48,081,000","45,542,000","60,770,000","43,700,000","43,009,000","42,552,000","53,500,000","46,900,000","37,600,000","34,900,000","44,900,000","19,800,000","19,000,000","27,400,000","25,400,000","17,700,000","19,700,000","19,000,000","23,900,000","-16,000,000","29,300,000","26,200,000","32,600,000","24,700,000","24,200,000","24,300,000","37,000,000","23,500,000","21,200,000","23,000,000","33,000,000","27,800,000","26,600,000","33,700,000","36,200,000","25,400,000","25,000,000","22,500,000",,,,,
		GeneralAndAdministrativeExpense,,"28,549,000",,,,,,,,,,,,"24,389,000","17,585,000","24,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"28,479,000",,,,,,,,,,,,"24,389,000","17,585,000","24,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"46,290,000","11,833,000","12,871,000","11,074,000","10,512,000","11,256,000","15,250,000","15,250,000","11,820,000","12,203,000","12,282,000","16,728,000","12,810,000","13,202,000","13,200,000","17,585,000","13,334,000","13,732,000",,"14,279,000",,"19,207,000","942,000","674,000",,"407,000",,"313,000","683,000","673,000","412,000",,"446,000","1,511,000","2,610,000","1,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,858,000","19,098,000","12,339,000","13,717,000","13,410,000","17,300,000","12,200,000","11,400,000","10,400,000","13,700,000","9,800,000","9,600,000","9,600,000","13,100,000","9,500,000","9,200,000","9,100,000","12,200,000","8,900,000","9,100,000","9,000,000","12,000,000","9,100,000","19,100,000","10,100,000","11,500,000","8,400,000","8,200,000","13,000,000","18,000,000","11,000,000","14,200,000","14,800,000","16,700,000","8,400,000","12,700,000","14,800,000",,,,,
