name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
TotalAssets,"548,339,000","587,368,000","566,500,000","514,660,000","504,219,000","459,406,000","459,177,000","457,718,000","406,079,000","438,789,000","426,069,000","415,341,000","396,468,000","438,424,000","399,508,000","415,424,000","412,005,000","409,722,000","365,860,000","361,345,000","328,637,000","304,652,000","337,178,000","325,550,000","311,000,000","328,283,000","382,482,000","369,261,000","382,187,000","343,981,000","301,429,000","282,687,000","308,346,000","301,462,000","295,091,000","281,153,000","285,429,000","292,481,000","293,402,000","321,706,000","311,311,000","308,116,000","317,624,000","314,130,000","272,536,000","275,497,000","270,518,000","283,586,000","311,638,000","328,514,000","335,910,000","344,333,000","411,390,000","402,987,000","425,698,000","430,242,000","426,847,358","429,583,916","367,729,138","378,610,750","291,015,954","257,420,187","225,783,215","207,473,055","217,725,319","212,106,143","205,793,094","209,320,463","213,753,998","194,085,591","215,333,727","220,533,798","244,291,070","224,211,301","214,566,663","199,857,436","199,846,757","173,410,821","172,922,039","137,724,982","132,509,028","132,870,002"
TotalLiabilitiesNetMinorityInterest,"222,872,000","263,515,000","248,061,000","222,275,000","233,331,000","212,289,000","225,434,000","230,921,000","188,156,000","188,000,000","176,739,000","169,155,000","161,545,000","210,998,000","162,416,000","170,473,000","180,280,000","184,005,000","146,210,000","144,362,000","115,967,000","91,267,000","135,971,000","140,036,000","125,796,000","131,813,000","191,038,000","168,618,000","181,019,000","148,400,000","101,769,000","101,696,000","102,770,000","89,374,000","89,099,000","100,475,000","98,282,000","99,961,000","104,838,000","134,693,000","109,309,000","100,100,000","103,903,000","96,594,000","37,321,000","28,537,000","21,272,000","35,157,000","57,089,000","77,065,000","86,834,000","94,337,000","156,177,000","149,197,000","153,950,000","135,568,000","125,998,759","163,551,729","146,770,403","163,357,830","121,692,059","87,337,065","53,212,728","48,687,299","61,263,808","56,689,132","54,182,411","55,514,629","59,612,688","40,935,484","63,107,072","89,865,223","115,875,961","95,251,602","83,764,281","68,504,414","67,943,799","42,651,917","42,258,766","7,733,846","2,627,931","2,284,750"
TotalEquityGrossMinorityInterest,"325,467,000","323,853,000","318,439,000","292,385,000","270,888,000","247,117,000","233,743,000","226,797,000","217,923,000","250,789,000","249,330,000","246,186,000","234,923,000","227,426,000","237,092,000","244,951,000","231,725,000","225,717,000","219,650,000","216,983,000","212,670,000","213,385,000","201,207,000","185,514,000","185,204,000","196,470,000","191,444,000","200,643,000","201,168,000","195,581,000","199,660,000","180,991,000","205,576,000","212,088,000","205,992,000","180,678,000","187,147,000","192,520,000","188,564,000","187,013,000","202,002,000","208,016,000","213,721,000","217,536,000","235,215,000","246,960,000","249,246,000","248,429,000","254,549,000","251,449,000","249,076,000","249,996,000","255,213,000","253,790,000","271,748,000","294,674,000","300,848,599","266,032,187","220,958,735","215,252,920","169,323,895","170,083,122","172,570,487","158,785,756","156,461,511","155,417,011","151,610,683","153,805,834","154,141,310","153,150,107","152,226,655","130,668,575","128,415,109","128,959,699","130,802,382","131,353,022","131,902,958","130,758,904","130,663,273","129,991,136","129,881,097","130,585,252"
	StockholdersEquity,"325,467,000","323,853,000","318,439,000","292,385,000","270,888,000","247,117,000","233,743,000","226,797,000","217,923,000","250,789,000","249,330,000","246,186,000","234,923,000","227,426,000","237,092,000","244,951,000","231,725,000","225,717,000","219,650,000","216,983,000","212,670,000","213,385,000","201,207,000","185,514,000","185,204,000","196,470,000","191,444,000","200,643,000","201,168,000","195,581,000","199,660,000","180,991,000","205,576,000","212,088,000","205,992,000","180,678,000","187,147,000","192,520,000","188,564,000","187,013,000","202,002,000","208,016,000","213,721,000","217,536,000","235,215,000","246,960,000","249,246,000","248,429,000","254,549,000","251,449,000","249,076,000","249,996,000","255,213,000","253,790,000","271,748,000","294,674,000","300,848,599","266,032,187","220,958,735","215,252,920","169,323,895","170,083,122","172,570,487","158,785,756","156,461,511","155,417,011","151,610,683","153,805,834","154,141,310","153,150,107","152,226,655","130,668,575","128,415,109","128,959,699","130,802,382","131,353,022","131,902,958","130,758,904","130,663,273","129,991,136","129,881,097","130,585,252"
		CapitalStock,"34,000","34,000","34,000","34,000","33,000","33,000","32,000","31,000","31,000","31,000","30,000","30,000","29,000","29,000","29,000","28,000","27,000","27,000","26,000","26,000","26,000","26,000","23,000","23,000","23,000","23,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,088","17,638","14,763","14,250","12,250","12,250","12,305","11,385","11,309","11,309","11,304","11,304","11,299","11,279","11,279","10,114","10,105","10,082","10,082","10,072","10,072","10,072","10,072","10,072","10,060","10,060"
			CommonStock,"34,000","34,000","34,000","34,000","33,000","33,000","32,000","31,000","31,000","31,000","30,000","30,000","29,000","29,000","29,000","28,000","27,000","27,000","26,000","26,000","26,000","26,000","23,000","23,000","23,000","23,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,088","17,638","14,763","14,250","12,250","12,250","12,305","11,385","11,309","11,309","11,304","11,304","11,299","11,279","11,279","10,114","10,105","10,082","10,082","10,072","10,072","10,072","10,072","10,072","10,060","10,060"
		AdditionalPaidInCapital,"392,494,000","392,494,000","392,494,000","392,601,000","382,480,000","374,296,000","367,125,000","365,336,000","365,333,000","363,884,000","358,113,000","354,942,000","347,144,000","343,033,000","343,076,000","361,549,000","354,779,000","352,540,000","348,248,000","347,061,000","343,741,000","343,946,000","327,678,000","327,697,000","322,776,000","323,422,000","307,862,000","294,144,000","293,989,000","292,859,000","307,348,000","307,425,000","322,936,000","322,936,000","322,936,000","324,714,000","324,714,000","324,714,000","324,714,000","326,580,000","326,578,000","326,756,000","326,913,000","326,935,000","326,935,000","326,935,000","325,832,000","327,755,000","327,709,000","328,164,000","328,203,000","334,140,000","334,140,000","334,140,000","334,143,000","341,281,000","341,411,120","286,425,698","235,906,665","225,449,718","179,782,427","179,782,427","181,270,565","166,240,635","164,774,090","164,740,025","164,610,873","164,610,873","164,498,128","164,183,548","164,294,781","140,852,913","140,723,063","140,416,674","140,416,674","140,266,684","140,266,684","140,266,684","140,266,684","140,266,684","140,080,807","140,080,807"
		RetainedEarnings,"-67,299,000","-69,538,000","-85,189,000","-85,336,000","-91,892,000","-91,490,000","-89,517,000","-90,677,000","-90,567,000","-87,504,000","-83,069,000","-92,995,000","-93,009,000","-95,384,000","-68,592,000","-67,856,000","-68,413,000","-68,815,000","-69,447,000","-69,633,000","-69,819,000","-70,058,000","-66,807,000","-64,106,000","-58,803,000","-53,718,000","-72,025,000","-39,624,000","-39,348,000","-37,324,000","-38,236,000","-39,459,000","-54,380,000","-51,916,000","-41,142,000","-43,392,000","-41,003,000","-41,034,000","-37,961,000","-35,785,000","-36,390,000","-37,233,000","-28,984,000","-758,000","-28,125,000","-28,140,000","-27,256,000","-29,189,000","-26,335,000","-27,275,000","-26,354,000","-19,899,000","-10,311,000",,,,,,,,,,"1,196,558",,,,,,,"937,489",,"109,718","-999,984","-804,467",,"62,475","-132,426","-534,056","-629,687",,,"-706,496"
		GainsLossesNotAffectingRetainedEarnings,"238,000","863,000","11,100,000","-14,914,000","-19,733,000","-35,722,000","-43,897,000","-47,893,000","-56,874,000","-25,622,000","-25,744,000","-15,791,000","-19,241,000","-20,252,000","-37,421,000","-48,770,000","-54,668,000","-58,035,000","-59,177,000","-60,471,000","-61,278,000","-60,529,000","-59,687,000","-78,100,000","-78,792,000","-73,257,000","-44,414,000","-53,898,000","-53,494,000","-59,975,000","-69,473,000","-86,996,000","-63,001,000","-58,953,000","-75,823,000","-100,665,000","-96,585,000","-91,181,000","-95,186,000","-100,392,000","-84,793,000","-77,937,000","-80,479,000","-103,664,000","-57,567,000","-44,753,000","-42,248,000","-41,655,000","-38,343,000","-40,957,000","-43,775,000","-55,096,000","-59,466,000","-80,371,000","-62,416,000","-46,628,000","-40,583,609","-20,411,149","-14,962,693","-10,211,048","-10,470,782","-9,711,555","-9,908,941","-7,466,264","-8,323,888","-9,334,323","-13,011,494","-10,816,343","-10,368,117","-11,982,209","-12,079,405","-10,304,170","-11,318,075","-10,662,590","-9,624,374","-8,986,209","-8,241,372","-8,983,796","-8,983,796","-10,285,620","-10,209,770","-8,799,119"
			UnrealizedGainLoss,"238,000","863,000","11,100,000","-14,914,000","-19,743,000","-35,752,000","-44,247,000","-47,893,000","-56,874,000","-25,438,000","-25,577,000","-15,618,000","-19,241,000","-20,252,000","-37,421,000","-48,770,000","-54,668,000","-57,702,000","-59,062,000","-60,400,000","-61,389,000","-60,742,000","-59,687,000","-78,100,000","-78,792,000","-73,196,000","-44,353,000","-53,837,000","-52,690,000","-59,236,000","-67,999,000","-85,300,000","-62,451,000","-58,511,000","-75,388,000","-98,510,000","-93,810,000","-86,176,000","-95,186,000","-100,392,000","-84,793,000","-77,937,000","-80,479,000","-76,411,000","-57,567,000","-44,753,000","-42,248,000","-41,655,000","-38,343,000","-40,957,000","-43,775,000","-55,096,000","-59,466,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
