name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,12/31/2006,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"25,694,000,000","26,075,000,000","25,333,000,000","24,952,000,000","24,525,000,000","24,766,000,000","24,394,000,000","24,009,000,000","23,546,000,000","22,682,000,000","22,238,000,000","21,854,000,000","21,464,000,000","21,223,000,000","20,880,000,000","20,471,000,000","19,728,000,000","19,482,000,000","19,361,000,000","18,966,000,000","18,610,000,000","18,482,000,000","17,971,000,000","17,706,000,000","17,417,000,000","17,241,000,000","17,105,173,000","16,732,332,000","16,263,531,000","16,130,956,000","15,715,647,000","15,426,447,000","15,274,821,000","15,069,533,000","15,228,446,000","14,977,377,000","14,769,216,000","14,718,976,000","14,599,535,000","14,412,761,000","14,087,739,000","14,776,391,000","14,538,733,000","14,347,216,000","14,128,807,000","14,079,773,000","13,983,675,000","13,773,516,000","13,540,562,000","13,452,651,000","13,345,709,000","13,190,049,000","12,907,244,000","13,231,818,000","12,780,732,000","12,526,682,000","12,268,004,000","12,934,072,000","12,783,059,000","7,614,572,000","7,524,932,000","7,643,083,000","6,607,099,000","6,358,675,000","6,289,578,000","6,189,938,000","6,134,798,000","6,074,954,000","6,104,101,000","6,030,738,000","5,952,206,000","5,778,000,000","5,692,000,000","4,750,100,000","4,708,300,000","4,585,500,000","4,481,800,000","4,378,000,000","4,314,300,000","4,216,200,000","4,148,600,000","4,061,500,000","4,032,200,000","3,957,100,000","3,889,900,000","3,839,600,000","3,403,100,000","3,374,400,000","3,289,000,000","3,228,800,000","3,206,700,000","3,117,900,000","3,061,100,000","3,006,400,000","2,994,000,000","2,929,800,000","2,705,000,000","2,624,700,000","2,415,800,000","2,343,600,000","2,310,700,000","2,258,700,000","2,240,500,000","2,198,000,000","2,154,200,000","2,116,800,000","2,092,600,000","2,043,000,000","1,986,900,000","1,942,600,000","1,916,300,000","1,858,000,000","1,737,100,000","1,615,600,000","1,498,000,000","1,383,000,000"
	CurrentAssets,"853,000,000","1,554,000,000","1,590,000,000","1,570,000,000","1,466,000,000","1,906,000,000","1,967,000,000","1,896,000,000","1,801,000,000","1,285,000,000","799,000,000","741,000,000","691,000,000","781,000,000","800,000,000","833,000,000","729,000,000","720,000,000","860,000,000","808,000,000","767,000,000","784,000,000","801,000,000","691,000,000","638,000,000","657,000,000","879,009,000","890,085,000","729,019,000","661,369,000","756,961,000","707,635,000","687,994,000","550,390,000","613,220,000","545,840,000","491,850,000","499,447,000","642,525,000","606,374,000","589,109,000","1,397,659,000","1,479,461,000","1,493,214,000","1,305,539,000","534,307,000","627,399,000","590,113,000","497,228,000","499,127,000","516,471,000","495,705,000","420,588,000","417,675,000","497,224,000","458,672,000","414,874,000","430,354,000","412,441,000","409,254,000","390,487,000","348,684,000","330,588,000","335,368,000","296,516,000","252,251,000","277,696,000","282,708,000","307,159,000","266,123,000","278,681,000","284,300,000","292,500,000","213,300,000","211,800,000","212,500,000","203,000,000","199,500,000","172,900,000","182,800,000","179,200,000","164,400,000","167,300,000","205,500,000","196,900,000","182,900,000","164,400,000","187,400,000","175,700,000","177,800,000","170,600,000","192,900,000","179,600,000","184,600,000","189,700,000","195,300,000","178,400,000","128,500,000","150,600,000","140,900,000","149,700,000","135,500,000","132,700,000","142,100,000","144,200,000","141,300,000","131,900,000","141,000,000","133,100,000","130,300,000","123,800,000","130,800,000","118,900,000","117,400,000","130,400,000","123,000,000"
		CashCashEquivalentsAndShortTermInvestments,"75,000,000","116,000,000","70,000,000","70,000,000","69,000,000","547,000,000","560,000,000","569,000,000","556,000,000","60,000,000","94,000,000","64,000,000","63,000,000","130,000,000","86,000,000","68,000,000","55,000,000","55,000,000","93,000,000","64,000,000","78,000,000","75,000,000","46,000,000","52,000,000","66,000,000","45,000,000","75,224,000","144,752,000","24,294,000","23,080,000","74,128,000","32,133,000","30,755,000","26,964,000","32,454,000","20,366,000","21,181,000","24,433,000","18,531,000","12,919,000","9,502,000","14,207,000","15,621,000","13,466,000","13,528,000","13,112,000","23,501,000","20,610,000","12,633,000","22,256,000","7,831,000","9,012,000","8,516,000","9,542,000","6,689,000","7,788,000","9,202,000","16,739,000","31,854,000","40,031,000","24,479,000","15,511,000","19,691,000","43,357,000","17,772,000","20,232,000","28,571,000","22,746,000","43,148,000","38,407,000","43,100,000","46,000,000","47,500,000","45,600,000","39,100,000","29,200,000","24,300,000","25,300,000","12,700,000","10,700,000","9,400,000","10,400,000","13,000,000","37,200,000","22,600,000","30,800,000","23,700,000","26,000,000","14,800,000","43,900,000","31,500,000","38,400,000","21,300,000","47,200,000","53,400,000","40,000,000","34,700,000","9,000,000","29,100,000","8,000,000","11,800,000","15,100,000","10,200,000","8,500,000","5,900,000","19,400,000","13,600,000","8,600,000","5,700,000","11,300,000","11,900,000","9,100,000","18,500,000","19,900,000","28,400,000","33,700,000"
			CashAndCashEquivalents,"75,000,000","116,000,000","70,000,000","70,000,000","69,000,000","547,000,000","560,000,000","569,000,000","556,000,000","60,000,000","94,000,000","64,000,000","63,000,000","130,000,000","86,000,000","68,000,000","55,000,000","55,000,000","93,000,000","64,000,000","78,000,000","75,000,000","46,000,000","52,000,000","66,000,000","45,000,000","75,224,000","144,752,000","24,294,000","23,080,000","74,128,000","32,133,000","30,755,000","26,964,000","32,454,000","20,366,000","21,181,000","24,433,000","18,531,000","12,919,000","9,502,000","14,207,000","15,621,000","13,466,000","13,528,000","13,112,000","23,501,000","20,610,000","12,633,000","22,256,000","7,831,000","9,012,000","8,516,000","9,542,000","6,689,000","7,788,000","9,202,000","16,739,000","31,854,000","40,031,000","24,479,000","15,511,000","19,691,000","43,357,000","17,772,000","20,232,000","28,571,000","22,746,000","43,148,000","38,407,000","43,100,000","46,000,000","47,500,000","45,600,000","39,100,000","29,200,000","24,300,000","25,300,000","12,700,000","10,700,000","9,400,000","10,400,000","13,000,000","37,200,000","22,600,000","30,800,000","23,700,000","26,000,000","14,800,000","43,900,000","31,500,000","38,400,000","21,300,000","47,200,000","53,400,000","40,000,000","34,700,000","9,000,000","29,100,000","8,000,000","11,800,000","15,100,000","10,200,000","8,500,000","5,900,000","19,400,000","13,600,000","8,600,000","5,700,000","11,300,000","11,900,000","9,100,000","18,500,000","19,900,000","28,400,000","33,700,000"
		Receivables,"520,000,000","519,000,000","597,000,000","565,000,000","493,000,000","527,000,000","559,000,000","505,000,000","464,000,000","466,000,000","522,000,000","516,000,000","477,000,000","487,000,000","550,000,000","536,000,000","461,000,000","484,000,000","546,000,000","524,000,000","477,000,000","532,000,000","587,000,000","526,000,000","467,000,000","522,000,000","595,763,000","514,490,000","461,844,000","455,225,000","486,339,000","470,783,000","426,975,000","433,540,000","481,519,000","440,850,000","366,730,000","385,003,000","423,476,000","405,466,000","321,533,000","338,424,000","372,179,000","371,137,000","317,872,000","350,077,000","419,164,000","388,682,000","351,069,000","353,650,000","382,542,000","362,469,000","321,258,000","333,635,000","303,664,000","299,929,000","241,116,000","261,043,000","253,702,000","299,809,000","291,639,000","255,014,000","239,207,000","237,995,000","209,853,000","180,001,000","187,853,000","199,445,000","194,723,000","168,180,000","169,558,000","188,200,000","191,200,000","133,300,000","139,800,000","149,400,000","143,100,000","121,800,000","127,500,000","136,400,000","136,000,000","121,900,000","124,900,000","135,100,000","136,400,000","121,900,000","113,100,000","132,900,000","130,100,000","106,500,000","112,400,000","122,900,000","124,900,000","108,200,000","110,000,000","122,300,000","115,500,000","94,500,000","96,600,000","106,300,000","109,000,000","94,500,000","98,100,000","109,400,000","113,400,000","99,000,000","96,000,000","108,600,000","101,900,000","89,800,000","90,400,000","97,000,000","81,100,000","78,200,000","84,200,000","73,100,000"
			AccountsReceivable,"266,000,000","271,000,000","348,000,000","311,000,000","274,000,000","321,000,000","358,000,000","298,000,000","292,000,000","294,000,000","335,000,000","337,000,000","307,000,000","301,000,000","347,000,000","324,000,000","273,000,000","272,000,000","312,000,000","288,000,000","250,000,000","269,000,000","302,000,000","240,000,000","220,000,000","255,000,000","305,093,000","245,677,000","231,719,000","232,112,000","249,694,000","239,912,000","223,606,000","210,615,000","256,547,000","234,852,000","182,851,000","194,781,000","203,075,000","174,598,000","128,605,000","135,401,000","166,809,000","165,686,000","138,317,000","152,878,000","201,354,000","171,905,000","209,943,000","224,503,000","247,213,000","225,535,000","209,989,000","199,431,000","152,752,000","158,886,000","118,685,000","126,717,000","130,522,000","205,207,000","190,259,000","164,048,000","153,142,000","143,827,000","110,638,000","98,493,000","103,975,000","113,192,000","100,970,000","89,852,000","91,353,000","108,700,000","99,700,000","76,400,000","81,000,000","88,600,000","74,400,000","67,100,000","71,700,000","78,700,000","73,000,000","69,000,000","71,000,000","77,700,000","75,500,000","66,800,000","65,300,000","72,900,000","62,300,000","48,600,000","54,700,000","58,900,000","57,700,000","51,300,000","52,700,000",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"338,000,000","346,000,000","424,000,000","381,000,000","341,000,000","381,000,000","410,000,000","341,000,000","332,000,000","335,000,000",,,,,,,,,,,,,,,,,"341,686,000","281,195,000","267,204,000","267,053,000","284,273,000","277,780,000","259,306,000","244,568,000","288,788,000","263,120,000","208,276,000","221,655,000","219,157,000","187,738,000","141,415,000","150,720,000","184,235,000","165,686,000","138,317,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-72,000,000","-75,000,000","-76,000,000","-70,000,000","-67,000,000","-60,000,000","-52,000,000","-43,000,000","-40,000,000","-41,000,000",,,,,,,,,,,,,,,,,"-36,593,000","-35,518,000","-35,485,000","-34,941,000","-34,579,000","-37,868,000","-35,700,000","-33,953,000","-32,241,000","-28,268,000","-25,425,000","-26,874,000","-16,082,000","-13,140,000","-12,810,000","-15,319,000","-17,426,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,093,000","3,466,000","8,014,000","2,575,000","9,608,000","6,290,000","10,100,000","5,778,000","15,107,000","9,822,000","13,137,000","9,594,000","7,815,000","5,822,000","2,625,000","7,672,000","134,000","3,443,000","5,680,000","0","6,394,000","4,073,000","32,564,000","17,920,000","12,650,000","4,775,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,462,000","63,195,000","63,235,000","60,413,000","62,934,000","73,125,000","60,251,000","74,309,000","81,671,000","82,713,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
