name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
OperatingCashFlow,"283,453,000","127,459,000","185,528,000","71,552,000","-101,086,000","136,886,000","-52,545,000","-54,828,000","-66,554,000","6,283,000","-66,842,000","-76,149,000","-95,789,000","-66,178,000","-126,054,000","-132,543,000","-199,346,000","-231,981,000","-176,083,000","-194,013,000","-209,574,000","-154,997,000","-167,728,000","-216,866,000","-134,110,000","-92,541,000"
	CashFlowFromContinuingOperatingActivities,"283,453,000","127,459,000","185,528,000","71,552,000","-101,086,000","136,886,000","-52,545,000","-54,828,000","-66,554,000","6,283,000","-66,842,000","-76,149,000","-95,789,000","-66,178,000","-126,054,000","-132,543,000","-199,346,000","-231,981,000","-176,083,000","-194,013,000","-209,574,000","-154,997,000","-167,728,000","-216,866,000","-134,110,000","-92,541,000"
		NetIncomeFromContinuingOperations,"-560,697,000","-359,624,000","22,550,000","-71,959,000","-151,664,000","-286,882,000","-113,099,000","-199,853,000","-325,951,000","-305,936,000","-240,704,000","-227,375,000","-255,174,000","-310,407,000","-191,668,000","-325,148,000","-353,310,000","-385,785,000","-349,977,000","-443,159,000","-443,093,000","-2,208,837,000","-169,945,000","-124,228,000","-115,894,000","-104,576,000"
		OperatingGainsLosses,"-187,407,000","79,127,000","-65,525,000","-121,007,000","-79,940,000",,,,,,"0",,"-39,883,000",,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,"-121,007,000",,,"0","0","0",,"0","0","-39,883,000",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-187,407,000","79,127,000","-65,525,000","-121,007,000","-79,940,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"133,743,000","38,100,000","34,863,000","32,510,000","28,270,000","23,498,000","22,811,000","21,804,000","20,925,000","21,204,000","20,620,000","20,646,000","22,660,000","23,319,000","22,682,000","24,898,000","22,514,000","21,553,000","18,786,000","17,467,000","12,585,000","12,450,000","10,633,000","7,437,000","5,996,000","5,049,000"
			DepreciationAndAmortization,"133,743,000","38,100,000","34,863,000","32,510,000","28,270,000","23,498,000","22,811,000","21,804,000","20,925,000","21,204,000","20,620,000","20,646,000","22,660,000","23,319,000","22,682,000","24,898,000","22,514,000","21,553,000","18,786,000","17,467,000","12,585,000","12,450,000","10,633,000","7,437,000","5,996,000","5,049,000"
		DeferredTax,,,,,,,"-2,628,000","-1,186,000","-2,118,000","-394,000","-686,000","170,000","291,000","-266,000","-512,000","-124,000","17,000","236,000","-3,093,000","-12,632,000","-277,000","-1,488,000","-721,000","-7,027,000","-204,000","0"
			DeferredIncomeTax,,,,,,,"-2,628,000","-1,186,000","-2,118,000","-394,000","-686,000","170,000","291,000","-266,000","-512,000","-124,000","17,000","236,000","-3,093,000","-12,632,000","-277,000","-1,488,000","-721,000","-7,027,000","-204,000","0"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,"0","0",,,"0","21,997,000",,,,,,
		StockBasedCompensation,"1,130,506,000","275,444,000","297,564,000","300,898,000","256,600,000","237,073,000","219,882,000","192,080,000","186,171,000","172,049,000","166,655,000","161,228,000","195,574,000","162,556,000","121,772,000","126,809,000","156,371,000","133,258,000","181,044,000","221,702,000","245,028,000","1,992,121,000","6,767,000","14,795,000","4,742,000","5,538,000"
		OtherNonCashItems,"49,150,000","2,538,000","5,634,000","4,913,000","36,004,000","-14,638,000","8,593,000","31,755,000","18,105,000","21,987,000","-12,629,000","5,167,000","-1,399,000","-1,917,000","-459,000","37,948,000","-5,893,000","-3,392,000","-2,642,000","-2,042,000","-3,564,000","1,892,000","1,249,000","-2,378,000","1,057,000","961,000"
		ChangeInWorkingCapital,"-281,842,000","91,874,000","-109,558,000","-73,803,000","-190,356,000","177,835,000","-188,104,000","-99,428,000","36,314,000","97,373,000","-98,000","-35,985,000","-17,858,000","60,537,000","-77,869,000","3,074,000","-19,045,000","2,149,000","-20,201,000","2,654,000","-20,253,000","48,865,000","-15,711,000","-105,465,000","-29,807,000","487,000"
			ChangeInReceivables,"-336,256,000","126,027,000","-154,923,000","-132,908,000","-174,452,000","129,316,000","-212,508,000","-151,856,000","15,654,000","92,892,000","-117,126,000","-62,855,000","-39,751,000","71,870,000","-93,443,000","-18,834,000","-13,926,000","48,697,000","-79,844,000","-16,304,000","-21,653,000","13,444,000","-39,946,000","-54,446,000","-16,881,000","-7,161,000"
				ChangesInAccountReceivables,"-336,256,000","126,027,000","-154,923,000","-132,908,000","-174,452,000","129,316,000","-212,508,000","-151,856,000","15,654,000","92,892,000","-117,126,000","-62,855,000","-39,751,000","71,870,000","-93,443,000","-18,834,000","-13,926,000","48,697,000","-79,844,000","-16,304,000","-21,653,000","13,444,000","-39,946,000","-54,446,000","-16,881,000","-7,161,000"
			ChangeInPrepaidAssets,"-41,349,000","-27,178,000","-11,045,000","-4,191,000","1,065,000","-12,436,000","4,765,000","-10,608,000","4,123,000","-12,867,000","-4,869,000","-490,000","-4,761,000","271,000","4,653,000","-435,000","7,815,000","-10,439,000","9,182,000","-1,130,000","-4,399,000","-43,436,000","-5,595,000","-6,690,000","-2,388,000","-5,848,000"
			ChangeInPayablesAndAccruedExpense,"100,969,000","-7,848,000","63,515,000","67,771,000","-22,469,000","61,854,000","23,159,000","65,030,000","17,142,000","23,644,000","121,763,000","27,463,000","28,744,000","-11,233,000","11,445,000","16,925,000","-29,009,000","-47,218,000","43,132,000","16,045,000","16,684,000","74,823,000","30,577,000","-46,948,000","-10,915,000","14,044,000"
				ChangeInPayable,"52,054,000","54,980,000","36,149,000","11,084,000","-50,159,000","56,505,000","8,926,000","3,435,000","2,279,000","5,734,000","-7,645,000","4,220,000","21,009,000","3,090,000","11,106,000","2,084,000","-9,653,000","-37,069,000","45,593,000","-5,214,000","3,698,000","5,619,000","4,830,000","1,896,000","-287,000","47,000"
					ChangeInAccountPayable,"52,054,000","54,980,000","36,149,000","11,084,000","-50,159,000","56,505,000","8,926,000","3,435,000","2,279,000","5,734,000","-7,645,000","4,220,000","21,009,000","3,090,000","11,106,000","2,084,000","-9,653,000","-37,069,000","45,593,000","-5,214,000","3,698,000","5,619,000","4,830,000","1,896,000","-287,000","47,000"
				ChangeInAccruedExpense,"48,915,000","-62,828,000","27,366,000","56,687,000","27,690,000","5,349,000","14,233,000","61,595,000","14,863,000","17,910,000","129,408,000","23,243,000","7,735,000","-14,323,000","339,000","14,841,000","-19,356,000","-10,149,000","-2,461,000","21,259,000","12,986,000","69,204,000","25,747,000","-48,844,000","-10,628,000","13,997,000"
			ChangeInOtherCurrentAssets,"42,718,000","16,676,000","6,565,000","7,266,000","12,211,000","10,300,000","-3,152,000","13,444,000","9,645,000","7,561,000","-2,426,000","37,772,000","14,578,000","9,444,000","1,471,000","7,089,000","9,021,000","4,204,000","3,774,000","1,563,000","-12,823,000","2,715,000","-5,514,000","1,993,000","29,000","-1,572,000"
			ChangeInOtherCurrentLiabilities,"-47,924,000","-15,803,000","-13,670,000","-11,741,000","-6,711,000","-11,199,000","-368,000","-15,438,000","-10,250,000","-13,857,000","2,560,000","-37,875,000","-16,668,000","-9,815,000","-1,995,000","-1,671,000","7,054,000","6,905,000","3,555,000","2,480,000","1,938,000","1,319,000","4,767,000","626,000","348,000","1,024,000"
			ChangeInOtherWorkingCapital,,,,,,,"5,471,000","13,766,000","10,380,000","7,698,000","-2,281,000","35,905,000","14,691,000","10,099,000","-524,000","5,418,000","16,075,000","11,109,000","7,329,000","4,043,000","-10,885,000","4,034,000","-747,000","2,619,000","377,000","-548,000"
InvestingCashFlow,"-1,207,993,000","-1,017,665,000","-166,995,000","-155,202,000","131,869,000","280,555,000","-234,067,000","-375,250,000","-492,124,000","371,577,000","-144,076,000","-688,319,000","184,715,000","-80,928,000","162,438,000","89,561,000","123,208,000","319,247,000","214,990,000","162,952,000","-719,782,000","-1,014,798,000","119,637,000","-157,635,000","-757,868,000","-225,468,000"
	CashFlowFromContinuingInvestingActivities,"-1,207,993,000","-1,017,665,000","-166,995,000","-155,202,000","131,869,000","280,555,000","-234,067,000","-375,250,000","-492,124,000","371,577,000","-144,076,000","-688,319,000","184,715,000","-80,928,000","162,438,000","89,561,000","123,208,000","319,247,000","214,990,000","162,952,000","-719,782,000","-1,014,798,000","119,637,000","-157,635,000","-757,868,000","-225,468,000"
		NetPPEPurchaseAndSale,"-80,199,000","-21,175,000","-24,565,000","-19,836,000","-14,623,000","-10,851,000","-16,447,000","-14,727,000","-15,767,000","-10,891,000","-9,122,000","-7,938,000","-7,633,000","-11,785,000","-11,465,000","-26,285,000","-34,901,000","-36,315,000","-21,212,000","-25,948,000","-19,365,000","-17,993,000","-20,376,000","-17,192,000","-16,421,000","-12,452,000"
			PurchaseOfPPE,"-80,199,000","-21,175,000","-24,565,000","-19,836,000","-14,623,000","-10,851,000","-16,447,000","-14,727,000","-15,767,000","-10,891,000","-9,093,000","-7,938,000","-7,633,000","-11,814,000","-22,741,000","-26,285,000","-34,901,000","-36,315,000","-21,212,000","-25,948,000","-19,365,000","-17,993,000","-20,376,000","-17,192,000","-16,421,000","-12,452,000"
			SaleOfPPE,,,,,,,,,,,"-29,000","0","0","29,000","11,276,000",,,,,,,,,,,
		NetIntangiblesPurchaseAndSale,,,"-7,650,000",,,,,,,,,,,"0","0","0","-2,505,000","-60,000","-82,000","-305,000","-7,720,000","0","0","-10,000","0","-562,000"
			PurchaseOfIntangibles,,,"-7,650,000",,,,,,,,,,,"0","0","0","-2,505,000","-60,000","-82,000","-305,000","-7,720,000","0","0","-10,000","0","-562,000"
		NetBusinessPurchaseAndSale,"-202,791,000","-788,000","-134,324,000","-37,375,000","-30,304,000","-108,912,000","-115,138,000","-33,508,000","-20,204,000",,"-77,119,000","0","73,796,000",,"-815,000","0","0","0","-33,604,000","-128,231,000","-206,163,000","-18,013,000","-35,905,000","-17,160,000","0","-50,936,000"
			PurchaseOfBusiness,"-202,791,000","-788,000","-134,324,000","-37,375,000","-30,304,000","-108,912,000","-115,138,000","-33,508,000","-20,204,000",,"-77,119,000",,,,"-815,000","0","0","0","-33,604,000","-128,231,000","-206,163,000","-18,013,000","-35,905,000","-17,160,000","0","-50,936,000"
			SaleOfBusiness,,,,,,,"0","0","0",,"0","0","73,796,000",,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-954,490,000","-990,209,000","-7,886,000","-96,991,000","140,596,000","400,418,000","-108,488,000","-327,015,000","-455,653,000","382,468,000","-57,864,000","-680,381,000","117,552,000","-69,143,000","174,718,000","115,846,000","160,614,000","355,622,000","269,516,000","317,436,000","-486,534,000","-978,792,000","175,918,000","-136,293,000","-740,679,000","-142,218,000"
			PurchaseOfInvestment,"-3,298,105,000","-1,342,531,000","-549,867,000","-609,911,000","-795,796,000","-524,569,000","-963,952,000","-1,151,844,000","-932,214,000","-588,175,000","-554,721,000","-1,116,408,000","-283,970,000","-527,770,000","-336,686,000","-444,619,000","-417,895,000","-477,213,000","-452,361,000","-670,406,000","-1,326,061,000","-1,423,839,000","-207,862,000","-392,526,000","-829,254,000","-142,218,000"
			SaleOfInvestment,"2,343,615,000","352,322,000","541,981,000","512,920,000","936,392,000","924,987,000","855,464,000","824,829,000","476,561,000","970,643,000","496,857,000","436,027,000","401,522,000","458,627,000","511,404,000","560,465,000","578,509,000","832,835,000","721,877,000","987,842,000","839,527,000","445,047,000","383,780,000","256,233,000","88,575,000","0"
		NetOtherInvestingChanges,"29,487,000","-5,493,000","-220,000","-1,000,000","36,200,000","-100,000","6,006,000",,"-500,000",,"29,000",,"1,000,000",,,,,,"372,000","0",,,"0","13,020,000","-768,000","-19,300,000"
