name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
		NetIncomeIncludingNoncontrollingInterests,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
			NetIncomeContinuousOperations,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
DilutedNIAvailtoComStockholders,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
BasicEPS,,"0.11","-0.2","-0.05","-0.08","-0.2",,"-0.29","-0.26","-0.08","0.23","0.34","0.36","0.7","0.62","0.55","0.47","0.44","0.12","0.26","0.06","-0.43",,"-0.164","-0.112","-0.156",
DilutedEPS,,"0.11","-0.2","-0.05","-0.08","-0.2",,"-0.29","-0.26","-0.08","0.22","0.33","0.35","0.67","0.53","0.53","0.45","0.42","0.12","0.25","0.06","-0.43",,"-0.164","-0.112","-0.156",
BasicAverageShares,,"103,683,000","103,390,000","103,257,000","102,398,000","101,550,000",,"100,897,000","100,821,000","100,687,000","100,618,000","100,606,000","100,425,000","100,232,000","83,758,000","83,544,000","83,447,000","83,081,000","83,040,000","83,040,000","83,040,000","55,996,000",,"83,039,854","83,039,854","83,039,854",
DilutedAverageShares,,"105,384,000","103,390,000","103,257,000","102,398,000","101,550,000",,"100,897,000","100,821,000","100,687,000","103,055,000","103,652,000","104,379,000","104,123,000","87,218,000","86,878,000","86,878,000","86,848,000","86,818,000","86,264,000","86,279,000","55,996,000",,"83,039,854","83,039,854","83,039,854",
TotalOperatingIncomeAsReported,"-34,314,000","5,731,000","-22,403,000","-5,894,000","-11,747,000","-28,651,000","-56,039,000","-36,452,000","-31,322,000","-7,429,000","30,306,000","48,561,000","48,707,000","93,787,000","69,109,000","61,450,000","53,556,000","48,552,000","14,189,000","22,704,000","6,306,000","-19,086,000","-22,297,832","-15,888,000","-15,183,000","-14,019,000","-7,855,878"
TotalExpenses,"962,339,000","260,832,000","244,327,000","243,569,000","213,609,000","177,057,000","170,774,000","158,876,000","128,697,000","365,990,000","375,849,000","462,133,000","449,589,000","433,164,000","340,146,000","356,184,000","387,342,000","329,002,000","289,408,000","251,284,000","197,399,000","180,575,000","169,066,701","126,869,000","81,179,000","97,182,000","133,546,501"
NetIncomeFromContinuingAndDiscontinuedOperation,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
NormalizedIncome,"36,531,976.341","23,759,697","1,152,192.252","4,859,776","1,961,425","-10,533,792","-13,190,272.578","-20,256,774","-18,932,800","24,907,168","45,328,642.072","57,325,608","60,436,242","84,437,508","64,259,251.615","58,967,611","53,599,360","42,686,700","17,872,691.084","27,210,200","14,502,473","-18,085,800","-6,169,970.521","-9,676,974","-12,437,124","-9,813,801.4","-4,308,996.584"
InterestExpense,"572,000","134,000","137,000","143,000","159,000","176,000","175,000","137,000","791,000","1,281,000","1,463,000","1,749,000","2,026,000","1,903,000","1,916,000","1,480,000","2,231,000","1,261,000","878,000","644,000","650,000","5,175,000","4,444,564","4,550,000","5,977,000","5,415,000","5,183,438"
NetInterestIncome,"-572,000","-134,000","-137,000","-143,000","-159,000","-176,000","-175,000","-137,000","-791,000","-1,281,000","-1,463,000","-1,749,000","-2,026,000","-1,903,000","-1,916,000","-1,480,000","-2,231,000","-1,261,000","-878,000","-644,000","-650,000","-5,175,000","-4,444,564","-4,550,000","-5,977,000","-5,415,000","-5,183,438"
EBIT,"-24,873,000","16,088,000","-22,708,000","-6,203,000","-12,049,000","-26,862,000","-56,330,000","-36,764,000","-31,589,000","-7,432,000","30,128,000","48,486,000","48,431,000","93,600,000","68,951,000","61,357,000","53,374,000","48,322,000","13,956,000","22,513,000","5,679,000","-19,060,000","-22,200,963","-15,994,000","-8,222,000","-14,317,000","-7,710,659"
EBITDA,"106,880,000"
ReconciledCostOfRevenue,"867,912,000","229,125,000","220,485,000","222,221,000","196,080,000","156,856,000","151,092,000","137,059,000","108,366,000","341,053,000","344,745,000","434,575,000","421,700,000","414,640,000","325,131,000","343,363,000","373,164,000","317,058,000","279,074,000","240,178,000","189,483,000","160,716,000","159,650,665","121,013,000","75,643,000","91,374,000","126,424,319"
ReconciledDepreciation,"131,753,000","31,854,000","33,124,000","33,532,000","33,243,000","33,478,000","35,446,000","37,467,000","40,172,000","40,205,000","39,052,000","37,653,000","35,482,000","33,117,000","24,710,000","23,217,000","21,275,000","18,936,000","17,026,000","14,745,000","12,706,000","11,151,000","10,872,665","10,790,014","10,794,000","11,085,000","12,497,950"
NetIncomeFromContinuingOperationNetMinorityInterest,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
TotalUnusualItemsExcludingGoodwill,"-67,711,000","-16,117,000","-24,146,000","-12,424,000","-15,025,000","-13,052,000","-39,609,000","-11,286,000","-8,734,000","-36,508,000","-28,638,000","-31,153,000","-31,198,000","-19,228,000","-16,159,000","-16,407,000","-18,990,000","-7,665,000","-10,115,000","-8,742,000","-9,787,000","-10,442,000","-17,152,184","-5,923,000","4,806,000","-4,767,000","-6,175,249"
TotalUnusualItems,"-67,711,000","-16,117,000","-24,146,000","-12,424,000","-15,025,000","-13,052,000","-39,609,000","-11,286,000","-8,734,000","-36,508,000","-28,638,000","-31,153,000","-31,198,000","-19,228,000","-16,159,000","-16,407,000","-18,990,000","-7,665,000","-10,115,000","-8,742,000","-9,787,000","-10,442,000","-17,152,184","-5,923,000","4,806,000","-4,767,000","-6,175,249"
NormalizedEBITDA,"174,591,000","64,059,000","34,562,000","39,753,000","36,219,000","19,668,000","18,725,000","11,989,000","17,317,000","69,281,000","97,818,000","117,292,000","115,111,000","145,945,000","109,820,000","100,981,000","93,639,000","74,923,000","41,097,000","46,000,000","28,172,000","2,533,000","5,823,886","719,014","-2,234,000","1,535,000","10,962,540"
TaxRateForCalcs,"0.136","0.259","0.114","0.201","0.303","0.246","0.219","0.209","0.2","0.104","0.209","0.264","0.221","0.239","0.228","0.227","0.236","0.22","0.229","0.4","0.021","0.4","0.35","0.338","0.346","0.344","0.359"
TaxEffectOfUnusualItems,"-9,186,023.659","-4,174,303","-2,761,807.748","-2,497,224","-4,552,575","-3,210,792","-8,687,272.578","-2,358,774","-1,746,800","-3,796,832","-5,984,357.928","-8,224,392","-6,894,758","-4,595,492","-3,677,748.385","-3,724,389","-4,481,640","-1,686,300","-2,320,308.916","-3,496,800","-205,527","-4,176,800","-6,004,533.521","-2,001,974","1,662,876","-1,640,801.4","-2,214,878.584"
