name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"727,474,000","203,095,000","189,995,000","173,835,000","160,549,000","143,132,000","101,982,000","45,453,000","73,106,000"
	OperatingRevenue,"727,474,000","203,095,000","189,995,000","173,835,000","160,549,000","143,132,000","101,982,000","45,453,000","73,106,000"
CostOfRevenue,"515,762,000","148,893,000","135,745,000","121,783,000","109,341,000","99,134,000","68,847,000","31,275,000","51,634,000"
GrossProfit,"211,712,000","54,202,000","54,250,000","52,052,000","51,208,000","43,998,000","33,135,000","14,178,000","21,472,000"
OperatingExpense,"562,035,000","119,053,000","168,009,000","176,720,000","98,253,000","44,879,000","30,444,000","14,074,000","15,837,000"
	SellingGeneralAndAdministration,"504,443,000","103,369,000","152,652,000","162,943,000","85,479,000","32,651,000","19,534,000","8,642,000","13,662,000"
		GeneralAndAdministrativeExpense,"504,443,000","103,369,000","152,652,000","162,943,000","85,479,000","32,651,000","19,534,000","8,642,000","13,662,000"
			OtherGandA,"504,443,000","103,369,000","152,652,000","162,943,000","85,479,000","32,651,000","19,534,000","8,642,000","13,662,000"
	DepreciationAmortizationDepletionIncomeStatement,"57,592,000","15,684,000","15,357,000","13,777,000","12,774,000","12,228,000","10,910,000","5,432,000","2,175,000"
		DepreciationAndAmortizationInIncomeStatement,"57,592,000","15,684,000","15,357,000","13,777,000","12,774,000","12,228,000","10,910,000","5,432,000","2,175,000"
OperatingIncome,"-350,323,000","-64,851,000","-113,759,000","-124,668,000","-47,045,000","-881,000","2,691,000","104,000","5,635,000"
NetNonOperatingInterestIncomeExpense,"-33,720,000","-3,441,000","-3,602,000","-3,503,000","-23,174,000","-8,632,000","-6,421,000","-5,562,000","-1,680,000"
	InterestExpenseNonOperating,"33,720,000","3,441,000","3,602,000","3,503,000","23,174,000","8,632,000","6,421,000","5,562,000","1,680,000"
OtherIncomeExpense,"-6,623,000","-712,000","-1,277,000","-1,032,000","-3,602,000","-1,930,000","-638,000","-254,000","-599,000"
	SpecialIncomeCharges,"-5,243,000","-712,000","-1,253,000","-1,032,000","-2,246,000","-1,841,000","-594,000","-232,000","-599,000"
		RestructuringAndMergernAcquisition,"5,243,000","712,000","1,253,000","1,032,000","2,246,000","1,841,000","594,000","232,000","599,000"
	OtherNonOperatingIncomeExpenses,,,"-24,000",,"-1,356,000","-89,000","-44,000","-22,000","354,000"
PretaxIncome,"-390,666,000","-69,004,000","-118,638,000","-129,203,000","-73,821,000","-11,443,000","-4,368,000","-5,712,000","3,356,000"
TaxProvision,"-29,823,000","-6,676,000","-10,608,000","-8,751,000","-3,788,000","-2,761,000","-1,074,000","-1,370,000","703,000"
NetIncomeCommonStockholders,"-360,843,000","-62,328,000","-108,030,000","-120,452,000","-70,033,000","-45,432,000","-3,294,000","-4,342,000","2,208,000"
	NetIncome,"-360,843,000","-62,328,000","-108,030,000","-120,452,000","-70,033,000","-8,682,000","-3,294,000","-4,342,000","2,653,000"
		NetIncomeIncludingNoncontrollingInterests,"-360,843,000","-62,328,000","-108,030,000","-120,452,000","-70,033,000","-8,682,000","-3,294,000","-4,342,000","2,653,000"
