name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
			CurrentAccruedExpenses,"57,465,000","60,227,000","38,666,000","46,792,000","39,680,000","40,490,000","43,157,000","79,365,000","68,291,000","77,096,000","88,996,000","81,473,000","90,314,000","113,561,000","94,968,000","91,115,000","84,784,000","112,811,000","128,444,000","86,268,000","78,560,000","177,336,000","111,428,000","195,767,000","129,953,000","141,169,000","153,774,000","146,446,000","120,768,000","162,342,000","90,125,000","99,156,000","139,894,000","122,689,000","120,329,000","121,802,000","125,225,000","167,175,000","103,852,000","113,544,000","121,127,000","234,688,000","78,366,000","66,715,000","55,131,000","60,542,000","174,806,000","167,973,000","104,952,000","98,330,000","133,241,000","31,559,000","104,346,000","157,049,000","92,845,000","101,989,000","87,633,000","79,434,000","56,542,000","40,207,000","44,657,000","18,585,000","11,154,000","10,878,000","5,250,000","4,541,000","4,915,000"
				InterestPayable,"3,579,000","8,454,000","3,830,000","7,922,000","3,953,000","8,796,000","7,713,000","10,943,000","8,175,000","10,161,000","7,059,000","10,128,000","6,604,000","11,786,000","14,862,000","14,598,000","11,117,000","15,396,000","11,211,000","15,242,000","12,651,000","15,329,000","11,991,000","15,318,000","11,828,000","8,165,000","8,868,000","5,038,000","11,703,000","10,575,000","5,958,000","6,866,000","9,730,000","10,971,000","10,840,000","9,587,000","8,926,000","9,672,000","8,933,000","8,406,000","7,455,000",,"6,875,000","6,839,000","5,970,000","6,982,000",,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,"42,150,000","32,281,000","24,179,000","24,165,000","29,568,000","32,145,000","44,311,000","46,229,000","35,181,000","37,580,000","37,176,000","44,393,000","42,865,000","44,471,000","38,481,000","30,485,000","34,232,000","29,108,000","25,548,000","22,110,000","28,380,000","22,895,000","9,941,000","8,587,000","10,585,000","18,462,000","19,649,000","16,462,000","23,597,000","26,755,000","12,563,000","11,510,000","15,083,000","17,560,000","21,403,000","26,539,000","30,977,000","59,648,000","29,813,000","29,427,000","42,167,000","46,139,000","26,152,000","20,194,000","17,186,000","21,044,000","17,213,000","23,494,000","20,652,000","19,832,000","22,406,000",,"15,404,000",,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"24,429,000","21,256,000","20,327,000","23,400,000","20,742,000","23,312,000","15,865,000","30,877,000","24,543,000","47,901,000","35,949,000","36,065,000","28,521,000","44,337,000","37,367,000","44,152,000","34,739,000","53,225,000","41,922,000","47,217,000","34,947,000","43,370,000","50,443,000","57,974,000","41,019,000","59,476,000","46,205,000","41,923,000","36,355,000","47,667,000","56,326,000","48,533,000","47,555,000","50,449,000","48,024,000","41,282,000","42,491,000","40,750,000","36,836,000","31,670,000","33,293,000",,"34,603,000","26,034,000","21,087,000","33,227,000",,,,,,"14,139,000",,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"543,289,000","124,822,000","78,913,000","87,040,000","170,709,000","169,326,000","407,878,000","449,704,000","136,106,000","114,319,000","88,941,000","71,195,000","50,340,000","40,074,000","65,885,000","58,194,000","359,458,000","357,816,000","356,948,000","426,800,000","79,613,000","71,376,000","558,679,000","370,547,000","76,688,000","28,436,000","24,744,000","16,380,000","19,492,000","264,919,000","259,305,000","254,490,000","485,037,000","527,237,000","335,316,000","277,200,000","150,083,000","14,700,000","292,075,000","20,767,000","2,188,000","196,710,000","192,913,000","297,823,000","391,667,000","198,010,000",,"176,680,000","192,821,000","149,218,000","135,518,000","50,710,000",,,"200,000,000","200,000,000",,"425,000,000",,,,,,,,,
			CurrentDebt,"531,850,000","112,669,000","66,304,000","74,071,000","157,180,000","159,590,000","397,883,000","437,871,000","124,682,000","104,856,000","80,297,000","62,874,000","41,838,000","40,074,000","65,885,000","58,194,000","359,458,000","357,816,000","356,948,000","426,800,000","79,613,000","71,376,000","535,226,000","350,764,000","63,348,000","21,041,000","20,523,000","12,160,000","18,222,000","263,430,000","257,941,000","252,655,000","477,658,000","512,801,000","306,845,000","245,912,000","117,079,000","14,700,000","292,075,000","20,767,000","2,188,000","196,710,000","192,913,000","297,823,000","391,667,000","198,010,000",,"176,680,000","192,821,000","149,218,000","135,518,000","50,710,000",,,"200,000,000","200,000,000",,"425,000,000",,,,,,,,,
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,276,000",,,"17,484,000","50,710,000",,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"531,850,000","112,669,000","66,304,000","74,071,000","157,180,000","159,590,000","397,883,000","437,871,000","124,682,000","104,856,000","80,297,000","62,874,000","41,838,000","40,074,000","65,885,000","58,194,000","359,458,000","357,816,000","356,948,000","426,800,000","79,613,000","71,376,000","535,226,000","350,764,000","63,348,000","21,041,000","20,523,000","12,160,000","18,222,000","263,430,000","257,941,000","252,655,000","477,658,000","512,801,000","306,845,000","245,912,000","117,079,000","14,700,000","292,075,000","20,767,000","2,188,000","196,710,000","192,913,000","297,823,000","391,667,000","198,010,000",,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"11,439,000","12,153,000","12,609,000","12,969,000","13,529,000","9,736,000","9,995,000","11,833,000","11,424,000","9,463,000","8,644,000","8,321,000","8,502,000",,,,,,,,,"0","23,453,000","19,783,000","13,340,000","7,395,000","4,221,000","4,220,000","1,270,000","1,489,000","1,364,000","1,835,000","7,379,000","14,436,000","28,471,000","31,288,000","33,004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"66,127,000","88,844,000","70,515,000","65,425,000","60,385,000","72,424,000","55,274,000","88,265,000","126,281,000","139,208,000","119,418,000","109,424,000","93,442,000","108,381,000","95,282,000","93,976,000","88,874,000","104,828,000","82,394,000","76,594,000","65,978,000","114,927,000","143,864,000","159,228,000","196,910,000","169,297,000","125,178,000","146,267,000","143,503,000","148,640,000","411,155,000","314,665,000","261,130,000","374,820,000","323,827,000","413,468,000","330,177,000","32,507,000","13,005,000","14,514,000","18,326,000",,"48,674,000","27,380,000","27,272,000","21,972,000",,,"459,000","459,000","5,658,000","30,571,000",,,,,,,,,,,,,,,
