name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
OperatingCashFlow,"48,056,000","9,303,000","21,910,000","10,693,000","12,206,000","11,921,000","11,954,000","13,633,000","1,240,000","1,363,000","7,484,000","10,300,000","4,873,000","5,352,000","6,072,000","3,073,000","5,065,000","4,074,000","5,868,000","1,792,000","2,008,000"
	CashFlowFromContinuingOperatingActivities,"48,056,000","9,303,000","21,910,000","10,693,000","12,206,000","11,921,000","11,954,000","13,633,000","1,240,000","1,363,000","7,484,000","10,300,000","4,873,000","5,352,000","6,072,000","3,073,000","5,065,000","4,074,000","5,868,000","1,792,000","2,008,000"
		NetIncomeFromContinuingOperations,"-20,266,000","-10,438,000","-3,681,000","930,000","-4,595,000","-53,000","-4,121,000","-2,022,000","-2,810,000","1,919,000","1,934,000","27,000","-593,000","-1,222,000","2,351,000","2,862,000","-655,000","-6,836,000","-332,000","384,000","886,000"
		OperatingGainsLosses,,,,,,,,"1,469,000",,,,"0","152,000","0","8,000","0","242,000","6,564,000","1,686,000","-356,000","-58,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"0","242,000","6,564,000","1,681,000","-357,000",
		DepreciationAmortizationDepletion,"27,792,000","7,447,000","6,870,000","6,480,000","6,995,000","5,851,000","5,092,000","4,549,000","4,475,000","4,538,000","4,655,000","4,689,000","4,425,000","3,898,000","3,552,000","2,963,000","3,000,000","3,020,000","2,856,000","2,632,000","2,382,000"
			DepreciationAndAmortization,"27,792,000","7,447,000","6,870,000","6,480,000","6,995,000","5,851,000","5,092,000","4,549,000","4,475,000","4,538,000","4,655,000","4,689,000","4,425,000","3,898,000","3,552,000","2,963,000","3,000,000","3,020,000","2,856,000","2,632,000","2,382,000"
		DeferredTax,"515,000","884,000","-228,000","129,000","-110,000","-87,000","-219,000","-405,000","-134,000",,,"-550,000","-36,000","0","0","-214,000","0","0","-468,000",,
			DeferredIncomeTax,"515,000","884,000","-228,000","129,000","-110,000","-87,000","-219,000","-405,000","-134,000",,,"-550,000","-36,000","0","0","-214,000","0","0","-468,000",,
		ProvisionandWriteOffofAssets,"208,000","199,000","116,000","-107,000","0","67,000","62,000","72,000","41,000","43,000","21,000","-13,000","-15,000","43,000","15,000","-19,000","-28,000","33,000","28,000","249,000","0"
		UnrealizedGainLossOnInvestmentSecurities,,"0","0",,"0",,,,,,,,,,,,,,,,
		StockBasedCompensation,"26,158,000","6,257,000","6,624,000","8,166,000","5,111,000","4,142,000","3,441,000","3,002,000","2,816,000","2,510,000","2,124,000","2,002,000","1,808,000","1,363,000","951,000","750,000",,,"0",,
		OtherNonCashItems,"28,054,000","13,747,000","4,177,000","3,721,000","6,409,000","2,627,000","-66,000","1,591,000","-617,000","-3,522,000","342,000","1,755,000","-263,000","2,044,000","-986,000","-455,000","1,521,000","1,177,000","603,000","-1,722,000","-1,420,000"
		ChangeInWorkingCapital,"-14,658,000","-8,793,000","8,032,000","-8,879,000","-1,604,000","1,727,000","7,765,000","5,377,000","-3,360,000","-1,457,000","-1,592,000","2,390,000","-605,000","-774,000","181,000","-2,814,000","168,000","116,000","1,495,000","549,000","218,000"
			ChangeInReceivables,"-15,174,000","-2,216,000","-628,000","-8,076,000","-4,254,000","2,486,000","-1,094,000","-239,000","-2,876,000","869,000","1,218,000","-1,328,000","950,000","697,000","2,111,000","-4,526,000","745,000","-540,000","2,000,000","-3,177,000","1,569,000"
				ChangesInAccountReceivables,"-15,174,000","-2,216,000","-628,000","-8,076,000","-4,254,000","2,486,000","-1,094,000","-239,000","-2,876,000","869,000","1,218,000","-1,328,000","950,000","697,000","2,111,000","-4,526,000","745,000","-540,000","2,000,000","-3,177,000","1,569,000"
			ChangeInPrepaidAssets,"-3,655,000","423,000","-4,541,000","-2,613,000","3,076,000","-51,000","-1,976,000","864,000","-1,231,000","230,000","-847,000","962,000","-1,195,000","44,000","-628,000","-416,000","529,000","1,545,000","-641,000","268,000","25,000"
			ChangeInPayablesAndAccruedExpense,"12,540,000","266,000","7,237,000","751,000","4,286,000","10,292,000","-993,000","3,721,000","667,000","-831,000","-1,743,000","-2,069,000","1,776,000","377,000","-280,000","-448,000","1,259,000","1,121,000","1,280,000","1,025,000","-435,000"
				ChangeInPayable,"5,333,000","1,070,000","419,000","2,693,000","1,151,000","-2,464,000","2,503,000","-750,000","1,099,000","-1,070,000","960,000","-4,257,000","3,244,000","-29,000","-726,000","448,000","1,035,000","-538,000","227,000","-312,000","-49,000"
					ChangeInAccountPayable,"5,333,000","1,070,000","419,000","2,693,000","1,151,000","-2,464,000","2,503,000","-750,000","1,099,000","-1,070,000","960,000","-4,257,000","3,244,000","-29,000","-726,000","448,000","1,035,000","-538,000","227,000","-312,000","-49,000"
				ChangeInAccruedExpense,"7,207,000","-804,000","6,818,000","-1,942,000","3,135,000","12,756,000","-3,496,000","4,471,000","-432,000","239,000","-2,703,000","2,188,000","-1,468,000","406,000","446,000","-896,000","224,000","1,659,000","1,053,000","1,337,000","-386,000"
			ChangeInOtherCurrentAssets,"-2,666,000","-210,000","-877,000","-3,139,000","1,560,000","-1,177,000","-1,298,000","-145,000","-91,000","-931,000","-377,000","-400,000","-1,110,000","-1,136,000","-123,000","-188,000","-1,427,000","-1,489,000","-78,000","-22,000","3,000"
			ChangeInOtherCurrentLiabilities,"-4,038,000","-1,171,000","-1,179,000","-913,000","-776,000","-7,488,000","5,256,000","105,000","53,000","-44,000","-21,000","4,000","-5,000","-21,000","-22,000","202,000","11,000","134,000","15,000","-29,000","-3,000"
			ChangeInOtherWorkingCapital,"-1,665,000","-5,885,000","8,020,000","5,111,000","-5,496,000","-2,335,000","7,870,000","1,071,000","118,000","-750,000","178,000","5,221,000","-1,021,000","-735,000","-877,000","2,562,000","-949,000","-655,000","-1,081,000","2,484,000","-941,000"
InvestingCashFlow,"-139,979,000","-37,245,000","-62,353,000","631,000","-41,012,000","-54,605,000","-61,329,000","-29,687,000","-1,863,000","-2,099,000","-1,782,000","-12,023,000","-86,760,000","-22,919,000","-22,026,000","-7,099,000","-850,000","-8,116,000","-21,990,000","-40,193,000","-1,686,000"
	CashFlowFromContinuingInvestingActivities,"-139,979,000","-37,245,000","-62,353,000","631,000","-41,012,000","-54,605,000","-61,329,000","-29,687,000","-1,863,000","-2,099,000","-1,782,000","-12,023,000","-86,760,000","-22,919,000","-22,026,000","-7,099,000","-850,000","-8,116,000","-21,990,000","-40,193,000","-1,686,000"
		CapitalExpenditureReported,"-9,623,000","-2,930,000","-2,342,000","-2,250,000","-2,101,000","-2,031,000","-1,715,000","-1,873,000","-1,770,000","-1,035,000","-1,126,000","-971,000","-969,000","-575,000","-519,000","-1,240,000","-581,000","-990,000","-498,000","-763,000","-449,000"
		NetPPEPurchaseAndSale,,,,,,"-336,000","-549,000","-1,028,000","-960,000","-375,000","-548,000","-222,000","-273,000","-205,000","-107,000","-908,000","-304,000","-761,000","-244,000","-91,000","-233,000"
			PurchaseOfPPE,,,,,,"-336,000","-549,000","-1,028,000","-960,000","-375,000","-548,000","-222,000","-273,000","-205,000","-107,000","-908,000","-304,000","-761,000","-244,000","-91,000","-233,000"
		NetIntangiblesPurchaseAndSale,"-22,000","0","-11,000","0","-11,000","-74,000","-19,000","-14,000","-13,000","-12,000","-111,000","0","-27,000","-12,000","-33,000","-359,000","-16,000","-802,000","0","0","-1,000"
			PurchaseOfIntangibles,"-22,000","0","-11,000","0","-11,000","-74,000","-19,000","-14,000","-13,000","-12,000","-111,000","0","-27,000","-12,000","-33,000","-359,000","-16,000","-802,000","0","0","-1,000"
		NetBusinessPurchaseAndSale,"-131,715,000","-34,315,000","-60,000,000","0","-37,400,000","-52,500,000","-59,595,000","-27,689,000","0","0","0","-10,174,000","-85,638,000","-20,224,000","-21,000,000","-5,500,000","0","-6,000,000","-20,862,000","-39,000,000","-1,175,000"
			PurchaseOfBusiness,"-131,715,000","-34,315,000","-60,000,000","0","-37,400,000","-52,500,000","-59,595,000","-27,689,000","0","0","0","-10,174,000","-85,638,000","-20,224,000","-21,000,000","-5,500,000","0","-6,000,000","-20,862,000","-39,000,000","-1,175,000"
		NetInvestmentPurchaseAndSale,,,,"2,881,000","-1,500,000","0","0","-111,000","-80,000","-1,052,000","-545,000","-878,000","-126,000","-2,108,000","-474,000","0","-253,000","-324,000","-630,000","-430,000","-61,000"
			PurchaseOfInvestment,,,,"-319,000","-1,500,000","0","0","-111,000","-80,000","-1,052,000","-545,000","-878,000","-126,000","-2,108,000","-474,000","0","-253,000","-324,000","-630,000","-430,000","-61,000"
FinancingCashFlow,"95,970,000","28,544,000","49,223,000","-13,416,000","31,619,000","35,678,000","48,222,000","25,969,000","8,137,000","1,641,000","-6,635,000","1,798,000","82,953,000","18,073,000","16,270,000","1,777,000","-2,497,000","3,361,000","16,603,000","38,804,000","61,000"
	CashFlowFromContinuingFinancingActivities,"95,970,000","28,544,000","49,223,000","-13,416,000","31,619,000","35,678,000","48,222,000","25,969,000","8,137,000","1,641,000","-6,635,000","1,798,000","82,953,000","18,073,000","16,270,000","1,777,000","-2,497,000","3,361,000","16,603,000","38,804,000","61,000"
		NetIssuancePaymentsOfDebt,"103,322,000","28,818,000","55,109,000","-13,434,000","32,829,000","35,693,000","49,307,000","-52,368,000","15,954,000","22,963,000","-7,107,000","1,567,000","62,057,000","21,000,000","17,000,000","2,000,000","-87,975,000","4,000,000","17,321,000","27,600,000","1,000,000"
			NetLongTermDebtIssuance,,,,"0","0",,"49,307,000","-17,414,000","0","138,000,000","0","0","-32,500,000","-1,250,000","-1,250,000","-1,250,000","-17,225,000","-1,250,000","23,421,000","-1,000,000","-2,000,000"
				LongTermDebtIssuance,,,,"0","0",,"88,255,000","0","0","187,708,000","31,283,000","0","0","0","0","0","0","0","24,671,000","43,500,000","5,000,000"
				LongTermDebtPayments,,,,"0",,,"-38,948,000","-17,414,000","0","0","0","0","-32,500,000","-1,250,000","-1,250,000","-1,250,000","-17,225,000","-1,250,000","-1,250,000","-1,000,000","-2,000,000"
			NetShortTermDebtIssuance,"103,322,000","28,818,000","55,109,000","-13,434,000","32,829,000","35,693,000","49,307,000","-34,954,000","15,954,000","-115,037,000","-7,107,000","1,567,000","94,557,000","22,250,000","18,250,000","3,250,000","-70,750,000","5,250,000","-6,100,000","28,600,000","3,000,000"
				ShortTermDebtIssuance,"307,207,000","74,826,000","105,009,000","40,552,000","86,820,000","87,189,000","88,255,000","47,099,000","44,033,000","49,708,000","31,283,000","38,572,000","97,419,000","27,500,000","25,000,000","8,000,000","3,750,000","13,000,000","2,500,000","43,500,000","5,000,000"
				ShortTermDebtPayments,"-203,885,000","-46,008,000","-49,900,000","-53,986,000","-53,991,000","-51,496,000","-38,948,000","-82,053,000","-28,079,000","-164,745,000","-38,390,000","-37,005,000","-2,862,000","-5,250,000","-6,750,000","-4,750,000","-74,500,000","-7,750,000","-8,600,000","-14,900,000","-2,000,000"
		NetCommonStockIssuance,,,,,,,,"78,825,000",,,,"0",,,,"-223,000",,,,,
			CommonStockIssuance,,,,,,,,"82,901,000",,,,"90,027,000",,,,"-223,000",,,,,
			CommonStockPayments,,,,,,,,"-4,076,000",,,,"-90,027,000",,,,"0",,,,,
		ProceedsFromStockOptionExercised,"796,000","43,000","174,000","292,000","287,000","148,000","851,000","290,000","0","14,671,000","472,000","282,000",,,,"0",,,,,
		NetOtherFinancingCharges,"-8,148,000","-317,000","-6,060,000","-274,000","-1,497,000","-163,000","-1,936,000","-778,000","-1,010,000",,,"-51,000","-1,154,000","-2,927,000","-730,000","0","114,000","-639,000","-718,000","-1,296,000","-939,000"
EndCashPosition,"22,545,000","27,313,000","26,711,000","13,163,000","15,255,000","12,442,000","19,448,000","20,601,000","10,686,000","3,172,000","2,267,000","3,200,000","3,125,000","2,059,000","1,553,000","1,237,000","2,473,000","755,000","2,449,000","955,000","552,000"
