name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
OperatingCashFlow,"-28,653,000","-34,785,000","3,982,000","-6,270,000","8,420,000","-5,485,000","8,130,456","18,180,343","-2,617,051","-2,500,748","12,829,950","13,322,134","-5,378,459","-4,457,076","10,043,448","5,391,993","3,365,833","-226,079","5,140,830","5,237,195","-2,184,815","2,077,053","5,480,448","3,875,142","1,429,082","2,015,191","1,769,249","2,910,104","951,436","1,108,028","-4,542,135","960,774","-4,227,282","-217,659","-2,545,857","-3,783,714"
	CashFlowFromContinuingOperatingActivities,"-28,653,000","-34,785,000","3,982,000","-6,270,000","8,420,000","-5,485,000","8,130,456","18,180,343","-2,617,051","-2,500,748","12,829,950","13,322,134","-5,378,459","-4,457,076","10,043,448","5,391,993","3,365,833","-226,079","5,140,830","5,237,195","-2,184,815","2,077,053","5,480,448","3,875,142","1,429,082","2,015,191","1,769,249","2,910,104","951,436","1,108,028","-4,542,135","960,774","-4,227,282","-217,659","-2,545,857","-3,783,714"
		NetIncomeFromContinuingOperations,"-36,353,000","-17,542,000","-9,266,000","-2,069,000","-7,476,000","-10,888,000","-3,297,894","3,547,032","153,095","-3,590,233","4,633,452","3,067,163","-5,661,350","-3,422,000","1,757,418","-97,166","-3,500,519","-3,520,937","1,514,893","-245,547","-2,652,162","-2,879,525","1,233,401","620,730","-3,243,002","-1,771,802","2,780,262","-1,675,350","-2,228,650","-2,587,074","-16,446,750","-9,483,241","-6,266,802","-5,142,224","-5,219,215","-6,495,642"
		OperatingGainsLosses,"4,930,000","1,663,000","1,472,000","1,048,000","1,056,000","296,000","504,481","1,264,664","34,193","1,662","648,922","137,422","-7,344","8,028","37,390","28,508","48,382","27,879","6,024","-37,234","571,665","-102,111","87,818","-35,997","101,502","85,285","-87,266","-472,603","28,013","122,829","499,246","76,127","35,944","34,766","460,674","19,233"
			GainLossOnSaleOfPPE,"1,851,000","353,000","591,000","509,000","707,000","60,000","504,481","1,264,664","34,193","1,662","648,922","137,422","-7,344","8,028","37,390","28,508","48,382","27,879","6,024","6,819","84,868","6,005","19,734","11,185","15,205","143,407","10,277","2,643","71,956","8,723","161,870","76,127","35,944","34,766","460,674","19,233"
			GainLossOnInvestmentSecurities,,,,,,"236,000",,,,,,,,,,,,,"0","-44,053","486,797","-108,116","68,084","-47,182","86,297","-58,122","-97,543","-475,246","-43,943","114,106",,,,,,
			EarningsLossesFromEquityInvestments,"3,079,000","1,310,000","881,000","539,000","349,000","236,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"31,386,000","8,007,000","7,979,000","7,746,000","7,654,000","7,089,000","6,179,242","5,051,846","5,440,881","4,453,031","4,214,273","4,063,970","3,923,361","3,720,091","3,649,763","3,622,894","3,461,032","3,334,348","3,281,182","3,215,554","3,146,492","3,049,127","2,929,055","2,720,436","2,166,405","2,071,272","2,030,504","1,918,749","1,869,377","1,754,905","1,679,956","1,620,761","1,536,091","1,588,005","2,654,856","1,378,063"
			DepreciationAndAmortization,"31,386,000","8,007,000","7,979,000","7,746,000","7,654,000","7,089,000","6,179,242","5,051,846","5,440,881","4,453,031","4,214,273","4,063,970","3,923,361","3,720,091","3,649,763","3,622,894","3,461,032","3,334,348","3,281,182","3,215,554","3,146,492","3,049,127","2,929,055","2,720,436","2,166,405","2,071,272","2,030,504","1,918,749","1,869,377","1,754,905","1,679,956","1,620,761","1,536,091","1,588,005","2,654,856","1,378,063"
		ProvisionandWriteOffofAssets,"78,000","-174,000","114,000","6,000","132,000","126,000","65,996","-14,750","-50,895","208,649","-81,416","106,674","63,634","39,016","78","2,143","-22,675","5,232","-13,605","-16,615","-29,596","77,164","1,983","-17,550","2,598","7,805","14,769","-26,785","24,919","-918","-212,636","9,163","41,719","169,846","112,326","88,344"
