name,ttm,03/31/2022,03/31/2021
OperatingCashFlow,"-548,127,000","-135,813,000","-150,974,000"
	CashFlowFromContinuingOperatingActivities,"-548,127,000","-135,813,000","-150,974,000"
		NetIncomeFromContinuingOperations,"-643,642,000","-76,808,000","-188,619,000"
		OperatingGainsLosses,,"-65,810,000",
			GainLossOnInvestmentSecurities,,"-65,810,000",
		DepreciationAmortizationDepletion,"15,373,000","5,786,000","5,994,000"
			DepreciationAndAmortization,"15,373,000","5,786,000","5,994,000"
		DeferredTax,"-1,867,000","0","-2,637,000"
			DeferredIncomeTax,"-1,867,000","0","-2,637,000"
		AmortizationOfSecurities,"-28,000","-28,000","0"
		StockBasedCompensation,"212,410,000","29,247,000","36,895,000"
		OtherNonCashItems,"22,179,000","6,862,000","13,943,000"
		ChangeInWorkingCapital,"-122,585,000","-35,062,000","-16,550,000"
			ChangeInReceivables,"-27,036,000","5,502,000","0"
			ChangeInPrepaidAssets,"985,000","11,730,000","844,000"
			ChangeInPayablesAndAccruedExpense,"-72,357,000","-45,200,000","-8,244,000"
				ChangeInPayable,"-11,978,000","-7,655,000","4,767,000"
					ChangeInAccountPayable,"-11,978,000","-7,655,000","4,767,000"
				ChangeInAccruedExpense,"-60,379,000","-37,545,000","-13,011,000"
			ChangeInOtherCurrentAssets,"-1,514,000","-772,000","-4,824,000"
			ChangeInOtherCurrentLiabilities,"-22,663,000","-6,322,000","-4,326,000"
InvestingCashFlow,"-1,012,749,000","-971,576,000","291,058,000"
	CashFlowFromContinuingInvestingActivities,"-1,012,749,000","-971,576,000","291,058,000"
		NetPPEPurchaseAndSale,"-46,686,000","-5,513,000","-3,381,000"
			PurchaseOfPPE,"-50,186,000","-5,513,000","-3,381,000"
		NetBusinessPurchaseAndSale,"0","0","294,439,000"
			SaleOfBusiness,"0","0","294,439,000"
		NetInvestmentPurchaseAndSale,"-966,063,000","-966,063,000","0"
			PurchaseOfInvestment,"-966,063,000","-966,063,000","0"
FinancingCashFlow,"1,143,178,000","1,835,000","398,479,000"
	CashFlowFromContinuingFinancingActivities,"1,143,178,000","1,835,000","398,479,000"
		NetIssuancePaymentsOfDebt,,"-86,000","0"
			NetLongTermDebtIssuance,,"-86,000","0"
				LongTermDebtPayments,,"-86,000","0"
		NetCommonStockIssuance,"9,303,000","1,921,000","617,000"
			CommonStockIssuance,"9,303,000","1,921,000","617,000"
		NetPreferredStockIssuance,"0","0","397,862,000"
			PreferredStockIssuance,"0","0","397,862,000"
EndCashPosition,"520,693,000","520,693,000","938,391,000"
	ChangesInCash,"-417,698,000","-1,105,554,000","538,563,000"
	BeginningCashPosition,"938,391,000","1,626,247,000","399,828,000"
CapitalExpenditure,"-50,186,000","-5,513,000","-3,381,000"
IssuanceOfCapitalStock,"9,303,000","1,921,000","398,479,000"
RepaymentOfDebt,,"-86,000","0"
FreeCashFlow,"-598,313,000","-141,326,000","-154,355,000"
