name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
DilutedEPS,,"-0.19","0.17","0.48","0.52","0.54","0.49","0.09","-0.35","-0.45","-0.13","-0.22","-0.08","-0.09","0.05","-0.09","0.004","-0.07","0.06","-8.79","-0.164","-0.102",,"-0.149"
BasicAverageShares,,"135,539,000","134,711,000","133,685,000","132,705,000","129,674,000","127,375,000","125,687,000","122,614,000","120,180,000","118,644,000","116,681,000","114,572,000","110,877,000","109,322,000","106,884,000","102,652,000","99,488,000","96,492,000","5,259,796","94,748,495","85,710,166",,"85,710,166"
DilutedAverageShares,,"135,539,000","141,869,000","142,286,000","142,122,000","140,328,000","138,763,000","136,669,000","122,614,000","120,180,000","118,644,000","116,681,000","114,572,000","110,877,000","123,237,000","106,884,000","121,698,000","99,488,000","119,140,000","5,259,796","94,748,495","85,710,166",,"85,710,166"
TotalOperatingIncomeAsReported,"135,804,000","-23,490,000","21,364,000","68,846,000","69,084,000","75,806,000","65,151,000","11,970,000","-42,209,000","-55,165,000","-17,384,000","-26,549,000","-10,386,000","-10,740,000","5,487,000","-11,749,000","-132,000","-6,902,000","9,494,000","-7,892,000","-13,383,000","-7,835,000","3,379,000","-14,101,000"
TotalExpenses,"2,788,296,000","757,189,000","843,965,000","611,107,000","576,035,000","498,377,000","584,735,000","439,693,000","398,282,000","375,931,000","428,614,000","287,477,000","260,487,000","217,402,000","270,252,000","185,130,000","156,942,000","143,478,000","178,767,000","132,674,000","113,010,000","107,928,000","143,961,000","103,154,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"139,783,000","-26,306,000","23,687,000","68,935,000","73,467,000","76,296,000","67,306,000","12,947,000","-43,148,000","-54,612,000","-15,717,000","-25,155,000","-9,333,000","-9,732,000","6,778,000","-9,527,000","526,000","-6,634,000","6,941,000","-46,235,000","-15,513,000","-8,702,000","3,227,000","-12,743,000"
NormalizedIncome,"139,783,000","-26,306,000","23,687,000","68,935,000","73,467,000","76,296,000","67,306,000","12,947,000","-43,148,000","-54,612,000","-15,717,000","-25,155,000","-9,333,000","-9,732,000","6,778,000","-9,527,000","526,000","-6,634,000","9,222,785.433","-23,625,800","-14,363,400","-8,261,000","3,419,555.622","-13,631,600"
InterestExpense,"3,295,000","1,057,000","749,000","743,000","746,000","742,000","762,000","773,000","1,034,000","863,000","930,000","767,000","571,000","98,000","126,000","112,000","57,000","51,000","326,000","815,000","304,000","167,000","-17,000","32,000"
NetInterestIncome,"-3,295,000","-1,057,000","-749,000","-743,000","-746,000","-742,000","-762,000","-773,000","-1,034,000","-863,000","-930,000","-767,000","-571,000","-98,000","-126,000","-112,000","-57,000","-51,000","-326,000","-815,000","-304,000","-167,000","309,000","-32,000"
EBIT,"140,239,000","-23,081,000","23,370,000","69,346,000","70,604,000","76,247,000","67,364,000","13,172,000","-41,652,000","-53,904,000","-15,150,000","-24,484,000","-9,146,000","-9,773,000","6,825,000","-9,587,000","229,000","-6,454,000","7,438,000","-45,362,000","-15,171,000","-8,487,000","2,358,000","-12,661,000"
EBITDA,"220,450,000"
ReconciledCostOfRevenue,"1,477,464,000","368,892,000","485,685,000","316,034,000","306,853,000","247,412,000","344,428,000","236,839,000","209,237,000","179,665,000","249,583,000","142,451,000","135,892,000","105,771,000","163,448,000","94,388,000","79,058,000","73,464,000","114,800,000","74,887,000","61,990,000","61,253,000","102,677,000","63,003,000"
ReconciledDepreciation,"80,211,000","22,629,000","20,753,000","18,501,000","8,510,000","25,881,000","21,221,000","20,743,000","36,929,000","8,448,000","6,499,000","3,493,000","2,828,000","2,849,000","2,565,000","2,218,000","1,950,000","1,656,000","1,453,000","1,303,000","1,333,000","1,247,000","1,101,000","1,351,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"139,783,000","-26,306,000","23,687,000","68,935,000","73,467,000","76,296,000","67,306,000","12,947,000","-43,148,000","-54,612,000","-15,717,000","-25,155,000","-9,333,000","-9,732,000","6,778,000","-9,527,000","526,000","-6,634,000","6,941,000","-46,235,000","-15,513,000","-8,702,000","3,227,000","-12,743,000"
TotalUnusualItemsExcludingGoodwill,"0",,,,,,,,,,,,,,"0",,,,"-2,338,000","-37,682,000","-1,916,000","-735,000","-199,000","1,481,000"
TotalUnusualItems,"0",,,,,,,,,,,,,,"0",,,,"-2,338,000","-37,682,000","-1,916,000","-735,000","-199,000","1,481,000"
NormalizedEBITDA,"220,450,000","-452,000","44,123,000","87,847,000","79,114,000","102,128,000","88,585,000","33,915,000","-4,723,000","-45,456,000","-8,651,000","-20,991,000","-6,318,000","-6,924,000","9,390,000","-7,369,000","2,179,000","-4,798,000","11,229,000","-6,377,000","-11,922,000","-6,505,000","3,658,000","-12,791,000"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.003","0.023","0.004","0.04","0.014","0.27","0.018","0.27","0.27","0.024","0.4","0.4","0.4","0.032","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-56,214.567","-15,072,800","-766,400","-294,000","-6,444.378","592,400"
