name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalAssets,"1,707,485,000","1,530,452,000","1,611,918,000","1,537,923,000","1,545,869,000","1,331,429,000","1,245,504,000","1,039,217,000","975,603,000","954,930,000","855,026,000","812,009,000","774,809,000","695,539,000","646,131,000","617,598,000","589,273,000","581,232,000","562,347,000","547,041,000","530,714,000","528,042,000","502,151,000","477,115,000","451,842,000","439,041,000","416,322,000","398,946,000","378,694,000","379,884,000","362,909,000","356,719,000","346,373,000","351,578,000","332,688,000","305,378,000","282,881,000","279,841,000","304,928,000","289,728,000","274,510,000","349,458,000","339,200,000","321,267,000","303,730,000","299,521,000","287,169,000","285,436,000","272,631,000","277,286,000","267,500,000","252,095,000","243,222,000","246,428,000","240,074,000","229,064,000","200,791,000","198,366,000","198,369,000","193,261,000","189,174,000","204,278,000","197,455,000","189,430,000","185,499,000","190,462,000","185,695,000","179,256,000","170,312,000","176,705,000","116,385,006","104,054,577"
	CurrentAssets,"1,252,022,000","1,067,382,000","1,144,207,000","1,071,141,000","1,136,541,000","899,448,000","870,513,000","621,540,000","555,500,000","362,911,000","528,295,000","502,563,000","349,118,000","326,325,000","290,683,000","253,599,000","241,586,000","238,367,000","218,193,000","204,416,000","208,091,000","230,529,000","229,785,000","229,598,000","203,594,000","334,773,000","312,345,000","296,314,000","276,512,000","274,308,000","257,868,000","252,148,000","241,938,000","245,231,000","231,251,000","202,977,000","187,376,000","219,256,000","244,398,000","227,218,000","218,618,000","283,900,000","269,680,000","260,254,000","246,535,000","228,167,000","215,226,000","216,598,000","199,293,000","202,459,000","190,536,000","171,230,000","159,651,000","160,149,000","154,168,000",,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"375,879,000","517,930,000","443,518,000","424,460,000","408,106,000","460,858,000","331,730,000","481,216,000","441,639,000","270,124,000","436,892,000","413,634,000","260,953,000","246,322,000","210,085,000","170,686,000","156,169,000","167,014,000","138,992,000","128,143,000","137,655,000","168,243,000","161,444,000","153,275,000","137,995,000","284,434,000","255,892,000","236,780,000","223,243,000","233,787,000","212,121,000","198,896,000","193,528,000","200,433,000","177,446,000","149,947,000","142,978,000","180,116,000","204,282,000","188,187,000","179,895,000","247,730,000","237,822,000","211,464,000","196,230,000","129,933,000","187,906,000","187,613,000","167,694,000","174,338,000","162,327,000","144,975,000","137,428,000","142,550,000","132,998,000","118,378,000","93,069,000","128,745,000","131,565,000","125,620,000","116,494,000","134,813,000","127,258,000","119,986,000","115,988,000","121,944,000","115,701,000","110,566,000","102,646,000","107,248,000","25,229,934","20,780,647"
			CashAndCashEquivalents,"364,567,000","506,735,000","432,715,000","413,612,000","390,915,000","460,858,000","310,368,000","404,148,000","363,811,000","270,124,000","320,527,000","286,179,000","260,953,000","246,322,000","210,085,000","170,686,000","156,169,000","167,014,000","138,992,000","128,143,000","137,655,000","168,243,000","161,444,000","153,275,000","137,995,000","199,728,000","160,376,000","169,263,000","161,048,000","168,924,000","155,100,000","133,154,000","130,045,000","132,691,000","119,009,000","135,468,000","125,919,000","128,908,000","150,101,000","129,595,000","119,809,000","169,620,000","157,622,000","135,768,000","116,567,000","124,994,000","108,745,000","113,526,000","104,552,000","103,341,000","106,133,000","88,737,000","109,823,000","107,323,000","114,962,000","96,256,000","54,299,000","72,711,000","74,350,000","65,350,000","68,291,000","82,000,000","65,293,000","51,291,000","52,158,000","58,189,000","54,493,000","37,630,000","57,042,000","97,652,000","0","0"
			OtherShortTermInvestments,"11,312,000","11,195,000","10,803,000","10,848,000","17,191,000",,"21,362,000","77,068,000","77,828,000",,"116,365,000","127,455,000",,,,,,,,,,,,,,"84,706,000","95,516,000","67,517,000","62,195,000","64,863,000","57,021,000","65,742,000","63,483,000","67,742,000","58,437,000","14,479,000","17,059,000","51,208,000","54,181,000","58,592,000","60,086,000","78,110,000","80,200,000","75,696,000","79,663,000","4,939,000","79,161,000","74,087,000","63,142,000","70,997,000","56,194,000","56,238,000","27,605,000","35,227,000","18,036,000","22,122,000","38,770,000","56,034,000","57,215,000","60,270,000","48,203,000","52,813,000","61,965,000","68,695,000","63,830,000","63,755,000","61,208,000","72,936,000","45,604,000","9,596,000","25,229,934","20,780,647"
		Receivables,"711,316,000","472,227,000","619,607,000","562,864,000","652,409,000","359,492,000","462,559,000","99,222,000","93,572,000","62,017,000","72,812,000","66,332,000","70,946,000","57,535,000","62,004,000","61,883,000","67,529,000","52,636,000","63,027,000","55,215,000","56,642,000","50,668,000","56,583,000","62,860,000","52,755,000","40,459,000","49,280,000","46,938,000","46,062,000","33,836,000","36,947,000","40,896,000","39,077,000","34,158,000","36,876,000","41,826,000","35,467,000","31,044,000","33,414,000","33,209,000","33,039,000","36,170,000","31,858,000","34,494,000","30,064,000","25,682,000","27,320,000","24,091,000","26,685,000","23,150,000","23,653,000","21,685,000","17,917,000","13,283,000","16,754,000","18,439,000","17,477,000","18,397,000","19,682,000","19,007,000","19,998,000","17,429,000","18,796,000","16,893,000","15,866,000","14,796,000","17,245,000","16,027,000","14,554,000","14,375,000",,
			AccountsReceivable,"75,520,000","63,881,000","67,766,000","87,125,000","87,452,000","79,577,000","81,706,000","99,222,000","93,572,000","62,017,000","72,812,000","66,332,000","70,946,000","57,535,000","62,004,000","61,883,000","67,529,000","52,636,000","63,027,000","55,215,000","56,642,000","50,668,000","56,583,000","62,860,000","52,755,000","40,459,000","49,280,000","46,938,000","46,062,000","33,836,000","36,947,000","40,896,000","39,077,000","34,158,000","36,876,000","41,826,000","35,467,000","31,044,000","33,414,000","33,209,000","33,039,000","36,170,000","31,858,000","34,494,000","30,064,000","25,682,000","27,320,000","24,091,000","26,685,000","23,150,000","23,653,000","21,685,000","17,917,000","13,283,000","16,754,000","18,439,000","17,477,000","18,397,000","19,682,000","19,007,000","19,998,000","17,429,000","18,796,000","16,893,000","15,866,000","14,796,000","17,245,000","16,027,000","14,554,000","14,375,000",,
				GrossAccountsReceivable,"75,688,000","64,021,000","67,848,000","87,182,000","87,559,000","79,740,000","81,872,000","99,422,000","93,655,000","62,074,000","72,958,000","66,408,000","71,060,000","57,615,000","62,095,000","61,957,000","67,625,000","52,814,000","63,098,000","55,299,000","56,699,000","50,750,000","56,777,000","63,038,000","52,874,000","40,568,000","49,319,000","47,037,000","46,124,000","33,839,000","37,030,000","40,910,000","39,247,000","34,291,000","36,952,000","41,957,000","35,541,000","31,119,000","33,736,000","33,615,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-168,000","-140,000","-82,000","-57,000","-107,000","-163,000","-166,000","-200,000","-83,000","-57,000","-146,000","-76,000","-114,000","-80,000","-91,000","-74,000","-96,000","-178,000","-71,000","-84,000","-57,000","-82,000","-194,000","-178,000","-119,000","-109,000","-39,000","-99,000","-62,000","-3,000","-83,000","-14,000","-170,000","-133,000","-76,000","-131,000","-74,000","-75,000","-322,000","-406,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"635,796,000","408,346,000","551,841,000","475,739,000","564,957,000","279,915,000","380,853,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
