name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalAssets,"13,442,000,000","13,611,000,000","13,572,000,000","12,861,000,000","13,931,000,000","14,026,000,000","14,143,000,000","12,990,000,000","12,049,000,000","12,843,000,000","12,019,000,000","11,760,000,000","11,937,000,000","11,003,000,000","10,986,000,000","10,747,000,000","10,695,000,000","10,503,000,000","10,439,000,000","10,171,000,000","10,109,000,000","10,100,000,000","10,173,000,000","10,109,000,000","10,097,000,000","9,962,000,000","10,074,000,000","9,720,000,000","10,613,000,000","9,877,000,000","9,801,000,000","9,757,000,000","9,550,000,000","8,948,000,000","8,927,539,000","9,036,185,000","9,306,164,000","9,283,863,000","9,318,721,000","9,392,847,000","9,451,444,000","9,313,379,000","9,326,471,000","9,431,191,000","9,224,729,000","8,527,630,000","8,459,300,000","8,481,792,000","8,516,209,000","8,563,643,000","8,365,725,000","8,211,435,000","8,346,633,000","8,403,830,000","8,568,756,000","8,567,033,000","8,646,334,000","8,565,693,000","8,582,631,000","8,494,033,000","6,186,542,000","5,661,482,000","5,704,810,000","5,447,594,000","5,434,568,000","5,306,115,000","4,534,734,000","4,507,604,000","4,341,967,000","4,203,788,000","4,394,958,000","4,346,851,000","4,380,057,000","4,301,418,000","4,260,766,000","4,244,041,000","4,186,295,000","3,324,197,000","3,465,737,000","3,451,485,000","3,005,716,000","2,930,555,000","2,933,470,000","2,898,425,000","2,903,235,000","2,864,536,000","3,006,154,000","2,936,900,000","2,838,635,000","2,878,500,000","2,826,600,000","1,312,800,000","1,318,200,000","1,360,200,000","1,366,200,000","1,364,100,000","1,403,600,000","1,400,900,000","1,421,700,000","1,397,200,000","1,385,600,000"
	CurrentAssets,"2,475,000,000","2,741,000,000","2,854,000,000","2,146,000,000","2,999,000,000","3,058,000,000","3,348,000,000","2,380,000,000","1,560,000,000","2,490,000,000","1,779,000,000","1,566,000,000","1,778,000,000","1,390,000,000","1,603,000,000","1,415,000,000","1,371,000,000","1,306,000,000","1,544,000,000","1,500,000,000","1,558,000,000","1,531,000,000","1,642,000,000","1,510,000,000","1,493,000,000","1,501,000,000","1,648,000,000","1,530,000,000","2,375,000,000","1,603,000,000","1,563,000,000","1,505,000,000","1,488,000,000","1,383,000,000","1,425,648,000","1,469,699,000","1,457,166,000","1,560,997,000","1,472,265,000","1,477,175,000","1,518,604,000","1,401,260,000","1,396,277,000","1,477,955,000","2,299,985,000","1,605,417,000","1,552,800,000","1,631,344,000","1,645,248,000","1,679,425,000","1,470,682,000","1,339,098,000","1,484,557,000","1,496,819,000","1,551,567,000","1,417,088,000","1,464,635,000","1,374,357,000","1,449,246,000","1,415,201,000","1,246,949,000","1,191,018,000","1,241,947,000","1,219,311,000","1,199,984,000","1,069,497,000","1,151,342,000","1,144,584,000","1,039,265,000","931,080,000","1,112,835,000","1,044,120,000","1,073,621,000","995,786,000","972,002,000","953,132,000","906,920,000","824,443,000","930,145,000","933,814,000","949,867,000","876,514,000","988,405,000","956,660,000","952,814,000","980,689,000","1,049,348,000","955,694,000","830,424,000","872,700,000","875,000,000","527,800,000","530,600,000","578,200,000","561,700,000","551,100,000","581,600,000","571,900,000","553,400,000","523,500,000","516,500,000"
		CashCashEquivalentsAndShortTermInvestments,"712,000,000","872,000,000","987,000,000","560,000,000","1,230,000,000","1,158,000,000","1,605,000,000","988,000,000","342,000,000","1,192,000,000","434,000,000","273,000,000","464,000,000","135,000,000","263,000,000","132,000,000","124,000,000","137,000,000","350,000,000","314,000,000","367,000,000","359,000,000","406,000,000","283,000,000","128,000,000","133,000,000","123,000,000","150,000,000","974,000,000","192,000,000","170,000,000","144,000,000","144,000,000","187,000,000","158,280,000","148,342,000","133,603,000","295,586,000","191,770,000","173,742,000","145,439,000","164,886,000","110,825,000","184,218,000","994,242,000","449,301,000","369,300,000","447,888,000","463,239,000","534,256,000","247,033,000","119,294,000","204,221,000","253,946,000","286,679,000","143,398,000","170,022,000","167,594,000","164,623,000","122,298,000","158,397,000","149,640,000","105,115,000","150,679,000","156,461,000","92,130,000","210,089,000","204,107,000","86,162,000","73,302,000","201,036,000","137,802,000","190,075,000","154,958,000","91,068,000","88,069,000","55,597,000","96,777,000","113,854,000","89,840,000","149,427,000","122,332,000","238,879,000","174,165,000","120,730,000","171,477,000","161,786,000","99,427,000","28,487,000","27,300,000","36,800,000","148,500,000","154,200,000","202,900,000","181,000,000","152,700,000","172,600,000","161,700,000","124,500,000","75,800,000","67,900,000"
			CashAndCashEquivalents,"712,000,000","872,000,000","987,000,000","560,000,000","1,230,000,000","1,158,000,000","1,605,000,000","988,000,000","342,000,000","1,192,000,000","434,000,000","273,000,000","464,000,000","135,000,000","263,000,000","132,000,000","124,000,000","137,000,000","350,000,000","314,000,000","367,000,000","359,000,000","406,000,000","283,000,000","128,000,000","133,000,000","123,000,000","150,000,000","974,000,000","192,000,000","170,000,000","144,000,000","144,000,000","187,000,000","158,280,000","148,342,000","133,603,000","295,586,000","191,770,000","173,742,000","145,439,000","164,886,000","110,825,000","184,218,000","994,242,000","449,301,000","369,300,000","447,888,000","463,239,000","534,256,000","247,033,000","119,294,000","204,221,000","253,946,000","286,679,000","143,398,000","170,022,000","167,594,000","164,623,000","122,298,000","158,397,000","149,640,000","105,115,000","150,679,000","156,461,000","92,130,000","210,089,000","204,107,000","86,162,000","73,302,000","201,036,000","137,802,000","190,075,000","154,958,000","91,068,000","88,069,000","55,597,000","96,777,000","113,854,000","89,840,000","149,427,000","122,332,000","238,879,000","174,165,000","120,730,000","171,477,000","161,786,000","99,427,000","28,487,000","27,300,000","36,800,000","148,500,000","154,200,000","202,900,000","181,000,000","152,700,000","172,600,000","161,700,000","124,500,000","75,800,000","67,900,000"
		Receivables,"1,371,000,000","1,438,000,000","1,473,000,000","1,255,000,000","1,382,000,000","1,520,000,000","1,421,000,000","1,126,000,000","972,000,000","1,063,000,000","1,117,000,000","1,088,000,000","1,079,000,000","1,012,000,000","1,097,000,000","1,055,000,000","1,026,000,000","924,000,000","960,000,000","947,000,000","960,000,000","926,000,000","966,000,000","975,000,000","952,000,000","901,000,000","914,000,000","937,000,000","949,000,000","932,000,000","953,000,000","963,000,000","977,000,000","852,000,000","920,833,000","946,753,000","929,966,000","867,010,000","930,732,000","941,469,000","973,888,000","906,455,000","936,259,000","929,372,000","940,358,000","845,299,000","884,100,000","869,643,000","865,160,000","827,343,000","888,288,000","896,535,000","888,253,000","832,873,000","888,115,000","922,513,000","947,738,000","881,967,000","962,864,000","973,068,000","810,576,000","774,414,000","857,030,000","800,279,000","775,724,000","732,907,000","693,792,000","693,378,000","702,419,000","649,281,000","686,045,000","677,710,000","650,511,000","609,187,000","643,840,000","628,404,000","613,638,000","522,131,000","576,461,000","597,667,000","548,400,000","508,340,000","513,637,000","520,873,000","509,272,000","485,573,000","513,391,000","504,952,000","484,225,000","539,300,000","553,700,000","224,900,000","229,800,000","220,900,000","236,400,000","243,200,000","242,600,000","238,400,000","271,100,000","288,000,000","291,400,000"
			AccountsReceivable,"1,371,000,000","1,438,000,000","1,473,000,000","1,255,000,000","1,382,000,000","1,520,000,000","1,421,000,000","1,126,000,000","972,000,000","1,063,000,000","1,117,000,000","1,088,000,000","1,079,000,000","1,012,000,000","1,097,000,000","1,055,000,000","1,026,000,000","924,000,000","960,000,000","947,000,000","960,000,000","926,000,000","966,000,000","975,000,000","952,000,000","901,000,000","914,000,000","937,000,000","949,000,000","932,000,000","953,000,000","963,000,000","977,000,000","852,000,000","920,833,000","946,753,000","929,966,000","867,010,000","930,732,000","941,469,000","973,888,000","906,455,000","936,259,000","929,372,000","940,358,000","845,299,000","884,100,000","869,643,000","865,160,000","827,343,000","888,288,000","896,535,000","888,253,000","832,873,000","888,115,000","922,513,000","947,738,000","881,967,000","962,864,000","973,068,000","810,576,000","774,414,000","857,030,000","800,279,000","775,724,000","732,907,000","693,792,000","693,378,000","702,419,000","649,281,000","686,045,000","677,710,000","650,511,000","609,187,000","643,840,000","628,404,000","613,638,000","522,131,000","576,461,000","597,667,000","548,400,000","508,340,000","513,637,000","520,873,000","509,272,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,401,000,000","1,469,000,000","1,502,000,000","1,284,000,000","1,411,000,000","1,548,000,000","1,448,000,000","1,150,000,000","992,000,000","1,078,000,000","1,132,000,000","1,105,000,000","1,096,000,000","1,027,000,000","1,107,000,000","1,066,000,000","1,032,000,000","1,193,000,000","1,246,000,000","1,238,000,000","1,235,000,000","1,191,000,000","1,250,000,000","1,264,000,000","1,221,000,000","1,155,000,000","1,181,000,000","1,202,000,000","1,206,000,000","1,182,000,000","1,214,000,000","1,234,000,000","1,223,000,000","1,088,000,000","1,159,698,000","1,192,728,000","1,168,540,000","1,102,757,000","1,164,681,000","1,190,941,000","1,223,401,000","1,143,794,000","1,178,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-30,000,000","-31,000,000","-29,000,000","-29,000,000","-29,000,000","-28,000,000","-27,000,000","-24,000,000","-20,000,000","-15,000,000","-15,000,000","-17,000,000","-17,000,000","-15,000,000","-10,000,000","-11,000,000","-6,000,000","-269,000,000","-286,000,000","-291,000,000","-275,000,000","-265,000,000","-284,000,000","-289,000,000","-269,000,000","-254,000,000","-267,000,000","-265,000,000","-257,000,000","-250,000,000","-261,000,000","-271,000,000","-246,000,000","-236,000,000","-238,865,000","-245,975,000","-238,574,000","-235,747,000","-233,949,000","-249,472,000","-249,513,000","-237,339,000","-242,444,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"197,000,000","208,000,000","205,000,000","199,000,000","223,000,000","223,000,000","205,000,000","154,000,000","126,000,000","123,000,000","112,000,000","105,000,000","98,000,000","99,000,000","95,000,000","91,000,000","94,000,000","95,000,000","100,000,000","83,000,000","77,000,000","82,000,000","82,000,000","80,000,000","82,000,000","84,000,000","86,000,000","109,000,000","106,000,000","110,000,000","111,000,000","109,000,000","99,000,000","91,000,000","85,187,000","89,442,000","89,817,000","93,050,000","94,511,000","90,098,000","88,262,000","89,132,000","84,954,000","87,967,000","71,741,000","76,572,000","73,200,000","78,432,000","79,462,000","91,386,000","80,857,000","79,715,000","86,501,000","102,125,000","98,818,000","98,331,000","97,363,000","95,234,000","92,447,000","96,839,000","87,717,000","78,564,000","77,315,000","71,463,000","77,917,000","77,939,000","78,173,000","76,264,000","76,260,000","75,327,000","73,219,000","72,848,000","72,625,000","72,484,000","68,424,000","68,482,000","67,068,000","60,899,000","59,015,000","57,930,000","51,533,000","49,906,000","46,188,000","44,456,000","45,161,000","44,274,000","43,012,000","47,849,000","49,905,000","52,300,000","51,400,000","32,900,000","33,000,000","31,200,000","29,800,000","29,200,000","30,000,000","30,400,000","29,200,000","27,900,000","28,600,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,848,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
