name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
			SaleOfPPE,"17,000,000","0","4,863,000","271,000","12,178,000","688,000","0","17,000","-207,000","14,141,000","542,000","0","93,000","12,000","960,000","46,000","609,000","1,015,000","95,000","869,000","9,005,000","8,000","2,000","431,000","-8,000","8,795,000","42,000","449,000","12,411,000","4,197,000","383,000","11,662,000","13,000","0","408,000","328,000","329,000","4,742,000","344,000","6,415,000","323,000","685,000","261,000","6,502,000","2,204,000","378,000","1,797,000","232,000","5,924,000","879,000","-197,000","4,037,000","-164,000","8,342,000","1,615,000"
		NetBusinessPurchaseAndSale,"-196,000,000","-9,000,000","-126,034,000","-57,326,000","11,288,000","-14,928,000","-16,611,000","-8,919,000","-5,045,000","-431,026,000","-101,000,000","-14,949,000","-4,500,000","-225,000","-5,414,000","0","-49,273,000","-24,484,000","0","-79,060,000","-4,183,000","250,000","-33,546,000","-54,741,000","-17,732,000","-700,000","-20,000","-733,000","-69,000","-25,860,000","-410,000","3,444,000","-496,000","-165,858,000","-5,187,000","-500,000","-150,000","0","-6,334,000","-12,109,000","-33,000","-14,000,000","-3,126,000","-4,343,000","673,000","-66,000","-9,637,000","-1,502,000","6,000","-4,648,000","-46,282,000","620,000","-1,876,000","-2,895,000","9,065,000"
			PurchaseOfBusiness,,"-9,000,000",,"-57,326,000","11,288,000","-14,928,000","-28,521,000","-8,919,000","-5,045,000","-431,026,000","-101,000,000","-14,949,000","-4,500,000","-225,000","-5,414,000","0","-49,273,000","-24,484,000","0","-79,060,000",,,"-33,546,000","-54,741,000","-17,732,000","-700,000","-20,000","-733,000","-69,000","-25,860,000","-410,000","3,444,000","-496,000","-165,858,000","-5,187,000","-500,000","-150,000","0","-6,334,000","-12,109,000","-33,000","-14,000,000","-3,126,000","-3,096,000","-574,000","-66,000","-9,681,000","-1,542,000","31,000","-4,699,000","-68,782,000","-29,578,000","-1,836,000","-2,935,000","3,915,000"
			SaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,"250,000",,,,,,,,,,,,,,,,,,,,,"0","-1,247,000",,,"44,000","40,000","-25,000","51,000","22,500,000","30,198,000","-40,000","40,000","5,150,000"
		NetInvestmentPurchaseAndSale,"-2,502,000,000","-16,000,000","-483,206,000","-1,294,638,000","-723,730,000","-739,426,000","-253,001,000","-203,208,000","119,057,000","-56,136,000","41,142,000","133,712,000","21,263,000","-202,848,000","-181,688,000","-428,236,000","-167,643,000","-245,158,000","55,520,000","34,240,000","-257,492,000","6,105,000","-132,198,000","-47,655,000","-198,894,000","-2,349,000","-84,995,000","-156,410,000","-150,293,000","-445,050,000","-364,234,000","-263,766,000","-46,673,000","16,044,000","-100,277,000","-174,362,000","-151,661,000","9,972,000","-223,643,000","-178,219,000","28,733,000","29,706,000","-54,093,000","134,378,000","-37,823,000","-50,302,000","-155,411,000","-47,492,000","145,878,000","-162,337,000","-229,227,000","35,302,000","97,383,000","28,827,000","-33,448,000"
			PurchaseOfInvestment,"-5,666,000,000","-764,000,000","-1,238,811,000","-2,001,399,000","-1,676,702,000","-1,431,088,000","-790,146,000","-862,860,000","-631,575,000","-588,327,000","-647,195,000","-470,873,000","-495,767,000","-727,001,000","-1,233,633,000","-757,472,000","-580,638,000","-586,150,000","-694,196,000","-246,540,000","-687,887,000","-341,974,000","-571,919,000","-591,195,000","-616,045,000","-283,584,000","-396,878,000","-519,902,000","-400,490,000","-806,547,000","-765,535,000","-611,093,000","-389,862,000","-202,519,000","-304,990,000","-526,348,000","-417,369,000","-284,003,000","-475,662,000","-648,437,000","-489,567,000","-182,648,000","-336,230,000","-188,811,000","-270,557,000","-210,206,000","-441,938,000","-345,588,000","-266,425,000","-478,850,000","-403,398,000","-272,080,000","-183,977,000","-105,682,000","-111,024,000"
			SaleOfInvestment,"3,164,000,000","748,000,000","755,605,000","706,761,000","952,972,000","691,662,000","537,145,000","659,652,000","750,632,000","532,191,000","688,337,000","604,585,000","517,030,000","524,153,000","1,051,945,000","329,236,000","412,995,000","340,992,000","749,716,000","280,780,000","430,395,000","348,079,000","439,721,000","543,540,000","417,151,000","281,235,000","311,883,000","363,492,000","250,197,000","361,497,000","401,301,000","347,327,000","343,189,000","218,563,000","204,713,000","351,986,000","265,708,000","293,975,000","252,019,000","470,218,000","518,300,000","212,354,000","282,137,000","323,189,000","232,734,000","159,904,000","286,527,000","298,096,000","412,303,000","316,513,000","174,171,000","307,382,000","281,360,000","134,509,000","77,576,000"
		NetOtherInvestingChanges,"-3,000,000","3,000,000","3,607,000","37,611,000","-46,677,000","459,000","-1,250,000","-1,910,000","1,797,000","2,095,000","-3,598,000","-1,481,000","6,556,000","-8,824,000","899,000","3,219,000","-3,049,000","2,292,000","-19,490,000","1,061,000","274,000","-164,000","104,000","-360,000","615,000","353,000","-6,863,000","-488,000","-395,000","3,354,000","1,323,000","3,144,000","-867,000","611,000","-5,664,000","-10,552,000","16,458,000","4,505,000","16,475,000","-22,182,000","962,000","-9,660,000","26,299,000","-1,882,000","10,826,000","-12,683,000","25,202,000","-4,980,000","-13,396,000","28,868,000","98,513,000","-115,473,000","102,080,000","-25,710,000","31,152,000"
FinancingCashFlow,"1,364,000,000","543,000,000","-507,430,000","634,075,000","694,244,000","1,305,111,000","-351,806,000","83,294,000","137,806,000","244,630,000","-503,223,000","49,588,000","-115,445,000","124,011,000","-836,714,000","1,197,044,000","120,518,000","33,887,000","63,147,000","-172,636,000","179,797,000","57,716,000","-475,364,000","241,164,000","313,850,000","27,137,000","56,978,000","-369,863,000","324,873,000","254,372,000","149,944,000","307,236,000","173,654,000","206,226,000","-41,964,000","80,698,000","-10,192,000","224,250,000","-59,279,000","20,524,000","-9,449,000","261,923,000","-255,764,000","-165,941,000","-139,426,000","147,123,000","34,514,000","120,870,000","15,015,000","50,478,000","-58,748,000","-45,923,000","-199,804,000","23,199,000","138,273,000"
	CashFlowFromContinuingFinancingActivities,"1,364,000,000","543,000,000","-507,430,000","634,075,000","694,244,000","1,305,111,000","-351,806,000","83,294,000","137,806,000","244,630,000","-503,223,000","49,588,000","-115,445,000","124,011,000","-836,714,000","1,197,044,000","120,518,000","33,887,000","63,147,000","-172,636,000","179,797,000","57,716,000","-475,364,000","241,164,000","313,850,000","27,137,000","56,978,000","-369,863,000","324,873,000","254,372,000","149,944,000","307,236,000","173,654,000","206,226,000","-41,964,000","80,698,000","-10,192,000","224,250,000","-59,279,000","20,524,000","-9,449,000","261,923,000","-255,764,000","-165,941,000","-139,426,000","147,123,000","34,514,000","120,870,000","15,015,000","50,478,000","-58,748,000","-45,923,000","-199,804,000","23,199,000","138,273,000"
