name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
OperatingCashFlow,"84,564,000","26,317,000","6,199,000","7,207,000","44,841,000","-9,240,000","2,951,000","8,536,000","37,389,000","30,071,000","19,269,000","67,309,000","-2,489,000","108,460,000","48,719,000","63,658,000","20,646,000","4,630,000","19,441,000","2,233,000","4,904,000","-5,060,000","25,692,000","5,718,000","4,300,000","2,960,000","33,019,000","2,984,000","3,696,000","-10,577,000","38,535,000","-759,000","5,016,000","6,010,000","72,089,000","21,622,000","-5,656,000","-13,232,000","37,350,000","-24,025,000","3,059,000","-18,244,000","10,937,000","24,071,000","-4,894,000","-5,551,000","15,217,000","32,669,000","38,446,000","37,199,000","19,887,000","21,780,000","28,512,000","-16,181,000","3,811,000","10,761,000","-9,355,000","9,588,000","3,641,000","-11,371,000","481,000","965,000","34,667,502","-96,932","-260,467","-411,103","-430,334","-198,347","-36,510","-123,430"
	CashFlowFromContinuingOperatingActivities,"84,564,000","26,317,000","6,199,000","7,207,000","44,841,000","-9,240,000","2,951,000","8,536,000","37,389,000","30,071,000","19,750,000","70,252,000","5,993,000","105,792,000","52,738,000","63,658,000","20,646,000","4,630,000","19,441,000","2,233,000","25,804,000","-5,060,000","25,692,000","5,718,000","4,300,000","2,960,000","33,019,000","2,984,000","3,696,000","-10,577,000","51,863,000","300,000","6,346,000","8,645,000","83,613,000","21,622,000","-5,656,000","-13,232,000","37,350,000","-24,025,000","3,059,000","-18,244,000","10,937,000","24,071,000","-4,894,000","-5,551,000","15,217,000","32,669,000","38,446,000","37,199,000","19,887,000","21,780,000","28,512,000","-16,181,000","3,811,000","10,761,000","-9,355,000","9,588,000","3,641,000","-11,371,000","481,000","965,000","34,667,502","-96,932","-260,467","-411,103","-430,334","-198,347","-36,510","-123,430"
		NetIncomeFromContinuingOperations,"51,675,000","11,057,000","24,707,000","13,806,000","2,105,000","8,814,000","10,609,000","12,547,000","8,960,000","33,987,000","14,812,000","8,811,000","11,497,000","20,548,000","9,609,000","11,702,000","-974,000","-9,321,000","-8,833,000","-4,945,000","-1,062,000","-3,723,000","-6,983,000","4,560,000","-1,719,000","-4,035,000","-835,000","312,000","2,724,000","-8,390,000","20,318,000","-1,027,000","3,883,000","-2,456,000","43,368,000","1,266,000","-25,188,000","411,000","-6,487,000","-2,152,000","4,346,000","953,000","7,026,000","5,659,000","2,168,000","2,398,000","6,432,000","7,721,000","10,334,000","9,233,000","-275,000","1,155,000","7,404,000","6,450,000","1,828,000","1,401,000","2,930,000","-1,180,000","3,769,000","644,000","1,679,000","964,000","2,312,455","-96,465","-190,152","159,162","135,071","41,912","114,042","40,521"
		OperatingGainsLosses,"-721,000","-321,000","29,000","-291,000","-138,000","106,000","-1,387,000","0","-39,000","-145,000","805,000","-27,000","81,000","279,000","6,513,000","-237,000","-3,183,000","407,000","5,298,000","-1,755,000","1,981,000","-1,584,000","7,159,000","-2,149,000","-7,149,000","-1,838,000","7,065,000","-8,362,000","2,215,000","-697,000","-8,652,000","6,721,000","1,583,000","1,807,000","-3,721,000","-4,542,000","470,000","633,000","-30,000","-456,000","186,000","-148,000","-10,436,000","-212,000","-2,381,000","5,469,000","-248,000","-241,000","59,000","539,000","186,000","-649,000","430,000","387,000","924,000","-546,000","-55,000","57,000","2,864,000","-69,000","-703,000","-76,000","-594,746",,,"-475,352","-849,026","-24,777","-371,712","-119,065"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,687,000","-3,146,000","58,000","2,000","-300,000","-108,000","-93,000","-31,000","-8,809,000","-131,000","-2,504,000","-267,000","-90,000","-160,000","-72,000","-183,000","-198,000","-84,000","50,000","-419,000",,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,"0","0","0","0","-16,000","-14,000","-57,000","-144,000","-142,000","51,000","-39,000","-76,000","690,000","31,000","-167,000","-77,000","22,000","-287,000","-53,000","-736,000","1,154,000","-505,000","132,000","-188,000","-278,000","31,000","27,000","41,000","1,000","-171,000","511,000","-133,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"0","658,000","-459,000","1,548,000","-850,000","320,000","-4,273,000","-1,332,000","2,838,000","1,150,000","-1,578,000","-1,051,000","1,978,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,"2,988,000","-1,675,000","-2,063,000","750,000","718,000","-2,639,000","-20,000","-3,067,000","1,819,000","-2,498,000","-3,396,000","-419,000","4,173,000","-8,341,000","3,841,000","1,098,000","-11,958,000","5,785,000","1,435,000","1,843,000","-756,000","-1,427,000","385,000","590,000","29,000","-177,000","8,000","16,000","298,000","-606,000","123,000","591,000","-158,000","-81,000","131,000","722,000","384,000","-565,000","380,000","806,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"44,279,000","11,316,000","11,342,000","10,993,000","10,628,000","10,053,000","10,599,000","8,877,000","9,256,000","9,451,000","10,373,000","8,771,000","9,096,000","8,905,000","9,099,000","12,309,000","13,340,000","15,641,000","22,334,000","12,557,000","11,058,000","14,571,000","17,331,000","16,872,000","14,892,000","13,928,000","16,838,000","14,722,000","19,872,000","13,153,000","17,385,000","10,823,000","11,036,000","10,885,000","10,915,000","11,972,000","11,660,000","12,075,000","13,397,000","10,514,000","8,359,000","7,764,000","12,354,000","11,195,000","9,238,000","9,566,000","8,281,000","8,027,000","8,554,000","9,439,000","8,435,000","7,106,000","5,836,000","11,646,000","7,404,000","8,530,000","6,045,000","8,145,000","6,881,000","7,687,000","7,691,000","6,948,000",,,,,,,,
			DepreciationAndAmortization,"44,279,000","11,316,000","11,342,000","10,993,000","10,628,000","10,053,000","10,599,000","8,877,000","9,256,000","9,451,000","10,373,000","8,771,000","9,096,000","8,905,000","9,099,000","12,309,000","13,340,000","15,641,000","22,334,000","12,557,000","11,058,000","14,571,000","17,331,000","16,872,000","14,892,000","13,928,000","16,838,000","14,722,000","19,872,000","13,153,000","17,385,000","10,823,000","11,036,000","10,885,000","10,915,000","11,972,000","11,660,000","12,075,000","13,397,000","10,514,000","8,359,000","7,764,000","12,354,000","11,195,000","9,238,000","9,566,000","8,281,000","8,027,000","8,554,000","9,439,000","8,435,000","7,106,000","5,836,000","11,646,000","7,404,000","8,530,000","6,045,000","8,145,000","6,881,000","7,687,000","7,691,000","6,948,000",,,,,,,,
