name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
MarketCap,"518,763,058","651,133,383","651,396,290","775,219,014","714,758,057","1,086,078,940","754,566,582","596,707,724","801,381,325","617,273,247","752,662,824","853,200,299","854,659,529","775,923,087","514,118,254","941,006,612","648,701,845","404,705,121","399,127,856","446,040,529","501,213,594","596,602,017","253,457,797","227,811,906","131,230,571","169,699,407","459,516,990","389,139,321","277,468,565","229,390,435","227,336,328","191,112,428","385,305,806","420,444,824"
EnterpriseValue,"380,902,058","487,771,383","511,291,290","624,538,014","548,065,057","910,428,940","637,418,582","470,487,724","685,272,325","466,586,247","564,120,824","742,663,299","725,194,529","614,540,087","308,041,254","870,584,612","578,279,845","334,283,121","328,705,856","375,618,529","430,791,594","526,180,017","183,035,797","144,279,906","34,986,571","62,958,407","442,094,990","371,717,321","260,046,565","211,968,435","209,914,328","173,690,428","367,883,806","403,022,824"
PeRatio,,,"20.644","61.8","43.242","120.611",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"19.304","26.76","4.565","6.207","5.392","7.701","25.737","24.476","32.221","28.345","31.48","35.533","45.299","52.284","55.987","273.428",,"424.03","401.327","428.81","424.22","5,833.267","2,946.187","88.745","37.271","40.268","84.017","95.771","79.263","66.323","70.18","60.702","31.669","33.976"
PbRatio,"2.542","2.862","3.144","3.81","3.101","4.362","5.902","4.234","4.994","3.306","3.552","8.571","7.515","5.811","3.438","12.91","9.046","4.665","4.035","4.087","17.124","11.761","3.532","2.758","1.382","1.616","4.036","9.163","5.851","4.44","4.108","3.104","5.953",
EnterprisesValueRevenueRatio,"14.716","101.831","622.766","30.808",,"470.506","5.687","50.776","121.632","57.653","125.054","128.377","139.246","140.242","55.673","171.984","201.211",,,,,"577.585",,,"442.868","8,994.058",,"152.343","297.536","433.473","229.666","154.391","383.212","2,264.173"
EnterprisesValueEBITDARatio,"-4.088","-17.515","-15.281","-588.077","-17.786","-38.745","8.135","-27.726","-26.524","-15.577","-18.853","-21.6","-30.101","-26.622","-14.05","-42.699","-32.673","-19.665","-22.754","-29.274","-45.299","-23.699","-8.246","-12.357","-2.732","-6.139","-46.684","-77.2","-46.948","-46.844","-50.667","-27.114","-104.631","-125.007"
