name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"1,199,178,000","1,218,806,000","997,875,000","342,508,000","234,789,000","222,835,000"
	CurrentAssets,"982,394,000","1,000,892,000","797,805,000","174,440,000","71,488,000","59,095,000"
		CashCashEquivalentsAndShortTermInvestments,"859,237,000","901,886,000","718,622,000","101,467,000","14,115,000","9,486,000"
			CashAndCashEquivalents,"859,237,000","901,886,000","718,622,000","101,467,000","14,115,000","9,486,000"
				CashFinancial,"48,927,000",,,,"2,753,154",
				CashEquivalents,"810,310,000",,,,,
		Receivables,"62,570,000","51,423,000","43,333,000","44,407,000","31,408,000","23,187,000"
			AccountsReceivable,"60,769,000","46,824,000","38,386,000","40,128,000","27,014,000","18,576,000"
				GrossAccountsReceivable,"63,305,000","49,505,000","41,063,000","42,809,000","29,063,000","20,608,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,536,000","-2,681,000","-2,677,000","-2,681,000","-2,049,000","-2,032,000"
			TaxesReceivable,"1,801,000","4,599,000","4,947,000","4,279,000","4,394,000","4,611,000"
		Inventory,"47,033,000","35,261,000","28,105,000","23,762,000","21,770,000","23,202,000"
			RawMaterials,"14,723,000","12,024,000","11,693,000","8,816,000","9,531,000","9,335,000"
			FinishedGoods,"32,310,000","23,237,000","16,412,000","14,946,000","12,239,000","13,867,000"
		PrepaidAssets,"13,554,000","12,322,000","7,745,000","4,804,000","4,195,000","3,220,000"
	TotalNonCurrentAssets,"216,784,000","217,914,000","200,070,000","168,068,000","163,301,000","163,740,000"
		NetPPE,"32,110,000","31,175,000","12,070,000","10,113,000","8,146,000","9,191,000"
			GrossPPE,"41,913,000","39,736,000","18,759,000","15,931,000","13,169,000","13,598,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"14,431,000","12,916,000","9,593,000","8,575,000","7,309,000","7,180,000"
				OtherProperties,"15,959,000","16,381,000","1,304,000","1,150,000","1,150,000","1,150,000"
				ConstructionInProgress,"3,427,000","5,353,000","3,222,000","1,685,000","267,000","1,171,000"
				Leases,"8,096,000","5,086,000","4,640,000","4,521,000","4,443,000","4,097,000"
			AccumulatedDepreciation,"-9,803,000","-8,561,000","-6,689,000","-5,818,000","-5,023,000","-4,407,000"
		GoodwillAndOtherIntangibleAssets,"176,318,000","179,704,000","182,214,000","154,984,000","148,789,000","149,466,000"
			Goodwill,"123,774,000","123,694,000","122,865,000","103,100,000","98,535,000","98,531,000"
			OtherIntangibleAssets,"52,544,000","56,010,000","59,349,000","51,884,000","50,254,000","50,935,000"
		NonCurrentDeferredAssets,"330,000","330,000","1,028,000","482,000","224,000","270,000"
			NonCurrentDeferredTaxesAssets,"330,000","330,000","1,028,000","482,000","224,000","270,000"
		OtherNonCurrentAssets,"8,026,000","6,705,000","4,758,000","2,489,000","6,142,000","4,813,000"
TotalLiabilitiesNetMinorityInterest,"857,470,000","916,509,000","1,139,930,000","326,438,000","267,994,000","252,795,000"
	CurrentLiabilities,"68,930,000","76,437,000","49,468,000","39,492,000","44,649,000","30,930,000"
		PayablesAndAccruedExpenses,"52,906,000","54,441,000","37,026,000","39,492,000","39,452,000","30,418,000"
			Payables,"39,444,000","38,233,000","26,537,000","18,092,000","22,415,000","18,485,000"
				AccountsPayable,"26,962,000","29,049,000","18,118,000","17,328,000","22,415,000","18,485,000"
				TotalTaxPayable,"10,358,000","7,031,000","6,265,000","764,000",,"0"
					IncomeTaxPayable,"4,197,000","292,000","2,180,000","764,000",,"0"
				OtherPayable,"2,124,000","2,153,000","2,154,000",,,
			CurrentAccruedExpenses,"13,462,000","16,208,000","10,489,000","21,400,000","17,037,000","11,933,000"
				InterestPayable,"0","2,786,000",,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"12,055,000","18,284,000","12,442,000",,,
		CurrentDebtAndCapitalLeaseObligation,"3,969,000","3,712,000",,,"5,197,000","512,000"
			CurrentDebt,,,,,"5,197,000","512,000"
				OtherCurrentBorrowings,,,,,"5,197,000","512,000"
			CurrentCapitalLeaseObligation,"3,969,000","3,712,000",,,,"0"
		OtherCurrentLiabilities,,"3,712,000",,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"788,540,000","840,072,000","1,090,462,000","286,946,000","223,345,000","221,865,000"
		LongTermDebtAndCapitalLeaseObligation,"743,003,000","742,695,000","728,858,000",,"218,472,000","216,024,000"
			LongTermDebt,"730,971,000","729,914,000","728,858,000",,"218,472,000","216,024,000"
			LongTermCapitalLeaseObligation,"12,032,000","12,781,000",,,,"0"
		NonCurrentDeferredLiabilities,"3,761,000","3,561,000","2,676,000","1,313,000","3,100,000","3,987,000"
			NonCurrentDeferredTaxesLiabilities,"3,761,000","3,561,000","2,676,000","1,313,000","3,100,000","3,987,000"
