name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalAssets,"2,122,588,000","2,142,496,000","2,051,471,000","1,960,994,000","1,886,623,000","1,824,504,000","1,719,277,000","1,222,446,000","1,231,647,000","1,240,810,000","1,244,270,000","1,196,978,000","1,177,060,000","1,081,242,000","1,052,375,000","1,026,475,000","1,040,955,000","980,304,000","923,818,000","909,901,000","909,763,000","935,103,000","931,415,000","913,428,000","923,772,000","578,747,000","576,722,000","601,022,000","570,926,000","560,214,000","547,313,000","537,251,000","510,405,000","492,501,000","505,984,000","472,128,000","457,357,000","441,819,000","422,002,000","404,627,000","373,928,000","362,090,000","358,510,000","349,453,000","345,412,000","343,224,000","339,737,000","333,494,000","331,695,000","322,260,000","323,036,000","314,606,000","307,117,000","308,542,000","293,510,000","284,065,000","307,720,000","328,423,000","294,914,000","277,672,000","157,920,000","154,630,000","138,504,000","122,750,000","106,800,000","100,428,000","103,655,000","94,592,000","94,788,000","99,491,000","98,705,000","95,055,000","91,059,000","84,467,000","71,147,000","65,016,000","61,418,000","65,542,000","70,126,000","69,468,000","67,945,000","72,114,000","70,330,000","47,454,000","47,038,000"
	CurrentAssets,"775,604,000","780,702,000","888,716,000","984,288,000","903,999,000","829,414,000","963,404,000","465,165,000","478,323,000","483,238,000","477,079,000","429,839,000","413,707,000","397,134,000","379,119,000","358,858,000","372,231,000","367,121,000","315,381,000","295,981,000","294,379,000","315,408,000","337,067,000","311,916,000","310,308,000","264,128,000","259,886,000","285,324,000","296,322,000","283,384,000","268,368,000","275,896,000","250,842,000","233,778,000","247,859,000","213,221,000","197,086,000","180,756,000","166,518,000","155,601,000","291,805,000","281,832,000","280,660,000","271,305,000","268,137,000","268,503,000","266,367,000","262,446,000","259,961,000","250,744,000","245,941,000","235,403,000","225,412,000","224,987,000","216,876,000","208,370,000","232,757,000","252,184,000","258,368,000","244,492,000","131,733,000","129,846,000","117,602,000","103,157,000","87,807,000","85,592,000","88,071,000","77,037,000","74,250,000","77,766,000","77,003,000","72,030,000","67,483,000","63,539,000","55,012,000","51,421,000","46,527,000","48,445,000","53,214,000","57,299,000","55,645,000","59,961,000","59,432,000","36,228,000","38,226,000"
		CashCashEquivalentsAndShortTermInvestments,"276,111,000","359,716,000","492,078,000","624,600,000","558,277,000","496,174,000","629,171,000","133,583,000","104,080,000","127,210,000","137,277,000","87,482,000","77,244,000","67,192,000","44,174,000","46,168,000","43,773,000","32,424,000","7,466,000","26,936,000","46,348,000","54,488,000","47,287,000","41,029,000","53,487,000","82,217,000","57,757,000","88,028,000","139,553,000","125,888,000","104,187,000","126,379,000","107,558,000","104,531,000","116,190,000","87,334,000","69,817,000","62,313,000","54,818,000","54,071,000","209,537,000","199,869,000","187,404,000","181,258,000","181,778,000","183,709,000","178,625,000","185,156,000","180,611,000","169,230,000","146,312,000","126,426,000","118,853,000","120,439,000","125,032,000","122,783,000","142,578,000","169,812,000","175,748,000","172,137,000","64,669,000","60,856,000","50,081,000","43,767,000","33,853,000","29,536,000","31,508,000","27,972,000","26,298,000","30,599,000","32,583,000","36,348,000","36,211,000","33,524,000","30,896,000","28,012,000","23,148,000","21,485,000","21,277,000","21,296,000","21,906,000","23,839,000","24,819,000","4,732,000","7,698,000"
			CashAndCashEquivalents,"265,008,000","349,051,000","481,549,000","614,236,000","548,055,000","485,928,000","629,171,000","133,583,000","104,080,000","127,210,000","137,277,000","87,482,000","77,244,000","67,192,000","44,174,000","46,168,000","43,773,000","32,424,000","7,466,000","26,936,000","46,348,000","54,488,000","47,287,000","41,029,000","53,487,000","82,217,000","57,757,000","88,028,000","139,553,000","125,888,000","104,187,000","126,379,000","107,558,000","104,531,000","116,190,000","87,334,000","69,817,000","62,313,000","54,818,000","54,071,000","201,420,000","191,762,000","179,303,000","181,258,000","173,669,000","175,635,000","178,625,000","185,156,000","180,611,000","169,230,000","146,312,000","126,426,000","118,853,000","120,439,000","125,032,000","122,783,000","142,578,000","169,812,000","175,748,000","172,137,000","64,669,000","60,856,000","50,081,000","43,767,000","33,853,000","29,536,000","29,500,000","24,259,000","15,251,000","19,482,000","21,373,000","20,171,000","25,196,000","24,499,000","26,822,000","26,031,000","23,063,000","21,400,000","21,178,000","14,146,000","12,966,000","16,912,000","24,619,000","2,402,000","2,309,000"
				CashFinancial,"40,208,000","28,851,000","32,449,000","47,336,000","45,755,000","485,928,000","629,171,000","133,583,000","104,080,000","127,210,000","137,277,000","87,482,000","77,244,000","67,192,000",,,,"32,424,000",,,,"54,488,000","37,154,000","30,903,000","43,369,000","72,103,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"224,800,000","320,200,000","449,100,000","566,900,000","502,300,000",,,,,,,,,,,,,,,,,"0","10,133,000","10,126,000","10,118,000","10,114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"11,103,000","10,665,000","10,529,000","10,364,000","10,222,000","10,246,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","8,117,000","8,107,000","8,101,000","0","8,109,000","8,074,000",,,,,,,,,,,,,,,,,,,,,"2,008,000","3,713,000","11,047,000","11,117,000","11,210,000","16,177,000","11,015,000","9,025,000","4,074,000","1,981,000","85,000","85,000","99,000","7,150,000","8,940,000","6,927,000","200,000","2,330,000","5,389,000"
		Receivables,"290,469,000","240,894,000","233,729,000","209,953,000","205,658,000","190,117,000","188,102,000","188,918,000","233,068,000","218,362,000","203,391,000","205,353,000","203,489,000","196,238,000","206,225,000","174,570,000","190,678,000","189,227,000","171,869,000","151,010,000","131,433,000","150,303,000","177,019,000","159,453,000","153,199,000","107,957,000","115,680,000","117,307,000","88,107,000","82,763,000","95,167,000","82,560,000","75,496,000","58,597,000","63,999,000","63,840,000","65,703,000","55,116,000","53,109,000","46,390,000","38,973,000","36,902,000","45,987,000","43,105,000","39,795,000","42,732,000","45,070,000","37,986,000","39,879,000","40,826,000","58,779,000","67,655,000","60,779,000","57,976,000","47,391,000","40,784,000","44,818,000","37,522,000","46,927,000","36,799,000","37,741,000","36,050,000","33,684,000","31,830,000","31,155,000","32,007,000","33,191,000","22,432,000","25,578,000","24,845,000","20,157,000","17,155,000","16,336,000","17,266,000","11,279,000","11,289,000","9,878,000","10,644,000","14,712,000","18,518,000","14,675,000","18,167,000","16,552,000","14,902,000","15,366,000"
			AccountsReceivable,"290,469,000","240,894,000","233,729,000","209,953,000","205,658,000","190,117,000","188,102,000","188,918,000","233,068,000","218,362,000","203,391,000","205,353,000","203,489,000","196,238,000","206,225,000","174,570,000","190,678,000","189,227,000","171,869,000","151,010,000","131,433,000","150,303,000","177,019,000","159,453,000","153,199,000","107,957,000","115,680,000","117,307,000","88,107,000","82,763,000","95,167,000","82,560,000","75,496,000","58,597,000","63,999,000","63,840,000","65,703,000","55,116,000","53,109,000","46,390,000","38,973,000","36,902,000","45,987,000","43,105,000","39,795,000","42,732,000","45,070,000","37,986,000","39,879,000","40,826,000","58,779,000","67,655,000","60,779,000","57,976,000","47,391,000","40,784,000","44,818,000","37,522,000","46,927,000","36,799,000","37,741,000","36,050,000","32,667,000","29,987,000","28,980,000","29,456,000","30,204,000","22,432,000","22,591,000","21,967,000","17,420,000","14,418,000","13,599,000","14,529,000","11,279,000","11,289,000","9,878,000","10,644,000","14,712,000","18,518,000","14,675,000","18,167,000","16,552,000","14,902,000","15,366,000"
				GrossAccountsReceivable,"295,747,000","246,166,000","238,125,000","215,030,000","211,176,000","194,403,000","191,941,000","192,122,000","236,937,000","221,589,000","207,079,000","209,051,000","207,370,000","198,820,000","209,733,000","179,911,000","195,881,000","194,965,000","177,148,000",,,"155,099,000","178,237,000","160,569,000","154,423,000","109,197,000","117,413,000","118,947,000","89,333,000","83,969,000","96,414,000","83,502,000","76,206,000","59,087,000","64,578,000","64,400,000","66,541,000","55,838,000","53,526,000",,"39,311,000","37,345,000","46,499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
