name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
TotalAssets,"276,819,000","286,878,000","255,576,000","238,403,000","217,583,000","205,254,000","196,634,000","198,864,000","182,072,000","179,196,000","187,283,000","190,668,000","193,109,000","192,856,000","201,832,000","197,440,000","200,115,000","204,849,000","215,229,000","231,566,000","240,027,000","252,707,000","260,109,000","295,957,000","287,055,000","282,846,000","288,488,000","342,796,000","343,205,000","355,421,000","431,718,000","421,639,000","478,325,000","436,579,000","421,344,000","395,757,000","390,947,000","380,026,000","400,408,000","339,560,000","353,465,000","322,781,000","227,807,000","197,898,000","189,725,000","172,432,000","164,904,000","154,903,000","146,815,000","139,745,000","138,588,000","136,196,000","124,365,000","122,526,000","137,167,000","129,855,000","121,936,000","116,586,000","111,142,000","100,434,000","102,194,000","93,823,000","88,038,000","81,827,000","79,090,000","31,854,000"
	CurrentAssets,"112,172,000","120,485,000","131,842,000","139,505,000","114,905,000","100,871,000","94,579,000","94,930,000","75,846,000","70,523,000","89,925,000","90,849,000","93,495,000","93,621,000","102,983,000","121,188,000","124,980,000","128,656,000","138,922,000","154,682,000","164,231,000","177,138,000","184,912,000","185,299,000","176,726,000","179,604,000","188,389,000","173,347,000","172,904,000","185,995,000","184,697,000","170,020,000","225,590,000","181,319,000","164,465,000","137,347,000","128,681,000","111,513,000","162,577,000","144,123,000","155,125,000","121,817,000","171,253,000","139,647,000","133,547,000","115,908,000","108,701,000","98,367,000","100,138,000","92,245,000","91,382,000","88,404,000","79,389,000","77,089,000","88,836,000","79,500,000","89,864,000","94,159,000","88,660,000","77,936,000","80,103,000","72,083,000","75,911,000","70,069,000","67,301,000","20,380,000"
		CashCashEquivalentsAndShortTermInvestments,"84,264,000","91,321,000","106,335,000","112,666,000","87,613,000","77,844,000","76,036,000","72,729,000","51,816,000","49,183,000","66,497,000","66,414,000","63,922,000","68,513,000","78,448,000","93,411,000","99,677,000","96,766,000","94,348,000","113,935,000","116,110,000","126,914,000","134,513,000","129,865,000","117,528,000","85,452,000","95,465,000","96,188,000","86,231,000","74,222,000","62,598,000","56,948,000","101,766,000","101,491,000","95,109,000","63,327,000","57,198,000","45,892,000","104,782,000","84,625,000","104,756,000","68,799,000","128,984,000","104,422,000","96,147,000","81,472,000","76,783,000","69,210,000","68,466,000","61,321,000","64,154,000","61,333,000","53,963,000","53,262,000","63,198,000","51,348,000","62,436,000","68,363,000","61,609,000","56,091,000","60,186,000","58,659,000","66,648,000","63,747,000","61,770,000","15,196,000"
			CashAndCashEquivalents,"84,264,000","91,321,000","106,335,000","112,666,000","87,613,000","77,844,000","76,036,000","72,729,000","41,816,000","24,183,000","36,497,000","36,414,000","33,922,000","38,513,000","58,448,000","83,411,000","99,677,000","96,766,000","94,348,000","113,935,000","116,110,000","126,914,000","134,513,000","129,865,000","117,528,000","85,452,000","95,465,000","96,188,000","86,231,000","74,222,000","62,598,000","56,948,000","101,766,000","101,491,000","95,109,000","63,327,000","57,198,000","45,892,000","104,782,000","84,625,000","104,756,000","68,799,000","128,984,000","93,512,000","83,361,000","48,525,000","43,378,000","51,529,000","42,238,000","23,140,000","33,538,000","39,454,000","34,204,000","35,446,000","51,954,000","50,622,000","40,444,000","46,523,000","39,954,000","37,103,000","49,966,000","42,971,000","54,359,000","50,018,000","53,349,000","15,196,000"
			OtherShortTermInvestments,,,,,,,"0","0","10,000,000","25,000,000","30,000,000","30,000,000","30,000,000","30,000,000","20,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","10,910,000","12,786,000","32,947,000","33,405,000","17,681,000","26,228,000","38,181,000","30,616,000","21,879,000","19,759,000","17,816,000","11,244,000","726,000","21,992,000","21,840,000","21,655,000","18,988,000","10,220,000","15,688,000","12,289,000","13,729,000","8,421,000",
		Receivables,"6,606,000","7,797,000","5,866,000","5,470,000","5,731,000","6,243,000","6,974,000","8,240,000","9,371,000","8,557,000","9,235,000","7,415,000","7,949,000","7,605,000","6,597,000","8,123,000","8,637,000","9,959,000","14,064,000","13,980,000","15,838,000","11,928,000","11,560,000","10,374,000","8,551,000","39,530,000","39,685,000","10,041,000","14,525,000","27,719,000","21,688,000","24,307,000","27,055,000","28,567,000","24,050,000","22,821,000","18,224,000","19,525,000","16,226,000","12,090,000","11,508,000","9,279,000","6,049,000","5,258,000","7,039,000","4,762,000","4,475,000","4,838,000","4,874,000","3,804,000","4,243,000","3,724,000","3,681,000","2,531,000","4,658,000","4,396,000","3,625,000","2,646,000","5,098,000","4,076,000","3,788,000","1,740,000","2,557,000","1,685,000","1,655,000","646,000"
			AccountsReceivable,"6,606,000","7,797,000","5,866,000","5,470,000","5,731,000","4,801,000","5,322,000","5,159,000","5,972,000","5,949,000","6,704,000","5,742,000","6,175,000","6,089,000","4,870,000","5,856,000","6,146,000","7,442,000","11,598,000","11,621,000","12,070,000","10,711,000","10,355,000","8,965,000","7,193,000","6,039,000","6,194,000","10,041,000","14,525,000","27,719,000","21,688,000","24,307,000","27,055,000","28,567,000","24,050,000","22,821,000","18,224,000","19,525,000","16,226,000","12,090,000","11,508,000","9,279,000","6,049,000","5,258,000","7,039,000","4,762,000","4,475,000","4,838,000","4,874,000","3,804,000","4,243,000","3,724,000","3,681,000","2,531,000","4,658,000","4,396,000","3,625,000","2,646,000","5,098,000","4,076,000","3,788,000","1,740,000","2,557,000","1,685,000","1,655,000","646,000"
				GrossAccountsReceivable,"6,942,000","8,275,000","6,356,000","6,104,000","6,300,000","5,197,000","5,711,000","5,516,000","6,263,000","6,199,000","6,995,000","6,089,000","6,475,000","6,467,000","5,207,000","11,712,000","6,898,000","8,127,000","12,266,000","12,264,000","12,638,000","11,513,000","11,073,000","9,661,000","7,750,000","6,588,000","6,665,000","12,437,000","16,772,000","28,883,000","22,730,000","25,342,000","28,037,000","57,134,000","24,941,000","23,826,000","19,365,000","20,652,000","17,474,000","12,900,000","12,405,000","10,095,000","6,563,000","5,704,000","7,465,000","5,121,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-336,000","-478,000","-490,000","-634,000","-569,000","-396,000","-389,000","-357,000","-291,000","-250,000","-291,000","-347,000","-300,000","-378,000","-337,000","-5,856,000","-752,000","-685,000","-668,000","-643,000","-568,000","-802,000","-718,000","-696,000","-557,000","-549,000","-471,000","-2,396,000","-2,247,000","-1,164,000","-1,042,000","-1,035,000","-982,000","-28,567,000","-891,000","-1,005,000","-1,141,000","-1,127,000","-1,248,000","-810,000","-897,000","-816,000","-514,000","-446,000","-426,000","-359,000",,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,"1,713,000",,,"1,442,000","1,652,000","3,081,000","3,399,000","2,608,000","2,531,000","1,673,000","1,774,000","1,516,000","1,727,000","2,267,000","2,491,000","2,517,000","2,466,000","2,359,000","3,768,000","1,217,000","1,205,000","1,409,000","1,358,000","33,491,000","33,491,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
