name,01/31/2022,07/31/2021,01/31/2021,07/31/2020,01/31/2020,07/31/2019,01/31/2019,07/31/2018,01/31/2018
TotalAssets,"866,874,621","941,608,276","942,932,732","937,806,152","944,552,808","927,154,906","907,461,273","907,549,679","917,046,581"
TotalLiabilitiesNetMinorityInterest,"325,475,653","358,387,346","361,929,722","362,950,409","360,170,487","358,052,840","367,407,332","363,777,770","364,168,339"
TotalEquityGrossMinorityInterest,"541,398,968","583,220,930","581,003,010","574,855,743","584,382,321","569,102,066","540,053,941","543,771,909","552,878,242"
	StockholdersEquity,"541,398,968","583,220,930","581,003,010","574,855,743","584,382,321","569,102,066","540,053,941","543,771,909","552,878,242"
		CapitalStock,"523,125,295","523,125,295","523,145,396","523,145,396","523,161,206","523,161,206","524,464,224","524,464,224","527,849,631"
			CommonStock,"523,125,295","523,125,295","523,145,396","523,145,396","523,161,206","523,161,206","524,464,224","524,464,224","527,849,631"
		RetainedEarnings,"18,273,673","60,095,635","57,857,614","51,710,347","61,221,115","45,940,860","15,589,717","2,205,494","2,279,652"
TotalCapitalization,,,,,,,,"544,123,854","553,157,821"
CommonStockEquity,"541,398,968","583,220,930","581,003,010","574,855,743","584,382,321","569,102,066","540,053,941","543,771,909","552,878,242"
NetTangibleAssets,"541,398,968","583,220,930","581,003,010","574,855,743","584,382,321","569,102,066","540,053,941","543,771,909","552,878,242"
InvestedCapital,,,,,,,,"544,123,854","553,157,821"
TangibleBookValue,"541,398,968","583,220,930","581,003,010","574,855,743","584,382,321","569,102,066","540,053,941","543,771,909","552,878,242"
TotalDebt,,,,,,,,"351,945","279,579"
NetDebt,,,,,,,,"351,945","279,579"
ShareIssued,"39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584"
OrdinarySharesNumber,"39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584","39,586,584"
PreferredSharesNumber,"2,477",,,,,,,,
