name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,06/30/2004
TotalAssets,"7,082,660,000","6,843,239,000","6,268,463,000","6,550,607,000","7,747,341,000","6,276,841,000","6,169,302,000","6,214,037,000","5,458,108,000","5,656,963,000","4,943,536,000","4,603,568,000","4,626,976,000","4,437,911,000","4,360,200,000","4,221,874,000","4,369,100,000","4,708,147,000","3,993,618,000","4,304,017,000","4,404,642,000","4,858,114,000","4,217,511,000","4,401,775,000","4,379,719,000","4,765,823,000","4,714,447,000","4,657,607,000","4,848,449,000","4,986,317,000","4,296,512,000","4,315,164,000","4,699,623,000","4,706,065,000","4,000,282,000","3,876,495,000","4,132,095,000","3,699,659,000","3,113,125,000","3,150,202,000","4,104,047,000","3,010,681,000","3,393,013,000","2,465,839,000","2,836,697,000","2,395,723,000","2,659,676,000","2,123,870,000","2,092,513,000","2,043,534,000","2,041,034,000","1,731,578,000","1,767,072,000","1,792,375,000","1,780,942,000","1,677,406,000","1,647,454,000","1,568,382,000","1,508,187,000","1,468,413,000","1,394,259,000","1,334,838,000","1,253,064,000","1,105,359,000","1,032,489,000","917,471,000","838,829,000","736,966,000","658,604,000","576,279,000","503,467,000"
TotalLiabilitiesNetMinorityInterest,"6,430,365,000","6,190,785,000","5,630,486,000","5,931,498,000","7,150,577,000","5,695,677,000","5,610,843,000","5,680,958,000","4,960,004,000","5,172,466,000","4,459,362,000","4,145,436,000","4,192,196,000","4,031,135,000","3,968,326,000","3,889,327,000","4,039,208,000","4,383,998,000","3,654,157,000","3,972,998,000","4,094,873,000","4,559,151,000","3,878,433,000","4,111,493,000","4,064,130,000","4,445,822,000","4,400,750,000","4,341,853,000","4,526,396,000","4,667,294,000","3,940,122,000","3,942,670,000","4,333,453,000","4,346,461,000","3,646,949,000","3,532,303,000","3,786,019,000","3,362,982,000","2,824,140,000","2,867,328,000","3,825,814,000","2,739,202,000","3,124,334,000","2,203,602,000","2,579,096,000","2,196,817,000","2,458,244,000","1,920,092,000","1,890,466,000","1,798,331,000","1,794,490,000","1,550,299,000","1,585,910,000","1,611,972,000","1,608,177,000","1,504,743,000","1,467,266,000","1,392,123,000","1,345,603,000","1,311,489,000","1,240,809,000","1,185,930,000","1,107,639,000","964,633,000","894,980,000","782,524,000","705,736,000","606,282,000","533,486,000","454,877,000","396,218,000"
TotalEquityGrossMinorityInterest,"652,295,000","652,454,000","637,977,000","619,109,000","596,764,000","581,164,000","558,459,000","533,079,000","498,104,000","484,497,000","484,174,000","458,132,000","434,780,000","406,776,000","391,874,000","332,547,000","329,892,000","324,149,000","339,461,000","331,019,000","309,769,000","298,963,000","339,078,000","290,282,000","315,589,000","320,001,000","313,697,000","315,754,000","322,053,000","319,023,000","356,390,000","372,494,000","366,170,000","359,604,000","353,333,000","344,192,000","346,076,000","336,677,000","288,985,000","282,874,000","278,233,000","271,479,000","268,679,000","262,237,000","257,601,000","198,906,000","201,432,000","203,778,000","202,047,000","245,203,000","246,544,000","181,279,000","181,162,000","180,403,000","172,765,000","172,663,000","180,188,000","176,259,000","162,584,000","156,924,000","153,450,000","148,908,000","145,425,000","140,726,000","137,509,000","134,947,000","133,093,000","130,684,000","125,118,000","121,402,000","107,249,000"
	StockholdersEquity,"652,295,000","652,454,000","637,977,000","619,109,000","596,764,000","581,164,000","558,459,000","533,079,000","498,104,000","484,497,000","484,174,000","458,132,000","434,780,000","406,776,000","391,874,000","332,547,000","329,892,000","324,149,000","339,461,000","331,019,000","309,769,000","298,963,000","339,078,000","290,282,000","315,589,000","320,001,000","313,697,000","315,754,000","322,053,000","319,023,000","356,390,000","372,494,000","366,170,000","359,604,000","353,333,000","344,192,000","346,076,000","336,677,000","288,985,000","282,874,000","278,233,000","271,479,000","268,679,000","262,237,000","257,601,000","198,906,000","201,432,000","203,778,000","202,047,000","245,203,000","246,544,000","181,279,000","181,162,000","180,403,000","172,765,000","172,663,000","180,188,000","176,259,000","162,584,000","156,924,000","153,450,000","148,908,000","145,425,000","140,726,000","137,509,000","134,947,000","133,093,000","130,684,000","125,118,000","121,402,000","23,543,000"
		CapitalStock,"57,155,000","57,371,000","57,331,000","57,458,000","57,248,000","57,651,000","57,591,000","57,555,000","57,426,000","56,941,000","56,911,000","56,875,000","56,568,000","56,446,000","56,446,000","56,411,000","56,307,000","55,861,000","55,860,000","55,858,000","55,758,000","55,419,000","55,419,000","37,945,000","37,945,000","37,861,000","37,858,000","37,858,000","37,858,000","37,809,000","37,809,000","37,809,000","37,805,000","37,721,000","37,721,000","37,463,000","37,434,000","37,247,000","33,209,000","33,201,000","33,201,000","33,196,000","33,196,000","33,196,000","33,196,000","26,181,000","26,181,000","26,181,000","26,181,000","65,592,000","65,191,000","53,174,000","53,857,000","53,592,000","14,564,000","14,564,000","14,563,000","14,561,000","13,824,000","13,807,000","13,780,000","13,725,000","13,704,000","13,675,000","13,648,000","13,639,000","13,590,000","12,586,000","12,248,000","11,899,000","2,552,000"
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","39,411,000","39,010,000","38,611,000","39,294,000","39,029,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","2,000","2,000","1,000","10,000","10,000","11,000","11,000"
			CommonStock,"57,155,000","57,371,000","57,331,000","57,458,000","57,248,000","57,651,000","57,591,000","57,555,000","57,426,000","56,941,000","56,911,000","56,875,000","56,568,000","56,446,000","56,446,000","56,411,000","56,307,000","55,861,000","55,860,000","55,858,000","55,758,000","55,419,000","55,419,000","37,945,000","37,945,000","37,861,000","37,858,000","37,858,000","37,858,000","37,809,000","37,809,000","37,809,000","37,805,000","37,721,000","37,721,000","37,463,000","37,434,000","37,247,000","33,209,000","33,201,000","33,201,000","33,196,000","33,196,000","33,196,000","33,196,000","26,181,000","26,181,000","26,181,000","26,181,000","26,181,000","26,181,000","14,563,000","14,563,000","14,563,000","14,563,000","14,563,000","14,562,000","14,560,000","13,823,000","13,806,000","13,779,000","13,724,000","13,703,000","13,674,000","13,646,000","13,637,000","13,589,000","12,576,000","12,238,000","11,888,000","2,541,000"
		AdditionalPaidInCapital,"336,604,000","349,686,000","357,528,000","363,241,000","370,481,000","378,218,000","376,751,000","374,578,000","372,984,000","371,633,000","370,113,000","368,771,000","367,483,000","366,181,000","365,749,000","364,460,000","363,605,000","363,196,000","362,340,000","361,478,000","360,801,000","360,564,000","359,793,000","301,680,000","301,018,000","300,549,000","299,470,000","298,978,000","298,402,000","297,987,000","297,122,000","296,523,000","295,824,000","294,576,000","292,715,000","286,321,000","285,009,000","282,708,000","243,954,000","243,284,000","242,661,000","241,997,000","241,473,000","241,011,000","240,640,000","192,711,000","192,492,000","197,027,000","196,898,000","196,875,000","196,827,000","146,293,000","145,183,000","145,156,000","138,876,000","138,848,000","138,821,000","138,808,000","127,288,000","126,966,000","126,405,000","125,572,000","125,292,000","124,762,000","124,453,000","124,278,000","124,301,000","124,317,000","121,337,000","117,668,000","33,130,000"
		RetainedEarnings,"268,072,000","239,106,000","212,114,000","183,853,000","154,418,000","128,453,000","104,282,000","81,028,000","60,960,000","50,742,000","48,888,000","28,463,000","17,113,000","-817,000","-7,936,000","-69,213,000","-75,345,000","-89,485,000","-77,850,000","-85,114,000","-103,978,000","-111,941,000","-83,169,000","-57,721,000","-26,361,000","-15,449,000","-33,429,000","-27,854,000","-28,029,000","-28,242,000","10,957,000","27,762,000","27,424,000","27,615,000","20,291,000","19,993,000","14,753,000","7,347,000","2,110,000","-1,451,000","-5,305,000","-9,277,000","-12,565,000","-14,847,000","-15,507,000","-18,195,000","-20,236,000","-20,824,000","-21,231,000","-17,175,000","-16,242,000","-17,029,000","-17,154,000","-17,517,000","23,871,000","23,628,000","27,916,000","25,106,000","22,141,000","18,304,000","14,398,000","10,881,000","7,706,000","4,439,000","1,291,000","-1,544,000","-4,217,000","-5,894,000","-7,572,000","-7,934,000","-11,162,000"
		TreasuryStock,,,,,,"866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000","866,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
