name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,12/31/2012
TotalAssets,"3,548,397,000","3,651,187,000","3,181,619,000","3,141,933,000","3,184,944,000","3,245,882,000","2,704,522,000","2,681,433,000","2,796,386,000","2,890,486,000","2,850,647,000","2,831,162,000","2,707,542,000","2,696,078,000","2,636,915,000","2,614,474,000","2,426,385,000","2,332,081,000","2,296,349,000","2,285,543,000","2,295,995,000","2,382,965,000","2,402,848,000","2,419,847,000","2,466,430,000","2,441,473,000","2,435,452,000","2,432,714,000","1,706,001,000","1,758,881,000","1,735,761,000","1,754,672,000","1,772,721,000","1,376,313,000","460,305,000","139,487,000","125,273,000"
	CurrentAssets,"2,311,283,000","2,413,336,000","1,915,718,000","1,872,190,000","1,518,333,000","1,562,244,000","1,178,617,000","1,134,140,000","1,225,643,000","1,313,736,000","1,254,435,000","1,220,000,000","1,344,712,000","1,381,180,000","1,321,077,000","1,295,614,000","1,099,099,000","1,077,138,000","1,041,131,000","1,023,700,000","1,017,384,000","1,087,911,000","1,085,947,000","1,080,178,000","1,108,243,000","1,387,259,000","1,379,481,000","1,363,072,000","617,639,000","657,137,000","617,711,000","631,322,000","713,456,000","315,167,000","397,188,000","96,978,000","104,241,000"
		CashCashEquivalentsAndShortTermInvestments,"2,131,072,000","2,193,797,000","1,230,337,000","1,253,611,000","1,300,661,000","1,301,278,000","942,142,000","914,204,000","979,970,000","1,039,558,000","996,977,000","987,742,000","1,130,029,000","1,116,520,000","1,088,301,000","1,075,345,000","886,386,000","896,802,000","878,767,000","870,835,000","875,011,000","935,725,000","926,166,000","916,822,000","921,140,000","1,169,877,000","1,169,927,000","1,189,617,000","397,614,000","402,208,000","397,865,000","464,494,000","584,483,000","173,918,000","327,710,000","54,085,000","60,200,000"
			CashAndCashEquivalents,"771,967,000","1,154,458,000","384,700,000","387,310,000","516,972,000","676,454,000","314,250,000","404,346,000","283,866,000","334,603,000","297,160,000","331,901,000","406,057,000","409,829,000","397,297,000","351,370,000","167,850,000","180,891,000","160,807,000","154,442,000","163,374,000","223,667,000","223,697,000","183,993,000","175,113,000","402,102,000","436,901,000","726,480,000","136,776,000","146,363,000","98,843,000","171,620,000","441,270,000","173,918,000","327,710,000","54,085,000","60,200,000"
			OtherShortTermInvestments,"1,359,105,000","1,039,339,000","845,637,000","866,301,000","783,689,000","624,824,000","627,892,000","509,858,000","696,104,000","704,955,000","699,817,000","655,841,000","723,972,000","706,691,000","691,004,000","723,975,000","718,536,000","715,911,000","717,960,000","716,393,000","711,637,000","712,058,000","702,469,000","732,829,000","746,027,000","767,775,000","733,026,000","463,137,000","260,838,000","255,845,000","299,022,000","292,874,000","143,213,000",,,,
		Receivables,"104,066,000","146,460,000","67,553,000","77,257,000","109,213,000","153,575,000","133,897,000","119,842,000","140,191,000","171,459,000","153,912,000","127,450,000","111,071,000","157,817,000","129,163,000","120,893,000","103,056,000","140,049,000","120,170,000","109,971,000","105,900,000","121,150,000","124,017,000","124,281,000","141,247,000","172,752,000","140,940,000","105,183,000","160,095,000","193,182,000","155,798,000","108,039,000","80,514,000","95,772,000","51,251,000","28,081,000","30,133,000"
			AccountsReceivable,"104,066,000","146,460,000","67,553,000","77,257,000","109,213,000","153,575,000","133,897,000","119,842,000","140,191,000","171,459,000","153,912,000","127,450,000","111,071,000","157,817,000","129,163,000","120,893,000","103,056,000","140,049,000","120,170,000","109,971,000","105,900,000","121,150,000","124,017,000","124,281,000","141,247,000","172,752,000","140,940,000","105,183,000","160,095,000","193,182,000","155,798,000","108,039,000","80,514,000","95,772,000","51,251,000","28,081,000","30,133,000"
				GrossAccountsReceivable,"105,081,000","147,266,000","68,116,000","78,268,000","111,314,000","156,134,000","136,733,000","122,727,000","142,982,000","173,722,000","155,873,000","129,406,000","113,404,000","160,342,000","132,205,000","123,415,000",,"142,552,000","122,567,000","111,946,000","107,818,000","122,740,000","125,813,000","126,077,000","143,063,000","174,773,000","142,507,000","107,013,000","161,485,000","193,768,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,015,000","-806,000","-563,000","-1,011,000","-2,101,000","-2,559,000","-2,836,000","-2,885,000","-2,791,000","-2,263,000","-1,961,000","-1,956,000","-2,333,000","-2,525,000","-3,042,000","-2,522,000",,"-2,503,000","-2,397,000","-1,975,000","-1,918,000","-1,590,000","-1,796,000","-1,796,000","-1,816,000","-2,021,000","-1,567,000","-1,830,000","-1,390,000","-586,000",,,,,,,
		Inventory,,,,"0","5,432,000","4,023,000","5,371,000","5,440,000","7,158,000","5,892,000","5,970,000","6,100,000","6,635,000","6,548,000","6,067,000","6,744,000","6,806,000","5,746,000","5,368,000","5,837,000","6,195,000","5,955,000","7,807,000","9,981,000","10,778,000","13,747,000","11,628,000","10,485,000","10,505,000","7,952,000","5,765,000","5,198,000","4,258,000","5,663,000","7,516,000","3,779,000","2,340,000"
