name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
TotalAssets,"4,452,832,000","4,991,396,000","4,822,301,000","4,871,509,000","4,914,296,000","5,030,628,000","4,863,551,000","5,003,341,000","4,837,575,000","4,843,531,000","4,633,765,000","4,679,908,000","4,436,072,000","4,245,022,000","4,227,169,000","4,241,152,000","4,264,319,000","4,006,367,000","4,130,365,000","3,894,244,000","3,577,160,000","3,644,331,000","3,685,337,000","3,426,924,000","3,218,124,000","2,868,900,000","3,035,502,000","2,762,258,000","2,548,054,000","2,095,083,000","1,978,110,000","1,863,945,000","1,599,016,000","1,577,741,000","1,396,990,000","1,275,388,000","1,140,488,000","1,157,083,000","1,078,639,000","1,004,689,000","920,237,000","919,210,000","900,138,000","766,189,000","691,710,000","675,378,000","642,863,000","570,099,000","549,251,000","545,588,000","516,068,000","481,704,000","458,316,000","487,555,000","474,886,000","417,453,000","388,529,000","390,613,000","384,270,000","317,862,000","289,318,000","289,368,000","264,969,000","229,083,000","211,231,000","203,687,000","144,523,000","110,977,000"
	CurrentAssets,"2,832,825,000","3,336,299,000","3,127,944,000","3,143,185,000","3,157,718,000","3,222,975,000","2,973,341,000","3,089,009,000","2,868,007,000","2,702,209,000","2,459,089,000","2,444,447,000","2,206,708,000","2,593,628,000","2,587,030,000","2,561,515,000","2,592,005,000","2,337,679,000","2,456,842,000","2,166,470,000","1,906,028,000","1,965,153,000","2,026,561,000","1,849,185,000","1,768,783,000","1,498,763,000","1,773,111,000","1,557,936,000","1,434,479,000","1,549,399,000","1,463,903,000","1,368,319,000","1,125,157,000","1,128,811,000","1,122,915,000","1,011,955,000","887,441,000","903,598,000","842,302,000","777,295,000","694,102,000","689,663,000","672,004,000","621,327,000","558,104,000","555,850,000","536,345,000","467,550,000","447,232,000","448,000,000","419,391,000","385,891,000","364,206,000","396,423,000","387,785,000","333,199,000","311,307,000","322,245,000","319,975,000","261,543,000","238,869,000","244,952,000","229,775,000","202,634,000","186,480,000","181,790,000","122,376,000","96,463,000"
		CashCashEquivalentsAndShortTermInvestments,"1,009,139,000","1,669,453,000","1,253,706,000","1,349,793,000","1,348,737,000","1,517,361,000","865,609,000","1,079,409,000","959,318,000","788,072,000","416,603,000","455,726,000","288,726,000","557,403,000","168,682,000","196,879,000","283,644,000","312,483,000","258,002,000","165,685,000","172,128,000","250,470,000","179,954,000","121,216,000","157,001,000","129,852,000","159,398,000","171,236,000","232,040,000","593,175,000","249,469,000","300,434,000","179,926,000","347,489,000","186,377,000","223,842,000","255,722,000","341,841,000","157,047,000","142,928,000","107,052,000","175,384,000","67,859,000","119,684,000","110,844,000","203,870,000","133,936,000","156,089,000","165,962,000","187,297,000","93,376,000","79,542,000","65,572,000","102,042,000","40,152,000","13,325,000","17,591,000","40,588,000","14,473,000","25,676,000","57,202,000","70,655,000","44,257,000","41,918,000","58,292,000","62,977,000","324,000","1,085,000"
			CashAndCashEquivalents,"1,009,139,000","1,669,453,000","1,253,706,000","1,349,793,000","1,348,737,000","1,517,361,000","865,609,000","1,079,409,000","959,318,000","788,072,000","416,603,000","455,726,000","288,726,000","557,403,000","168,682,000","196,879,000","283,644,000","312,483,000","258,002,000","165,685,000","172,128,000","250,470,000","179,954,000","121,216,000","157,001,000","129,852,000","159,398,000","171,236,000","232,040,000","593,175,000","249,469,000","300,434,000","179,926,000","347,489,000","186,377,000","223,842,000","255,722,000","341,841,000","157,047,000","142,928,000","107,052,000","175,384,000","67,859,000","119,684,000","110,844,000","203,870,000","133,936,000","156,089,000","165,962,000","187,297,000","93,376,000","79,542,000","65,572,000","102,042,000","40,152,000","13,325,000","17,591,000","40,588,000","14,473,000","25,676,000","57,202,000","70,655,000","44,257,000","41,918,000","58,292,000","62,977,000","324,000","1,085,000"
		Receivables,"702,197,000","569,014,000","735,779,000","639,176,000","696,287,000","527,340,000","806,916,000","568,430,000","668,409,000","708,714,000","843,495,000","735,181,000","743,677,000","652,546,000","867,074,000","724,945,000","805,413,000","609,670,000","733,292,000","602,795,000","629,235,000","622,685,000","713,731,000","460,955,000","566,286,000","433,638,000","551,188,000","353,406,000","395,917,000","279,835,000","449,221,000","269,133,000","331,299,000","209,952,000","353,257,000","212,836,000","246,218,000","175,524,000","311,001,000","175,249,000","196,411,000","134,043,000","235,907,000","139,590,000","163,385,000","102,034,000","174,207,000","96,314,000","110,332,000","79,356,000","145,043,000","85,421,000","105,999,000","81,302,000","151,086,000","108,105,000","101,991,000","93,515,000","128,334,000","85,871,000","84,553,000","76,177,000","89,884,000","63,244,000","63,217,000","53,132,000","61,880,000","40,064,000"
			AccountsReceivable,"702,197,000","569,014,000","735,779,000","639,176,000","696,287,000","527,340,000","806,916,000","568,430,000","668,409,000","708,714,000","843,495,000","735,181,000","743,677,000","652,546,000","867,074,000","724,945,000","805,413,000","609,670,000","733,292,000","602,795,000","629,235,000","622,685,000","713,731,000","460,955,000","566,286,000","433,638,000","551,188,000","353,406,000","395,917,000","279,835,000","449,221,000","269,133,000","331,299,000","209,952,000","353,257,000","212,836,000","246,218,000","175,524,000","311,001,000","175,249,000","196,411,000","134,043,000","235,907,000","139,590,000","163,385,000","102,034,000","174,207,000","96,314,000","110,332,000","79,356,000","145,043,000","85,421,000","105,999,000","81,302,000","151,086,000","102,659,000","101,991,000","93,515,000","128,334,000","83,088,000","84,553,000","71,867,000","89,667,000","63,244,000","63,217,000","53,132,000","58,690,000","38,506,000"
				GrossAccountsReceivable,"709,310,000","576,142,000","749,880,000","653,722,000","715,276,000","547,690,000","835,317,000","598,088,000","689,009,000","723,796,000","859,995,000","752,981,000","764,677,000","674,770,000","891,074,000","752,545,000",,"629,370,000","746,392,000","615,995,000","641,635,000","633,985,000","747,331,000","495,355,000","578,186,000","439,538,000","557,488,000","358,506,000","401,317,000","283,535,000","452,721,000","272,433,000","334,699,000","212,852,000","356,157,000","216,136,000","249,518,000","178,824,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,113,000","-7,128,000","-14,101,000","-14,546,000","-18,989,000","-20,350,000","-28,401,000","-29,658,000","-20,600,000","-15,082,000","-16,500,000","-17,800,000","-21,000,000","-22,224,000","-24,000,000","-27,600,000",,"-19,700,000","-13,100,000","-13,200,000","-12,400,000","-11,300,000","-33,600,000","-34,400,000","-11,900,000","-5,900,000","-6,300,000","-5,100,000","-5,400,000","-3,700,000","-3,500,000","-3,300,000","-3,400,000","-2,900,000","-2,900,000","-3,300,000","-3,300,000","-3,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,446,000",,,,"2,783,000",,"4,310,000","217,000",,,,"3,190,000","1,558,000"
		Inventory,"824,455,000","811,410,000","837,740,000","881,117,000","851,829,000","895,974,000","1,056,845,000","1,198,509,000","940,236,000","892,258,000","906,544,000","965,711,000","875,252,000","1,019,496,000","1,173,115,000","1,299,332,000","1,148,493,000","1,158,548,000","1,180,653,000","1,168,786,000","901,613,000","917,491,000","970,621,000","1,086,749,000","834,287,000","783,031,000","867,082,000","836,605,000","577,947,000","536,714,000","637,459,000","662,388,000","472,244,000","469,006,000","497,406,000","490,943,000","323,509,000","319,286,000","312,158,000","380,895,000","324,354,000","324,409,000","318,888,000","311,066,000","248,614,000","215,355,000","196,170,000","179,150,000","147,865,000","148,488,000","152,753,000","181,365,000","164,426,000","182,232,000","163,612,000","183,909,000","167,949,000","166,082,000","151,760,000","128,760,000","80,068,000","81,031,000","74,972,000","80,220,000","53,475,000","53,607,000","50,277,000","48,055,000"
