name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalOperatingIncomeAsReported,,,,,,,,,,,,,,,,,,,"14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,723,000","2,681,000","3,814,000","4,030,000","8,704,000","10,965,000","12,611,000","12,247,000","13,150,000","10,718,000","11,884,000","7,648,000","13,915,000","8,130,000","8,680,000","7,286,000","13,199,000","11,469,000","9,770,000","7,740,000","8,440,000","9,517,000","7,926,000","8,924,000","8,261,000","4,394,000","4,550,000","3,750,000","9,557,000","18,477,000","23,135,000","15,280,000","12,268,000","9,140,000","11,950,000","8,982,000","9,816,000","10,062,000","16,595,000","12,862,000","18,142,000","16,354,000","10,111,000","7,813,000","8,165,000","7,843,000","7,113,000","6,715,000","4,804,000","-16,824,000","-18,980,000","3,865,000"
TotalExpenses,"27,038,000","9,777,000","6,471,000","5,938,000","4,852,000","5,988,000","5,817,000","6,926,000","5,603,000","6,715,000","7,276,000","6,702,000","7,004,000","5,052,000","5,033,000","4,659,000","4,759,000","4,920,000","5,302,000","5,256,000","4,104,000","4,205,000","3,872,000","4,032,000","4,058,000","4,628,000","4,669,000","4,706,000","4,466,000","4,774,000","5,438,000","4,751,000","5,362,000","5,092,000","5,766,000","5,722,000","5,411,000","5,570,000","6,306,000","6,178,000","6,562,000","6,147,000","7,241,000","6,857,000","6,664,000","6,549,000","6,392,000","6,950,000","6,330,000","6,615,000","6,156,000","6,312,000","5,134,000","5,074,000","5,621,000","6,010,000","5,853,000","5,992,000","6,054,000","5,576,000","5,663,000","5,732,000","5,807,000","6,835,000","6,533,000","6,405,000","6,611,000","7,299,000","6,851,000","6,584,000","7,348,000","6,590,000","6,267,000","6,726,000","7,140,000","29,372,000","8,066,000","10,091,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"88,997,000","30,624,000","23,833,000","18,031,000","16,509,000","11,801,000","6,295,000","5,619,000","1,192,000","8,761,000","12,323,000","12,867,000","13,596,000","13,979,000","17,301,000","9,279,000","16,364,000","10,963,000","14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,725,000","2,683,000","3,816,000","4,031,000","8,704,000","10,969,000","12,669,000","12,897,000","13,154,000","10,749,000","12,025,000","7,648,000","13,915,000","8,129,000","8,680,000","7,298,000","13,199,000","11,506,000","9,770,000","7,740,000","8,489,000","9,536,000","7,932,000","8,926,000","8,769,000","4,415,000","4,559,000","3,777,000","9,617,000","18,590,000","23,166,000","15,410,000","12,369,000","9,474,000","12,082,000","9,123,000","9,969,000","10,392,000","16,789,000","13,060,000","18,305,000","16,403,000","10,191,000","7,876,000","8,224,000","7,893,000","7,308,000","6,651,000","4,844,000","-16,686,000","-18,928,000","3,943,000"
NormalizedIncome,"88,997,000","30,624,000","23,833,000","18,031,000","16,509,000","11,801,000","6,295,000","5,619,000","1,192,000","8,761,000","12,323,000","12,867,000","13,596,000","13,979,000","17,301,000","9,279,000","16,364,000","10,963,000","14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,725,000","2,683,000","3,816,000","4,031,000","8,704,000","10,969,000","12,669,000","12,474,500","13,154,000","10,749,000","12,025,000","7,648,000","13,915,000","8,129,650","8,680,000","7,290,200","13,199,000","11,481,950","9,770,000","7,740,000","8,457,150","9,523,650","7,928,100","8,924,700","8,438,800","4,401,350","4,448,500","3,759,450","9,578,000","18,516,550","23,145,850","15,325,500","12,326,100","9,251,700","11,983,850","9,026,150","9,877,200","10,194,000","16,672,600","13,056,400","18,207,200","16,373,600","10,143,000","7,868,800","7,222,600","7,863,000","7,202,400","6,699,600","2,160,200","-16,768,800","7,697,600","3,896,200"
InterestIncome,,,,,,,,,,,,,,,,,,,"5,308,000","737,000","309,000","1,660,000","1,504,000","1,589,000","1,708,000","23,000","27,000","303,000","217,000","448,000","2,957,000","1,603,000","1,865,000","2,445,000","3,376,000","1,365,000","4,061,000","1,546,000","5,597,000","1,606,000","318,000","426,000","7,027,000","4,405,000","2,014,000","2,079,000","4,017,000","2,358,000",,,,,,,,,,,,,,,,,,"192,000",,,,"51,000",,,"19,000","17,000",,,,
NetInterestIncome,,,,,,,,,,,,,,,,,,,"5,308,000","737,000","309,000","1,660,000","1,504,000","1,589,000","1,708,000","23,000","27,000","303,000","217,000","448,000","2,957,000","1,603,000","1,865,000","2,445,000","3,376,000","1,365,000","4,061,000","1,546,000","5,597,000","1,606,000","318,000","426,000","7,027,000","4,405,000","2,014,000","2,079,000","4,017,000","2,358,000",,,,,,,,,,,,,,,,,,"192,000",,,,"51,000",,,"19,000","17,000",,,,
EBIT,"88,997,000","30,624,000","23,833,000","18,031,000","16,509,000","11,801,000","6,295,000","5,619,000","1,192,000","8,761,000","12,323,000","12,867,000","13,596,000","13,979,000","17,301,000","9,279,000","16,364,000","10,963,000","14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,723,000","2,681,000","3,814,000","4,030,000","8,704,000","10,965,000","12,611,000","12,247,000","13,150,000","10,718,000","11,884,000","7,648,000","16,265,000","6,524,000","8,362,000","6,860,000","6,172,000","7,064,000","7,756,000","5,661,000","4,423,000","7,159,000","7,926,000","8,924,000","8,261,000","4,394,000","4,550,000","3,750,000","9,557,000","18,477,000","23,135,000","15,280,000","12,268,000","9,140,000","11,950,000","8,982,000","9,816,000","10,062,000","16,595,000","12,862,000","18,142,000","16,354,000","10,111,000","7,813,000","8,165,000","7,843,000","7,113,000","6,715,000","4,280,000","-16,824,000","3,234,000","3,865,000"
EBITDA,"88,997,000"
ReconciledCostOfRevenue,"21,975,000","7,734,000","5,085,000","5,028,000","4,128,000","3,819,000","3,822,000","4,693,000","4,290,000","4,797,000","5,302,000","5,008,000","5,719,000","3,919,000","3,626,000","3,792,000","3,600,000","3,440,000","4,136,000","4,115,000","2,944,000","2,742,000","2,849,000","2,982,000","3,026,000","2,743,000","3,190,000","3,641,000","3,318,000","3,499,000","3,292,000","3,955,000","4,303,000","3,956,000","4,277,000","4,887,000","4,438,000","4,671,000","17,713,000","1,434,000","1,199,000","1,032,000","1,190,000","1,212,000","1,322,000","1,151,000","924,000","1,100,000","937,000","1,210,000","762,000","1,017,000","844,000","739,000","745,000","1,491,000","1,345,000","1,191,000","1,038,000","838,000","1,023,000","968,000","924,000","1,315,000","969,000","850,000","1,107,000","1,028,000","772,000","701,000","-561,000","687,000","497,000","583,000","-795,000","592,000","534,000","782,000"
ReconciledDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,465,000","2,157,000","2,610,000","2,766,000","2,517,000",,,"3,268,000","3,386,000","3,790,000","3,999,000","4,482,000","4,312,000",,"4,817,000","4,581,000","4,242,000",,"5,068,000","4,539,000","4,235,000",,"4,524,000","3,473,000","3,300,000",,"3,775,000","3,648,000","3,790,000","3,910,000","3,963,000","3,873,000","3,821,000","4,162,000","4,787,000","4,813,000","4,708,000","4,697,000","5,659,000","5,365,000","5,137,000","5,369,000","5,103,000","5,022,000","5,301,000","5,396,000","6,600,000","6,672,000","4,971,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"88,997,000","30,624,000","23,833,000","18,031,000","16,509,000","11,801,000","6,295,000","5,619,000","1,192,000","8,761,000","12,323,000","12,867,000","13,596,000","13,979,000","17,301,000","9,279,000","16,364,000","10,963,000","14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,725,000","2,683,000","3,816,000","4,031,000","8,704,000","10,969,000","12,669,000","12,897,000","13,154,000","10,749,000","12,025,000","7,648,000","13,915,000","8,129,000","8,680,000","7,298,000","13,199,000","11,506,000","9,770,000","7,740,000","8,489,000","9,536,000","7,932,000","8,926,000","8,769,000","4,415,000","4,559,000","3,777,000","9,617,000","18,590,000","23,166,000","15,410,000","12,369,000","9,474,000","12,082,000","9,123,000","9,969,000","10,392,000","16,789,000","13,060,000","18,305,000","16,403,000","10,191,000","7,876,000","8,224,000","7,893,000","7,308,000","6,651,000","4,844,000","-16,686,000","-18,928,000","3,943,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","2,000","2,000","1,000","0","4,000","58,000","650,000","4,000","31,000","141,000","0","0","-1,000","0","12,000","0","37,000","0","0","49,000","19,000","6,000","2,000","508,000","21,000","170,000","27,000","60,000","113,000","31,000","130,000","66,000","342,000","151,000","149,000","153,000","330,000","194,000","6,000","163,000","49,000","80,000","12,000","1,669,000","50,000","176,000","-81,000","4,473,000","138,000","-44,376,000","78,000"
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","2,000","2,000","1,000","0","4,000","58,000","650,000","4,000","31,000","141,000","0","0","-1,000","0","12,000","0","37,000","0","0","49,000","19,000","6,000","2,000","508,000","21,000","170,000","27,000","60,000","113,000","31,000","130,000","66,000","342,000","151,000","149,000","153,000","330,000","194,000","6,000","163,000","49,000","80,000","12,000","1,669,000","50,000","176,000","-81,000","4,473,000","138,000","-44,376,000","78,000"
NormalizedEBITDA,"88,997,000","30,624,000","23,833,000","18,031,000","16,509,000","11,801,000","6,295,000","5,619,000","1,192,000","8,761,000","12,323,000","12,867,000","13,596,000","13,979,000","17,301,000","9,279,000","16,364,000","10,963,000","14,229,000","7,224,000","8,449,000","8,522,000","6,871,000","6,647,000","5,951,000","1,498,000","2,723,000","2,681,000","3,814,000","4,030,000","8,704,000","10,965,000","12,611,000","11,597,000","13,150,000","10,718,000","11,884,000","7,648,000","16,265,000","10,524,000","12,844,000","11,160,000","10,880,000","11,844,000","12,337,000","9,903,000","8,520,000","12,208,000","12,459,000","13,157,000","12,055,000","8,897,000","7,853,000","7,023,000","13,023,000","22,139,000","26,752,000","18,940,000","16,112,000","12,761,000","15,672,000","12,654,000","13,825,000","14,519,000","21,214,000","17,564,000","22,676,000","21,964,000","15,396,000","12,938,000","11,865,000","12,896,000","11,959,000","12,097,000","5,203,000","-10,362,000","54,282,000","8,758,000"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","227,500","0","0","0","0","0","-350","0","4,200","0","12,950","0","0","17,150","6,650","2,100","700","177,800","7,350","59,500","9,450","21,000","39,550","10,850","45,500","23,100","119,700","52,850","52,150","61,200","132,000","77,600","2,400","65,200","19,600","32,000","4,800","667,600","20,000","70,400","-32,400","1,789,200","55,200","-17,750,400","31,200"
