name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,634,000","7,785,000","-6,202,000","-86,276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-9,540,000","0","0","-9,540,000","0","0","-55,472,000","0","0","-37,960,000","-132,000","-149,000","0","-1,016,000","-87,000","-192,000","0","-369,000","-102,000","0","0","-295,000","21,000","-377,000","152,823,000","-172,000","-9,000","0","-16,000","-399,000","-30,000","-70,000","-69,000","-380,000","-3,052,000","-76,000","-27,000","-349,000","-348,000","-116,000","-815,000","-6,447,000","-44,000","-18,000","24,000","-74,000","-31,170,000","-47,000","-132,000","210,447,000","-296,000","-135,000","0","-12,000","-2,804,000","867,000","969,000","874,000","-17,778,000","-22,333,000","-5,373,000","-60,369,000","-34,721,000","1,278,000","13,728,000","3,372,000","3,836,000","1,069,000","2,317,000","57,392,000","3,303,000","1,316,000","1,393,000","1,271,000","2,094,000","47,290,000","861,000","322,000","995,000","5,031,000","32,314,000","2,118,000","279,000","767,000","22,700,000","37,000","105,000","-2,540,000","120,000","-544,000","6,235,000","0","200,000","100,000","0","0","100,000","200,000","200,000","600,000","300,000","20,200,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,"0","0",,,"88,000","0",,,,,,,,,,,,,,,,,,,,,,,"-31,101,000","0","-128,000","210,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockPayments,"-9,540,000","0","0","-9,540,000","0","0","-55,472,000","0","0","-37,960,000","-132,000","-149,000","0","-1,016,000","-87,000","-192,000","0","-369,000","-102,000","0","0","-295,000","-67,000","-377,000","0","-172,000","-9,000","0","-16,000","-399,000","-30,000","-70,000","-69,000","-380,000","-3,052,000","-76,000","-27,000","-349,000","-348,000","-116,000","-815,000","-6,447,000","-44,000","-18,000","24,000","-74,000","-69,000","-47,000","-4,000","-98,000","-296,000","-135,000","0","-12,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPreferredStockIssuance,,,"0","0",,,"-30,000","268,000",,,,,,,,,,,,,,,"0","0",,,"0","-309,000",,,,,,,"0","0","0","0","0","0","0","122,690,000",,,,,,,,,"0",,,"0","249,879,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockIssuance,,,"0","0",,,"-30,000","268,000",,,,,,,,,,,,,,,"0","0",,,"0","-309,000",,,,,,,"0","0","0","0","0",,,"122,690,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,"-100,455,000","-26,452,000","-24,669,000","-24,659,000","-24,675,000","-24,626,000","-23,140,000","-26,414,000","-18,169,000","-18,167,000","-16,499,000","-16,222,000","-16,216,000","-16,173,000","-12,763,000","-12,762,000","-12,749,000","-12,713,000","-9,883,000","-9,864,000","-9,843,000","-10,953,000","-9,838,000","-9,831,000","-9,459,000","-9,440,000","-9,402,000","-6,893,000","-6,810,000","-6,783,000","-6,252,000","-6,247,000","-6,233,000","-6,201,000","-1,827,000","-6,156,000","-2,336,000","-3,574,000","-1,582,000","-6,314,000","-1,000,000","-4,261,000","-1,000,000","-4,199,000","-1,001,000","-4,144,000","-5,409,000","-6,926,000","-4,125,000","-6,316,000","-4,125,000","-6,292,000","-4,125,000","-7,241,000","-544,000","-4,256,000","0","-4,231,000","0","-3,747,000","0","-4,084,000","0","-3,588,000","0","-3,373,000","0","-2,833,000","0","-2,616,000","0","-2,049,000","0","-2,020,000","0","-1,396,000","0","-1,388,000","0","-1,028,000","0","-875,000","0","-677,000","0","-602,000","0","-433,000","0","-442,000",,,,,,,,,,,,"-15,600,000"
		ProceedsFromStockOptionExercised,"14,243,000","4,829,000","4,868,000","1,841,000","2,705,000","10,410,000","7,036,000","1,691,000","1,413,000","4,919,000","2,611,000","2,078,000","1,848,000","4,130,000","1,513,000","2,643,000","3,496,000","8,251,000","4,869,000","6,240,000","3,306,000","13,814,000","6,032,000","4,030,000","4,134,000","1,632,000","1,706,000","8,601,000","3,323,000","2,489,000","2,410,000","2,781,000","1,594,000","3,668,000","13,806,000","1,850,000","2,103,000","1,354,000","2,748,000","1,497,000","1,947,000","8,699,000","740,000","1,227,000","714,000","905,000","681,000","1,033,000","649,000","1,593,000","2,171,000","1,434,000","754,000","553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,,,"0","0","0","-16,583,000","0","-3,247,000",,,"0","0",,,,,,,,,,,"552,000","132,000","74,000","193,000","84,000","184,000","5,000","471,000","105,000","113,000","70,000","156,000","125,000","23,000","104,000","222,000","-27,000","68,000","157,000","643,000","-454,000","522,000","44,000","194,000","334,000","260,000","190,000","570,000","257,000","640,000","16,000","68,000","9,000","220,000","70,000","394,000","1,428,000","474,000","323,000","398,000","585,000","1,200,000","385,000","2,395,000",,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"100,000","0","0",,,,"0","0","100,000"
EndCashPosition,"462,572,000","462,572,000","411,205,000","462,299,000","435,009,000","426,377,000","322,474,000","308,695,000","345,057,000","349,427,000","286,476,000","448,814,000","300,992,000","270,823,000","392,200,000","279,993,000","304,642,000","231,464,000","277,591,000","251,952,000","296,161,000","217,148,000","270,045,000","246,947,000","271,575,000","212,300,000","275,795,000","250,655,000","252,209,000","290,872,000","230,707,000","287,416,000","356,978,000","342,738,000","263,864,000","330,637,000","233,299,000","213,201,000","315,028,000","212,814,000","191,756,000","160,602,000","169,704,000","160,722,000","184,068,000","174,494,000","172,580,000","243,980,000","152,376,000","121,894,000","158,616,000","151,761,000","163,832,000","220,661,000","445,904,000","193,382,000","240,168,000","441,298,000","261,154,000","212,267,000","168,301,000","271,704,000","305,292,000","313,809,000","270,984,000","244,445,000","341,365,000","227,959,000","567,801,000","218,544,000","176,026,000","373,282,000","176,238,000","407,880,000","168,549,000","276,507,000","346,581,000","410,498,000","256,922,000","392,095,000","258,144,000","153,080,000","123,530,000","240,801,000","209,127,000","218,848,000","230,054,000","68,721,000","124,210,000","139,763,000","81,297,000","97,600,000","96,800,000","0","0","0","0","0","0","0","0","0"
