name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
MarketCap,"626,849,501","1,374,594,657","2,721,763,946","4,757,147,665","5,540,472,131","6,819,306,453","7,312,778,969","3,449,860,451","2,467,126,513","1,084,052,962","1,214,161,667","542,571,206","785,725,595","712,227,789","343,869,238","463,784,204","1,025,832,972","1,073,232,947","579,348,589","815,705,332","684,263,224","777,930,450","254,499,656","423,568,256","330,007,135","460,739,558","644,861,845","529,370,432","856,982,247","734,225,610","711,737,753","442,162,004","357,952,950","258,641,104","133,750,211","168,339,069","168,201,867","139,431,985","93,987,486","40,621,488","93,235,362","34,162,072","149,445","813,813","713,858","1,817,094","2,177,354","3,628,923","5,443,385","9,582,652","5,296,785","6,709,261","7,415,499","1,483,099","564,990","6,356,142","9,887,332","11,299,808","6,356,142","16,243,475","55,675,047","62,717,516","46,291,821","44,488,243","48,095,398","83,526,662","75,113,904","77,237,315","60,821,970","46,322,139","27,460,962","24,562,942","42,544,886","42,785,465","36,913,769","29,437,563","25,699,460","9,345,258","1,019,237","2,378,220","2,378,220","3,200,584","4,469,006","1,223,984","5,347,198","4,234,222","4,012,824","19,411,688","24,970,637","30,817,597","6,915,794","8,070,649","6,240,775","6,380,779","6,749,915","7,825,683","14,959,880","22,394,251","20,692,710","24,187,197","21,163,797","16,373,818","17,829,269","25,834,247","20,265,566","23,920,013"
EnterpriseValue,"472,707,501","1,138,878,657","2,392,400,946","4,348,532,665","5,058,633,131","6,255,856,453","7,099,708,969","3,215,316,451","2,429,753,513","984,421,962","1,181,196,667","495,453,206","730,980,595","643,488,789","246,218,238","337,749,204","916,979,972","988,643,904","487,688,578","729,446,607","574,976,977","733,114,185","194,014,645","369,400,669","271,457,374","383,723,266","550,880,364","437,599,796","752,118,571","655,724,982","644,685,454","397,283,589","304,570,394","218,897,945","86,513,638","157,964,711","156,115,738","126,132,866","80,688,367","25,327,287","77,655,196","29,298,438","17,542,490","18,206,858","17,724,469","20,140,466","20,510,200","21,202,832","22,382,477","26,001,409","7,222,080","8,334,904","8,821,047","2,875,159","1,718,311","6,390,478","9,310,978","10,166,684","5,706,456","11,452,886","46,985,255","59,688,398","41,873,308","37,936,630","41,543,785","74,484,978","62,235,303","64,358,714","58,751,377","42,256,825","22,041,944","17,155,029","33,680,308","32,882,294","29,148,819","29,086,129","25,291,597","8,268,658","1,423,588","2,523,017","1,965,614","2,129,432","3,397,854","714,213","3,286,315","2,091,262","2,833,501","18,326,527","23,885,476","28,243,642","3,415,794","4,870,649","2,640,775","1,380,779","949,915","1,325,683","7,159,880","15,394,251","12,192,710","14,287,197","18,863,797","14,973,818","15,529,269","22,634,247","20,265,566","23,920,013"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.313",,,,"0.026",,"0.072","0.393","0.529","0.25","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"72.872","187.986","561.162","1,748.971","5,215.176","36,572.921","37,037.05","17,751.535","12,103.327","5,720.72","6,141.607","3,001.064","4,444.572","3,991.797","1,949.49","2,542.084","5,733.506","5,784.106","3,106.822","4,179.707","3,304.498","3,749.364","1,487.936","2,461.342","1,893.043","2,552.204","3,393.849","2,639.655","4,008.483","3,460.976","3,295.045","2,106.28","1,691.413","1,150.776","672.187","1,764.938","1,938.689","3,717.676","2,505.989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.922","49.126","85.09","85.571","73.828","58.875","51.399","18.691","2.035","4.756","0.826","1.177","1.648","0.212","0.677","0.749","0.922","5.339","7.014","14.499","5.763","10.088","10.401","2.127","2.25","3.13","5.984","223.943","206.927","241.872","211.638","163.738","178.293",,,
PbRatio,"3.679","5.727","8.737","12.417","12.443","13.13","42.85","17.762",,"28.073",,"41.088","41.944","29.617","4.793","4.581","12.728","16.341","7.54","10.737","6.772","21.689","4.652","5.382","3.689","4.536","5.544","4.687","8.067","9.166","10.61","8.487","6.576","6.457","2.996","16.383","11.617","9.141","6.044","4.097","9.614","3.55",,,,,,,,,,,,,,,,,,"5.914","7.794","41.683","11.864","8.128","8.788","11.884","6.668","6.857","73.906","14.846","6.167","3.994","5.112","4.651","5.403",,"10.079","2.822",,,"36.727","4.39","6.129","542.066","3.228",,"2.667","12.03","15.475","10.967","2.034","2.306","1.642","1.276","1.144","1.186","1.943","3.11","2.463","2.443","9.62","12.595","8.49","8.334",,
EnterprisesValueRevenueRatio,"59.746","564.92","1,030.763","2,142.134","3,274.196","7,888.848","186,834.447","84,613.591","63,940.882","25,905.841","31,084.123","13,038.242","19,236.331","16,933.916","6,479.427","8,888.137","24,131.052","26,016.945","12,801.905","19,147.59","15,093.24","19,244.368","5,092.916","9,696.574","7,125.801","10,072.799","14,460.7","11,486.765","19,743.236","17,212.888","16,923.099","10,428.486","7,995.023","5,746.107","2,270.997","4,146.491","4,098.064","3,311.008","4,236.055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.931",,,,"3,286,315","0.771","1.471","17.084","16.649","30.518","3.795","16.235","26.408","13.808","1.9","13.257","2.864","153.943",,"142.872","188.638","149.738",,"226.342","202.656","239.2"
EnterprisesValueEBITDARatio,"-1.478","-17.185","-25.954","-51.448","-65.862","-70.551","-81.724","-37.601","-47.998","-19.734","-31.377","-8.207","-20.818","-18.563","-4.549","-9.845","-20.688","-23.79","-15.725","-23.11","-20.242","-26.518","-7.747","-15.016","-17.333","-28.215","-31.724","-32.645","-44.627","-45.734","-34.735","-23.077","-25.919","-29.903","-15.955","-36.605","-24.607","-36.645","-46.304","-9.331","-33.1","-1.685","-5.727","29.673","-54.96","-35.626","-46.006","-41.141","-42.755","-49.185","-21.236","-21.133","-18.54","-5.173","31.185","-4.644","-6.379","-6.33","-2.986","-4.247","-9.569","-23.15","-13.232","-19.451","-17.734","-25.69","-4.288","-34.571","-39.491","-29.667","-12.594","-7.787","-35.394","-29.624","-19.198","-14.618","-37.148","-21.748","-4.021","-4.386","44.468","-3.444","-6.212","-1.03","-2.257","-10.592","1.21","-19.4","-7.753","-20.136","-5.693","-9.741","-4.401","-1.534","-1.187","-1.105","8.95","-11.842","-7.62","-14.287","-11.096","-18.717","-12.941","-20.577","-33.776","239.2"
