name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
CashFlowsfromusedinOperatingActivitiesDirect,,,,,,,,,,,,,,,,,,,,,,"21,970,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingCashFlow,"124,150,000","5,670,000","56,480,000","35,070,000","26,930,000","15,740,000","48,300,000","48,270,000","27,440,000","3,400,000","11,500,000","34,820,000","21,200,000","8,080,000","46,230,000","31,470,000","35,380,000","16,240,000","47,410,000","23,060,000","27,620,000","21,970,000","34,060,000","13,470,000","36,280,000","-3,340,000","47,830,000","8,260,000","29,720,000","-23,270,000","58,500,000","41,910,000","47,660,000","-24,670,000","46,330,000","27,740,000","51,470,000","-37,930,000","57,820,000","20,280,000","34,520,000","-39,400,000","60,260,000","40,210,000","22,340,000","-27,000,000","33,360,000","30,180,000","35,510,000","-4,090,000","15,870,000","35,470,000","30,370,000","1,800,000","8,380,000","-470,000","13,570,000","9,690,000","18,090,000","20,940,000","-1,000,000","26,940,000","-10,580,000","9,120,000","6,330,000","11,010,000","10,140,000","5,530,000","25,570,000","-11,350,000","45,340,000","-10,190,000","-14,160,000","21,630,000","6,300,000","28,500,000","-18,790,000","25,350,000","-4,970,000","37,920,000"
	CashFlowFromContinuingOperatingActivities,"124,150,000","5,670,000","56,480,000","35,070,000","26,930,000","15,740,000","48,300,000","48,270,000","27,440,000","3,400,000","31,610,000","34,820,000","21,200,000","8,080,000","46,230,000","31,470,000","35,380,000","16,240,000","47,410,000","23,060,000","27,620,000","21,970,000","34,060,000","13,470,000","36,280,000","-3,340,000","47,830,000","8,260,000","43,750,000","-23,270,000","58,500,000","41,910,000","47,660,000","-24,670,000","46,330,000","27,740,000","51,470,000","-37,930,000","57,820,000","20,280,000","34,520,000","-39,400,000","60,260,000","40,210,000","22,340,000","-27,000,000","33,360,000","30,180,000","35,510,000","-4,090,000","15,870,000","35,470,000","30,370,000","1,800,000","8,380,000","-470,000","13,570,000","9,690,000","18,090,000","20,940,000","-1,000,000","26,940,000","-10,580,000","9,120,000","6,330,000","11,010,000","10,140,000","5,530,000","25,570,000","-11,350,000","45,340,000","-10,190,000","-14,160,000","21,630,000","6,300,000","28,500,000","-18,790,000","25,350,000","-4,970,000","37,920,000"
		NetIncomeFromContinuingOperations,"58,420,000","14,170,000","12,820,000","19,590,000","11,840,000","13,060,000","23,690,000","-100,870,000","-15,700,000","13,120,000","38,400,000","19,110,000","22,020,000","19,090,000","16,710,000","22,670,000","19,600,000","24,320,000","-4,010,000","13,130,000","14,850,000","6,990,000","-67,360,000","8,780,000","10,480,000","8,300,000","-60,800,000","11,710,000","1,710,000","13,980,000","1,470,000","22,230,000","26,200,000","19,380,000","8,280,000","29,950,000","27,800,000","14,040,000","-13,090,000","19,960,000","17,170,000","12,250,000",,,,"11,750,000","5,690,000","12,720,000","21,430,000","5,430,000","-11,360,000","5,830,000","8,990,000","-3,680,000","-161,830,000","8,320,000","9,450,000","7,870,000","-168,870,000","6,580,000","-3,190,000","7,050,000","-123,030,000","-12,720,000","2,860,000","3,980,000","-52,670,000","230,000","4,050,000","2,510,000","-15,540,000","520,000","10,290,000","2,540,000","-6,050,000","3,670,000",,,"-5,620,000","-4,040,000"
		OperatingGainsLosses,"130,000","20,000","0","0","110,000","20,000","210,000","70,000","960,000","50,000","80,000","30,000","-10,000","50,000","180,000","0","80,000","-10,000","-2,130,000","180,000","-1,140,000","4,170,000","520,000","230,000","530,000","590,000","1,740,000","290,000","250,000","50,000","4,070,000","-6,560,000","170,000","70,000","1,040,000","-10,360,000","0","10,000","40,300,000","6,550,000","-20,000","-300,000","-6,380,000","-10,000","40,000","-60,000","-1,720,000","180,000","-9,470,000","4,140,000","-23,610,000","-15,710,000","6,020,000","-6,180,000","4,710,000","-28,800,000","2,000,000","110,000","-30,810,000","-3,220,000","4,270,000","29,130,000","-12,320,000","-23,840,000","-3,990,000","25,220,000",,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,070,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"80,000","30,000","-10,000","50,000","180,000","0","80,000","-10,000","-2,130,000","180,000","-1,140,000","4,170,000","520,000","230,000","530,000","590,000",,"290,000","250,000","50,000",,"-6,560,000","170,000","70,000",,"-10,360,000","0","10,000",,"-10,000","-20,000","-300,000",,"-10,000","40,000","-60,000","570,000","230,000","-9,620,000","310,000","750,000","-20,000","-110,000","-50,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,520,000","750,000",,"2,080,000","2,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"53,970,000","13,760,000","13,560,000","13,280,000","13,370,000","13,240,000","12,610,000","12,240,000","13,410,000","11,510,000","8,630,000","11,830,000","11,880,000","11,160,000","10,790,000","10,620,000","11,370,000","11,240,000","13,060,000","10,770,000","12,250,000","10,790,000","11,820,000","10,870,000","11,130,000","11,040,000","11,320,000","10,810,000","6,570,000","14,840,000","15,660,000","13,510,000","13,800,000","13,510,000","13,970,000","11,820,000","12,660,000","12,130,000","11,420,000","11,580,000","11,220,000","10,650,000","10,530,000","10,280,000","9,930,000","9,730,000","9,470,000","9,220,000","9,440,000","9,610,000","10,530,000","10,580,000","11,070,000","11,760,000","9,790,000","11,360,000","11,570,000","11,350,000","9,090,000","11,530,000","12,860,000","10,570,000","11,430,000","9,980,000","11,000,000","10,660,000","14,790,000","10,380,000","10,510,000","10,510,000","13,920,000","10,080,000","10,280,000","10,230,000","20,650,000","11,340,000",,,"6,840,000","9,920,000"
			DepreciationAndAmortization,"53,970,000","13,760,000","13,560,000","13,280,000","13,370,000","13,240,000","12,610,000","12,240,000","13,410,000","11,510,000","8,630,000","11,830,000","11,880,000","11,160,000","10,790,000","10,620,000","11,370,000","11,240,000","13,060,000","10,770,000","12,250,000","10,790,000","11,820,000","10,870,000","11,130,000","11,040,000","11,320,000","10,810,000","6,570,000","14,840,000","15,660,000","13,510,000","13,800,000","13,510,000","13,970,000","11,820,000","12,660,000","12,130,000","11,420,000","11,580,000","11,220,000","10,650,000","10,530,000","10,280,000","9,930,000","9,730,000","9,470,000","9,220,000","9,440,000","9,610,000","10,530,000","10,580,000","11,070,000","11,760,000","9,790,000","11,360,000","11,570,000","11,350,000","9,090,000","11,530,000","12,860,000","10,570,000","11,430,000","9,980,000","11,000,000","10,660,000","14,790,000","10,380,000","10,510,000","10,510,000","13,920,000","10,080,000","10,280,000","10,230,000","20,650,000","11,340,000",,,"6,840,000","9,920,000"
