name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
OperatingCashFlow,"-98,089,000","-29,977,000","-30,018,000","-20,501,000","-17,593,000","-16,777,000","-10,820,000","-11,376,000","-9,567,000","-10,442,000","-11,486,000","-5,595,000","-7,285,000","-3,456,000","-12,649,000","-12,070,000","-12,682,000","-2,423,000","-10,502,000","-20,752,000","658,000","-8,700,000","-14,569,000","-13,225,000","-25,826,000","-23,060,000","-22,082,000","-24,193,000","-24,925,000","-24,003,000","3,849,000","-4,990,000","-17,620,000","-20,789,000","10,363,000","-15,597,000","-15,248,000","-15,348,000","-17,019,000","-12,560,000","-14,205,000","-18,992,000","-5,668,000","-16,123,000","-14,065,000","-24,602,000","-12,772,000","-11,075,000","-16,092,000","-23,189,000","-17,542,000","-19,939,000","-31,490,000","-19,215,000","-15,125,000","-17,251,000","-23,649,000","-24,182,000","-18,650,000","-22,556,000","-38,681,000","-23,731,000","-24,513,000","-18,336,000","-29,752,000","-44,005,000","-27,543,000","-24,658,000","-32,674,000","-40,357,000","-35,145,000","-32,359,000","-38,017,000","-42,631,000","-32,118,000","-21,564,000","-28,302,000","-25,160,000","-29,197,000","-19,644,000","-25,147,000","-14,942,000","-25,145,278","-13,467,762","-11,533,201","-11,745,759","-10,715,233","-7,750,010","-10,059,602","-7,476,683","-6,300,000","-9,000,000","-8,500,000","-6,100,000","-6,200,000","-3,600,000","-4,900,000","-6,900,000","-6,100,000","-6,100,000","-7,300,000","-3,800,000"
	CashFlowFromContinuingOperatingActivities,"-98,089,000","-29,977,000","-30,018,000","-20,501,000","-17,593,000","-16,777,000","-10,820,000","-11,376,000","-9,567,000","-10,442,000","-11,486,000","-5,595,000","-7,285,000","-3,456,000","-12,649,000","-12,070,000","-12,682,000","-2,423,000","-10,502,000","-20,752,000","658,000","-8,700,000","-14,569,000","-13,225,000","-25,826,000","-23,060,000","-22,082,000","-24,193,000","-24,925,000","-24,003,000","3,849,000","-4,990,000","-17,620,000","-20,789,000","10,363,000","-15,597,000","-15,248,000","-15,348,000","-17,019,000","-12,560,000","-14,205,000","-18,992,000","-5,668,000","-16,123,000","-14,065,000","-24,602,000","-12,772,000","-11,075,000","-16,092,000","-23,189,000","-17,542,000","-19,939,000","-31,490,000","-19,215,000","-15,125,000","-17,251,000","-23,649,000","-24,182,000","-18,650,000","-22,556,000","-38,681,000","-23,731,000","-24,513,000","-18,336,000","-29,752,000","-44,005,000","-27,543,000","-24,658,000","-32,674,000","-40,357,000","-35,145,000","-32,359,000","-38,017,000","-42,631,000","-32,118,000","-21,564,000","-28,302,000","-25,160,000","-29,197,000","-19,644,000","-25,147,000","-14,942,000","-25,145,278","-13,467,762","-11,533,201","-11,745,759","-10,715,233","-7,750,010","-10,059,602","-7,476,683","-6,300,000","-9,000,000","-8,500,000","-6,100,000","-6,200,000","-3,600,000","-4,900,000","-6,900,000","-6,100,000","-6,100,000","-7,300,000","-3,800,000"
		NetIncomeFromContinuingOperations,"-117,817,000","-37,175,000","-36,788,000","-24,179,000","-19,675,000","-17,266,000","-15,002,000","-11,263,000","-14,000,000","-12,186,000","-8,186,000","-10,047,000","-10,976,000","-10,814,000","845,000","-14,818,000","-11,344,000","-4,035,000","-14,270,000","-11,999,000","5,373,000","-19,935,000","-6,561,000","-29,361,000","-20,022,000","2,991,000","-26,016,000","-33,096,000","-32,766,000","-28,885,000","-41,914,000","4,360,000","-27,479,000","-29,196,000","9,970,000","-15,684,000","-18,220,000","-19,616,000","-18,914,000","-15,189,000","-50,138,000","-17,446,000","-8,967,000","-16,662,000","-16,997,000","-19,734,000",,"-12,522,000","-23,482,000","-26,920,000","-27,377,000","-35,024,000","-18,027,000","-14,967,000","-38,253,000","-45,589,000","-58,023,000","-38,164,000","-37,561,000","-48,471,000","-25,962,000","-26,114,000","-33,418,000","-28,198,000","-21,000,000","-53,203,000","-18,694,000","-8,504,000","-36,175,000","-39,132,000","-43,537,000","-34,909,000","-37,457,000","-136,395,000","-36,667,000","-32,119,000","-30,776,000","-30,469,000","30,537,000","-30,392,000","-26,488,000","-23,560,000","-32,486,648","-21,460,731","-15,992,259","-11,705,362","-15,048,130","-14,356,734","-11,643,348","-10,880,579","-8,400,000","-9,900,000","-9,900,000","-8,100,000","-8,000,000","-5,600,000","-5,200,000","-6,200,000","-8,200,000","-4,300,000","-4,900,000","-5,600,000"
		OperatingGainsLosses,,"611,000",,,,,"0","0",,,,,,,"44,000","35,000",,,,,,,"0","0","0","-32,000,000","-97,000","-120,000",,,"0","0","0","886,000",,,,,,,,,,,,,"-45,000","-46,000","-103,000","0","0","-1,232,000","-7,264,000","-9,129,000","-9,316,000","-1,000","-42,000","-88,000","-32,000","-28,000","-317,000","318,000","-3,608,000","3,594,000","-1,273,000","1,349,000","-12,833,000","-25,958,000","4,751,000","2,320,000","1,211,000","1,372,000","1,116,000","91,133,000","2,483,000","306,000","218,000","43,000","-54,962,000","-62,000","-466,000","66,000","10,476,303","1,140,971","660,324","-417,598","-4,972,137","2,433,294","1,407,434","450,887","-200,000","-100,000","200,000","200,000","300,000",,,,,,,
			GainLossOnSaleOfBusiness,,,"0","0",,,"0","0",,,"-1,332,000","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,"44,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,"-97,000","-120,000",,,"0","0","0","886,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-11,448,000","0","1,204,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"708,000","317,000","131,000","132,000","128,000","135,000","133,000","133,000","133,000","133,000","134,000","136,000","136,000","140,000","145,000","146,000","150,000","152,000","176,000","159,000","189,000","193,000","195,000","194,000","210,000","232,000","233,000","245,000","251,000","261,000","225,000","259,000","256,000","360,000","363,000","390,000","406,000","411,000","601,000","659,000","565,000","521,000","663,000","698,000","606,000","444,000","429,000","447,000","483,000","483,000","347,000","476,000","368,000","580,000","811,000","1,377,000","1,471,000","1,569,000","1,111,000","1,005,000","1,195,000","1,383,000","1,569,000","1,567,000","1,670,000","1,698,000","2,581,000","2,641,000","2,585,000","2,471,000","2,794,000","2,740,000","2,718,000","3,182,000","2,288,000","2,125,000","1,997,000","2,030,000","3,756,000","3,319,000","3,432,000","3,733,000","4,070,382","3,242,561","2,161,590","2,762,467","2,084,666","3,126,727","2,613,600","2,608,126","400,000","900,000","400,000","500,000","400,000","700,000","400,000","400,000","400,000","500,000","300,000","400,000"
			DepreciationAndAmortization,"708,000","317,000","131,000","132,000","128,000","135,000","133,000","133,000","133,000","133,000","134,000","136,000","136,000","140,000","145,000","146,000","150,000","152,000","176,000","159,000","189,000","193,000","195,000","194,000","210,000","232,000","233,000","245,000","251,000","261,000","225,000","259,000","256,000","360,000","363,000","390,000","406,000","411,000","601,000","659,000","565,000","521,000","663,000","698,000","606,000","444,000","429,000","447,000","483,000","483,000","347,000","476,000","368,000","580,000","811,000","1,377,000","1,471,000","1,569,000","1,111,000","1,005,000","1,195,000","1,383,000","1,569,000","1,567,000","1,670,000","1,698,000","2,581,000","2,641,000","2,585,000","2,471,000","2,794,000","2,740,000","2,718,000","3,182,000","2,288,000","2,125,000","1,997,000","2,030,000","3,756,000","3,319,000","3,432,000","3,733,000","4,070,382","3,242,561","2,161,590","2,762,467","2,084,666","3,126,727","2,613,600","2,608,126","400,000","900,000","400,000","500,000","400,000","700,000","400,000","400,000","400,000","500,000","300,000","400,000"
