name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
			GrossPPE,"114,765,000","115,507,000","113,294,000","109,615,000","96,035,000","82,851,000","79,793,000","76,365,000","73,608,000","70,149,000","70,241,000","69,824,000","70,643,000","64,634,000","66,676,000","66,315,000","64,807,000","64,568,000","65,739,000","65,847,000","66,649,000","67,215,000","67,320,000","67,896,000","67,186,000","66,273,000","65,584,000","63,260,000","61,090,000","57,767,000","54,697,000","51,567,000","48,106,000","45,678,000","43,972,000","30,918,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","126,000","125,000","126,000","126,000","126,000","126,000","126,000",,,,,
				MachineryFurnitureEquipment,"11,455,000","11,752,000","11,408,000","10,927,000","9,747,000","9,649,000","9,473,000","10,110,000","9,263,000","8,996,000","8,729,000","8,406,000","8,164,000","7,598,000","7,819,000","7,113,000","6,714,000","6,230,000","6,094,000","5,918,000","5,582,000","5,484,000","5,420,000","5,488,000","5,428,000","5,235,000","5,144,000","4,933,000","4,734,000","4,348,000","4,219,000","4,112,000","3,831,000","3,574,000","3,254,000","2,752,000"
				OtherProperties,"94,435,000","96,035,000","93,253,000","90,047,000","78,204,000","66,141,000","64,056,000","60,419,000","57,379,000","54,867,000","55,631,000","55,082,000","55,401,000","50,376,000","52,184,000","53,910,000","54,431,000","56,207,000","57,703,000","58,653,000","59,805,000","60,715,000","60,534,000","60,714,000","59,694,000","59,357,000","58,760,000","56,868,000","55,309,000","52,344,000","48,277,000","45,500,000","42,416,000","40,124,000","38,850,000","27,621,000"
				ConstructionInProgress,"2,705,000","1,639,000","1,826,000","3,512,000","3,367,000","2,344,000","1,572,000","1,104,000","2,443,000","1,773,000","1,461,000","2,616,000","3,432,000","3,128,000","3,660,000","3,069,000","1,934,000","408,000","265,000","230,000","305,000","75,000","430,000","478,000","847,000","578,000","593,000","400,000","146,000","193,000","1,186,000","1,067,000","971,000","1,093,000","990,000","46,000"
				Leases,"6,045,000","5,956,000","6,682,000","5,004,000","4,592,000","4,592,000","4,567,000","4,607,000","4,398,000","4,388,000","4,295,000","3,595,000","3,521,000","3,407,000","2,888,000","2,098,000","1,603,000","1,598,000","1,552,000","921,000","832,000","816,000","811,000","1,091,000","1,091,000","978,000","961,000","933,000","775,000","756,000","889,000","888,000","888,000","887,000","878,000","499,000"
			AccumulatedDepreciation,"-51,356,000","-51,669,000","-50,398,000","-48,948,000","-47,461,000","-45,794,000","-45,155,000","-45,381,000","-45,824,000","-44,856,000","-43,998,000","-43,002,000","-42,709,000","-42,293,000","-43,661,000","-44,343,000","-43,909,000","-44,465,000","-44,788,000","-43,886,000","-42,851,000","-42,016,000","-40,485,000","-39,456,000","-37,542,000","-35,593,000","-33,875,000","-31,086,000","-28,762,000","-25,840,000","-23,640,000","-20,917,000","-18,282,000","-15,956,000","-15,410,000","-10,639,000"
		GoodwillAndOtherIntangibleAssets,"90,934,000","93,126,000","95,327,000","97,509,000","99,612,000","101,962,000","104,063,000","106,210,000","108,194,000","110,487,000","112,813,000","5,369,000","5,623,000","6,012,000","6,391,000","6,397,000","6,886,000","7,080,000","3,980,000","3,937,000","214,000","241,000","268,000","184,000","206,000","229,000","227,000","238,000","260,000","270,000","274,000","315,000","345,000","215,000","362,000","558,000"
			Goodwill,"32,934,000","32,979,000","33,028,000","33,085,000","33,055,000","33,165,000","33,054,000","32,957,000","32,912,000","32,954,000","33,277,000","2,242,000","2,212,000","2,257,000","2,288,000","2,304,000","2,430,000","2,363,000","2,330,000","2,253,000",,,,,,,,,,,,,,,,
