name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"856,611,000","153,320,000","223,162,000","214,171,000","265,958,000","263,817,000","343,053,000","304,019,000","395,646,000","374,150,000","612,316,000","495,612,000","532,577,000","578,410,000","799,927,000","592,883,000","617,396,000","626,540,000","873,166,000","634,466,000","662,619,000","673,626,000","934,885,000","720,468,000","756,030,000","731,971,000","917,170,000","713,595,000","738,395,000","750,356,000","925,421,000","757,054,000","751,576,000","757,637,000","768,447,000","595,059,000","608,747,000","601,402,000","638,302,000","568,552,000","568,335,000","559,283,000","492,164,000","430,161,000","392,582,000","644,728,000","572,648,000","81,779,000","14,702,000","44,236,000"
	OperatingRevenue,"856,611,000","153,320,000","223,162,000","214,171,000","265,958,000","263,817,000","343,053,000","304,019,000","395,646,000","374,150,000","612,316,000","495,612,000","532,577,000","578,410,000","799,927,000","592,883,000","617,396,000","626,540,000","873,166,000","634,466,000","662,619,000","673,626,000","934,885,000","720,468,000","756,030,000","731,971,000","917,170,000","713,595,000","738,395,000","750,356,000","925,421,000","757,054,000","751,576,000","757,637,000","768,447,000","595,059,000","608,747,000","601,402,000","638,302,000","568,552,000","568,335,000","559,283,000","492,164,000","430,161,000","392,582,000","644,728,000","572,648,000","81,779,000","14,702,000","44,236,000"
CostOfRevenue,"152,477,000","19,319,000","28,411,000","32,732,000","72,015,000","96,834,000","164,254,000","143,997,000","258,420,000","172,903,000","302,275,000","217,672,000","240,445,000","272,394,000","433,858,000","286,894,000","293,738,000","301,655,000","486,248,000","325,041,000","334,552,000","364,175,000","565,015,000","406,351,000","422,442,000","392,643,000","545,430,000","384,683,000","401,388,000","402,950,000","531,962,000","376,910,000","361,714,000","371,916,000","390,239,000","235,437,000","224,053,000","222,393,000","282,472,000","181,786,000","135,184,000","119,498,000","96,265,000","68,046,000","54,803,000","374,728,000","415,706,000","13,681,000","-20,227,000","24,251,000"
GrossProfit,"704,134,000","134,001,000","194,751,000","181,439,000","193,943,000","166,983,000","178,799,000","160,022,000","137,226,000","201,247,000","310,041,000","277,940,000","292,132,000","306,016,000","366,069,000","305,989,000","323,658,000","324,885,000","386,918,000","309,425,000","328,067,000","309,451,000","369,870,000","314,117,000","333,588,000","339,328,000","371,740,000","328,912,000","337,007,000","347,406,000","393,459,000","380,144,000","389,862,000","385,721,000","378,208,000","359,622,000","384,694,000","379,009,000","355,830,000","386,766,000","433,151,000","439,785,000","395,899,000","362,115,000","337,779,000","270,000,000","156,942,000","68,098,000","34,929,000","19,985,000"
OperatingExpense,"704,903,000","165,836,000","184,725,000","172,653,000","181,689,000","160,809,000","165,944,000","155,643,000","168,861,000","267,271,000","269,905,000","273,303,000","299,271,000","303,821,000","304,248,000","252,931,000","388,302,000","321,217,000","337,182,000","316,284,000","330,845,000","318,388,000","347,793,000","341,412,000","369,161,000","370,753,000","371,184,000","387,835,000","345,728,000","342,380,000","375,874,000","385,877,000","397,119,000","403,889,000","362,591,000","347,339,000","358,097,000","357,763,000","368,538,000","358,897,000","388,301,000","400,198,000","410,615,000","367,147,000","438,806,000","387,148,000","327,732,000","95,655,000","62,314,000","11,414,000"
	SellingGeneralAndAdministration,"704,903,000","165,836,000","184,725,000","172,653,000","181,689,000","160,809,000","165,944,000","155,643,000","168,861,000","267,271,000","269,905,000","273,303,000","299,271,000","303,821,000","304,248,000","252,931,000","388,302,000","321,217,000","337,182,000","316,284,000","330,845,000","318,388,000","347,793,000","341,412,000","369,161,000","370,753,000","371,184,000","387,835,000","345,728,000","342,380,000","375,874,000","385,877,000","397,119,000","403,889,000","362,591,000","347,339,000","358,097,000","357,763,000","368,538,000","358,897,000","388,301,000","400,198,000","410,615,000","367,147,000","438,806,000","387,148,000","327,732,000","95,655,000","62,314,000","11,414,000"
		GeneralAndAdministrativeExpense,"510,373,000","126,420,000","126,490,000","119,494,000","137,969,000","127,143,000","128,168,000","124,257,000","143,619,000","207,141,000","187,846,000","198,327,000","210,348,000","210,424,000","194,562,000","160,214,000","294,124,000","222,061,000","224,720,000","214,828,000","230,187,000","232,046,000","254,458,000","253,554,000","277,168,000","280,988,000","287,976,000","326,248,000","288,721,000","289,847,000","309,965,000","325,942,000","332,844,000","324,965,000","306,086,000","294,074,000","302,600,000","308,206,000","307,625,000","287,978,000","299,894,000","283,583,000","255,316,000","196,798,000","226,067,000","178,939,000","154,172,000","45,861,000","26,454,000","7,426,000"
			OtherGandA,"510,373,000","126,420,000","126,490,000","119,494,000","137,969,000","127,143,000","128,168,000","124,257,000","143,619,000","207,141,000","187,846,000","198,327,000","210,348,000","210,424,000","194,562,000","160,214,000","294,124,000","222,061,000","224,720,000","214,828,000","230,187,000","232,046,000","254,458,000","253,554,000","277,168,000","280,988,000","287,976,000","326,248,000","288,721,000","289,847,000","309,965,000","325,942,000","332,844,000","324,965,000","306,086,000","294,074,000","302,600,000","308,206,000","307,625,000","287,978,000","299,894,000","283,583,000","255,316,000","196,798,000","226,067,000","178,939,000","154,172,000","45,861,000","26,454,000","7,426,000"
		SellingAndMarketingExpense,"194,530,000","39,416,000","58,235,000","53,159,000","43,720,000","33,666,000","37,776,000","31,386,000","25,242,000","60,130,000","82,059,000","74,976,000","88,923,000","93,397,000","109,686,000","92,717,000","94,178,000","99,156,000","112,462,000","101,456,000","100,658,000","86,342,000","93,335,000","87,858,000","91,993,000","89,765,000","83,208,000","61,587,000","57,007,000","52,533,000","65,909,000","59,935,000","64,275,000","78,924,000","56,505,000","53,265,000","55,497,000","49,557,000","60,913,000","70,919,000","88,407,000","116,615,000","155,299,000","170,349,000","212,739,000","208,209,000","173,560,000","49,794,000","35,860,000","3,988,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,431,000",,,,,,,,,,
OperatingIncome,"-769,000","-31,835,000","10,026,000","8,786,000","12,254,000","6,174,000","12,855,000","4,379,000","-31,635,000","-66,024,000","40,136,000","4,637,000","-7,139,000","2,195,000","61,821,000","53,058,000","-64,644,000","3,668,000","49,736,000","-6,859,000","-2,778,000","-8,937,000","22,077,000","-27,295,000","-35,573,000","-31,425,000","556,000","-58,923,000","-8,721,000","5,026,000","17,585,000","-5,733,000","-7,257,000","-18,168,000","15,617,000","12,283,000","26,597,000","21,246,000","-12,708,000","27,869,000","44,850,000","39,587,000","-14,716,000","-5,032,000","-101,027,000","-117,148,000","-170,790,000","-27,557,000","-27,385,000","8,571,000"
NetNonOperatingInterestIncomeExpense,"-9,697,000","-1,568,000","-1,785,000","-2,198,000","-4,146,000","-3,961,000","-7,720,000","-8,140,000","-6,579,000","-4,402,000","-4,497,000","-4,070,000","-3,527,000","-3,755,000","-3,913,000","-4,200,000","-3,392,000","-3,984,000","-4,125,000","-4,262,000","-4,289,000","-4,717,000","-3,321,000","-5,185,000","-4,671,000","-454,000","-744,000","-452,000","-143,000","-443,000","-50,000","132,000","284,000","288,000","269,000","448,000","340,000","372,000","-52,743,000","617,000","57,367,000","-3,539,000","-3,835,000","8,269,000","479,000","1,060,000","-1,646,000","2,026,000","-99,000","3,000"
	InterestIncomeNonOperating,"5,276,000","1,315,000","1,298,000","1,336,000","1,327,000","1,155,000","1,097,000","1,268,000","1,430,000","2,556,000","1,934,000","1,959,000","1,915,000","1,936,000","1,562,000","1,513,000","1,836,000","1,509,000","1,132,000","894,000","659,000","602,000","604,000","593,000","461,000","395,000","331,000","331,000","330,000","227,000","413,000","409,000","418,000","376,000","373,000","487,000","441,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,"14,973,000","2,883,000","3,083,000","3,534,000","5,473,000","5,116,000","8,817,000","9,408,000","8,009,000","6,958,000","6,431,000","6,029,000","5,442,000","5,691,000","5,475,000","5,713,000","5,228,000","5,493,000","5,257,000","5,156,000","4,948,000","5,319,000","3,925,000","5,778,000","5,132,000","849,000","1,075,000","783,000","473,000","670,000","463,000","277,000","134,000","88,000","104,000","39,000","101,000",,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,927,000","11,467,000",,"1,023,000","840,000",,,,"-372,000","52,743,000","-617,000","-57,367,000","3,539,000","3,835,000","-8,269,000","-479,000","-1,060,000","1,646,000","-2,026,000","99,000","-3,000"
OtherIncomeExpense,"44,589,000","-3,624,000","-11,009,000","72,248,000","-13,026,000","14,662,000","8,502,000","-13,286,000","-35,594,000","-146,422,000","43,739,000","-13,183,000","-24,967,000","-43,100,000","-9,208,000","-695,000","-22,666,000","-4,814,000","2,003,000","17,454,000","5,547,000","-2,628,000","-73,136,000","-1,233,000","-13,686,000","-11,968,000","-8,628,000","-19,208,000","2,579,000","-19,215,000","-10,608,000","-19,851,000","-1,904,000","-2,913,000","-87,367,000","1,913,000","-5,104,000","-5,523,000","3,080,000","-2,569,000","-1,793,000","-5,076,000","-6,934,000","-6,418,000","-7,881,000","-882,000","-165,339,000","-28,410,000",,
	GainOnSaleOfSecurity,"84,464,000","-3,312,000","-3,264,000","84,731,000","2,064,000","22,084,000","12,258,000","7,273,000","4,884,000","-7,908,000","53,354,000","-12,771,000","-24,968,000","-43,087,000","-8,909,000","-1,277,000","-15,568,000","-3,635,000","5,053,000","11,855,000","9,378,000","354,000","-58,415,000","-1,360,000","-5,935,000","5,356,000","-2,510,000","-7,717,000","2,982,000","-19,497,000","-11,418,000","-18,638,000","-696,000","-783,000","809,000","409,000","-5,905,000","-5,436,000",,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-91,000","-420,000","52,000","14,000","-25,000","-14,000","-19,000","-1,231,000","-138,000","-3,428,000","-5,128,000","-6,678,000","-11,211,000","-7,881,000","-882,000",,"0","0","0"
	SpecialIncomeCharges,"-39,875,000","-312,000","-7,745,000","-12,483,000","-15,090,000","-7,422,000","-3,799,000","-20,559,000","-40,478,000","-138,521,000","-9,992,000","0","0",,"55,000","-147,000","-8,790,000","-1,138,000","-2,954,000","5,646,000","-4,620,000","-2,743,000","-14,653,000","610,000","-7,596,000","-15,908,000","-5,979,000","-11,500,000","-505,000","269,000","809,000","-1,144,000","-788,000","-2,182,000","-88,190,000","1,529,000","815,000","-68,000","5,326,000","-2,431,000","1,635,000","52,000","-256,000","4,793,000","0",,"-165,339,000","-28,410,000",,
		RestructuringAndMergernAcquisition,"34,785,000","312,000","7,745,000","12,483,000","14,245,000","7,422,000","3,799,000","20,559,000","40,478,000",,"206,000",,,,"-55,000","35,000","-399,000","283,000","10,000","11,503,000","4,620,000","2,743,000","14,965,000","1,450,000","16,935,000","15,908,000","5,979,000","25,210,000","505,000","-269,000","-809,000","-304,000","597,000","1,785,000","2,265,000","-1,529,000","-815,000","68,000","-55,879,000","2,431,000","-1,635,000","-52,000","256,000","-4,793,000","0",,"165,339,000","28,410,000",,
		ImpairmentOfCapitalAssets,,,"0","0","0","0","0","0","0","131,837,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,"-4,245,000","0","0","0","0","6,684,000","9,961,000","0","0",,"0","112,000","9,189,000","855,000",,,,,,,,,"0","0","0","0","0","1,448,000","191,000","397,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"0",,"5,090,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,428,000",,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"0","0","0",,"312,000","2,060,000","9,339,000",,"0","13,710,000",,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,"0","0",,,"0","17,149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"-5,049,000",,,,"4,581,000",,,"7,000","377,000","-412,000","1,000","-13,000","-354,000","729,000","1,692,000","-41,000","-96,000","-47,000","789,000","-239,000","-68,000","-483,000","-155,000","-1,416,000","-139,000","9,000","102,000","13,000","1,000","22,000",,,"-84,847,000","857,000","-5,565,000",,,,,,,,,,,,,
PretaxIncome,"34,123,000","-37,027,000","-2,768,000","78,836,000","-4,918,000","16,875,000","13,637,000","-17,047,000","-73,808,000","-216,848,000","79,378,000","-12,616,000","-35,633,000","-44,660,000","48,700,000","48,163,000","-90,702,000","-5,130,000","47,614,000","6,333,000","-1,520,000","-16,282,000","-54,380,000","-33,713,000","-53,930,000","-43,847,000","-8,816,000","-78,583,000","-6,285,000","-14,632,000","6,927,000","-25,452,000","-8,877,000","-20,793,000","-71,481,000","14,644,000","21,833,000","16,095,000","-62,371,000","25,917,000","100,424,000","30,972,000","-25,485,000","-3,181,000","-108,429,000","-116,970,000","-337,775,000","-53,941,000","-36,918,000","8,574,000"
