name,04/30/2022,01/31/2022,10/31/2021,04/30/2021
TotalAssets,"375,689,000","334,226,000","162,596,000","155,490,000"
	CurrentAssets,"332,177,000","301,793,000","135,630,000","137,799,000"
		CashCashEquivalentsAndShortTermInvestments,"259,322,000","240,529,000","71,047,000","103,757,000"
			CashAndCashEquivalents,"259,322,000","240,529,000","71,047,000","103,757,000"
		Receivables,"39,595,000","31,494,000","34,441,000","18,207,000"
			AccountsReceivable,"29,524,000","21,693,000","28,979,000","13,645,000"
			OtherReceivables,"10,071,000","9,801,000","5,462,000","4,562,000"
		Inventory,"27,337,000","26,122,000","21,287,000","7,104,000"
			RawMaterials,"11,610,000","13,572,000","12,202,000","2,177,000"
			WorkInProcess,"10,352,000","6,233,000","4,655,000","1,844,000"
			FinishedGoods,"5,375,000","6,317,000","4,430,000","3,083,000"
		PrepaidAssets,"4,665,000","2,172,000","7,492,000","7,589,000"
		OtherCurrentAssets,"1,258,000","1,476,000","1,363,000","1,142,000"
	TotalNonCurrentAssets,"43,512,000","32,433,000","26,966,000","17,691,000"
		NetPPE,"38,798,000","27,248,000","20,040,000","14,231,000"
			GrossPPE,"48,634,000","36,226,000","27,969,000","20,375,000"
				Properties,"0","0","0","0"
				MachineryFurnitureEquipment,"1,736,000","2,215,000","2,135,000","2,045,000"
				OtherProperties,"42,501,000","24,664,000","22,018,000","12,283,000"
				ConstructionInProgress,"2,932,000","7,910,000","2,458,000","4,698,000"
				Leases,"1,465,000","1,437,000","1,358,000","1,349,000"
			AccumulatedDepreciation,"-9,836,000","-8,978,000","-7,929,000","-6,144,000"
		NonCurrentAccountsReceivable,"983,000","1,877,000","1,869,000","1,819,000"
		NonCurrentDeferredAssets,,,"2,428,000","34,000"
			NonCurrentDeferredTaxesAssets,,,,"34,000"
		OtherNonCurrentAssets,"3,731,000","3,308,000","2,629,000","1,607,000"
TotalLiabilitiesNetMinorityInterest,"41,526,000","28,537,000","231,247,000","210,921,000"
	CurrentLiabilities,"26,497,000","25,840,000","23,700,000","12,532,000"
		PayablesAndAccruedExpenses,"18,171,000","16,274,000","14,549,000","6,867,000"
			Payables,"9,799,000","8,243,000","10,783,000","4,215,000"
				AccountsPayable,"8,487,000","7,017,000","6,890,000","3,590,000"
				TotalTaxPayable,"1,312,000","1,226,000","1,893,000","625,000"
					IncomeTaxPayable,"1,312,000","1,226,000","1,893,000","625,000"
				OtherPayable,,,"2,000,000",
			CurrentAccruedExpenses,"8,372,000","8,031,000","3,766,000","2,652,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"4,713,000","2,317,000","2,195,000","1,549,000"
		CurrentDebtAndCapitalLeaseObligation,"2,379,000","1,065,000","1,381,000",
			CurrentCapitalLeaseObligation,"2,379,000","1,065,000","1,381,000",
		CurrentDeferredLiabilities,"1,234,000","6,184,000","5,575,000","4,116,000"
			CurrentDeferredRevenue,"1,234,000","6,184,000","5,575,000","4,116,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,029,000","2,697,000","207,547,000","198,389,000"
		LongTermDebtAndCapitalLeaseObligation,"14,809,000","2,274,000","1,911,000",
			LongTermCapitalLeaseObligation,"14,809,000","2,274,000","1,911,000",
		NonCurrentDeferredLiabilities,,,,"424,000"
			NonCurrentDeferredTaxesLiabilities,,,,"424,000"
		PreferredSecuritiesOutsideStockEquity,"0","0","205,210,000","197,965,000"
		OtherNonCurrentLiabilities,"220,000","423,000","426,000",
TotalEquityGrossMinorityInterest,"334,163,000","305,689,000","-68,651,000","-55,431,000"
	StockholdersEquity,"334,163,000","305,689,000","-68,651,000","-55,431,000"
		CapitalStock,"7,000","7,000","3,000","3,000"
			CommonStock,"7,000","7,000","3,000","3,000"
		AdditionalPaidInCapital,"424,562,000","390,734,000","16,022,000","12,592,000"
		RetainedEarnings,"-90,429,000","-85,074,000","-84,930,000","-68,253,000"
		GainsLossesNotAffectingRetainedEarnings,"23,000","22,000","254,000","227,000"
TotalCapitalization,"334,163,000","305,689,000","-68,651,000","-55,431,000"
CommonStockEquity,"334,163,000","305,689,000","-68,651,000","-55,431,000"
CapitalLeaseObligations,"17,188,000","3,339,000","3,292,000",
NetTangibleAssets,"334,163,000","305,689,000","-68,651,000","-55,431,000"
WorkingCapital,"305,680,000","275,953,000","111,930,000","125,267,000"
InvestedCapital,"334,163,000","305,689,000","-68,651,000","-55,431,000"
TangibleBookValue,"334,163,000","305,689,000","-68,651,000","-55,431,000"
TotalDebt,"17,188,000","3,339,000","3,292,000",
ShareIssued,"144,755,000","139,947,064","144,947,064","144,947,064"
OrdinarySharesNumber,"144,755,000","139,947,064","144,947,064","144,947,064"
