name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"1,682,000,000","10,000,000","981,183,000","538,901,000","152,300,000","-468,384,000","112,754,000","74,365,000","112,590,000","231,553,000","-863,693,000","1,173,918,000","388,044,000","240,242,000","-34,840,000","800,062,000","77,265,000","268,717,000","219,460,000","290,155,000","244,090,000","258,433,000","306,960,000","316,396,000","122,690,000","106,439,000","85,980,000","235,943,000","201,405,000","67,731,000","234,453,000","156,598,000","107,764,000","17,393,000","165,545,000","82,595,000","417,554,000","-103,473,000","62,317,000","275,565,000","77,903,000","23,715,000","-38,769,000","6,979,000","36,052,000","60,266,000","5,383,000","167,315,000","106,425,000","17,399,000","156,329,000","102,205,000","89,904,000","69,844,000","30,745,000","105,919,000","74,815,000","84,427,000","53,338,000","177,965,000","12,844,000","-140,403,000","40,000,000","75,900,000","43,489,000","-14,231,000","4,957,000","49,449,000","-102,932,000","14,985,000","-10,661,000","-45,473,000","435,000","1,918,000","-4,950,000","-1,760,000","20,985,000","22,800,000","62,200,000","-74,800,000","1,500,000","13,100,000","8,400,000","-21,800,000","14,500,000","-13,000,000","-700,000","800,000","3,900,000","4,200,000","800,000","11,900,000","8,400,000","10,400,000","-5,100,000","3,200,000","3,600,000","-6,800,000","25,100,000","-10,400,000","1,800,000","12,400,000","2,400,000","-24,400,000","19,900,000","-15,000,000","9,800,000","15,200,000","-14,500,000","2,100,000","4,000,000","-900,000","-700,000","6,300,000","-1,800,000","800,000"
	CashFlowFromContinuingOperatingActivities,"1,682,000,000","10,000,000","981,183,000","538,901,000","152,300,000","-468,384,000","112,754,000","74,365,000","112,590,000","231,553,000","-863,693,000","1,173,918,000","388,044,000","240,242,000","-34,840,000","800,062,000","77,265,000","268,717,000","219,460,000","290,155,000","244,090,000","258,433,000","306,960,000","316,396,000","122,690,000","106,439,000","85,980,000","235,943,000","201,405,000","67,731,000","234,453,000","156,598,000","107,764,000","17,393,000","165,545,000","82,595,000","417,554,000","-103,473,000","62,317,000","275,565,000","77,903,000","23,715,000","-38,769,000","6,979,000","36,052,000","60,266,000","5,383,000","167,315,000","106,425,000","17,399,000","156,329,000","102,205,000","89,904,000","69,844,000","30,745,000","105,919,000","74,815,000","84,427,000","53,338,000","177,965,000","12,844,000","-140,403,000","40,000,000","75,900,000","43,489,000","-14,231,000","4,957,000","49,449,000","-102,932,000","14,985,000","-10,661,000","-45,473,000","435,000","1,918,000","-4,950,000","-1,760,000","20,985,000","22,800,000","62,200,000","-74,800,000","1,500,000","13,100,000","8,400,000","-21,800,000","14,500,000","-13,000,000","-700,000","800,000","3,900,000","4,200,000","800,000","11,900,000","8,400,000","10,400,000","-5,100,000","3,200,000","3,600,000","-6,800,000","25,100,000","-10,400,000","1,800,000","12,400,000","2,400,000","-24,400,000","19,900,000","-15,000,000","9,800,000","15,200,000","-14,500,000","2,100,000","4,000,000","-900,000","-700,000","6,300,000","-1,800,000","800,000"
		NetIncomeFromContinuingOperations,"1,544,000,000","401,000,000","400,374,000","369,687,000","373,106,000","334,833,000","295,560,000","293,137,000","256,768,000","218,686,000","246,330,000","234,844,000","222,564,000","226,591,000","231,418,000","213,546,000","209,781,000","199,083,000","194,277,000","200,009,000","186,600,000","176,774,000","179,118,000","171,818,000","173,626,000","148,866,000","140,046,000","134,842,000","131,345,000","115,912,000","115,459,000","136,011,000","120,832,000","114,704,000","114,060,000","111,983,000","113,719,000","122,308,000","110,111,000","102,696,000","98,532,000","92,671,000","91,763,000","88,865,000",,,,,"17,288,000","17,403,000","17,261,000","17,220,000","16,262,000","16,156,000","14,616,000","13,793,000","13,197,000","12,070,000","11,361,000","9,871,000","6,654,000","7,921,000","10,839,000","11,636,000","7,101,000","6,296,000","5,582,000","7,422,000","7,333,000","6,511,000","5,861,000","5,357,000","5,645,000","5,614,000","5,485,000","6,019,000","5,122,000","5,600,000","5,800,000","5,700,000","5,200,000","5,300,000","4,900,000","5,000,000","4,200,000","4,600,000","4,400,000","4,000,000","3,500,000","3,200,000","3,000,000","2,800,000","1,600,000","1,400,000","-3,200,000","1,400,000","1,600,000","2,500,000","2,500,000","700,000","3,400,000","3,400,000","2,700,000","2,900,000","2,400,000","3,400,000","3,300,000","2,700,000","2,300,000","2,000,000","1,700,000","1,500,000","1,300,000","1,200,000","1,000,000","300,000"
		OperatingGainsLosses,,,"3,630,000","-2,279,000","-1,387,000","-964,000","-2,500,000","-13,392,000","-382,000","-4,553,000","1,472,000","561,000","1,078,000","-210,000","734,000","1,352,000","-3,018,000","-9,886,000","-3,065,000","-3,167,000","-239,000","-1,929,000","545,000","-1,122,000","-635,000","-4,671,000","-965,000","-2,881,000","-4,588,000","-2,112,000","-3,540,000","-36,117,000","-14,850,000","-2,845,000","-837,000","-1,215,000","-8,779,000","-25,990,000","-17,574,000","-13,338,000","-86,971,000","79,052,000","20,385,000","6,054,000","-28,530,000","-4,326,000","1,487,000","-450,000",,,,,,"299,000","23,000","285,000",,"664,000","188,000","-21,000",,"72,000","430,000","333,000",,"1,000","-225,000","44,000",,"-15,000","-68,000","-119,000","505,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","0","0","500,000","0","100,000",,
			GainLossOnInvestmentSecurities,,,"3,123,000","-2,139,000","-1,329,000","-655,000","-88,000","405,000","-1,529,000","-2,628,000","1,541,000","683,000","1,063,000","149,000","1,313,000","1,655,000","1,027,000","-9,197,000","0","-1,204,000","602,000","1,435,000","1,363,000","663,000","187,000","-3,268,000","515,000","76,000","-1,112,000","-300,000","567,000",,,,,,,,,,,,,,,,,,,,,,,"299,000","23,000","285,000",,"664,000","188,000","-21,000",,"72,000","430,000","333,000",,"1,000","-225,000","44,000",,"-15,000","-68,000","-119,000","505,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","0","0","500,000","0","100,000",,
		DepreciationAmortizationDepletion,"192,000,000","51,000,000","43,883,000","48,405,000","48,935,000","42,777,000","41,541,000","40,906,000","43,132,000","40,500,000","39,777,000","36,208,000","31,949,000","29,705,000","30,865,000","29,408,000","28,013,000","26,077,000","27,890,000","23,804,000","18,579,000","21,681,000","24,608,000","19,677,000","22,871,000","18,214,000","18,665,000","15,364,000","19,626,000","16,674,000","16,078,000","15,673,000","15,043,000","14,651,000","14,484,000","16,171,000","16,622,000","16,385,000","12,823,000","10,506,000","11,155,000","9,128,000","4,259,000","1,805,000","-1,404,000","-5,404,000","-1,922,000","681,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"192,000,000","51,000,000","43,883,000","48,405,000","48,935,000","42,777,000","41,541,000","40,906,000","43,132,000","40,500,000","39,777,000","36,208,000","31,949,000","29,705,000","30,865,000","29,408,000","28,013,000","26,077,000","27,890,000","23,804,000","18,579,000","21,681,000","24,608,000","19,677,000","22,871,000","18,214,000","18,665,000","15,364,000","19,626,000","16,674,000","16,078,000","15,673,000","15,043,000","14,651,000","14,484,000","16,171,000","16,622,000","16,385,000","12,823,000","10,506,000","11,155,000","9,128,000","4,259,000","1,805,000","-1,404,000","-5,404,000","-1,922,000","681,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,"192,000,000","51,000,000","43,883,000","53,142,000","46,659,000","40,316,000","38,823,000","37,584,000","39,323,000","37,153,000","36,693,000","32,668,000","28,491,000","26,435,000","27,019,000","25,048,000","23,560,000","21,951,000","24,045,000","19,901,000","14,692,000","17,047,000","20,406,000","15,856,000","19,739,000","15,384,000","15,663,000","11,986,000","16,290,000","13,757,000","13,520,000","13,435,000","12,914,000","12,779,000","12,563,000","13,977,000","14,394,000","13,704,000","10,174,000","8,369,000","9,179,000","7,417,000","2,503,000","-95,000","-3,132,000","-7,154,000","-1,922,000","681,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,"2,276,000","2,461,000","2,718,000","3,322,000","3,809,000","3,347,000","3,084,000","3,540,000","3,458,000","3,270,000","3,846,000","4,360,000","4,453,000","4,126,000","3,845,000","3,903,000","3,887,000","4,634,000","4,202,000","3,821,000","3,132,000","2,830,000","3,002,000","3,378,000","3,336,000","2,917,000","2,558,000","2,238,000","2,129,000","1,872,000","1,921,000","2,194,000","2,228,000","2,681,000","2,649,000","2,137,000","1,976,000","1,711,000","1,756,000","1,900,000","1,728,000","1,750,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,"2,276,000","2,461,000","2,718,000","3,322,000","3,809,000","3,347,000","3,084,000","3,540,000","3,458,000","3,270,000","3,846,000","4,360,000","4,453,000","4,126,000","3,845,000","3,903,000","3,887,000","4,634,000","4,202,000","3,821,000","3,132,000","2,830,000","3,002,000","3,378,000","3,336,000","2,917,000","2,558,000","2,238,000","2,129,000","1,872,000","1,921,000","2,194,000","2,228,000","2,681,000","2,649,000","2,137,000","1,976,000","1,711,000","1,756,000","1,900,000","1,728,000","1,750,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
