name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,02/28/2021
TotalAssets,"251,600,371","251,707,501","251,841,198","206,578","150,803","67,500"
	CurrentAssets,"1,351,472","1,473,908","1,830,224","11,587","12,437","25,000"
		CashCashEquivalentsAndShortTermInvestments,"961,550","1,121,737","1,166,467","11,587","12,437","25,000"
			CashAndCashEquivalents,"961,550","1,121,737","1,166,467","11,587","12,437","25,000"
				CashFinancial,"961,550","1,121,737","1,166,467","11,587","12,437","25,000"
		PrepaidAssets,"389,922","352,171","663,757",,,
	TotalNonCurrentAssets,"250,248,899","250,233,593","250,010,974","194,991","138,366","42,500"
		NonCurrentDeferredAssets,,,,"194,991","138,366","42,500"
		OtherNonCurrentAssets,"250,248,899","250,233,593","250,010,974",,,
TotalLiabilitiesNetMinorityInterest,"19,677,949","19,957,504","22,140,913","189,991","134,279","43,500"
	CurrentLiabilities,"352,185","644,528","57,913","189,991","134,279","43,500"
		PayablesAndAccruedExpenses,"352,185","644,528","57,913","72,500","91,779","1,000"
			CurrentAccruedExpenses,"352,185","644,528","57,913","72,500","91,779","1,000"
		CurrentDebtAndCapitalLeaseObligation,,,,"117,491","42,500","42,500"
			CurrentDebt,,,,"117,491","42,500","42,500"
				CurrentNotesPayable,,,,"117,491","42,500","42,500"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"19,325,764","19,312,976","22,083,000","0","0","0"
		NonCurrentDeferredLiabilities,"9,768,050","8,750,000","8,750,000",,,
		DerivativeProductLiabilities,"9,557,714","10,562,976","13,333,000",,,
TotalEquityGrossMinorityInterest,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
	StockholdersEquity,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
		CapitalStock,"250,006,250","250,006,250","250,006,250","7,188","7,188","7,188"
			PreferredStock,"0","0","0","0","0","0"
			CommonStock,"250,006,250","250,006,250","250,006,250","7,188","7,188","7,188"
		AdditionalPaidInCapital,"0","0","0","17,812","17,812","17,812"
		RetainedEarnings,"-18,083,828","-18,256,253","-20,305,965","-8,413","-8,476","-1,000"
TotalCapitalization,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
CommonStockEquity,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
NetTangibleAssets,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
WorkingCapital,"999,287","829,380","1,772,311","-178,404","-121,842","-18,500"
InvestedCapital,"231,922,422","231,749,997","229,700,285","134,078","59,024","66,500"
TangibleBookValue,"231,922,422","231,749,997","229,700,285","16,587","16,524","24,000"
TotalDebt,,,,"117,491","42,500","42,500"
NetDebt,,,,"105,904","30,063","17,500"
ShareIssued,"31,250,000","31,250,000","31,250,000","32,187,500","32,187,500","32,187,500"
OrdinarySharesNumber,"31,250,000","31,250,000","31,250,000","32,187,500","32,187,500","32,187,500"
