name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,12/31/2018,12/31/2017
TotalRevenue,"1,172,668,000","335,647,000","316,042,000","271,634,000","249,345,000","238,643,000","213,566,000","192,849,000","181,043,000","176,064,000","172,807,000","112,342,000","82,824,000"
	OperatingRevenue,"1,172,668,000","335,647,000","316,042,000","271,634,000","249,345,000","238,643,000","213,566,000","192,849,000","181,043,000","176,064,000","172,807,000","112,342,000","82,824,000"
CostOfRevenue,"322,758,000","99,267,000","91,885,000","66,843,000","64,763,000","61,781,000","51,453,000","49,036,000","50,074,000","47,924,000","53,236,000","26,376,000","22,478,000"
GrossProfit,"849,910,000","236,380,000","224,157,000","204,791,000","184,582,000","176,862,000","162,113,000","143,813,000","130,969,000","128,140,000","119,571,000","85,966,000","60,346,000"
OperatingExpense,"1,997,707,000","526,918,000","530,283,000","482,255,000","458,251,000","373,436,000","173,103,000","225,804,000","256,110,000","165,071,000","264,550,000","121,396,000","58,415,000"
	SellingGeneralAndAdministration,"1,630,356,000","420,919,000","432,677,000","398,380,000","378,380,000","310,630,000","129,293,000","163,739,000","184,679,000","129,582,000","205,892,000","101,114,000","46,813,000"
		GeneralAndAdministrativeExpense,"904,874,000","202,589,000","238,790,000","236,810,000","226,685,000","174,449,000","20,274,000","60,731,000","72,007,000","22,487,000","93,021,000","47,290,000","9,283,000"
			OtherGandA,"904,874,000","202,589,000","238,790,000","236,810,000","226,685,000","174,449,000","20,274,000","60,731,000","72,007,000","22,487,000","93,021,000","47,290,000","9,283,000"
		SellingAndMarketingExpense,"725,482,000","218,330,000","193,887,000","161,570,000","151,695,000","136,181,000","109,019,000","103,008,000","112,672,000","107,095,000","112,871,000","53,824,000","37,530,000"
	ResearchAndDevelopment,"367,351,000","105,999,000","97,606,000","83,875,000","79,871,000","62,806,000","43,810,000","62,065,000","71,431,000","35,489,000","58,658,000","20,282,000","11,602,000"
OperatingIncome,"-1,147,797,000","-290,538,000","-306,126,000","-277,464,000","-273,669,000","-196,574,000","-10,990,000","-81,991,000","-125,141,000","-36,931,000","-144,979,000","-35,430,000","1,931,000"
OtherIncomeExpense,"9,066,000","674,000","12,743,000","-3,160,000","-1,191,000","-1,740,000","-489,000","-556,000","-412,000","485,000","180,000","-105,000","239,000"
	OtherNonOperatingIncomeExpenses,"9,066,000","674,000","12,743,000","-3,160,000","-1,191,000","-1,740,000","-489,000","-556,000","-412,000","485,000","180,000","-105,000","239,000"
PretaxIncome,"-1,138,731,000","-289,864,000","-293,383,000","-280,624,000","-274,860,000","-198,314,000","-11,479,000","-82,547,000","-125,553,000","-36,446,000","-144,799,000","-35,535,000","2,170,000"
TaxProvision,"12,886,000","2,461,000","16,389,000","5,409,000","-11,373,000","1,540,000","2,996,000","3,141,000","1,951,000","8,389,000","2,471,000","3,268,000","585,000"
NetIncomeCommonStockholders,"-1,151,617,000","-292,325,000","-309,772,000","-286,033,000","-263,487,000","-199,854,000","-14,475,000","-85,688,000","-127,504,000","-44,835,000","117,353,000","-38,803,000","1,585,000"
	NetIncome,"-1,151,617,000","-292,325,000","-309,772,000","-286,033,000","-263,487,000","-199,854,000","-14,475,000","-85,688,000","-127,504,000","-44,835,000","-147,270,000","-38,803,000","1,585,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,151,617,000","-292,325,000","-309,772,000","-286,033,000","-263,487,000","-199,854,000","-14,475,000","-85,688,000","-127,504,000","-44,835,000","-147,270,000","-38,803,000","1,585,000"
