name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
OperatingCashFlow,"13,851,000,000","3,995,000,000","4,585,000,000","3,147,000,000","2,124,000,000","1,641,000,000","3,019,000,000","2,400,000,000","964,000,000","-440,000,000","1,425,000,000","756,000,000","863,606,000","-639,606,000","1,234,561,000","1,391,281,000","-129,664,000","-398,376,000","509,891,000","-300,562,000","-200,172,000","-69,811,000","-448,209,000","423,649,000","150,336,000","-249,605,000","-29,849,000","-203,340,000","-159,516,000","-131,794,000","-86,402,000","-27,996,000","-3,579,000","60,640,000","129,762,000","102,346,000","-38,193,000","64,079,000","-60,061,000","-94,952,000","-60,981,000","-50,087,000","-27,088,000","-21,491,000","-22,488,000","-43,297,000","-34,284,000","-48,342,000","-17,862,000","-27,329,000","-29,007,000","-23,489,000","-12,166,000","-16,163,000","-22,354,000"
	CashFlowFromContinuingOperatingActivities,"13,851,000,000","3,995,000,000","4,585,000,000","3,147,000,000","2,124,000,000","1,641,000,000","3,019,000,000","2,400,000,000","964,000,000","-440,000,000","1,425,000,000","756,000,000","863,606,000","-639,606,000","1,234,561,000","1,391,281,000","-129,664,000","-398,376,000","509,891,000","-300,562,000","-200,172,000","-69,811,000","-448,209,000","423,649,000","150,336,000","-249,605,000","-29,849,000","-203,340,000","-159,516,000","-131,794,000","-86,402,000","-27,996,000","-3,580,000","60,641,000","129,762,000","102,346,000","-38,193,000","64,079,000","-60,061,000","-94,952,000","-60,981,000","-50,087,000","-27,088,000","-21,491,000","-22,488,000","-43,297,000","-34,284,000","-48,342,000","-17,862,000","-27,329,000","-29,007,000","-23,489,000","-12,166,000","-16,163,000","-22,354,000"
		NetIncomeFromContinuingOperations,"8,460,000,000","3,280,000,000","2,343,000,000","1,659,000,000","1,178,000,000","464,000,000","296,000,000","369,000,000","129,000,000","68,000,000","132,000,000","149,907,000","-389,262,000","-667,645,000","210,078,000","254,673,000","-742,706,000","-784,627,000","-770,807,000","-671,163,000","-401,427,000","-397,181,000","-219,469,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,709,000","-61,902,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,806,000","-105,603,000","-89,873,000","-81,489,000","-65,078,000","-58,903,000","-48,941,000","-51,358,000","-34,934,000","-38,517,000","-29,519,000","-24,242,000","-4,615,000","-10,867,000","-16,016,000","-25,498,000"
		OperatingGainsLosses,"-9,000,000","-30,000,000","-63,000,000","60,000,000","24,000,000","-103,000,000","20,000,000","161,000,000","24,000,000","26,000,000","131,000,000","-70,083,000","57,792,000","-20,709,000","33,825,000","990,000","25,137,000","99,898,000","62,506,000","12,607,000","36,782,000","46,184,000","-17,153,000","19,121,000","-13,333,000","16,815,000","49,105,000","22,621,000","-8,968,000","30,730,000","3,942,000","2,250,000","6,902,000","-807,000","3,655,000","0","0","-10,692,000",,,,,,,,,,,,,"3,071,000","0","-1,442,000","-26,000",
			GainLossOnSaleOfPPE,"74,000,000","0","0","51,000,000","23,000,000","-101,000,000","50,000,000","55,000,000","5,000,000","7,000,000","77,000,000","21,069,000","29,510,000","18,421,000","28,722,000","13,789,000","66,613,000","52,237,000","46,130,000","6,068,000","12,452,000","41,120,000","22,452,000","618,000","-14,608,000","26,171,000","28,923,000","3,809,000","2,238,000","2,753,000","3,126,000","4,747,000",,,,,,,,,,,,,,,,,,"0","385,000",,,"0","0"
			NetForeignCurrencyExchangeGainLoss,"-83,000,000","-30,000,000","-63,000,000","9,000,000","1,000,000","-2,000,000","-30,000,000","106,000,000","19,000,000","19,000,000","54,000,000","-91,152,000","28,282,000","-39,130,000","5,103,000","-12,799,000","-41,476,000","47,661,000","16,376,000","6,539,000","24,330,000","5,064,000","-39,605,000","18,503,000","1,275,000","-9,356,000","20,182,000","18,812,000","-11,206,000","27,977,000","816,000","-2,497,000","597,000","-807,000",,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-10,692,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,170,000,000","880,000,000","848,000,000","761,000,000","681,000,000","621,000,000","618,000,000","584,000,000","567,000,000","553,000,000","577,000,000","530,851,000","578,572,000","467,577,000","496,737,000","502,825,000","485,255,000","416,233,000","469,606,000","400,624,000","389,171,000","376,602,000","326,939,000","280,468,000","183,232,000","156,460,000","143,723,000","110,366,000","91,389,000","77,112,000","67,976,000","64,972,000","54,715,000","44,268,000","37,585,000","28,450,000","22,198,000","17,850,000","12,792,000","7,522,000","4,348,000","4,163,000","4,804,000","4,280,000","4,318,000","3,517,000","2,890,000","3,109,000","2,483,000","2,141,000","1,935,000","1,948,000","1,685,000","1,372,000","1,294,000"
			DepreciationAndAmortization,"3,170,000,000","880,000,000","848,000,000","761,000,000","681,000,000","621,000,000","618,000,000","584,000,000","567,000,000","553,000,000","577,000,000","530,851,000","578,572,000","467,577,000","496,737,000","502,825,000","485,255,000","416,233,000","469,606,000","400,624,000","389,171,000","376,602,000","326,939,000","280,468,000","183,232,000","156,460,000","143,723,000","110,366,000","91,389,000","77,112,000","67,976,000","64,972,000","54,715,000","44,268,000","37,585,000","28,450,000","22,198,000","17,850,000","12,792,000","7,522,000","4,348,000","4,163,000","4,804,000","4,280,000","4,318,000","3,517,000","2,890,000","3,109,000","2,483,000","2,141,000","1,935,000","1,948,000","1,685,000","1,372,000","1,294,000"
				Depreciation,,,"848,000,000","761,000,000",,,"618,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
