name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,04/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,04/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,04/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,04/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,04/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
MarketCap,"10,839,368,718","12,643,422,955","14,957,759,858","13,160,224,787","13,424,129,791","12,006,087,220","10,687,768,437","10,612,800,120","9,843,468,931","6,447,429,527","11,088,197,120","11,807,408,146","11,057,521,141","11,931,297,840","12,229,994,995","11,409,551,600","12,470,098,159","10,046,048,902","8,470,117,859","8,773,547,158","7,366,895,906","7,327,168,729","8,609,550,075","10,495,617,600","10,944,371,878","12,456,301,060","10,981,222,150","11,888,864,846","11,480,218,400","11,790,874,959","11,022,840,214","13,876,893,253","11,656,560,734","10,463,024,000","10,950,663,709","11,626,512,671","9,508,701,395","9,843,039,758","8,847,741,630","9,226,979,322","8,061,931,200","6,022,174,817","5,922,087,224","6,119,717,040","6,028,490,090","5,309,260,050","5,018,539,985","5,015,118,394","6,742,067,400","6,486,917,727","5,044,405,928","4,283,955,218","4,482,513,220","5,180,154,419","5,560,104,627","4,944,726,943","4,386,639,455","3,682,816,749","3,830,671,826","3,749,243,436","3,951,557,180","3,902,599,424","3,186,361,504","3,754,929,480","3,703,061,780","3,230,698,050","3,590,703,527","3,387,110,120","4,335,169,860","4,103,942,291","3,746,281,560","3,465,551,520","3,062,691,516","4,453,814,400","4,702,285,080","4,216,622,840","4,708,182,154","3,611,675,375","3,159,146,362","2,575,719,332","3,305,971,050","3,027,439,500","3,005,575,993","2,615,290,832","2,233,060,859","1,679,505,347","1,746,568,194","1,881,139,074","1,943,127,563","1,610,257,608","1,625,610,933"
EnterpriseValue,"14,218,337,718","15,413,965,955","17,541,480,858","15,475,794,787","15,613,050,791","14,218,578,220","12,666,333,437","12,753,038,120","12,300,880,931","8,793,243,527","13,259,328,120","14,288,071,146","13,321,131,141","12,080,490,840","12,379,187,995","11,484,943,600","12,612,926,159","10,451,660,902","8,967,507,859","9,270,937,158","8,047,951,906","8,114,046,729","9,557,355,075","11,403,694,600","11,852,448,878","13,379,812,060","12,046,501,150","13,015,642,846","12,603,195,400","12,913,851,959","12,211,191,214","15,215,992,253","13,143,013,734","11,995,246,000","12,482,885,709","13,272,578,671","11,309,744,395","11,832,286,758","8,788,854,630","9,168,092,322","8,099,687,200","6,106,200,817","6,119,317,224","6,126,694,040","6,035,467,090","5,316,237,050","5,170,401,985","5,251,682,394","6,978,631,400","6,845,000,727","5,578,863,928","4,818,413,218","4,980,104,220","5,558,242,419","5,802,719,627","5,052,443,943","4,528,150,455","3,828,518,749","3,934,924,826","3,812,484,436","4,104,835,180","4,139,787,424","3,762,141,504","4,204,796,480","4,136,543,780","3,767,950,050","4,265,270,527","3,825,329,120","4,728,105,860","4,604,260,291","4,219,909,560","3,921,138,520","3,518,278,516","4,850,991,400","5,060,032,080","4,574,369,840","5,012,005,154","3,963,650,375","3,593,009,362","2,935,086,332","3,632,663,050","3,421,514,500","3,470,173,993","3,045,754,832","2,737,447,859","2,335,856,347","2,468,205,194","2,597,064,074","2,760,701,563","2,582,625,608","2,597,978,933"
PeRatio,"19.861","21.671","24.329","22.413","22.011","25.699","22.894","23.615","25.947","13.643","25.832","27.521","26.259","29.026","29.761","21.051","23.314","19.956","17.827","18.466","20.899","19.8","21.121","22.926","23.913","27.725","24.09","24.714","24.391","25.053","22.101","27.709","23.775","21.311","22.308","25.567","21.753","23.754","22.799","23.778","20.014","15.571","15.978","16.069","15.833","13.86","12.535","12.292","16.541","17.333","14.597","12.18","13.293","15.966","16.747","15.69","14.979","13.789","14.304","14.388","15.481","15.679","13.46","15.313","15.05","14.012","16.662","14.982","18.507","17.847","16.387","15.18","13.318","19.101","20.995","18.686","21.806","18.345","17.57","13.815","18.327","17.836","24.226","25.412","25.696","24.603","23.51","42.552","67.287","78.051","84.322"
ForwardPeRatio,"13.021","15.267","18.975","16.667","20.284","18.692","16.475","16.393","20.747","10.549","17.762","17.986","18.868","20.576","21.097",,"21.186","20.367","17.123","17.731","16.529","15.267","16.34","18.868","19.455","21.93","18.248","20.534","16","16.181","15.949","19.268","16.779","14.728","15.361","18.45","15.175","16.367","15.038","15.674","16.475","13.072","12.804","13.106","12.937","12.563","10.627","9.891","13.605","13.245","12.346","10.846","11.111","12.3","14.347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.996","1.168","1.235","1.102","1.351","1.193","1.053","1.118","1.396","0.71","1.065","1.079","1.093","1.223","1.254",,"1.189","1.174","1.104","1.202","1.736","1.487","1.168","1.452","1.39","1.648","1.405","1.466","1.201","1.215","1.175","1.42","1.284","1.072","1.119","1.174","1.05","1.039","0.976","1.018","1.317","0.982","0.948","1.038","1.025","1.107","0.714","0.62","0.967","0.888","0.826","0.865","0.778","0.854","1.295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.027","1.214","1.439","1.289","1.302","1.253","1.11","1.113","1.062","0.684","1.19","1.248","1.172","1.284","1.317","1.228","1.325","1.075","0.905","0.937","0.784","0.774","0.909","1.097","1.144","1.312","1.151","1.232","1.182","1.214","1.115","1.403","1.181","1.066","1.116","1.296","1.158","1.328","1.371","1.43","1.27","0.961","0.959","1.001","0.986","0.864","0.82","0.825","1.111","1.106","0.908","0.758","0.795","0.926","0.973","0.907","0.818","0.711","0.711","0.683","0.733","0.737","0.624","0.77","0.774","0.708","0.821","0.752","0.92","0.895","0.842","0.803","0.704","1.041","1.156","1.029","1.188","0.965","0.876","0.697","0.907","0.86","0.871","0.768","0.666","0.51","0.538","0.578","0.606","0.533","0.576"
PbRatio,"3.725","4.042","4.679","3.986","3.834","3.373","2.84","2.848","2.783","1.817","3.209","3.216","3.117","3.36","3.444","3.118","3.409","2.833","2.48","2.569","2.281","2.342","2.847","3.599","3.753","4.368","3.995","4.522","4.666","4.792","4.568","6.062","5.43","5.224","5.467","6.038","5.24","5.906","5.835","6.086","5.492","4.399","4.661","5.055","4.979","4.385","4.738","5.125","6.889","7.65","6.519","5.509","5.865","5.861","5.349","4.33","4.113","3.32","2.987","2.901","3.128","3.308","2.964","3.551","3.565","3.398","3.507","2.795","3.878","3.981","3.782","3.714","3.282","4.741","5.15","4.618","5.409","4.755","4.374","3.378","4.351","4.395","4.761","4.379","4.128","3.455","3.729","4.124","4.963","5.58","5.633"
EnterprisesValueRevenueRatio,"1.288","4.568","7.318","5.904","5.893","4.269","5.355","5.017","4.918","3.259","6.276","6.18","5.712","4.092","4.193","5.456","5.544","4.492","3.12","3.226","3.951","3.718","4.222","3.945","4.1","6.424","5.357","5.769","4.23","4.334","6.005","6.629","5.545","3.948","4.109","5.933","4.94","5.04","2.96","3.087","5.749","4.017","3.949","3.04","2.995","4","3.547","3.595","3.565","3.497","4.202","3.289","3.365","2.928","4.569","3.592","3.193","2.091","3.441","3.02","3.103","2.459","3.155","3.54","3.347","2.469","4.068","3.303","4.042","3.136","4.153","3.566","3.176","3.482","5.25","4.486","4.899","3.15","4.233","3.297","3.999","3.047","4.497","3.586","3.262","2.26","3.514","3.293","3.483","2.572","4.464"
EnterprisesValueEBITDARatio,"13.528","54.741","100.313","53.285","51.337","42.543","61.128","47.737","38.13","58.228","71.027","63.364","58.36","43.835","44.919","83.568","58.573","46.067","33.165","34.287","55.974","37.763","46.026","43.522","45.234","78.983","47.915","46.012","35.658","36.537","76.505","56.684","41.611","34.883","36.301","62.01","41.056","38.746","25.504","26.604","58.025","27.872","25.173","22.771","22.432","33.475","26.391","24.788","24.847","24.371","36.297","22.031","21.733","23.298","47.029","27.246","21.859","16.475","42.217","27.11","24.226","20.43","46.933","32.199","25.517","19.935","43.76","28.462","31.132","25.553","42.452","28.84","24.843","29.166","50.738","34.195","35.767","25.503","42.509","26.018","31.42","28.043","42.595","28.801","26.231","20.686","35.683","26.835","30.525","28.124","-1.418"
