name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
		NetInvestmentPurchaseAndSale,,,,,,"98,629,000","-25,880,000","71,356,000","42,124,000","87,490,000","0","-21,279,000","37,092,000","22,705,000","-30,624,000","-64,513,000","-90,805,000","-11,827,000","85,801,000","15,898,000","24,943,000","-91,042,000","42,195,000","-22,416,000","-50,270,000","41,548,000","113,978,000","-30,005,000","-83,605,000","-8,420,000","-18,125,000","-12,873,000","-7,170,000","-51,530,000","-16,200,000",,,,,"-1,000","-9,424,000","-6,943,000",,,,,,,,,,
			PurchaseOfInvestment,,,,,,"-35,750,000","-172,956,000","-36,925,000","-9,155,000","-5,000,000","-213,622,000","-88,949,000","-53,524,000","-37,440,000","-410,874,000","-95,137,000","-164,367,000","-25,953,000","-16,236,000","-601,000","-27,637,000","-139,442,000","-195,805,000","-77,116,000",,,"-35,425,000","-30,005,000","-106,525,000","-8,420,000","-109,873,000","-82,873,000","-65,806,000","-81,250,000","-16,200,000",,,,,"-1,000","-9,424,000","-6,943,000",,,,,,,,,,
			SaleOfInvestment,,,,,,"134,379,000","147,076,000","108,281,000","51,279,000","92,490,000","0","67,670,000","90,616,000","60,145,000","-30,624,000","30,624,000","73,562,000","14,126,000","102,037,000","16,499,000","52,580,000","48,400,000","238,000,000","54,700,000","91,572,000","41,548,000","149,403,000","0","22,920,000","0","91,748,000","70,000,000","58,636,000","29,720,000","0",,,,,,,,,,,,,,,,,
		DividendsReceivedCFI,"44,887,000","9,241,000","13,053,000","11,899,000","29,139,000","-7,026,000","-4,924,000","2,932,000","-15,000","-6,455,000","-5,567,000",,,,,,"154,000","1,055,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"54,237,000","47,555,000","-43,811,000","39,464,000","11,029,000","98,629,000","-25,880,000","71,356,000","42,124,000","87,490,000","-89,465,000","-21,279,000","37,092,000","22,705,000","-337,259,000","-95,137,000","-92,619,000","-11,827,000","78,020,000","135,648,000","24,943,000","-91,042,000","41,803,000","-21,747,000","-93,644,000","41,548,000","113,978,000","-30,005,000","-83,605,000","-8,420,000","-18,125,000","-12,873,000","-7,170,000","-51,530,000","-16,200,000","-72,000,000",,,,,,,,,,,,,,,,
FinancingCashFlow,"-131,123,000","-1,096,656,000","-651,991,000","997,264,000","620,260,000","-1,423,259,000","-823,631,000","1,437,284,000","539,227,000","364,747,000","-367,663,000","-65,844,000","-34,606,000","136,475,000","-916,577,000","962,520,000","442,085,000","-166,198,000","-2,374,694,000","1,662,734,000","222,142,000","-599,673,000","548,669,000","-898,732,000","1,691,442,000","-2,035,001,000","1,311,836,000","227,390,000","-335,411,000","181,689,000","329,453,000","148,384,000","290,804,000","19,286,000","40,118,000","-37,962,000","7,516,000","-610,405,000","-87,693,000","1,007,576,000","135,405,000","17,236,000","125,329,000","-322,749,000","335,673,000","-172,024,000","182,883,000","23,311,000","41,181,000","-52,603,000","29,037,000","-7,943,000"
	CashFlowFromContinuingFinancingActivities,"-131,123,000","-1,096,656,000","-651,991,000","997,264,000","620,260,000","-1,423,259,000","-823,631,000","1,437,284,000","539,227,000","364,747,000","-367,663,000","-65,844,000","-34,606,000","136,475,000","-916,577,000","962,520,000","442,085,000","-166,198,000","-2,374,694,000","1,662,734,000","222,142,000","-599,673,000","548,669,000","-898,732,000","1,691,442,000","-2,035,001,000","1,311,836,000","227,390,000","-335,411,000","181,689,000","329,453,000","148,384,000","290,804,000","19,286,000","40,118,000","-37,962,000","7,516,000","-610,405,000","-87,693,000","1,007,576,000","135,405,000","17,236,000","125,329,000","-322,749,000","335,673,000","-172,024,000","182,883,000","23,311,000","41,181,000","-52,603,000","29,037,000","-7,943,000"
		NetIssuancePaymentsOfDebt,"7,245,000","-1,031,504,000","-622,646,000","1,024,216,000","637,179,000","-1,405,670,000","-808,492,000","1,463,580,000","556,914,000","399,067,000","-356,493,000","-52,132,000","-22,635,000","173,040,000","-861,860,000","975,473,000","447,582,000","-135,575,000","-2,366,583,000","1,674,641,000","222,918,000","-584,691,000","550,067,000","-897,749,000","1,696,770,000","-2,029,947,000","1,312,875,000","227,674,000","-337,004,000","227,402,000","324,833,000","148,633,000","291,940,000","53,812,000","43,926,000","-38,182,000","7,600,000","-610,393,000","-87,632,000","858,032,000","135,410,000","17,359,000","127,408,000","-322,749,000",,,"127,964,000","29,766,000",,,"31,843,000","-2,908,000"
			NetLongTermDebtIssuance,"7,245,000","-1,031,504,000","-622,646,000","1,024,216,000","637,179,000","-1,405,670,000","-808,492,000","1,463,580,000","556,914,000","399,067,000","-356,493,000","-52,132,000","-22,635,000","173,040,000","-861,860,000","975,473,000","447,582,000","-135,575,000","-2,366,583,000","1,674,641,000","222,918,000","-584,691,000","550,067,000","-897,749,000","1,696,770,000","-2,029,947,000","1,312,875,000","227,674,000","-337,004,000","227,402,000","324,833,000","148,633,000","291,940,000","53,812,000","43,926,000","-38,182,000","7,600,000","-610,393,000","-28,501,000","797,101,000","136,310,000","18,259,000",,"-321,848,000",,,,"27,112,000",,,"31,843,000","-5,501,000"
				LongTermDebtIssuance,"839,762,000","0","376,527,000","403,782,000","59,453,000","25,313,000","-749,649,000","1,489,226,000","592,768,000","449,661,000","40,715,000","-45,119,000","10,379,000","173,790,000","-696,464,000","975,749,000","373,608,000","0","-1,349,289,000","1,360,970,000","26,283,000","102,377,000","177,350,000","49,615,000",,,"1,421,503,000","51,480,000","-139,515,000","227,840,000","394,081,000","216,621,000","336,354,000","75,903,000","185,937,000",,,,"-28,501,000","797,101,000",,,,,,,,,,,,
