name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
TotalAssets,"670,620,168","807,053,793","781,373,227","817,172,310","750,104,244","509,653,885","479,905,013","468,881,186","412,140,056","436,908,210","426,114,479","390,159,291","380,093,009","332,194,521","333,693,417","324,443,402","238,994,496","153,477,084","153,662,060","151,103,802","64,472,292","65,652,230","63,662,575","64,267,549","23,785,496"
	CurrentAssets,"198,690,750","390,709,928","412,281,954","504,547,597","443,052,497","188,807,710","202,320,641","186,987,646","127,151,932","162,164,497","153,661,112","121,135,575","118,697,331","118,561,939","117,032,381","246,957,434","178,957,536","93,841,572","107,514,243","105,977,605","27,069,628","32,324,616","43,450,588","44,076,793","13,536,300"
		CashCashEquivalentsAndShortTermInvestments,"174,693,048","235,399,924","252,009,948","348,830,249","288,162,070","152,398,880","190,027,418","177,358,989","117,940,513","153,892,811","143,956,705","113,809,939","112,310,655","110,201,522","108,663,499","243,369,354","176,349,838","91,598,449","104,810,065","103,404,327","25,321,427","30,720,347","42,375,758","43,230,597","13,189,066"
			CashAndCashEquivalents,"86,605,055","72,508,528","115,759,021","57,133,444","84,312,352","43,543,778","42,270,664","40,392,334","51,606,579","16,028,514","9,622,876","11,656,150","10,157,438","17,105,072","4,817,750","88,166,783","60,171,072","6,838,345","102,810,133","101,717,930","24,163,381","29,564,975","42,375,758","43,230,597","13,189,066"
				CashFinancial,,,,,,,,,,,,,,,,,,"6,838,345","102,810,133","101,717,930","24,163,381","29,564,975","42,375,758","43,230,597","13,189,066"
			OtherShortTermInvestments,"88,087,993","162,891,396","136,250,927","291,696,805","203,849,718","108,855,102","147,756,754","136,966,655","66,333,934","137,864,297","134,333,829","102,153,789","102,153,217","93,096,450","103,845,749","155,202,571","116,178,766","84,760,104","1,999,932","1,686,397","1,158,046","1,155,372",,,"0"
		Receivables,"5,220,141","4,501,098","10,302,807","5,605,436","3,609,073","24,328,331","3,650,858","4,386,903","5,125,578","4,647,370","5,858,341","4,983,346","4,547,622","4,497,996","4,450,006","1,983,075","1,331,489","1,095,777","1,258,468","1,446,436","780,523","783,066","469,796","375,577","276,750"
			AccountsReceivable,"5,153,577","4,468,863","4,478,191","5,572,532","3,599,835","4,041,563","3,585,966","4,105,785","4,832,526","4,318,178","5,377,949","4,959,762","4,589,702","4,512,669","4,172,206","1,293,927","1,111,288","1,116,326","1,254,041","1,412,189","780,523","722,069","469,796","375,577","276,750"
				GrossAccountsReceivable,"5,262,441","4,589,885","4,627,385","5,723,996","3,847,618","4,370,085","3,781,765","4,255,966","4,906,006",,"5,505,959",,,,,"995,055","839,523","828,287",,,,,"498,373","404,154",
				AllowanceForDoubtfulAccountsReceivable,"-108,864","-121,022","-149,194","-151,464","-247,783","-328,522","-195,799","-150,181","-73,480",,"-128,010",,,,,,,,,,,,"-28,577","-28,577",
			NotesReceivable,,"0","0","0","0","20,000,000",,,,,,,,,,,,,,,,,,,
