name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,12/31/2010
TotalAssets,"4,243,330,000","4,282,447,000","4,112,163,000","4,123,472,000","4,151,523,000","4,150,695,000","4,010,714,000","4,550,395,000","4,664,558,000","3,931,834,000","3,925,317,000","4,155,575,000","4,192,440,000","4,195,780,000","4,166,832,000","4,162,905,000","4,141,813,000","3,931,347,000","3,848,934,000","3,831,201,000","3,866,176,000","3,890,953,000","3,882,569,000","3,301,654,000","3,263,371,000","3,300,650,000","3,308,767,000","3,293,964,000","3,272,988,000","3,296,495,000","3,302,016,000","2,476,625,000","2,450,416,000","1,122,222,000","1,093,773,000","1,085,907,000","1,052,553,000","1,053,348,000","998,388,000","993,660,000","1,008,623,000","995,166,000","904,536,000"
	CurrentAssets,"779,184,000","794,756,000","931,547,000","900,350,000","902,690,000","889,170,000","728,465,000","1,256,201,000","1,338,150,000","583,433,000","616,218,000","864,970,000","920,801,000","965,498,000","961,561,000","987,230,000","1,001,386,000","798,183,000","742,914,000","753,058,000","810,306,000","844,250,000","851,881,000","290,966,000","276,489,000","303,855,000","293,660,000","280,115,000","247,170,000","280,358,000","272,504,000","249,064,000","227,685,000","224,868,000","200,441,000","218,880,000","201,209,000","212,791,000","180,455,000","195,611,000","228,167,000","224,405,000","189,310,000"
		CashCashEquivalentsAndShortTermInvestments,"429,716,000","423,695,000","582,188,000","540,604,000","567,102,000","526,714,000","373,088,000","872,970,000","1,008,983,000","233,946,000","293,710,000","525,335,000","592,910,000","604,981,000","629,745,000","651,797,000","690,471,000","464,344,000","432,105,000","440,958,000","532,442,000","554,371,000","594,297,000","35,454,000","44,440,000","46,685,000","46,388,000","34,221,000","36,463,000","45,732,000","52,918,000","41,791,000","44,703,000","105,600,000","80,516,000","105,579,000","51,499,000","93,235,000","63,876,000","90,395,000","86,316,000","125,924,000","88,031,000"
			CashAndCashEquivalents,"429,716,000","423,695,000","582,188,000","540,604,000","567,102,000","526,714,000","373,088,000","872,970,000","1,008,983,000","233,946,000","293,710,000","375,335,000","242,910,000","204,981,000","229,745,000","251,797,000","690,471,000","464,344,000","432,105,000","440,958,000","532,442,000","554,371,000","594,297,000","35,454,000","44,440,000","46,685,000","46,388,000","34,221,000","36,463,000","45,732,000","52,918,000","41,791,000","44,703,000","105,600,000","80,516,000","105,579,000","51,499,000","93,235,000","63,876,000","90,395,000","86,316,000","125,924,000","88,031,000"
			OtherShortTermInvestments,,,,,,,,,,"0","0","150,000,000","350,000,000","400,000,000","400,000,000","400,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"244,365,000","243,569,000","250,058,000","250,381,000","244,866,000","244,049,000","249,739,000","256,244,000","251,703,000","246,383,000","243,972,000","240,774,000","228,359,000","230,340,000","226,797,000","212,019,000","209,823,000","206,958,000","207,326,000","189,465,000","178,585,000","174,616,000","163,147,000","148,476,000","141,976,000","140,830,000","148,614,000","128,328,000","118,985,000","125,849,000","124,674,000","112,133,000","104,615,000","75,865,000","74,760,000","74,088,000","104,941,000","30,070,000","26,057,000","21,007,000","53,001,000","16,102,000","10,985,000"
			AccountsReceivable,"17,800,000","18,647,000","21,664,000","19,238,000","16,749,000","21,541,000","25,853,000","29,800,000","22,549,000","25,423,000","29,287,000","31,264,000","22,052,000","29,437,000","31,342,000","21,600,000","25,156,000","28,329,000","34,661,000","23,995,000","20,580,000","22,542,000","19,569,000","14,521,000","14,828,000","18,782,000","32,406,000","16,431,000","12,759,000","23,745,000","29,837,000","26,185,000","29,644,000","8,836,000","8,144,000","9,297,000","8,701,000","7,496,000","6,712,000","9,548,000","14,600,000","13,302,000","9,610,000"
				GrossAccountsReceivable,,"18,647,000",,,,"21,541,000",,,,"25,423,000","29,775,000",,,"29,925,000","32,958,000","22,867,000","26,284,000","29,751,000","38,165,000","26,896,000","24,574,000","25,875,000","23,811,000","19,222,000","18,192,000","21,574,000","35,148,000","18,832,000","15,562,000","25,172,000","32,392,000","27,267,000","30,986,000","9,331,000","8,421,000","9,481,000","8,889,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,"-488,000",,,"-488,000","-1,616,000","-1,267,000","-1,128,000","-1,422,000","-3,504,000","-2,901,000","-3,994,000","-3,333,000","-4,242,000","-4,701,000","-3,364,000","-2,792,000","-2,742,000","-2,401,000","-2,803,000","-1,427,000","-2,555,000","-1,082,000","-1,342,000","-495,000","-277,000","-184,000","-188,000",,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,277,000","14,808,000","13,966,000","46,413,000","22,985,000","19,809,000","11,963,000","39,117,000","3,001,000","2,220,000"
			OtherReceivables,"226,565,000","224,922,000","228,394,000","231,143,000","228,117,000","222,508,000","223,886,000","226,444,000","229,154,000","220,960,000","214,704,000","209,510,000","206,307,000","200,922,000","195,477,000","190,476,000","184,667,000","178,814,000","172,852,000","165,991,000","158,269,000","152,464,000","143,806,000","134,436,000","127,379,000","122,293,000","116,307,000","112,044,000","106,663,000","102,524,000","95,629,000","86,210,000","75,505,000","53,945,000","52,469,000","51,407,000","50,562,000",,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,"-19,000",,,"-19,000","-22,000","-57,000","0","-185,000","-187,000","-521,000","-264,000","-390,000","-228,000","-481,000","-231,000","-245,000","-99,000","-147,000","-437,000","-420,000","-792,000","-262,000","-534,000","-193,000","-661,000","-582,000","-735,000","-411,000","-464,000","-504,000","-716,000","-201,000","-845,000"
		PrepaidAssets,"52,152,000","76,549,000","60,522,000","71,399,000","50,427,000","77,182,000","50,773,000","68,109,000","40,583,000","65,453,000","41,927,000","60,818,000","37,766,000","64,345,000","50,663,000","64,695,000","39,393,000","61,028,000","39,463,000","54,624,000","36,815,000","53,749,000","33,685,000","47,895,000","29,908,000","50,460,000","33,759,000","47,857,000","30,715,000","48,504,000","31,091,000","39,658,000","23,535,000","9,417,000","13,010,000","8,549,000","12,501,000","9,325,000","12,576,000","8,315,000","11,347,000","8,747,000","11,831,000"
		RestrictedCash,"52,951,000","50,943,000","38,779,000","37,966,000","40,295,000","41,225,000","54,865,000","58,878,000","36,881,000","37,651,000","36,609,000","38,043,000","61,766,000","65,832,000","54,356,000","58,719,000","61,699,000","65,853,000","64,020,000","68,011,000","62,464,000","61,514,000","60,752,000","59,141,000","60,165,000","65,880,000","64,899,000","69,709,000","61,007,000","60,273,000","63,821,000","55,482,000","54,832,000","33,986,000","32,155,000","30,664,000","32,268,000","30,723,000","29,532,000","28,064,000","30,445,000","26,968,000","34,233,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,438,000","48,414,000","47,830,000","47,058,000","46,664,000","44,230,000"
	TotalNonCurrentAssets,"3,464,146,000","3,487,691,000","3,180,616,000","3,223,122,000","3,248,833,000","3,261,525,000","3,282,249,000","3,294,194,000","3,326,408,000","3,348,401,000","3,309,099,000","3,290,605,000","3,271,639,000","3,230,282,000","3,205,271,000","3,175,675,000","3,140,427,000","3,133,164,000","3,106,020,000","3,078,143,000","3,055,870,000","3,046,703,000","3,030,688,000","3,010,688,000","2,986,882,000","2,996,795,000","3,015,107,000","3,013,849,000","3,025,818,000","3,016,137,000","3,029,512,000","2,227,561,000","2,222,731,000","897,354,000","893,332,000","867,027,000","851,344,000","840,557,000","817,933,000","798,049,000","780,456,000","770,761,000","715,226,000"
