name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991
OperatingCashFlow,"103,617,000","-92,067,000","87,756,000","26,339,000","81,589,000","44,186,000","106,439,000","4,699,000","74,388,000","-27,785,000","114,364,000","40,914,000","-3,372,000","-34,736,000","178,846,000","15,255,000","42,236,000","806,000","177,137,000","12,233,000","-6,797,000","-17,982,000","167,349,000","-36,455,000","12,062,000","18,546,000","221,040,000","19,246,000","-94,677,000","-491,000","180,867,000","1,033,000","-24,302,000","32,166,000","114,955,000","8,554,000","-7,037,000","23,527,000","116,648,000","28,055,000","-29,067,000","7,574,000","132,075,000","31,065,000","-30,178,000","11,998,000","78,382,000","14,653,000","-26,329,000","35,902,000","81,306,000","27,249,000","10,427,000","23,114,000","36,819,000","-34,889,000","-6,168,000","183,341,000","54,889,000","-9,676,000","-23,596,000","2,326,000","84,486,000","12,994,000","-15,777,000","-11,137,000","90,763,000","10,906,000","-6,253,000","9,585,000","82,264,000","27,628,000","-11,002,000","894,000","39,099,000","19,018,000","1,277,000","6,232,000","55,312,000","-18,522,000","-3,251,000","14,381,000","51,305,000","1,073,000","32,000","-24,504,000","47,554,000","-12,579,000","4,961,000","-3,883,000","33,626,000","-3,800,000","13,800,000","2,100,000","23,000,000","1,800,000","-3,400,000","-13,900,000","43,900,000","-800,000","-2,900,000","-13,300,000","23,100,000","-1,500,000","0","800,000","16,100,000","3,700,000","2,900,000","0","35,600,000","9,400,000","-7,500,000","-15,000,000","27,500,000","3,400,000","-20,500,000","-27,800,000","24,300,000","500,000","-18,300,000","-11,500,000","22,200,000","10,300,000"
	CashFlowFromContinuingOperatingActivities,"103,617,000","-92,067,000","87,756,000","26,339,000","81,589,000","44,186,000","106,439,000","4,699,000","74,388,000","-27,785,000","114,364,000","40,914,000","-3,372,000","-34,736,000","178,846,000","15,255,000","42,236,000","806,000","177,137,000","12,233,000","-6,797,000","-17,982,000","167,349,000","-36,455,000","12,062,000","18,546,000","221,040,000","19,246,000","-94,677,000","-491,000","180,867,000","1,033,000","-24,302,000","32,166,000","114,955,000","8,554,000","-7,037,000","23,527,000","116,648,000","28,055,000","-29,067,000","7,574,000","132,075,000","31,065,000","-30,178,000","11,998,000","78,382,000","14,653,000","-26,329,000","35,902,000","81,306,000","27,249,000","10,427,000","23,114,000","36,819,000","-34,889,000","-6,168,000","183,341,000","54,284,000","-11,704,000","-23,596,000","2,326,000","83,969,000","12,523,000","-15,777,000","-11,137,000","90,763,000","10,906,000","-6,253,000","9,585,000","82,264,000","27,628,000","-11,002,000","894,000","39,099,000","19,018,000","1,277,000","6,232,000","55,312,000","-18,522,000","-3,251,000","14,381,000","51,305,000","1,073,000","32,000","-24,504,000","47,554,000","-12,579,000","4,961,000","-3,883,000","33,626,000","-3,800,000","13,800,000","2,100,000","23,000,000","1,800,000","-3,400,000","-13,900,000","43,900,000","-800,000","-2,900,000","-13,300,000","23,100,000","-1,500,000","0","800,000","16,100,000","3,700,000","2,900,000","0","35,600,000","9,400,000","-7,500,000","-15,000,000","27,500,000","3,400,000","-20,500,000","-27,800,000","24,300,000","500,000","-18,300,000","-11,500,000","22,200,000","10,300,000"
		NetIncomeFromContinuingOperations,"110,919,000","4,947,000","62,140,000","32,895,000","10,937,000","8,878,000","89,918,000","7,466,000","-19,036,000","-134,777,000","35,562,000","18,899,000","577,000","6,346,000","-63,971,000","14,387,000","-15,000","-2,331,000","56,045,000","-164,821,000","-3,948,000","885,000","46,548,000","25,895,000","14,578,000","10,410,000","44,664,000","32,507,000","7,520,000","9,878,000","50,396,000","28,662,000","4,694,000","13,973,000","42,153,000","27,750,000","8,340,000","18,382,000","38,527,000","40,875,000","9,968,000",,,"26,088,000","-392,000","14,793,000","30,861,000","16,917,000","-3,095,000","8,528,000","25,813,000","11,577,000","-2,625,000","-5,500,000","32,695,000","9,438,000","-10,290,000","129,799,000","3,247,000","5,600,000","-4,165,000","2,203,000","35,348,000","15,877,000","5,944,000","10,477,000","31,286,000","16,143,000","6,766,000","8,491,000","25,582,000","12,089,000","4,754,000","5,824,000","16,872,000","9,412,000","-891,000","3,337,000","14,008,000","10,107,000","3,963,000","8,202,000","15,266,000","7,283,000","6,183,000","8,338,000","12,290,000","8,785,000","2,562,000","5,961,000","11,522,000","6,200,000","4,100,000","4,100,000","38,700,000","6,300,000","6,600,000","3,800,000","-7,000,000","9,500,000","4,100,000","2,200,000","8,200,000","5,900,000","2,000,000","1,000,000","6,000,000","4,200,000","500,000","-600,000","15,100,000","-93,100,000","-500,000","-2,700,000","-48,300,000","-3,100,000","400,000","-700,000","4,200,000","4,900,000","1,500,000","-900,000","1,500,000","1,600,000"
		OperatingGainsLosses,,,,,,,,,,,"0",,,"86,000",,,,,,,,,"-9,760,000",,"-2,485,000",,,,,,,,,,,,,,,,,,,,,,,,,,"561,000","508,000","571,000","512,000","928,000","445,000","610,000","699,000","205,000","887,000","1,064,000","487,000","-49,000","675,000","-1,659,000","2,542,000","3,211,000","1,600,000","1,476,000","4,304,000","3,452,000","1,862,000","1,728,000","699,000","2,660,000","-1,198,000","2,975,000","431,000","3,250,000","167,000","218,000","324,000","6,351,000","1,566,000","-350,000","344,000","4,558,000","72,000","5,118,000","463,000","824,000","500,000","500,000","300,000","2,700,000","200,000","-2,700,000","800,000","18,200,000","400,000","200,000","1,200,000","100,000","2,300,000","900,000","1,300,000","700,000","500,000","800,000","2,100,000","80,800,000","-600,000","-4,700,000","1,700,000","30,800,000","1,100,000","-1,500,000","600,000","500,000","-1,200,000","2,300,000","1,100,000",,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0",,"0","86,000",,,,,,,"0",,"-12,216,000","0","-2,485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"42,631,000","10,551,000","10,711,000","10,624,000","10,745,000","10,889,000","10,946,000","11,343,000","11,787,000","12,423,000","12,276,000","12,180,000","12,315,000","12,803,000","18,870,000","19,151,000","19,225,000","19,693,000","20,796,000","18,984,000","18,930,000","19,616,000","19,249,000","18,596,000","19,109,000","18,814,000","20,842,000","19,294,000","19,382,000","19,493,000","19,571,000","19,006,000","18,389,000","17,360,000","17,618,000","16,634,000","16,454,000","16,429,000","17,502,000","15,651,000","15,291,000","15,253,000","14,689,000","13,844,000","13,002,000","12,202,000","13,660,000","11,265,000","11,143,000","11,670,000","11,718,000","11,464,000","11,723,000","12,128,000","11,780,000","11,698,000","11,619,000","11,660,000","11,935,000","11,378,000","10,935,000","10,866,000","11,017,000","10,112,000","9,827,000","9,350,000","8,992,000","8,743,000","8,439,000","8,448,000","10,728,000","7,273,000","7,270,000","5,995,000","5,646,000","5,550,000","5,530,000","5,109,000","5,228,000","5,131,000","4,593,000","4,362,000","4,335,000","4,134,000","3,938,000","3,832,000","3,643,000","3,380,000","3,138,000","3,039,000","3,014,000","2,600,000","2,500,000","2,400,000","2,200,000","2,400,000","2,700,000","2,400,000","2,300,000","2,200,000","2,200,000","2,200,000","2,000,000","1,900,000","2,000,000","1,800,000","1,900,000","1,900,000","1,800,000","1,800,000","1,900,000","2,500,000","2,400,000","2,500,000","2,900,000","2,700,000","2,600,000","2,500,000","2,300,000","2,300,000","2,300,000","2,400,000","2,400,000","2,200,000"
			DepreciationAndAmortization,"42,631,000","10,551,000","10,711,000","10,624,000","10,745,000","10,889,000","10,946,000","11,343,000","11,787,000","12,423,000","12,276,000","12,180,000","12,315,000","12,803,000","18,870,000","19,151,000","19,225,000","19,693,000","20,796,000","18,984,000","18,930,000","19,616,000","19,249,000","18,596,000","19,109,000","18,814,000","20,842,000","19,294,000","19,382,000","19,493,000","19,571,000","19,006,000","18,389,000","17,360,000","17,618,000","16,634,000","16,454,000","16,429,000","17,502,000","15,651,000","15,291,000","15,253,000","14,689,000","13,844,000","13,002,000","12,202,000","13,660,000","11,265,000","11,143,000","11,670,000","11,718,000","11,464,000","11,723,000","12,128,000","11,780,000","11,698,000","11,619,000","11,660,000","11,935,000","11,378,000","10,935,000","10,866,000","11,017,000","10,112,000","9,827,000","9,350,000","8,992,000","8,743,000","8,439,000","8,448,000","10,728,000","7,273,000","7,270,000","5,995,000","5,646,000","5,550,000","5,530,000","5,109,000","5,228,000","5,131,000","4,593,000","4,362,000","4,335,000","4,134,000","3,938,000","3,832,000","3,643,000","3,380,000","3,138,000","3,039,000","3,014,000","2,600,000","2,500,000","2,400,000","2,200,000","2,400,000","2,700,000","2,400,000","2,300,000","2,200,000","2,200,000","2,200,000","2,000,000","1,900,000","2,000,000","1,800,000","1,900,000","1,900,000","1,800,000","1,800,000","1,900,000","2,500,000","2,400,000","2,500,000","2,900,000","2,700,000","2,600,000","2,500,000","2,300,000","2,300,000","2,300,000","2,400,000","2,400,000","2,200,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,265,000","11,143,000","11,670,000","11,718,000","11,464,000","11,723,000","12,128,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-11,476,000","-2,820,000","-7,609,000","-1,107,000","60,000","-10,054,000","32,315,000","-302,000","2,224,000","4,905,000","3,787,000","-1,842,000","741,000","-2,026,000","2,198,000","-1,976,000","1,596,000","-1,546,000","12,763,000","-29,629,000","3,288,000","-2,006,000","-8,499,000","12,284,000","4,135,000","-2,526,000","-5,318,000","-622,000","5,447,000","-1,632,000","11,625,000","-8,022,000","3,286,000","-1,677,000","10,389,000","7,320,000","2,667,000","-2,821,000","-5,686,000","-5,275,000","1,099,000","-6,187,000","2,128,000","-300,000","-2,027,000","-1,213,000","-8,724,000","-2,595,000","163,000","-710,000","-94,000","2,228,000","-129,000","1,675,000","13,534,000","-6,433,000","903,000","-167,000","-15,811,000","-167,000","3,520,000","-225,000","-914,000","-3,890,000","-446,000","-879,000","-2,386,000","-2,157,000","53,000","-575,000","6,104,000","266,000","-758,000","449,000",,,,,,,,,,,,,,,,,"2,087,000","3,800,000","2,500,000","2,300,000",,,,,"200,000","0",,,,,,,,,,,"0",,,,,,,,"-600,000",,,,"-2,100,000",
			DeferredIncomeTax,"-11,476,000","-2,820,000","-7,609,000","-1,107,000","60,000","-10,054,000","32,315,000","-302,000","2,224,000","4,905,000","3,787,000","-1,842,000","741,000","-2,026,000","2,198,000","-1,976,000","1,596,000","-1,546,000","12,763,000","-29,629,000","3,288,000","-2,006,000","-8,499,000","12,284,000","4,135,000","-2,526,000","-5,318,000","-622,000","5,447,000","-1,632,000","11,625,000","-8,022,000","3,286,000","-1,677,000","10,389,000","7,320,000","2,667,000","-2,821,000","-5,686,000","-5,275,000","1,099,000","-6,187,000","2,128,000","-300,000","-2,027,000","-1,213,000","-8,724,000","-2,595,000","163,000","-710,000","-94,000","2,228,000","-129,000","1,675,000","13,534,000","-6,433,000","903,000","-167,000","-15,811,000","-167,000","3,520,000","-225,000","-914,000","-3,890,000","-446,000","-879,000","-2,386,000","-2,157,000","53,000","-575,000","6,104,000","266,000","-758,000","449,000",,,,,,,,,,,,,,,,,"2,087,000","3,800,000","2,500,000","2,300,000",,,,,"200,000","0",,,,,,,,,,,"0",,,,,,,,"-600,000",,,,"-2,100,000",
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"198,000",,"198,000","198,000","199,000","165,000","146,000","57,000","105,000","104,000","104,000","145,000","433,000","426,000","1,018,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
