name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
TotalAssets,"6,332,805,000","6,443,243,000","6,264,943,000","6,139,036,000","5,995,417,000","6,029,188,000","5,822,644,000","5,816,750,000","5,405,612,000","5,385,641,000","5,969,234,000","5,985,342,000","6,015,468,000","5,534,792,000","5,477,039,000","5,348,343,000","5,016,832,000","4,955,462,000","4,687,302,000","4,693,293,000","4,409,856,000","4,247,379,000","4,166,662,000","4,174,388,000","4,064,655,000","4,164,403,000","4,028,339,000","4,246,996,000","4,045,775,000","4,101,620,000","4,068,282,000","4,100,064,000","4,141,097,000","3,718,259,000","3,643,953,000","3,406,434,000","3,290,371,000","3,152,685,000","2,819,408,000","2,613,207,000","2,416,293,000","2,390,998,000","2,103,481,000","1,945,929,000","1,941,530,000","1,936,102,000","1,814,922,000","1,854,057,000","1,774,356,000","1,740,873,000","1,636,256,000","1,617,810,000","1,598,169,000","1,600,745,000","1,666,122,000","1,541,476,000","1,514,860,000","1,412,714,000","1,294,460,000","1,221,231,000","1,117,167,000","1,119,780,000","1,065,651,000","1,150,551,000","1,162,236,000","1,180,810,000","1,144,417,000","1,132,133,000","1,132,865,000","1,142,196,000","1,115,814,000","1,480,443,000","1,505,513,000","1,400,607,000","1,977,864,000","1,994,388,000","2,084,752,000","1,953,887,000","1,948,739,000","2,025,785,000","2,174,057,000"
	CurrentAssets,"1,132,077,000","1,326,022,000","1,155,833,000","1,150,202,000","1,106,026,000","1,217,721,000","1,169,489,000","1,156,207,000","697,560,000","632,531,000","430,089,000","475,300,000","552,532,000","629,831,000","600,647,000","565,191,000","433,193,000","587,586,000","449,776,000","510,506,000","336,211,000","358,070,000","330,315,000","380,527,000","521,138,000","651,937,000","636,406,000","796,524,000","623,889,000","606,104,000","522,990,000","531,590,000","539,675,000","593,953,000","528,372,000","574,445,000","574,575,000","632,995,000","528,795,000","473,659,000","392,175,000","393,837,000","699,536,000","618,595,000","723,697,000","727,432,000","693,255,000","753,088,000","681,343,000","757,383,000","612,541,000","588,191,000","574,622,000","574,564,000","665,108,000","623,872,000","806,179,000","738,843,000","628,345,000","554,837,000","453,106,000","463,879,000","424,565,000","535,516,000","514,998,000","529,222,000","479,639,000","414,067,000","396,041,000","395,223,000","363,315,000","436,513,000","438,278,000","389,348,000","516,889,000","484,836,000","571,371,000","487,610,000","437,146,000","518,913,000","704,929,000"
		CashCashEquivalentsAndShortTermInvestments,"730,349,000","910,965,000","773,911,000","750,161,000","703,777,000","845,589,000","717,867,000","726,402,000","225,160,000","103,908,000","72,456,000","117,818,000","165,891,000","237,125,000","233,472,000","234,280,000","136,421,000","294,413,000","175,926,000","279,575,000","114,342,000","128,203,000","102,804,000","157,230,000","321,400,000","431,048,000","378,561,000","539,123,000","359,693,000","316,403,000","274,155,000","285,996,000","289,224,000","332,720,000","292,540,000","367,504,000","343,949,000","419,882,000","325,055,000","244,194,000","174,885,000","195,208,000","425,265,000","469,750,000","584,440,000","595,063,000","569,977,000","638,433,000","562,533,000","637,067,000","487,052,000","468,162,000","441,846,000","410,523,000","427,475,000","367,538,000","537,673,000","477,309,000","372,473,000","312,478,000","261,763,000","231,807,000","172,837,000","311,623,000","309,162,000","305,890,000","277,791,000","192,539,000","163,626,000","133,917,000","97,327,000","158,262,000","138,452,000","93,297,000","278,289,000","266,192,000","351,327,000","359,145,000","334,575,000","393,796,000","558,992,000"
			CashAndCashEquivalents,"730,349,000","910,965,000","773,911,000","750,161,000","703,777,000","845,589,000","717,867,000","726,402,000","225,160,000","103,029,000","70,327,000","110,665,000","154,466,000","221,501,000","214,961,000","216,762,000","119,294,000","280,809,000","165,250,000","271,655,000","109,100,000","123,890,000","100,671,000","155,247,000","317,410,000","425,950,000","376,695,000","514,750,000","336,406,000","298,601,000","262,224,000","276,404,000","279,652,000","321,816,000","280,967,000","355,775,000","330,311,000","409,763,000","315,789,000","233,072,000","166,649,000","187,111,000","417,352,000","462,011,000","576,774,000","588,852,000","545,288,000","604,021,000","532,576,000","613,740,000","480,144,000","459,634,000","433,248,000","397,385,000","379,200,000","367,538,000","537,673,000","477,309,000","372,473,000","312,478,000","261,763,000","231,807,000","172,837,000","311,623,000","309,162,000","305,890,000","277,791,000","192,539,000","163,626,000","133,917,000","97,327,000","158,262,000","138,452,000","93,297,000","178,473,000","144,321,000","238,693,000","236,431,000","299,942,000","333,840,000","493,723,000"
			OtherShortTermInvestments,,,,,,"0","0","0","0","879,000","2,129,000","7,153,000","11,425,000","15,624,000","18,511,000","17,518,000","17,127,000","13,604,000","10,676,000","7,920,000","5,242,000","4,313,000","2,133,000","1,983,000","3,990,000","5,098,000","1,866,000","24,373,000","23,287,000","17,802,000","11,931,000","9,592,000","9,572,000","10,904,000","11,573,000","11,729,000","13,638,000","10,119,000","9,266,000","11,122,000","8,236,000","8,097,000","7,913,000","7,739,000","7,666,000","6,211,000","24,689,000","34,412,000","29,957,000","23,327,000","6,908,000","8,528,000","8,598,000","13,138,000","48,275,000",,,,,,,,,,,,,,,,,,,,"99,816,000","121,871,000","112,634,000","122,714,000","34,633,000","59,956,000","65,269,000"
		Receivables,"297,264,000","305,905,000","283,362,000","291,843,000","289,337,000","265,521,000","268,376,000","239,051,000","274,202,000","290,119,000","264,752,000","265,489,000","255,100,000","269,320,000","254,425,000","221,392,000","195,117,000","194,478,000","172,205,000","165,013,000","157,953,000","166,486,000","157,491,000","151,212,000","134,677,000","164,308,000","169,676,000","152,906,000","149,360,000","162,092,000","167,845,000","162,860,000","147,299,000","132,159,000","118,515,000","113,271,000","145,137,000","127,704,000","104,874,000","106,005,000","97,869,000","93,213,000","84,802,000","83,423,000","78,992,000","78,334,000","65,282,000","64,321,000","66,343,000","58,530,000","64,861,000","56,292,000","56,836,000","67,160,000","123,639,000","137,548,000","136,558,000","129,538,000","133,406,000","126,381,000","103,154,000","134,520,000","127,384,000","105,611,000","109,920,000","131,244,000","101,848,000","116,984,000","120,541,000","141,012,000","127,165,000","134,532,000","147,666,000","159,393,000","150,904,000","188,028,000","189,046,000","128,465,000","102,571,000","125,117,000","129,543,000"
			AccountsReceivable,"297,264,000","305,905,000","283,362,000","291,843,000","289,337,000","265,521,000","268,376,000","239,051,000","274,202,000","290,119,000","264,752,000","265,489,000","255,100,000","269,320,000","254,425,000","221,392,000","195,117,000","194,478,000","172,205,000","165,013,000","157,953,000","166,486,000","157,491,000","151,212,000","134,677,000","164,308,000","169,676,000","152,906,000","149,360,000","162,092,000","167,845,000","162,860,000","147,299,000","132,159,000","118,515,000","113,271,000","145,137,000","127,704,000","104,874,000","106,005,000","97,869,000","93,213,000","84,802,000","83,423,000","78,992,000","78,334,000","65,282,000","64,321,000","66,343,000","58,530,000","64,861,000","56,292,000","56,836,000","67,160,000","123,639,000","137,548,000","136,558,000","129,538,000","133,406,000","126,381,000","103,154,000","134,520,000","127,384,000","105,611,000","109,920,000","131,244,000","101,848,000","116,984,000","120,541,000","141,012,000","127,165,000","134,532,000","147,666,000","159,393,000","150,904,000","169,019,000","168,502,000","128,465,000","102,571,000","125,117,000","129,543,000"
				GrossAccountsReceivable,"301,442,000","309,908,000","287,101,000","295,425,000","290,347,000","266,754,000","269,152,000","239,937,000","275,384,000","291,941,000","266,273,000","267,122,000","256,754,000","270,883,000","255,806,000","224,001,000",,"195,972,000","173,435,000","165,978,000","159,597,000","167,483,000","158,683,000","153,394,000","136,965,000","165,555,000","170,839,000","154,537,000","150,528,000","163,750,000","169,593,000","164,478,000","148,626,000","133,561,000","120,054,000","115,277,000","149,146,000","130,876,000","107,844,000","108,820,000","101,015,000","95,144,000","86,446,000","85,091,000","80,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,178,000","-4,003,000","-3,739,000","-3,582,000","-1,010,000","-1,233,000","-776,000","-886,000","-1,182,000","-1,822,000","-1,521,000","-1,633,000","-1,654,000","-1,563,000","-1,381,000","-2,609,000",,"-1,494,000","-1,230,000","-965,000","-1,644,000","-997,000","-1,192,000","-2,182,000","-2,288,000","-1,247,000","-1,163,000","-1,631,000","-1,168,000","-1,658,000","-1,748,000","-1,618,000","-1,327,000","-1,402,000","-1,539,000","-2,006,000","-4,009,000","-3,172,000","-2,970,000","-2,815,000","-3,146,000","-1,931,000","-1,644,000","-1,668,000","-1,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,009,000","20,544,000",,,,
