name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
TotalRevenue,"464,246,000","132,171,000","115,869,000","107,590,000","108,616,000","93,414,000","84,522,224","84,189,912","79,980,060","70,097,805","65,751,772","65,265,901","60,052,179","54,792,202","51,643,304","50,799,601","47,624,956","43,169,601","40,696,512","41,199,780","39,968,983","34,513,935","34,061,457","34,536,151","33,002,209","31,453,700","30,201,789","30,570,506","28,359,404","27,054,674","24,508,205","22,519,672","20,386,038","19,350,197","17,720,322","16,698,903"
	OperatingRevenue,"464,246,000","132,171,000","115,869,000","107,590,000","108,616,000","93,414,000","84,522,224","84,189,912","79,980,060","70,097,805","65,751,772","65,265,901","60,052,179","54,792,202","51,643,304","50,799,601","47,624,956","43,169,601","40,696,512","41,199,780","39,968,983","34,513,935","34,061,457","34,536,151","33,002,209","31,453,700","30,201,789","30,570,506","28,359,404","27,054,674","24,508,205","22,519,672","20,386,038","19,350,197","17,720,322","16,698,903"
CostOfRevenue,"293,663,000","87,419,000","74,654,000","66,065,000","65,525,000","57,099,000","53,989,354","47,535,488","46,046,979","38,308,179","35,501,633","34,560,261","32,725,598","28,877,221","28,274,929","27,183,648","24,747,064","23,041,583","21,756,437","21,697,051","21,799,146","18,710,658","18,841,142","19,185,274","18,090,405","16,565,813","16,512,375","16,523,960","14,699,240","13,801,655","12,529,687","11,645,685","10,313,193","10,057,072","11,302,141","9,421,530"
GrossProfit,"170,584,000","44,753,000","41,215,000","41,525,000","43,091,000","36,315,000","30,532,870","36,654,424","33,933,081","31,789,626","30,250,139","30,705,640","27,326,581","25,914,981","23,368,375","23,615,953","22,877,892","20,128,018","18,940,075","19,502,729","18,169,837","15,803,277","15,220,315","15,350,877","14,911,804","14,887,887","13,689,414","14,046,546","13,660,164","13,253,019","11,978,518","10,873,987","10,072,845","9,293,125","6,418,181","7,277,373"
OperatingExpense,"201,407,000","60,631,000","48,854,000","42,365,000","49,557,000","46,033,000","33,635,162","32,894,793","33,702,103","34,675,943","25,374,591","27,171,138","32,672,284","29,232,250","21,477,995","23,572,314","26,287,523","23,537,944","17,322,757","19,303,705","19,996,958","18,543,748","13,669,324","14,542,680","17,886,746","16,487,082","11,225,809","15,584,998","15,694,304","15,791,703","11,427,967","12,212,406","13,401,264","11,594,529","8,263,321","11,459,693"
	SellingGeneralAndAdministration,"201,407,000","60,631,000","48,854,000","42,365,000","49,557,000","46,033,000","33,635,162","32,894,793","33,702,103","34,675,943","25,374,591","27,171,138","32,672,284","29,232,250","21,477,995","23,572,314","26,287,523","23,537,944","17,322,757","19,303,705","19,996,958","18,543,748","13,669,324","14,542,680","17,886,746","16,487,082","11,225,809","15,584,998","15,694,304","15,791,703","11,427,967","12,212,406","13,401,264","11,594,529","8,263,321","11,459,693"
OperatingIncome,"-30,823,000","-15,878,000","-7,639,000","-840,000","-6,466,000","-9,718,000","-3,102,292","3,759,631","230,978","-2,886,317","4,875,548","3,534,502","-5,345,703","-3,317,269","1,890,380","43,639","-3,409,631","-3,409,926","1,617,318","199,024","-1,827,121","-2,740,471","1,550,991","808,197","-2,974,942","-1,599,195","2,463,605","-1,538,452","-2,034,140","-2,538,684","550,551","-1,338,419","-3,328,419","-2,301,404","-1,845,140","-4,182,320"
NetNonOperatingInterestIncomeExpense,"-2,552,000","-571,000","-650,000","-677,000","-654,000","-901,000","-212,636","-215,661","-79,869","-703,834","-301,851","-310,465","-275,649","-102,776","-34,927","-94,381","-97,923","-69,002","-79,560","-465,253","-189,701","-175,977","-208,022","-214,067","-159,292","-116,738","-192,529","-113,820","-110,679","-37,538","-16,844,703","-8,027,950","-2,886,904","-2,791,222","-2,921,481","-2,241,677"
	InterestExpenseNonOperating,"2,552,000","571,000","650,000","677,000","654,000","901,000","212,636","215,661","79,869","703,834","301,851","310,465","275,649","102,776","34,927","94,381","97,923","69,002","79,560","465,253","189,701","175,977","208,022","214,067","159,292","116,738","192,529","113,820","110,679","37,538","16,844,703","8,027,950","2,886,904","2,791,222","2,921,481","2,241,677"
OtherIncomeExpense,"276,000","258,000","18,000","2,000","-2,000","-5,000","17,234","24,663","23,586","21,518","146,156","-137,624","-20,748","17,295","-78,035","-27,392","26,067","-22,977","-9,931","41,435","-614,586","57,677","-88,814","41,601","-93,768","-40,869","521,702","-8,078","-68,831","4,148","-134,845","-108,872","-43,477","-41,598","-444,713","-63,764"
