name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"777,582,000","202,002,000","195,703,000","191,262,000","188,615,000","191,493,000","187,018,000","187,326,000","178,845,000","185,776,000","176,313,000","175,004,000","171,757,000","168,966,000","172,298,000","175,135,000","173,332,000","175,661,000","173,770,000","175,994,000","139,879,000","124,347,000","122,039,000","118,340,000","113,234,000","107,315,000","102,049,000","103,942,000","99,311,000","98,520,000","94,996,000","95,534,000","89,671,000","91,304,000","83,687,000","82,541,000","77,244,000","76,427,000","74,042,000","78,098,000","76,261,000","71,243,000","65,532,000","69,940,000","67,284,000","70,062,000","54,302,000","52,496,000","47,328,000","45,753,000","37,444,000","31,748,000","30,478,000","29,816,000"
	OperatingRevenue,"777,582,000","202,002,000","195,703,000","191,262,000","188,615,000","191,493,000","187,018,000","187,326,000","178,845,000","185,776,000","176,313,000","175,004,000","171,757,000","168,966,000","172,298,000","175,135,000","173,332,000","175,661,000","173,770,000","175,994,000","139,879,000","124,347,000","122,039,000","118,340,000","113,234,000","107,315,000","102,049,000","103,942,000","99,311,000","98,520,000","94,996,000","95,534,000","89,671,000","91,304,000","83,687,000","82,541,000","77,244,000","76,427,000","74,042,000","78,098,000","76,261,000","71,243,000","65,532,000","69,940,000","67,284,000","70,062,000","54,302,000","52,496,000","47,328,000","45,753,000","37,444,000","31,748,000","30,478,000","29,816,000"
CostOfRevenue,"243,155,000","65,884,000","60,294,000","59,568,000","57,409,000","59,579,000","56,549,000","57,248,000","56,200,000","56,862,000","53,266,000","53,807,000","52,938,000","51,468,000","55,253,000","55,789,000","53,553,000","56,022,000","53,273,000","56,331,000","43,523,000","39,020,000","38,452,000","36,885,000","35,061,000","33,353,000","30,535,000","32,921,000","29,237,000","30,697,000","28,329,000","28,526,000","27,064,000","29,589,000","24,818,000","25,774,000","22,557,000","23,904,000","22,053,000","25,809,000","24,730,000","22,716,000","20,295,000","22,883,000","21,629,000","23,772,000","17,751,000","17,837,000","15,672,000","15,088,000","12,170,000","10,494,000","10,560,000","11,801,000"
GrossProfit,"534,427,000","136,118,000","135,409,000","131,694,000","131,206,000","131,914,000","130,469,000","130,078,000","122,645,000","128,914,000","123,047,000","121,197,000","118,819,000","117,498,000","117,045,000","119,346,000","119,779,000","119,639,000","120,497,000","119,663,000","96,356,000","85,327,000","83,587,000","81,455,000","78,173,000","73,962,000","71,514,000","71,021,000","70,074,000","67,823,000","66,667,000","67,008,000","62,607,000","61,715,000","58,869,000","56,767,000","54,687,000","52,523,000","51,989,000","52,289,000","51,531,000","48,527,000","45,237,000","47,057,000","45,655,000","46,290,000","36,551,000","34,659,000","31,656,000","30,665,000","25,274,000","21,254,000","19,918,000","18,015,000"
OperatingExpense,"354,578,000","87,834,000","94,017,000","86,821,000","85,906,000","86,834,000","85,965,000","86,562,000","85,087,000","89,183,000","88,857,000","83,608,000","78,508,000","80,771,000","78,481,000","79,338,000","77,829,000","79,178,000","80,311,000","78,774,000","63,825,000","55,479,000","54,330,000","55,157,000","51,551,000","44,601,000","45,304,000","46,948,000","44,290,000","43,170,000","42,896,000","41,737,000","39,505,000","41,241,000","39,725,000","35,561,000","35,800,000","34,838,000","17,149,000","39,723,000","50,120,000","35,507,000","33,203,000","35,520,000","33,456,000","34,058,000","34,828,000","24,950,000","22,089,000","20,499,000","17,577,000","18,462,000","16,750,000","16,874,000"
	SellingGeneralAndAdministration,"51,632,000","12,448,000","17,490,000","10,765,000","10,929,000","10,560,000","10,621,000","10,670,000","10,160,000","11,518,000","10,203,000","9,788,000","10,079,000","11,290,000","8,915,000","8,770,000","8,725,000","8,786,000","8,225,000","8,283,000","8,472,000","8,423,000","7,894,000","7,293,000","6,813,000","6,773,000","6,349,000","6,430,000","6,224,000","6,575,000","6,810,000","5,935,000","5,903,000","6,299,000","5,803,000","5,980,000","6,217,000","6,448,000","-11,490,000","10,265,000","19,156,000","8,150,000","6,472,000","8,160,000","6,755,000","7,308,000","13,257,000","5,096,000","3,487,000","3,188,000","3,213,000","5,175,000","4,105,000","3,575,000"
		GeneralAndAdministrativeExpense,"51,632,000","12,448,000","17,490,000","10,765,000","10,929,000","10,560,000","10,621,000","10,670,000","10,160,000","11,518,000","10,203,000","9,788,000","10,079,000","11,290,000","8,915,000","8,770,000","8,725,000","8,786,000","8,225,000","8,283,000","8,472,000","8,423,000","7,894,000","7,293,000","6,813,000","6,773,000","6,349,000","6,430,000","6,224,000","6,575,000","6,810,000","5,935,000","5,903,000","6,299,000","5,803,000","5,980,000","6,217,000","6,448,000","5,805,000",,,,,,,,,,,,,,,
			OtherGandA,"51,632,000","12,448,000","17,490,000","10,765,000","10,929,000","10,560,000","10,621,000","10,670,000","10,160,000","11,518,000","10,203,000","9,788,000","10,079,000","11,290,000","8,915,000","8,770,000","8,725,000","8,786,000","8,225,000","8,283,000","8,472,000","8,423,000","7,894,000","7,293,000","6,813,000","6,773,000","6,349,000","6,430,000","6,224,000","6,575,000","6,810,000","5,935,000","5,903,000","6,299,000","5,803,000","5,980,000","6,217,000","6,448,000","5,805,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"302,946,000","75,386,000","76,527,000","76,056,000","74,977,000","76,274,000","75,344,000","75,892,000","74,927,000","77,665,000","78,654,000","73,820,000","68,429,000","69,481,000","69,566,000","70,568,000","69,104,000","70,392,000","72,086,000","70,491,000","55,353,000","47,056,000","46,436,000","47,864,000","44,738,000","37,828,000","38,955,000","40,518,000","38,066,000","36,595,000","36,086,000","35,802,000","33,602,000","34,942,000","33,922,000","29,581,000","29,583,000","28,390,000","28,639,000","29,458,000","30,964,000","27,357,000","26,731,000","27,360,000","26,701,000","26,750,000","21,571,000","19,854,000","18,602,000","17,311,000","14,364,000","13,287,000","12,645,000","13,299,000"
		DepreciationAndAmortizationInIncomeStatement,"302,946,000","75,386,000","76,527,000","76,056,000","74,977,000","76,274,000","75,344,000","75,892,000","74,927,000","77,665,000","78,654,000","73,820,000","68,429,000","69,481,000","69,566,000","70,568,000","69,104,000","70,392,000","72,086,000","70,491,000","55,353,000","47,056,000","46,436,000","47,864,000","44,738,000","37,828,000","38,955,000","40,518,000","38,066,000","36,595,000","36,086,000","35,802,000","33,602,000","34,942,000","33,922,000","29,581,000","29,583,000","28,390,000","28,639,000","29,458,000","30,964,000","27,357,000","26,731,000","27,360,000","26,701,000","26,750,000","21,571,000","19,854,000","18,602,000","17,311,000","14,364,000","13,287,000","12,645,000","13,299,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,704,000",,,,,,,,,,,,,
OperatingIncome,"179,849,000","48,284,000","41,392,000","44,873,000","45,300,000","45,080,000","44,504,000","43,516,000","37,558,000","39,731,000","34,190,000","37,589,000","40,311,000","36,727,000","38,564,000","40,008,000","41,950,000","40,461,000","40,186,000","40,889,000","32,531,000","29,848,000","29,257,000","26,298,000","26,622,000","29,361,000","26,210,000","24,073,000","25,784,000","24,653,000","23,771,000","25,271,000","23,102,000","20,474,000","19,144,000","21,206,000","18,887,000","17,685,000","34,840,000","12,566,000","1,411,000","13,020,000","12,034,000","11,537,000","12,199,000","12,232,000","1,723,000","9,709,000","9,567,000","10,166,000","7,697,000","2,792,000","3,168,000","1,141,000"
NetNonOperatingInterestIncomeExpense,"-93,716,000","-23,940,000","-23,312,000","-23,331,000","-23,133,000","-22,986,000","-23,328,000","-23,136,000","-24,277,000","-23,872,000","-24,031,000","-24,625,000","-24,006,000","-23,970,000","-24,457,000","-24,834,000","-26,305,000","-26,253,000","-25,860,000","-26,188,000","-17,945,000","-16,382,000","-15,787,000","-16,938,000","-14,648,000","-14,773,000","-14,330,000","-14,439,000","-14,979,000","-14,359,000","-15,539,000","-15,552,000","-13,149,000","-13,249,000","-21,837,000","-15,188,000","-4,314,000","-15,321,000","-34,536,000","-14,108,000","-15,869,000","-11,006,000","-9,724,000","-10,899,000","-10,293,000","-10,228,000","-8,820,000","-8,456,000","-8,815,000","-9,126,000","-7,330,000","-7,012,000","-7,384,000","-7,372,000"
	InterestIncomeNonOperating,,,,,"121,000","143,000","63,000","68,000","175,000","245,000","114,000","160,000","148,000","91,000","94,000","97,000","111,000","94,000","163,000","563,000","354,000","354,000","122,000","88,000","90,000","65,000","66,000","67,000","68,000","68,000","100,000","257,000","725,000","852,000","684,000","635,000","619,000","620,000","4,237,000","24,000","63,000","27,000","13,000","17,000","26,000","118,000","45,000","24,000","34,000","16,000","16,000","60,000","44,000","128,000"
