name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,03/31/2018,12/31/2017
TotalAssets,"1,976,004,000","1,921,135,000","1,728,591,000","1,739,884,000","1,768,798,000","1,808,588,000","1,812,243,000","1,779,023,000","1,676,215,000","1,636,393,000","1,306,248,000","1,187,264,000","1,135,486,000","604,016,000","544,814,000","490,910,000","299,605,000"
	CurrentAssets,"92,214,000","101,728,000","164,827,000","76,748,000","73,744,000","98,267,000","74,123,000","34,408,000","59,525,000","85,727,000","49,100,000","22,762,000","63,913,000","42,095,000","36,095,000","21,673,000","35,907,000"
		CashCashEquivalentsAndShortTermInvestments,"13,702,000","19,897,000","13,080,000","17,550,000","9,760,000","23,927,000","16,576,000","11,170,000","16,183,000","10,633,000","2,694,000","3,737,000","12,060,000","8,563,000","6,474,000","2,224,000","8,000"
			CashAndCashEquivalents,"13,702,000","19,897,000","13,080,000","17,550,000","9,760,000","23,927,000","16,576,000","11,170,000","16,183,000","10,633,000","2,694,000","3,737,000","12,060,000","8,563,000","6,474,000","2,224,000","8,000"
				CashFinancial,"13,702,000","19,897,000","13,080,000","17,550,000","9,760,000","23,927,000","16,576,000","11,170,000","16,183,000","10,633,000","2,694,000","3,737,000","12,060,000","8,563,000","6,474,000","2,224,000","8,000"
		Receivables,"63,992,000","67,569,000","58,136,000","48,981,000","53,298,000","63,105,000","47,698,000","12,150,000","29,026,000","59,341,000","32,752,000","1,676,000","35,013,000","20,123,000","18,999,000","12,864,000","35,899,000"
			AccountsReceivable,"63,992,000","67,569,000","58,136,000","48,981,000","53,298,000","63,105,000","47,698,000","12,150,000","29,026,000","59,341,000","32,752,000","1,676,000","35,013,000","20,123,000","18,999,000","12,864,000","35,899,000"
		Inventory,"13,512,000","13,081,000","9,668,000","9,362,000","9,738,000","10,108,000","9,678,000","10,400,000","13,265,000","14,325,000","13,039,000","12,631,000","11,725,000","9,200,000","7,980,000","6,003,000",
			OtherInventories,"13,512,000","13,081,000","9,668,000","9,362,000","9,738,000","10,108,000","9,678,000","10,400,000","13,265,000","14,325,000","13,039,000","12,631,000","11,725,000","9,200,000","7,980,000","6,003,000",
		PrepaidAssets,,,,,,,,,,,,,"495,000","1,265,000",,,
		CurrentDeferredAssets,,,,,,,,,,,,,"4,620,000","2,944,000",,,
		AssetsHeldForSaleCurrent,,,"83,285,000",,,,,,,,,,,,,,
		OtherCurrentAssets,"1,008,000","1,181,000","658,000","855,000","948,000","1,127,000","171,000","688,000","1,051,000","1,428,000","615,000","4,718,000",,,"2,642,000","582,000",
	TotalNonCurrentAssets,"1,883,790,000","1,819,407,000","1,563,764,000","1,663,136,000","1,695,054,000","1,710,321,000","1,738,120,000","1,744,615,000","1,616,690,000","1,550,666,000","1,257,148,000","1,164,502,000","1,071,573,000","561,921,000","508,719,000","469,237,000","263,698,000"
		NetPPE,"1,086,770,000","1,052,543,000","896,540,000","984,714,000","993,315,000","998,449,000","1,022,320,000","1,044,087,000","1,004,212,000","958,563,000","919,809,000","867,676,000","808,823,000","457,944,000","402,833,000","352,428,000","255,323,000"
			GrossPPE,"1,217,759,000","1,174,050,000","1,008,535,000","1,104,235,000","1,103,806,000","1,099,177,000","1,112,776,000","1,125,659,000","1,075,816,000","1,019,695,000","972,975,000","912,028,000","845,021,000","486,261,000","426,007,000","366,646,000","260,311,000"
				Properties,"1,119,113,000","1,075,405,000","922,650,000","1,018,174,000","1,017,574,000","1,012,777,000","1,026,212,000","1,037,264,000","987,336,000","930,768,000","883,724,000","822,307,000","756,512,000","415,888,000","355,758,000","296,558,000","191,523,000"
				LandAndImprovements,"98,646,000","98,645,000","85,826,000","85,826,000","85,826,000","85,826,000","85,826,000","88,309,000","88,309,000","88,509,000","88,509,000","88,509,000","88,509,000","70,373,000","70,249,000","70,088,000","68,788,000"
				OtherProperties,,,"59,000","235,000","406,000","574,000","738,000","86,000","171,000","418,000","742,000","1,212,000",,,,,
			AccumulatedDepreciation,"-130,989,000","-121,507,000","-111,995,000","-119,521,000","-110,491,000","-100,728,000","-90,456,000","-81,572,000","-71,604,000","-61,132,000","-53,166,000","-44,352,000","-36,198,000","-28,317,000","-23,174,000","-14,218,000","-4,988,000"
		GoodwillAndOtherIntangibleAssets,"3,544,000","3,650,000","3,771,000","3,899,000","4,050,000","4,262,000","5,745,000","6,579,000","7,274,000","8,070,000","8,754,000","9,464,000","10,158,000","10,954,000","11,820,000","13,296,000",
			OtherIntangibleAssets,"3,544,000","3,650,000","3,771,000","3,899,000","4,050,000","4,262,000","5,745,000","6,579,000","7,274,000","8,070,000","8,754,000","9,464,000","10,158,000","10,954,000",,,
		InvestmentProperties,"84,563,000","84,609,000","85,339,000","85,045,000","96,751,000","96,687,000","97,815,000","96,473,000","97,580,000","98,679,000","99,664,000","100,460,000","101,231,000","93,023,000","94,066,000","94,860,000",
		InvestmentsAndAdvances,"643,205,000","612,541,000","509,174,000","517,962,000","525,078,000","532,927,000","532,008,000","514,110,000","502,040,000","479,558,000","224,990,000","186,902,000","149,596,000","0","0","8,653,000","7,903,000"
			LongTermEquityInvestment,"643,205,000","612,541,000","509,174,000","517,962,000","525,078,000","532,927,000","532,008,000","514,110,000","502,040,000","479,558,000","224,990,000","186,902,000","149,596,000","0","0","8,653,000","7,903,000"
		NonCurrentDeferredAssets,"59,548,000","62,356,000","65,016,000","67,323,000","71,397,000","73,264,000","75,255,000","78,134,000",,,,,,,,,
			NonCurrentDeferredTaxesAssets,"59,548,000","62,356,000","65,016,000","67,323,000","71,397,000","73,264,000","75,255,000","78,134,000",,,,,,,,,
		OtherNonCurrentAssets,"6,160,000","3,708,000","3,924,000","4,193,000","4,463,000","4,732,000","4,977,000","5,232,000","5,584,000","5,796,000","3,931,000",,"1,765,000",,,,"472,000"
TotalLiabilitiesNetMinorityInterest,"816,475,000","753,816,000","550,850,000","553,330,000","601,681,000","628,488,000","628,693,000","592,299,000","548,457,000","520,553,000","191,100,000","122,103,000","736,846,000","76,891,000","28,023,000","8,806,000","6,997,000"
	CurrentLiabilities,"59,083,000","48,949,000","41,918,000","40,242,000","40,610,000","43,448,000","38,613,000","56,027,000","73,449,000","77,379,000","74,020,000","114,929,000","716,266,000","63,418,000","22,539,000","4,385,000","2,143,000"
		PayablesAndAccruedExpenses,"59,083,000","48,870,000","41,780,000","39,928,000","40,169,000","42,839,000","37,934,000","55,941,000","73,278,000","76,961,000","73,278,000","113,803,000","714,672,000","63,418,000","22,539,000","4,385,000","2,143,000"
