name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,03/31/1991
TotalAssets,"63,080,000,000","67,952,000,000","67,098,000,000","67,984,000,000","67,492,000,000","68,407,000,000","60,878,000,000","55,934,000,000","59,741,000,000","61,627,000,000","59,146,000,000","63,210,000,000","62,837,000,000","63,675,000,000","64,305,000,000","65,355,000,000","65,381,000,000","70,283,000,000","64,662,000,000","60,263,000,000","57,701,000,000","56,977,000,000","56,609,000,000","49,980,000,000","47,765,000,000","51,839,000,000","50,637,000,000","39,167,000,000","38,321,000,000","34,664,000,000","28,844,393,000","31,206,164,000","28,077,692,000","22,496,785,000","22,468,428,000","22,624,374,000","22,211,668,000","21,239,838,000","20,963,829,000","20,501,950,000","19,950,386,000","17,303,134,000","12,639,898,000","12,694,140,000","12,987,354,000","11,592,630,000","11,455,591,000","10,496,708,000","10,695,998,000","9,698,559,000","8,936,980,000","8,387,092,000","7,519,914,000","7,018,574,000","6,974,128,000","6,517,417,000","5,879,003,000","5,834,716,000","5,317,575,000","4,825,780,000","4,615,379,000","4,085,981,000","5,299,132,000","5,179,648,000","4,036,534,000","3,764,651,000","2,918,685,000","2,688,114,000","2,369,483,000","2,155,963,000","1,985,676,000","1,808,467,000","1,675,522,000","1,554,722,000","1,168,141,000","1,074,862,000","942,770,000","1,288,183,000","876,227,000","815,972,000","787,737,000","794,786,000","632,935,000","636,662,000","657,545,000","678,099,000","435,915,000","436,537,000","434,322,000","436,800,000","449,200,000","272,100,000","288,600,000","302,900,000","316,700,000","333,300,000","349,400,000","352,100,000","348,200,000","354,000,000","312,400,000","310,700,000","315,400,000","304,000,000","315,400,000","176,000,000","93,800,000","102,400,000","111,100,000","119,200,000","123,600,000","126,600,000","133,900,000","139,800,000","141,600,000","146,800,000","144,800,000","107,100,000","106,600,000","108,700,000","12,500,000"
	CurrentAssets,"12,629,000,000","14,772,000,000","13,991,000,000","13,925,000,000","13,278,000,000","15,996,000,000","30,926,000,000","24,643,000,000","26,950,000,000","30,296,000,000","28,361,000,000","33,727,000,000","34,024,000,000","35,836,000,000","34,918,000,000","32,728,000,000","30,258,000,000","31,823,000,000","35,317,000,000","28,592,000,000","21,424,000,000","20,445,000,000","21,425,000,000","18,353,000,000","19,267,000,000","24,763,000,000","25,910,000,000","18,093,000,000","20,062,000,000","17,714,000,000","12,562,031,000","15,499,339,000","12,970,629,000","7,273,753,000","6,968,061,000","7,072,529,000","6,663,097,000","6,156,347,000","5,880,379,000","5,844,102,000","5,826,532,000","13,918,785,000","6,147,267,000","6,219,045,000","6,851,132,000","5,708,082,000","6,031,947,000","5,709,014,000","5,124,228,000","4,812,558,000","4,297,610,000","4,001,307,000","4,615,915,000","4,300,281,000","4,326,683,000","3,669,377,000","2,948,257,000","3,028,292,000","2,545,043,000","2,447,174,000","2,440,559,000","2,429,206,000","4,032,400,000","2,491,869,000","3,375,405,000","3,092,208,000","2,297,715,000","2,384,820,000","2,070,244,000","1,849,694,000","1,707,368,000","1,531,776,000","1,395,014,000","1,265,898,000","926,997,000","963,771,000","832,453,000","1,183,760,000","788,135,000","726,323,000","700,644,000","707,759,000","544,607,000","546,191,000","570,378,000","593,798,000","369,840,000","371,447,000","367,606,000","372,000,000","387,700,000","255,400,000","272,000,000","288,300,000","305,600,000","321,800,000","337,400,000","340,300,000","336,500,000","342,000,000","300,700,000","300,300,000","306,600,000","295,200,000","306,300,000","166,000,000","83,300,000","91,100,000","98,900,000","107,900,000","114,000,000","116,900,000","124,100,000","130,200,000","133,400,000","140,200,000","141,200,000","104,200,000","103,800,000","106,200,000","10,400,000"
		CashCashEquivalentsAndShortTermInvestments,"5,325,000,000","6,520,000,000","5,738,000,000","6,525,000,000","5,666,000,000","7,408,000,000","23,975,000,000","18,914,000,000","20,785,000,000","24,352,000,000","22,856,000,000","27,183,000,000","27,904,000,000","30,089,000,000","28,466,000,000","25,917,000,000","23,998,000,000","25,510,000,000","28,387,000,000","21,096,000,000","14,115,000,000","11,895,000,000","12,266,000,000","8,752,000,000","8,319,000,000","14,607,000,000","15,714,000,000","8,611,000,000","11,294,000,000","10,128,000,000","6,316,326,000","8,799,068,000","6,469,030,000","2,131,562,000","2,090,494,000","2,287,370,000","1,942,776,000","1,862,250,000","1,695,485,000","1,707,544,000","1,451,942,000","9,900,268,000","2,257,135,000","2,270,318,000","3,011,299,000","2,098,668,000","2,307,531,000","2,000,925,000","1,652,188,000","1,656,975,000","1,355,312,000","1,244,268,000","2,060,294,000","1,790,062,000","1,919,294,000","1,347,721,000","914,195,000","1,171,978,000","766,765,000","876,424,000","925,736,000","936,851,000","2,853,948,000","1,487,583,000","2,539,621,000","2,323,885,000","1,660,276,000","1,789,274,000","1,471,767,000","1,254,038,000","1,148,421,000","975,588,000","837,642,000","707,000,000","620,861,000","681,443,000","612,143,000","942,374,000","624,791,000","559,488,000","564,669,000","582,851,000","440,554,000","456,022,000","483,810,000","512,878,000","293,199,000","295,547,000","291,792,000","294,400,000","307,400,000","45,300,000","58,400,000","32,500,000","43,200,000","37,000,000","34,300,000","32,000,000","45,700,000","139,000,000","104,700,000","132,000,000","156,000,000","182,900,000","49,400,000","72,400,000","8,500,000","30,400,000","15,300,000","26,600,000","43,700,000","13,000,000","8,600,000","2,100,000","3,500,000","2,100,000","47,800,000","2,300,000","17,900,000","87,900,000","10,300,000"
			CashAndCashEquivalents,"4,296,000,000","5,338,000,000","4,362,000,000","4,893,000,000","4,065,000,000","5,997,000,000","12,886,000,000","6,746,000,000","10,051,000,000","11,631,000,000","9,474,000,000","11,240,000,000","16,927,000,000","17,940,000,000","14,569,000,000","13,234,000,000","7,643,000,000","7,588,000,000","11,508,000,000","8,712,000,000","10,285,000,000","8,229,000,000","9,809,000,000","6,485,000,000","6,315,000,000","12,851,000,000","13,965,000,000","7,417,000,000","10,635,000,000","10,027,000,000","6,209,060,000","8,730,522,000","6,404,153,000","2,112,806,000","2,010,736,000","2,202,176,000","1,863,972,000","1,803,694,000","1,550,710,000","1,625,500,000","1,451,942,000","9,883,777,000","909,359,000","905,779,000","1,835,978,000","907,879,000","1,022,993,000","1,482,639,000","936,880,000","1,272,958,000","1,024,599,000","1,040,874,000","1,663,646,000","1,459,302,000","1,209,424,000","1,119,599,000","722,884,000","968,086,000","584,128,000","701,648,000","729,142,000","816,007,000","559,580,000","884,449,000","268,677,000","707,913,000","592,722,000","793,618,000","281,941,000","280,909,000","301,450,000","226,563,000","155,585,000","194,719,000","103,317,000","169,355,000","117,477,000","616,931,000","121,608,000","122,006,000","115,086,000","162,339,000","37,346,000","46,921,000","77,403,000","197,292,000","43,374,000","42,740,000","37,296,000","47,000,000","70,800,000","45,300,000","58,400,000","32,500,000","43,200,000","37,000,000","34,300,000","32,000,000","45,700,000","139,000,000","104,700,000","132,000,000","156,000,000","182,900,000","49,400,000","72,400,000","8,500,000","30,400,000","15,300,000","26,600,000","43,700,000","13,000,000","8,600,000","2,100,000","3,500,000","2,100,000","47,800,000","2,300,000","17,900,000","87,900,000","10,300,000"
			OtherShortTermInvestments,"1,029,000,000","1,182,000,000","1,376,000,000","1,632,000,000","1,601,000,000","1,411,000,000","11,089,000,000","12,168,000,000","10,734,000,000","12,721,000,000","13,382,000,000","15,943,000,000","10,977,000,000","12,149,000,000","13,897,000,000","12,683,000,000","16,355,000,000","17,922,000,000","16,879,000,000","12,384,000,000","3,830,000,000","3,666,000,000","2,457,000,000","2,267,000,000","2,004,000,000","1,756,000,000","1,749,000,000","1,194,000,000","659,000,000","101,000,000","107,266,000","68,546,000","64,877,000","18,756,000","79,758,000","85,194,000","78,804,000","58,556,000","144,775,000","82,044,000","0","16,491,000","1,347,776,000","1,364,539,000","1,175,321,000","1,190,789,000","1,284,538,000","518,286,000","715,308,000","384,017,000","330,713,000","203,394,000","396,648,000","330,760,000","709,870,000","228,122,000","191,311,000","203,892,000","182,637,000","174,776,000","196,594,000","120,844,000","2,294,368,000","603,134,000","2,270,944,000","1,615,972,000","1,067,554,000","995,656,000","1,189,826,000","973,129,000","846,971,000","749,025,000","682,057,000","512,281,000","517,544,000","512,088,000","494,666,000","325,443,000","503,183,000","437,482,000","449,583,000","420,512,000","403,208,000","409,101,000","406,407,000","315,586,000","249,825,000","252,807,000","254,496,000","247,400,000","236,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"3,787,000,000","4,493,000,000","4,566,000,000","4,149,000,000","3,925,000,000","4,892,000,000","3,913,000,000","3,194,000,000","3,907,000,000","3,582,000,000","3,315,000,000","3,396,000,000","3,283,000,000","3,327,000,000","3,465,000,000","3,541,000,000","3,775,000,000","3,851,000,000","4,122,000,000","4,478,000,000","4,034,000,000","4,514,000,000","5,075,000,000","5,752,000,000","6,163,000,000","5,854,000,000","6,105,000,000","5,331,000,000","4,835,000,000","4,635,000,000","2,850,367,000","3,436,711,000","3,236,195,000","2,100,286,000","1,971,926,000","1,895,913,000","1,945,189,000","1,751,388,000","1,766,091,000","1,702,818,000","2,163,659,000","1,951,167,000","1,867,092,000","1,938,645,000","1,801,212,000","1,621,966,000","1,670,405,000","1,482,900,000","1,491,332,000","1,389,534,000","1,339,165,000","1,242,899,000","1,068,000,000","1,023,397,000","1,047,205,000","1,021,369,000","979,802,000","795,127,000","803,628,000","734,512,000","692,066,000","609,320,000","585,050,000","489,319,000","433,633,000","396,125,000","400,623,000","371,984,000","385,444,000","371,245,000","304,298,000","277,305,000","257,491,000","235,217,000","201,056,000","200,306,000","145,980,000","175,036,000","114,062,000","101,462,000","76,935,000","74,228,000","59,402,000","54,354,000","51,187,000","48,814,000","46,084,000","46,644,000","46,666,000","45,600,000","46,700,000",,,,,,,,,,,,"3,000,000","1,500,000",,,,,,,,,,,,"137,200,000",,,,,
			AccountsReceivable,"3,787,000,000","4,493,000,000","4,566,000,000","4,149,000,000","3,925,000,000","4,892,000,000","3,913,000,000","3,194,000,000","3,907,000,000","3,582,000,000","3,315,000,000","3,396,000,000","3,283,000,000","3,327,000,000","3,465,000,000","3,541,000,000","3,775,000,000","3,851,000,000","4,122,000,000","4,478,000,000","4,034,000,000","4,514,000,000","5,075,000,000","5,752,000,000","6,163,000,000","5,854,000,000","6,105,000,000","5,331,000,000","4,835,000,000","4,635,000,000","2,850,367,000","3,436,711,000","3,236,195,000","2,100,286,000","1,971,926,000","1,895,913,000","1,945,189,000","1,751,388,000","1,766,091,000","1,702,818,000","2,163,659,000","1,951,167,000","1,867,092,000","1,938,645,000","1,801,212,000","1,621,966,000","1,670,405,000","1,482,900,000","1,491,332,000","1,389,534,000","1,339,165,000","1,242,899,000","1,068,000,000","1,023,397,000","1,047,205,000","1,021,369,000","979,802,000","795,127,000","803,628,000","734,512,000","692,066,000","609,320,000","585,050,000","489,319,000","433,633,000","396,125,000","400,623,000","371,984,000","385,444,000","371,245,000","304,298,000","277,305,000","257,491,000","235,217,000","201,056,000","200,306,000","145,980,000","125,036,000","114,062,000","101,462,000","76,935,000","74,228,000","59,402,000","54,354,000","51,187,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"4,559,000,000","5,278,000,000","5,284,000,000","4,908,000,000","4,647,000,000","5,560,000,000","4,627,000,000","3,892,000,000","4,700,000,000","4,340,000,000","3,928,000,000","4,006,000,000","3,952,000,000","3,910,000,000","3,979,000,000","4,132,000,000","4,329,000,000","4,306,000,000",,"5,114,000,000","4,591,000,000","5,277,000,000","6,010,000,000","7,187,000,000","7,440,000,000","6,886,000,000",,,,"4,991,000,000",,,,"2,434,593,000",,,,"2,012,401,000",,,,"2,157,157,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-772,000,000","-785,000,000","-718,000,000","-759,000,000","-722,000,000","-668,000,000","-714,000,000","-698,000,000","-793,000,000","-758,000,000","-613,000,000","-610,000,000","-669,000,000","-583,000,000","-514,000,000","-591,000,000","-554,000,000","-455,000,000",,"-636,000,000","-557,000,000","-763,000,000","-935,000,000","-1,435,000,000","-1,277,000,000","-1,032,000,000",,,,"-356,000,000",,,,"-334,307,000",,,,"-261,013,000",,,,"-205,990,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
